Date, Close/Last, Volume, Open, High, Low
01/20/2021, $36.23, 249671, $36.22, $36.35, $35.83
01/19/2021, $36.05, 308684, $35.44, $36.19, $35.41
01/15/2021, $35.14, 298675, $35.13, $35.37, $34.32
01/14/2021, $35.48, 356526, $35.94, $36.35, $35.47
01/13/2021, $35.93, 252413, $36.03, $36.19, $35.841
01/12/2021, $35.9, 344703, $35.79, $36.07, $35.5
01/11/2021, $35.07, 197785, $34.61, $35.21, $34.5
01/08/2021, $34.89, 405648, $35.19, $35.31, $34.63
01/07/2021, $34.97, 410702, $34.75, $35.71, $34.16
01/06/2021, $34.34, 609784, $33.36, $35, $33.36
01/05/2021, $33.19, 164945, $33.37, $33.67, $33.1
01/04/2021, $33.25, 341276, $34, $34, $32.84
12/31/2020, $33.77, 265603, $33.33, $33.84, $33.05
12/30/2020, $33.23, 190481, $33.05, $33.3693, $33
12/29/2020, $32.87, 213367, $33.41, $33.41, $32.75
12/28/2020, $33.13, 293570, $33.41, $33.63, $33.09
12/24/2020, $33.37, 66738, $33.25, $33.53, $33.04
12/23/2020, $33.38, 253686, $33.35, $33.78, $33.19
12/22/2020, $33.37, 250047, $33.42, $33.66, $33.14
12/21/2020, $33.52, 189917, $33.44, $33.61, $33.02
12/18/2020, $33.61, 343827, $33.6, $33.8, $33.16
12/17/2020, $33.67, 392942, $33.08, $33.78, $33.05
12/16/2020, $33.08, 562135, $32.64, $33.31, $32.51
12/15/2020, $32.46, 312562, $32.35, $32.6, $32
12/14/2020, $32.06, 396738, $32.1, $32.43, $31.85
12/11/2020, $32.1, 454620, $31.86, $32.88, $31.76
12/10/2020, $32.03, 680311, $31.22, $32.65, $31.18
12/09/2020, $31.36, 1327090, $32.68, $32.87, $31.215
12/08/2020, $33.13, 338967, $32.49, $33.69, $32.31
12/07/2020, $32.78, 419952, $33.18, $33.25, $32.62
12/04/2020, $33.41, 325772, $33.57, $33.7999, $33.2
12/03/2020, $33.79, 666069, $33.29, $34.3, $33.29
12/02/2020, $33.12, 273799, $32.67, $33.33, $32.5
12/01/2020, $32.6, 265422, $32.15, $32.8, $32
11/30/2020, $31.87, 251970, $32.38, $32.49, $31.75
11/27/2020, $32.36, 105105, $31.95, $32.41, $31.95
11/25/2020, $31.89, 305908, $32, $32.32, $31.59
11/24/2020, $32.15, 318973, $32.02, $32.26, $31.61
11/23/2020, $31.7, 270313, $31.94, $32.25, $31.66
11/20/2020, $31.68, 183588, $31.43, $31.7772, $31.3
11/19/2020, $31.69, 182560, $31.39, $31.74, $31.11
11/18/2020, $31.39, 291444, $31.48, $32.18, $31.3372
11/17/2020, $31.22, 490793, $31.75, $31.88, $31.06
11/16/2020, $32.01, 347484, $32.16, $32.3, $31.74
11/13/2020, $31.64, 311854, $31.5, $31.83, $31.41
11/12/2020, $31.39, 392150, $31.75, $31.95, $30.89
11/11/2020, $31.68, 317915, $31.82, $31.9, $31.261
11/10/2020, $31.88, 373839, $31, $32.0799, $30.98
11/09/2020, $30.85, 756641, $31.02, $31.67, $30.59
11/06/2020, $30.13, 399030, $30.75, $30.75, $30.03
11/05/2020, $30.85, 679872, $30.5, $31.2, $30.46
11/04/2020, $30.26, 434420, $30.21, $30.3604, $29.39
11/03/2020, $29.87, 472166, $29.49, $30.125, $29.285
11/02/2020, $29.2, 466671, $29.38, $29.5658, $28.8701
10/30/2020, $29.06, 581278, $29.44, $29.44, $28.61
10/29/2020, $29.89, 792420, $29.91, $30.02, $29.23
10/28/2020, $29.59, 682915, $30, $30.21, $29.56
10/27/2020, $30.45, 623364, $30.94, $30.973, $29.92
10/26/2020, $30.77, 867738, $31.1, $31.249, $30.23
10/23/2020, $31.55, 715591, $32.57, $32.61, $31.07
10/22/2020, $32.16, 514197, $32, $32.7, $31.75
10/21/2020, $32.33, 393400, $33.08, $33.1899, $32.3
10/20/2020, $32.96, 344627, $32.65, $33.04, $32.54
10/19/2020, $32.59, 431161, $32.84, $33.33, $32.4
10/16/2020, $32.96, 353848, $33.35, $33.49, $32.8777
10/15/2020, $33.17, 470115, $32.71, $33.4497, $32.43
10/14/2020, $32.98, 643028, $32.4, $33.2375, $32.4
10/13/2020, $32.37, 736495, $32.37, $32.47, $31.605
10/12/2020, $31.95, 1658241, $32.98, $33.5, $31.07
10/09/2020, $30.26, 513670, $29.8, $30.37, $29.4332
10/08/2020, $29.74, 981298, $28.7, $29.84, $28.5
10/07/2020, $28.1, 323659, $27.96, $28.32, $27.68
10/06/2020, $27.62, 516555, $27.4, $28.4, $27.27
10/05/2020, $27.34, 371489, $26.99, $27.42, $26.95
10/02/2020, $26.96, 269577, $26.5, $27.25, $26.5
10/01/2020, $26.82, 469789, $27.04, $27.16, $26.52
09/30/2020, $27.04, 372347, $26.94, $27.57, $26.94
09/29/2020, $27.03, 305945, $27.45, $27.45, $26.75
09/28/2020, $27.45, 521175, $27.48, $27.8, $26.845
09/25/2020, $27.38, 314208, $26.6, $27.55, $26.52
09/24/2020, $26.85, 467662, $26.86, $27.02, $26.33
09/23/2020, $27.01, 236644, $27.3, $27.5675, $26.9
09/22/2020, $27.37, 370505, $27.13, $27.5, $26.94
09/21/2020, $27.14, 514714, $28.09, $28.1, $26.74
09/18/2020, $27.75, 799184, $27.89, $28.1, $27.655
09/17/2020, $27.81, 317953, $27.74, $28.07, $27.468
09/16/2020, $27.9, 476022, $27.46, $28.31, $27.43
09/15/2020, $27.55, 262439, $27.36, $27.64, $27.17
09/14/2020, $27.3, 339966, $27.51, $27.62, $27.1
09/11/2020, $27.21, 481004, $26.95, $27.44, $26.59
09/10/2020, $26.84, 437972, $27.45, $27.45, $26.63
09/09/2020, $27.18, 418949, $27.39, $27.39, $26.87
09/08/2020, $26.98, 371739, $27.74, $27.74, $26.86
09/04/2020, $28.1, 325965, $28.5, $28.69, $27.4002
09/03/2020, $28.34, 356917, $28.8, $28.97, $28.165
09/02/2020, $28.91, 222403, $28.7, $29, $28.43
09/01/2020, $28.67, 213979, $28.4, $28.7437, $28.19
08/31/2020, $28.49, 203365, $29, $29, $28.42
08/28/2020, $28.96, 207282, $28.67, $28.97, $28.2283
08/27/2020, $28.54, 266206, $28.35, $28.82, $28.28
08/26/2020, $28.41, 227527, $28.84, $28.89, $28.3
08/25/2020, $28.82, 208590, $29.01, $29.083, $28.3835
08/24/2020, $29.03, 217109, $28.9, $29.22, $28.6601
08/21/2020, $28.65, 246996, $28.24, $28.98, $28.17
08/20/2020, $28.17, 277619, $28.61, $28.6299, $28.01
08/19/2020, $28.58, 204312, $28.59, $28.89, $28.41
08/18/2020, $28.54, 259964, $28.65, $28.96, $28.2
08/17/2020, $28.77, 194669, $29.17, $29.26, $28.6
08/14/2020, $29.07, 318786, $29.12, $29.5, $29.02
08/13/2020, $29.45, 408240, $29, $29.81, $28.92
08/12/2020, $28.94, 328488, $28.61, $29, $28.215
08/11/2020, $28.54, 239210, $28.51, $28.83, $28.43
08/10/2020, $28.26, 135324, $28.3, $28.45, $28.11
08/07/2020, $28.08, 219992, $27.3, $28.0831, $27.26
08/06/2020, $27.41, 229477, $27.81, $27.95, $27.31
08/05/2020, $27.82, 303116, $27.8, $27.9405, $27.4201
08/04/2020, $27.61, 286518, $28.23, $28.41, $27.5
08/03/2020, $28.23, 379067, $28.21, $28.3799, $27.81
07/31/2020, $28.41, 320145, $28.66, $28.8033, $27.79
07/30/2020, $29.15, 257652, $29.14, $29.3945, $28.7601
07/29/2020, $29.27, 298890, $28.87, $29.31, $28.765
07/28/2020, $28.58, 217144, $28.68, $29.12, $28.5
07/27/2020, $28.61, 210029, $28.47, $28.83, $28.1101
07/24/2020, $28.23, 209228, $28.08, $28.64, $28.08
07/23/2020, $28.58, 378707, $28, $28.975, $27.85
07/22/2020, $28.96, 259523, $28.9, $29.3, $28.81
07/21/2020, $28.85, 232749, $28.4, $29.04, $28.27
07/20/2020, $28.04, 272601, $28.26, $28.3263, $27.9
07/17/2020, $28.26, 257898, $28.53, $28.6699, $27.91
07/16/2020, $28.57, 185318, $28.59, $28.93, $28.31
07/15/2020, $28.64, 615237, $28.22, $28.79, $28.1101
07/14/2020, $27.87, 574236, $27.34, $27.99, $27.1
07/13/2020, $27.07, 589525, $27.63, $27.63, $27.04
07/10/2020, $26.91, 142495, $26.8, $27.39, $26.68
07/09/2020, $26.82, 108702, $27.39, $27.4, $26.35
07/08/2020, $27.3, 150838, $26.75, $27.33, $26.59
07/07/2020, $26.5, 179354, $26.75, $27.05, $26.33
07/06/2020, $26.82, 165691, $27.12, $27.27, $26.73
07/02/2020, $26.67, 218234, $27, $27.48, $26.63
07/01/2020, $26.62, 203747, $27.04, $27.1, $26.22
06/30/2020, $27.24, 290346, $26.25, $27.31, $26.25
06/29/2020, $26.43, 294427, $25.27, $26.47, $25.2082
06/26/2020, $25.31, 261606, $25.53, $25.649, $24.88
06/25/2020, $25.79, 458539, $24.93, $25.82, $24.75
06/24/2020, $25.05, 776511, $25.88, $25.9454, $24.98
06/23/2020, $26.13, 462294, $27.11, $27.25, $26.11
06/22/2020, $26.6, 328047, $26.66, $26.93, $26.3835
06/19/2020, $26.66, 414762, $28, $28.01, $26.53
06/18/2020, $27.6, 532382, $26.76, $27.63, $26.52
06/17/2020, $26.88, 426133, $27, $27.34, $26.725
06/16/2020, $26.65, 304940, $27, $27, $26.04
06/15/2020, $25.84, 265974, $24.72, $26.25, $24.41
06/12/2020, $25.41, 322078, $25.06, $25.7, $24.89
06/11/2020, $24.5, 670170, $25.16, $25.72, $24.15
06/10/2020, $26.25, 330429, $26.86, $26.86, $25.81
06/09/2020, $26.57, 461781, $26.5, $27.085, $25.84
