Date, Close/Last, Volume, Open, High, Low
01/20/2021, $167.01, 394467, $160.39, $168.42, $160.39
01/19/2021, $160.39, 296042, $163.95, $164.02, $157.51
01/15/2021, $162.46, 370599, $162.59, $164.575, $159.26
01/14/2021, $165.38, 106557, $162.52, $167.23, $162.22
01/13/2021, $162.26, 102516, $165.44, $166.385, $160.41
01/12/2021, $167.55, 157877, $163.52, $172.315, $162.575
01/11/2021, $163.78, 90818, $160.51, $164.49, $160.51
01/08/2021, $161.81, 108603, $163.08, $165.76, $158.52
01/07/2021, $161.37, 103937, $157.8, $162.01, $155.58
01/06/2021, $158.62, 281220, $148.49, $159.96, $147.2
01/05/2021, $147.27, 143029, $142.03, $148.86, $141.685
01/04/2021, $142.7, 149846, $146.53, $148.78, $139
12/31/2020, $145.74, 114120, $145.14, $147.26, $141.65
12/30/2020, $145.94, 149584, $138.99, $147.57, $138.99
12/29/2020, $139.3, 129815, $144.71, $145.38, $137.22
12/28/2020, $144.49, 184039, $140.44, $147.67, $137.16
12/24/2020, $139.84, 38898, $140.25, $140.27, $137.89
12/23/2020, $139.79, 151060, $138.95, $140.65, $135.595
12/22/2020, $137.61, 213733, $141.22, $142.82, $136.41
12/21/2020, $141.46, 274159, $139.4, $141.95, $137.425
12/18/2020, $142.6, 595990, $147.51, $147.65, $142.53
12/17/2020, $147.65, 270818, $144.61, $147.77, $142.86
12/16/2020, $144.78, 246829, $142.54, $145, $142.06
12/15/2020, $143.19, 190093, $141.3, $143.56, $140.96
12/14/2020, $139.8, 240373, $145.72, $148.92, $139.71
12/11/2020, $143.44, 182964, $140.01, $145.07, $140.01
12/10/2020, $141.63, 215221, $142.1, $143.9, $140.82
12/09/2020, $143.97, 155237, $140.38, $144.69, $140.38
12/08/2020, $139.61, 211049, $141.58, $141.94, $137.66
12/07/2020, $143.39, 439123, $144.88, $150, $142.1563
12/04/2020, $137.71, 187903, $130.94, $138.66, $130.32
12/03/2020, $130.6, 222207, $126.51, $133.525, $126.51
12/02/2020, $122.82, 421794, $119.2, $123.83, $115.35
12/01/2020, $117.76, 222950, $114.87, $120.715, $112.76
11/30/2020, $112.77, 200777, $117.94, $117.94, $112.77
11/27/2020, $118.33, 60001, $120.75, $120.75, $117.94
11/25/2020, $120.82, 143457, $125.19, $127.1899, $118.7
11/24/2020, $126.58, 165276, $122.56, $128.76, $121.4301
11/23/2020, $121.37, 183576, $118.18, $122.59, $116.72
11/20/2020, $117.04, 178084, $119.88, $120.705, $115.5
11/19/2020, $120.85, 109950, $123.63, $124.545, $120.09
11/18/2020, $123.95, 156691, $125.4, $129.78, $123.88
11/17/2020, $125.84, 137266, $124.25, $126.67, $123.4
11/16/2020, $125.4, 337448, $123.31, $127.21, $120.3777
11/13/2020, $119.96, 88278, $118.53, $121.5, $118.39
11/12/2020, $117.65, 241266, $120.54, $121.13, $116.29
11/11/2020, $122.57, 148433, $127.29, $127.29, $120.37
11/10/2020, $127.18, 292565, $122.99, $129.57, $122.75
11/09/2020, $122.49, 431348, $121.59, $126.46, $120.57
11/06/2020, $114.19, 126343, $115.77, $116.99, $113.56
11/05/2020, $115.47, 158275, $114, $117.73, $114
11/04/2020, $113.5, 136732, $111.13, $114.205, $111
11/03/2020, $114.73, 156275, $111.65, $115.76, $111.635
11/02/2020, $109.51, 155937, $104.86, $110.02, $104.86
10/30/2020, $102.98, 293011, $102.73, $103.425, $99.65
10/29/2020, $103.04, 196587, $105.6, $106.41, $102.57
10/28/2020, $106.51, 299593, $103.08, $107.02, $102.25
10/27/2020, $106.04, 419081, $114.79, $115.495, $105.52
10/26/2020, $116.59, 136388, $117, $117.06, $113.09
10/23/2020, $118.94, 75356, $120.51, $120.51, $117.1
10/22/2020, $119.95, 164610, $123.69, $123.95, $117.69
10/21/2020, $123, 306738, $123, $125, $119.895
10/20/2020, $120.1, 418361, $116.78, $120.87, $115.495
10/19/2020, $114.66, 249096, $116.49, $118.9699, $114.4
10/16/2020, $114.52, 235317, $116.55, $116.56, $113.42
10/15/2020, $116.64, 172095, $111.38, $117.56, $109.79
10/14/2020, $112.27, 162933, $116.3, $116.3, $111.59
10/13/2020, $112.63, 129572, $111.94, $114.26, $111.175
10/12/2020, $113.52, 101671, $114.84, $115.35, $112.51
10/09/2020, $114.7, 99948, $116.11, $117.33, $113.71
10/08/2020, $115.15, 132849, $115.42, $116.085, $113.11
10/07/2020, $113.71, 235129, $114.05, $117.445, $112.13
10/06/2020, $112.56, 313673, $112.62, $121.155, $111.91
10/05/2020, $109.88, 119598, $104.26, $110.37, $104.26
10/02/2020, $103.73, 209436, $97.95, $105.31, $97.95
10/01/2020, $100.3, 179448, $97.53, $101.01, $95.99
09/30/2020, $97.45, 225870, $95.92, $98.55, $95.51
09/29/2020, $95.5, 138159, $99.17, $99.17, $93.79
09/28/2020, $98.66, 178800, $94.99, $98.93, $94.99
09/25/2020, $93.14, 273408, $92.96, $93.86, $91.65
09/24/2020, $93.85, 188894, $94.71, $95.81, $93.06
09/23/2020, $95.93, 171487, $99.89, $101.18, $95.87
09/22/2020, $98.71, 159893, $95.81, $99.59, $95.81
09/21/2020, $94.11, 251570, $95.53, $96.02, $91.52
09/18/2020, $98.28, 407833, $102.12, $103.4, $98.135
09/17/2020, $101.09, 318121, $101.27, $103.66, $99.49
09/16/2020, $102.96, 185867, $107.44, $107.44, $101.93
09/15/2020, $106.71, 104043, $109.01, $109.01, $105.56
09/14/2020, $107.44, 107348, $105.24, $107.81, $104.61
09/11/2020, $104.61, 120926, $108.39, $108.98, $104.32
09/10/2020, $107.98, 133381, $112.17, $112.42, $107.79
09/09/2020, $110.82, 220603, $108.43, $111.64, $105.415
09/08/2020, $107.65, 254825, $104.84, $109.53, $103.16
09/04/2020, $106.32, 123127, $107.57, $108.0538, $103.21
