Date, Close/Last, Volume, Open, High, Low
03/24/2021, $22.52, 782141, $25.37, $26.11, $22.5
03/23/2021, $25.33, 738924, $27.47, $27.49, $25.25
03/22/2021, $27.73, 618024, $27.935, $27.935, $26.05
03/19/2021, $26.79, 1329610, $24.91, $27.32, $24.575
03/18/2021, $24.94, 500708, $24, $25.21, $23.73
03/17/2021, $23.92, 499115, $23.28, $24.3, $22.61
03/16/2021, $23.76, 395241, $23.592, $24.92, $23.2389
03/15/2021, $23.94, 744807, $25.59, $26.4962, $23.69
03/12/2021, $25.21, 492144, $24.15, $25.28, $23.67
03/11/2021, $24.4, 497538, $23.88, $25, $23.22
03/10/2021, $22.82, 362140, $23.1, $23.8199, $22.57
03/09/2021, $22.47, 400112, $21.47, $23.12, $21.47
03/08/2021, $21.24, 349548, $21.8, $22.28, $20.63
03/05/2021, $21.31, 605975, $21.36, $21.9, $19.8501
03/04/2021, $21.14, 549270, $21.76, $22.36, $19.93
03/03/2021, $21.98, 359388, $23.45, $23.54, $21.9
03/02/2021, $23.25, 214383, $24.12, $24.19, $22.81
03/01/2021, $24.06, 443051, $22.62, $24.33, $22.53
02/26/2021, $22.28, 542440, $21.21, $23.17, $20.2
02/25/2021, $21.22, 507320, $20.8, $21.57, $20.36
02/24/2021, $20.67, 580481, $20.96, $21.5768, $20.305
02/23/2021, $21.02, 982385, $21.55, $21.83, $20
02/22/2021, $23.03, 3126409, $20.51, $25, $19.51
02/19/2021, $21.2, 766543, $22.9, $23.6, $21.18
02/18/2021, $22.6, 580355, $23.44, $23.84, $22.06
02/17/2021, $23.86, 490814, $24.19, $24.305, $22.87
02/16/2021, $23.93, 590527, $24.26, $24.43, $23.51
02/12/2021, $24.21, 639920, $22.82, $25.48, $22.54
02/11/2021, $23.27, 592702, $23.3, $23.97, $22.55
02/10/2021, $22.93, 797410, $21.4, $22.97, $21.31
02/09/2021, $21.5, 1093577, $20.94, $23.85, $20.94
02/08/2021, $20.95, 563730, $20.26, $21.73, $20.01
02/05/2021, $20.77, 2716665, $21.5, $21.62, $20.26
02/04/2021, $21.56, 1462525, $21.5, $23.3, $21.26
02/03/2021, $21.5, 728749, $20.73, $21.64, $20.54
02/02/2021, $20.73, 974423, $21.66, $22.2, $20.6404
02/01/2021, $21.35, 1066304, $21.06, $21.75, $20.2501
01/29/2021, $20.75, 801213, $20, $21.429, $19.4901
01/28/2021, $19.52, 2446926, $18.96, $21.975, $17.9829
01/27/2021, $18.44, 1536010, $17.06, $18.44, $16.051
