Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.29, 65025, $10.33, $10.33, $10.22
01/19/2021, $10.27, 11572, $10.26, $10.29, $10.26
01/15/2021, $10.32, 108755, $10.281, $10.34, $10.21
01/14/2021, $10.26, 10941, $10.33, $10.33, $10.26
01/13/2021, $10.3, 9867, $10.33, $10.3398, $10.3
01/12/2021, $10.3, 158686, $10.33, $10.34, $10.26
01/11/2021, $10.274, 22041, $10.29, $10.3, $10.255
01/08/2021, $10.3001, 84554, $10.3, $10.325, $10.28
01/07/2021, $10.31, 21282, $10.25, $10.31, $10.2301
01/06/2021, $10.25, 26693, $10.22, $10.3033, $10.22
01/05/2021, $10.22, 12940, $10.27, $10.27, $10.19
01/04/2021, $10.2707, 21763, $10.25, $10.3, $10.25
12/31/2020, $10.24, 23533, $10.2, $10.25, $10.2
12/30/2020, $10.24, 152738, $10.18, $10.24, $10.15
12/29/2020, $10.15, 7385, $10.25, $10.25, $10.08
12/28/2020, $10.23, 56070, $10.08, $10.25, $10.08
12/24/2020, $10.03, 50285, $10.03, $10.1, $10.01
12/23/2020, $10.03, 450979, $10, $10.0496, $9.99
12/22/2020, $10, 80968, $10.01, $10.02, $9.995
12/21/2020, $10, 3874, $9.97, $10, $9.97
12/18/2020, $10, 50419, $9.99, $10, $9.95
12/17/2020, $10, 36412, $10, $10.06, $9.99
12/16/2020, $9.97, 119965, $9.991, $10, $9.965
12/15/2020, $10, 241727, $10, $10.0278, $9.97
12/14/2020, $10, 70540, $10.1, $10.1, $9.98
12/11/2020, $10.1042, 726267, $9.99, $10.1042, $9.95
12/10/2020, $9.98, 298851, $9.85, $9.98, $9.85
