Date, Close/Last, Volume, Open, High, Low
03/24/2021, $263.18, 1191663, $270, $270.97, $262.97
03/23/2021, $269, 1313554, $268.91, $274.83, $267.01
03/22/2021, $265.96, 1863436, $261.03, $269.29, $261.03
03/19/2021, $261.5, 2320357, $261.79, $265.215, $258.85
03/18/2021, $263.44, 1356028, $265.56, $271, $263.14
03/17/2021, $272.84, 1092239, $272.02, $275.31, $265.09
03/16/2021, $275.01, 1041336, $275.21, $277.7, $272.01
03/15/2021, $273.02, 865229, $267.98, $273.75, $266.3
03/12/2021, $268.11, 926091, $270.07, $272, $264.4
03/11/2021, $274.36, 2029446, $270.92, $276, $269.015
03/10/2021, $263.64, 1420677, $269.76, $271.75, $262.32
03/09/2021, $263.97, 2708645, $262.24, $266.43, $260.03
03/08/2021, $253.1, 1623241, $265.21, $268.28, $252.6
03/05/2021, $267.39, 1835526, $270.33, $270.33, $255.02
03/04/2021, $265.44, 1812588, $266.8, $273.28, $263.02
03/03/2021, $269.3, 1409245, $275.7, $276.82, $267.04
03/02/2021, $277.92, 1267254, $285.55, $286.9, $277.33
03/01/2021, $284.27, 1831355, $279.86, $284.72, $278.07
02/26/2021, $276, 2529278, $283.45, $291.98, $274.82
02/25/2021, $284.03, 1489308, $294.81, $298.77, $282.245
02/24/2021, $298.91, 1397415, $281.33, $299.155, $280.6247
02/23/2021, $290.25, 1487201, $292.41, $293.52, $284.56
02/22/2021, $297.7, 954481, $301.46, $303.15, $297.665
02/19/2021, $305.4, 1208190, $301.74, $310.05, $301.11
02/18/2021, $300.72, 1264681, $299, $301.78, $292.855
02/17/2021, $302.52, 891045, $306.1, $307.185, $296.44
02/16/2021, $308.22, 1571964, $307.95, $316.3097, $307.296
02/12/2021, $305.14, 1529915, $297.93, $305.5, $295.32
02/11/2021, $300.21, 1612362, $304.49, $305.48, $298.32
02/10/2021, $301.71, 1195568, $305.56, $306.2, $299.65
02/09/2021, $304.5, 1399872, $308.15, $308.15, $302.77
02/08/2021, $302.81, 945222, $308.33, $310.07, $302.12
02/05/2021, $305.86, 1086201, $302.992, $307.86, $301.88
02/04/2021, $300.49, 931030, $294.36, $300.67, $291.72
02/03/2021, $292.85, 856142, $294.45, $295.94, $292.73
02/02/2021, $294.61, 1146225, $288.62, $296.765, $288.62
02/01/2021, $286.32, 1160107, $280.41, $287.73, $279.33
01/29/2021, $277.43, 1611181, $281.68, $283.63, $274.6301
01/28/2021, $284.22, 1752663, $277.16, $289.4, $276.7
01/27/2021, $273.47, 2714719, $285.32, $285.32, $272.6974
01/26/2021, $291.75, 2134214, $294, $295.94, $291.32
01/25/2021, $293.64, 2698053, $301.76, $302.49, $289.52
01/22/2021, $299.17, 2590522, $303, $306.5, $296.505
01/21/2021, $306.46, 2004285, $309.24, $309.96, $305.34
01/20/2021, $308.58, 1794524, $311.52, $315.26, $307.42
01/19/2021, $310.97, 1414107, $314.83, $315.47, $310.25
01/15/2021, $308.51, 1248598, $311.74, $316.35, $308.03
01/14/2021, $311.11, 1269716, $314.08, $316.11, $310.06
01/13/2021, $314.33, 1182030, $320.75, $321.13, $313.07
01/12/2021, $320.13, 859508, $320, $320.94, $317.11
01/11/2021, $317.81, 1232960, $317.43, $319.84, $313.75
01/08/2021, $319.85, 1196778, $316.41, $320.4339, $315.0762
01/07/2021, $315.2, 1527642, $305.45, $316.45, $305.01
01/06/2021, $302.87, 1557737, $294.1469, $309.95, $294.1271
01/05/2021, $301.7, 1636915, $297.84, $302.511, $296.54
01/04/2021, $296.84, 1407015, $304.11, $307.83, $293.05
12/31/2020, $305.34, 941702, $299, $305.85, $299
12/30/2020, $299.41, 513673, $300.25, $301.51, $297.94
12/29/2020, $298.11, 672891, $300, $301.73, $296.03
12/28/2020, $299.65, 702708, $304.25, $305.44, $298.02
12/24/2020, $301.39, 323059, $300.4, $302.76, $298.7689
12/23/2020, $300.18, 689730, $305.65, $307.22, $300
12/22/2020, $303.86, 1302945, $303.314, $304.3, $300
12/21/2020, $300.88, 1421517, $302.84, $303.99, $296.7
12/18/2020, $305, 2766224, $299.83, $305.95, $298.73
12/17/2020, $297.35, 1108516, $294.65, $297.76, $292.38
12/16/2020, $292.17, 1054935, $288.74, $293.1, $288.74
12/15/2020, $287.53, 997920, $288.2, $290.66, $287.07
12/14/2020, $288.33, 1743931, $281.57, $293.4799, $280.05
12/11/2020, $279.68, 1251164, $280.25, $280.49, $275.376
12/10/2020, $281.16, 1160357, $278.14, $282.18, $274.24
12/09/2020, $279.42, 1484500, $288.97, $289.45, $278.07
