Date, Close/Last, Volume, Open, High, Low
01/20/2021, $13.92, 2466851, $13.26, $14.79, $13.18
01/19/2021, $12.17, 1128837, $11.49, $12.23, $11.31
01/15/2021, $11.37, 657888, $12.04, $12.04, $11.34
01/14/2021, $11.955, 971071, $11.43, $12.11, $11.43
01/13/2021, $11.38, 663431, $11.82, $12, $11.34
01/12/2021, $11.77, 804906, $12.2, $12.49, $11.73
01/11/2021, $12.19, 446486, $11.8, $12.23, $11.67
01/08/2021, $11.9, 824527, $12.16, $12.49, $11.59
01/07/2021, $11.96, 900305, $11.37, $12.18, $11.25
01/06/2021, $11.44, 1435139, $11.58, $11.66, $10.56
01/05/2021, $11.58, 1031260, $11.98, $12.19, $11.4401
01/04/2021, $11.98, 2020922, $10.83, $12.15, $10.55
12/31/2020, $10.84, 745128, $11.76, $11.76, $10.8
12/30/2020, $11.8, 440670, $11.9, $12.33, $11.72
12/29/2020, $11.855, 783324, $11.9, $12, $11.42
12/28/2020, $11.85, 602031, $12.4, $12.62, $11.8
12/24/2020, $12.28, 306970, $12.52, $12.8899, $12.23
12/23/2020, $12.49, 1202631, $12.94, $12.94, $12.16
12/22/2020, $12.91, 1084027, $12.92, $13.34, $12.66
12/21/2020, $12.77, 1465989, $12.15, $12.83, $11.75
12/18/2020, $12.34, 4594187, $12.62, $12.75, $11.58
12/17/2020, $12.71, 1121566, $12.38, $12.74, $11.94
12/16/2020, $12.33, 1117040, $13.5, $13.5284, $12.315
12/15/2020, $13.42, 1450354, $13.35, $13.59, $12.5
12/14/2020, $14.01, 1212915, $13.18, $14.54, $13.18
12/11/2020, $12.95, 502698, $12.68, $13.26, $12.55
12/10/2020, $12.745, 1524073, $12.86, $13.15, $12.53
12/09/2020, $12.82, 2527049, $13.65, $13.85, $12.4137
12/08/2020, $13.5, 1279686, $13.34, $13.83, $13.31
12/07/2020, $13.4, 876947, $13.75, $13.99, $13.31
12/04/2020, $13.71, 608000, $14.26, $14.435, $13.7
12/03/2020, $14.26, 753805, $14.17, $14.7, $14.06
12/02/2020, $14.02, 575144, $13.69, $14.19, $13.51
12/01/2020, $13.69, 578983, $13.92, $14.08, $13.435
11/30/2020, $13.59, 628200, $14.16, $14.36, $13.16
11/27/2020, $14.1, 363476, $13.85, $14.24, $13.85
11/25/2020, $13.81, 499844, $14.15, $14.42, $13.77
11/24/2020, $14.21, 811892, $14.24, $14.575, $13.96
11/23/2020, $13.97, 1217820, $13.06, $14.04, $13
11/20/2020, $13, 723008, $12.49, $13.1, $12.32
11/19/2020, $12.68, 358676, $12.23, $12.69, $12.145
11/18/2020, $12.24, 504920, $12.28, $12.73, $12.08
11/17/2020, $12.15, 716886, $11.96, $12.25, $11.5816
11/16/2020, $11.96, 2076546, $13.02, $13.0838, $11.65
11/13/2020, $12.61, 1195901, $13.62, $13.68, $12.42
11/12/2020, $13.37, 1405230, $13.49, $13.69, $13.07
11/11/2020, $13.365, 714265, $13.39, $13.57, $12.92
11/10/2020, $13.2, 1225429, $13.24, $13.3, $12.67
11/09/2020, $13.04, 927740, $12.73, $13.48, $12.4401
11/06/2020, $12.02, 719551, $12.1, $12.72, $11.92
11/05/2020, $12.18, 1652543, $13.25, $13.25, $11.81
11/04/2020, $13.04, 1000108, $12.69, $13.54, $12.27
11/03/2020, $12.12, 1028852, $11.54, $12.28, $11.51
11/02/2020, $11.34, 825105, $11.12, $11.39, $10.82
10/30/2020, $10.91, 684175, $11.11, $11.19, $10.66
10/29/2020, $11.22, 568215, $11.53, $11.6966, $11.04
10/28/2020, $11.51, 717669, $11.81, $11.91, $11.4
10/27/2020, $12.18, 511244, $11.88, $12.24, $11.68
10/26/2020, $11.88, 753659, $12.32, $12.4117, $11.71
10/23/2020, $12.36, 637352, $12.43, $12.58, $12.215
10/22/2020, $12.29, 723601, $11.79, $12.47, $11.765
10/21/2020, $11.68, 689964, $11.7, $11.83, $11.28
10/20/2020, $11.67, 544475, $11.66, $11.9411, $11.53
10/19/2020, $11.56, 809577, $12.52, $12.52, $11.48
10/16/2020, $12.33, 770799, $12.05, $12.58, $12
10/15/2020, $12.06, 1237087, $11.63, $12.11, $11.45
10/14/2020, $11.86, 1399142, $11.73, $12.1, $11.44
10/13/2020, $11.71, 1067693, $11.24, $11.82, $11.24
10/12/2020, $11.25, 430700, $11.28, $11.32, $10.9
10/09/2020, $11.14, 552241, $11.22, $11.37, $11
10/08/2020, $11.06, 578292, $11.25, $11.25, $10.78
10/07/2020, $10.99, 713975, $10.38, $11.17, $10.38
10/06/2020, $10.35, 531175, $10.73, $10.86, $10.2901
10/05/2020, $10.73, 1035700, $9.92, $10.93, $9.92
10/02/2020, $9.84, 832432, $10.25, $10.42, $9.83
