Date, Close/Last, Volume, Open, High, Low
01/20/2021, $28.02, 6807956, $27.99, $28.675, $27.88
01/19/2021, $28.06, 6587179, $28.05, $28.405, $27.75
01/15/2021, $27.6, 5220709, $27.27, $27.815, $27.16
01/14/2021, $27.45, 5924666, $26.88, $27.58, $26.88
01/13/2021, $26.88, 8193780, $26.11, $27.06, $26.04
01/12/2021, $26.02, 5220058, $25.53, $26.115, $25.47
01/11/2021, $25.46, 6025999, $25.09, $25.545, $25.02
01/08/2021, $25.42, 4479375, $24.89, $25.445, $24.75
01/07/2021, $24.73, 6068317, $25.2, $25.295, $24.73
01/06/2021, $24.98, 6504520, $24.28, $25.215, $24.1
01/05/2021, $24.02, 6392645, $23.21, $24.19, $23.2
01/04/2021, $23.24, 6523449, $23.71, $23.99, $23.02
12/31/2020, $23.5, 4316368, $22.91, $23.555, $22.83
12/30/2020, $22.78, 8226344, $22.98, $23.12, $22.6601
12/29/2020, $23.31, 2818794, $23.38, $23.62, $23.075
12/28/2020, $23.3, 3892552, $23.48, $23.61, $23.235
12/24/2020, $23.27, 2859661, $23.5, $23.53, $23.1
12/23/2020, $23.49, 5114110, $23.14, $23.56, $23
12/22/2020, $22.82, 4833344, $22.71, $23.16, $22.59
12/21/2020, $22.62, 6095819, $22.33, $23.15, $22.08
12/18/2020, $22.54, 13712890, $22.14, $22.69, $22.025
12/17/2020, $22.09, 6010019, $21.98, $22.46, $21.98
12/16/2020, $21.9, 6493362, $22.41, $22.48, $21.86
12/15/2020, $22.28, 5431682, $21.41, $22.3, $21.295
12/14/2020, $21.3, 4870088, $21.34, $21.57, $21.165
12/11/2020, $21.15, 4495472, $20.67, $21.23, $20.522
12/10/2020, $20.85, 4779446, $20.71, $20.97, $20.64
12/09/2020, $20.85, 4848422, $21.18, $21.26, $20.69
12/08/2020, $21.19, 4626058, $20.82, $21.345, $20.76
12/07/2020, $20.87, 4224965, $20.99, $21.16, $20.64
12/04/2020, $21.07, 4094489, $21.24, $21.39, $20.89
12/03/2020, $21.16, 5008778, $21.11, $21.535, $21.01
12/02/2020, $21.16, 6780461, $20.48, $21.39, $20.27
12/01/2020, $20.6, 5935405, $20.66, $20.92, $20.54
11/30/2020, $20.44, 8001770, $20.97, $21.03, $20.38
11/27/2020, $21.04, 1924099, $21.08, $21.115, $20.92
11/25/2020, $20.98, 4538729, $21.15, $21.28, $20.83
11/24/2020, $21.15, 5722175, $20.72, $21.23, $20.55
11/23/2020, $20.46, 5701583, $20.61, $20.7, $20.36
11/20/2020, $20.42, 6956379, $20.73, $20.85, $20.38
11/19/2020, $20.88, 6364438, $21.28, $21.3, $20.815
11/18/2020, $21.37, 11402250, $21.36, $21.55, $21.18
11/17/2020, $21.35, 4546270, $21.13, $21.52, $21.13
11/16/2020, $21.33, 5490159, $21.29, $21.43, $21.07
11/13/2020, $20.87, 4756687, $20.72, $21.01, $20.63
11/12/2020, $20.54, 5706848, $21.11, $21.11, $20.28
11/11/2020, $21.29, 6061181, $21, $21.6, $20.88
11/10/2020, $20.82, 6543680, $20.95, $21.07, $20.515
11/09/2020, $20.97, 7283958, $21.93, $22.32, $20.905
11/06/2020, $20.41, 4317790, $20.91, $21.331, $20.36
11/05/2020, $20.97, 5604271, $20.22, $21.28, $20.1
11/04/2020, $19.94, 6436238, $20.26, $20.42, $19.89
11/03/2020, $20.27, 4908187, $20.35, $20.685, $20.17
11/02/2020, $20, 5621572, $19.79, $20.14, $19.67
10/30/2020, $19.5, 5949754, $19.5, $19.805, $19.305
10/29/2020, $19.53, 4772925, $19.32, $19.725, $18.98
10/28/2020, $19.5, 6373732, $20, $20.165, $19.36
10/27/2020, $20.34, 3718973, $20.57, $20.67, $20.265
10/26/2020, $20.58, 5676074, $20.39, $20.65, $20.05
10/23/2020, $20.65, 3881517, $20.55, $20.76, $20.3242
10/22/2020, $20.41, 4140940, $20.2, $20.45, $20.04
10/21/2020, $20.21, 5450742, $19.97, $20.27, $19.935
10/20/2020, $20, 4668234, $20.17, $20.385, $19.95
10/19/2020, $19.9, 8025448, $19.9, $20.095, $19.68
10/16/2020, $19.9, 3838879, $19.93, $20.03, $19.65
10/15/2020, $19.86, 3941689, $19.34, $19.95, $19.28
10/14/2020, $19.63, 3657849, $19.55, $19.74, $19.47
10/13/2020, $19.55, 5105677, $19.31, $19.607, $19.27
10/12/2020, $19.52, 5156630, $19.32, $19.61, $19.21
10/09/2020, $19.32, 7942812, $19.5, $19.57, $18.98
10/08/2020, $19.44, 8813767, $18.87, $19.48, $18.78
10/07/2020, $18.75, 3546920, $18.76, $18.93, $18.585
10/06/2020, $18.66, 3555525, $18.59, $18.84, $18.42
10/05/2020, $18.58, 3445046, $18.65, $18.78, $18.545
10/02/2020, $18.54, 6500237, $17.53, $18.545, $17.46
10/01/2020, $17.92, 4895918, $18.24, $18.31, $17.68
09/30/2020, $18.11, 6615591, $18.04, $18.27, $17.96
09/29/2020, $18, 4226866, $18.06, $18.23, $17.82
09/28/2020, $17.87, 5012716, $18.28, $18.45, $17.85
09/25/2020, $17.99, 3652737, $18.01, $18.07, $17.72
09/24/2020, $17.96, 7458016, $17.85, $18.13, $17.42
09/23/2020, $17.76, 5635964, $18.37, $18.45, $17.76
09/22/2020, $18.24, 4816309, $18.36, $18.46, $18
09/21/2020, $18.36, 4674856, $18.42, $18.53, $17.98
09/18/2020, $18.79, 11655510, $18.47, $19.12, $18.45
09/17/2020, $18.43, 6893627, $17.88, $18.59, $17.605
09/16/2020, $18.06, 4346285, $17.81, $18.13, $17.73
09/15/2020, $17.79, 3703311, $18.09, $18.135, $17.62
09/14/2020, $17.95, 4414186, $17.89, $18.08, $17.72
09/11/2020, $17.8, 7266184, $17.4, $17.8499, $17.255
09/10/2020, $17.36, 2736965, $17.54, $17.645, $17.31
09/09/2020, $17.54, 2988929, $17.55, $17.735, $17.325
09/08/2020, $17.41, 4264801, $17.5, $17.53, $17.21
09/04/2020, $17.57, 4318221, $17.75, $17.8, $17.125
09/03/2020, $17.69, 4419101, $18.25, $18.34, $17.53
09/02/2020, $18.18, 4967338, $17.92, $18.25, $17.73
09/01/2020, $17.91, 3914341, $17.65, $17.955, $17.562
08/31/2020, $17.75, 4074718, $17.93, $17.985, $17.67
08/28/2020, $17.9, 4775013, $17.89, $17.96, $17.57
08/27/2020, $17.91, 3515416, $17.78, $18.01, $17.7
08/26/2020, $17.73, 3181346, $17.89, $17.91, $17.58
08/25/2020, $17.89, 2839361, $18.17, $18.17, $17.65
08/24/2020, $18.07, 3912251, $18.12, $18.18, $17.91
