Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14.19, 21726, $14.17, $14.215, $14.1105
03/23/2021, $14.12, 48449, $14.24, $14.3, $13.89
03/22/2021, $14.21, 37625, $14.26, $14.27, $14.2
03/19/2021, $14.26, 58384, $14.24, $14.27, $14.15
03/18/2021, $14.25, 49056, $14.23, $14.25, $14.2
03/17/2021, $14.25, 38947, $14.25, $14.272, $14.21
03/16/2021, $14.25, 38577, $14.18, $14.25, $14.18
03/15/2021, $14.18, 31850, $14.1, $14.2299, $14.1
03/12/2021, $14.1, 48495, $14.15, $14.15, $14.08
03/11/2021, $14.25, 46046, $14.29, $14.29, $14.17
03/10/2021, $14.21, 39346, $14.1, $14.24, $14.1
03/09/2021, $14.06, 39464, $13.98, $14.1098, $13.95
03/08/2021, $13.94, 48057, $13.98, $14.03, $13.94
03/05/2021, $13.98, 71057, $14.13, $14.13, $13.97
03/04/2021, $14.14, 32243, $14.19, $14.24, $14.08
03/03/2021, $14.24, 142138, $14.38, $14.4, $14.23
03/02/2021, $14.39, 52300, $14.42, $14.48, $14.39
03/01/2021, $14.42, 47894, $14.45, $14.48, $14.41
02/26/2021, $14.43, 68533, $14.41, $14.5, $14.371
02/25/2021, $14.33, 55699, $14.38, $14.42, $14.27
02/24/2021, $14.43, 91128, $14.15, $14.43, $14.09
02/23/2021, $14.24, 63601, $14.24, $14.25, $14.1
02/22/2021, $14.26, 81251, $14.44, $14.44, $14.22
02/19/2021, $14.44, 81979, $14.38, $14.51, $14.33
02/18/2021, $14.4, 39686, $14.45, $14.45, $14.35
02/17/2021, $14.48, 81183, $14.55, $14.64, $14.45
02/16/2021, $14.51, 79768, $14.45, $14.53, $14.4
02/12/2021, $14.43, 36632, $14.53, $14.5915, $14.42
02/11/2021, $14.57, 28635, $14.57, $14.6, $14.5
02/10/2021, $14.58, 31330, $14.56, $14.6, $14.55
02/09/2021, $14.56, 41712, $14.46, $14.56, $14.45
02/08/2021, $14.44, 33890, $14.33, $14.445, $14.31
02/05/2021, $14.35, 42808, $14.37, $14.38, $14.28
02/04/2021, $14.3, 27238, $14.37, $14.37, $14.29
02/03/2021, $14.41, 27092, $14.48, $14.48, $14.35
02/02/2021, $14.45, 30203, $14.45, $14.49, $14.42
02/01/2021, $14.45, 44165, $14.45, $14.52, $14.38
01/29/2021, $14.48, 25693, $14.44, $14.485, $14.4
01/28/2021, $14.49, 115708, $14.35, $14.5, $14.3302
01/27/2021, $14.42, 84418, $14.19, $14.42, $14.18
01/26/2021, $14.19, 44059, $14.19, $14.22, $14.16
01/25/2021, $14.17, 65811, $14.15, $14.2, $14.1
01/22/2021, $14.14, 43857, $14.19, $14.2, $14.12
01/21/2021, $14.15, 61566, $14.16, $14.17, $14.09
01/20/2021, $14.14, 57333, $14.09, $14.14, $14.05
01/19/2021, $14.09, 65320, $14.03, $14.13, $14.03
01/15/2021, $14.07, 42988, $14.1, $14.1, $14.04
01/14/2021, $14.06, 41301, $14.04, $14.1099, $14.04
01/13/2021, $14.06, 42640, $14.06, $14.1212, $14.02
01/12/2021, $14.06, 32263, $14.12, $14.1289, $14.05
01/11/2021, $14.11, 39863, $14.15, $14.22, $14.11
01/08/2021, $14.16, 32864, $14.32, $14.32, $14.16
01/07/2021, $14.27, 31298, $14.34, $14.34, $14.17
01/06/2021, $14.36, 79167, $14.44, $14.44, $14.35
01/05/2021, $14.46, 26854, $14.33, $14.47, $14.25
01/04/2021, $14.35, 41908, $14.37, $14.44, $14.25
12/31/2020, $14.42, 37564, $14.17, $14.48, $14.17
12/30/2020, $14.15, 39286, $14.09, $14.15, $14.085
12/29/2020, $14.08, 29019, $14.03, $14.11, $14.0218
12/28/2020, $14.01, 35848, $14.01, $14.04, $14
12/24/2020, $14.07, 23850, $13.97, $14.11, $13.957
12/23/2020, $13.99, 30795, $13.98, $14.05, $13.98
12/22/2020, $14.01, 39104, $14.03, $14.04, $14.0059
12/21/2020, $14.03, 41788, $14.01, $14.03, $13.9658
12/18/2020, $14, 41966, $13.96, $14.0727, $13.93
12/17/2020, $13.96, 56277, $14, $14.0177, $13.93
12/16/2020, $13.98, 71308, $14.03, $14.1, $13.95
12/15/2020, $14.06, 60762, $14.13, $14.19, $14.02
12/14/2020, $14.09, 47669, $14.22, $14.3, $14.08
12/11/2020, $14.22, 22305, $14.25, $14.25, $14.2
12/10/2020, $14.27, 39451, $14.2, $14.29, $14.2
12/09/2020, $14.32, 30729, $14.3, $14.32, $14.26
12/08/2020, $14.28, 22192, $14.24, $14.32, $14.23
12/07/2020, $14.22, 44541, $14.22, $14.33, $14.18
12/04/2020, $14.25, 21003, $14.26, $14.31, $14.23
12/03/2020, $14.23, 63609, $14.05, $14.29, $14.05
12/02/2020, $14.07, 62033, $14.06, $14.1, $14.06
12/01/2020, $14.04, 38992, $14.1, $14.13, $14.04
11/30/2020, $14.06, 17850, $14.1, $14.14, $14.06
11/27/2020, $14.11, 22334, $14.1, $14.18, $14.065
11/25/2020, $14.03, 43486, $14.05, $14.09, $14.01
