Date, Close/Last, Volume, Open, High, Low
03/24/2021, $0.35, 14030, $0.38, $0.38, $0.3
03/23/2021, $0.35, 30121, $0.3811, $0.3811, $0.35
03/22/2021, $0.3711, 2324, $0.3711, $0.3996, $0.3711
03/19/2021, $0.3712, 951, $0.4178, $0.4178, $0.3712
03/18/2021, $0.3775, 16860, $0.35, $0.38, $0.35
03/17/2021, $0.4, 2250, $0.351, $0.4, $0.35
03/16/2021, $0.42, 14232, $0.4488, $0.45, $0.395
03/15/2021, $0.455, 20761, $0.45, $0.48, $0.45
03/12/2021, $0.488, 16878, $0.5, $0.5, $0.42
03/11/2021, $0.4, 36645, $0.39, $0.44, $0.3501
03/10/2021, $0.39, 7050, $0.43, $0.43, $0.38
03/09/2021, $0.43, 10360, $0.4402, $0.47, $0.41
03/08/2021, $0.4399, 16095, $0.365, $0.4689, $0.35
03/05/2021, $0.3425, 63222, $0.37, $0.4399, $0.27
03/04/2021, $0.36, 28215, $0.452, $0.452, $0.33
03/03/2021, $0.4772, 45318, $0.4902, $0.504, $0.4644
03/02/2021, $0.4901, 9136, $0.4903, $0.5277, $0.4901
03/01/2021, $0.5104, 2775, $0.5001, $0.52, $0.5001
02/26/2021, $0.49, 14489, $0.5, $0.565, $0.475
02/25/2021, $0.56, 21817, $0.62, $0.63, $0.56
02/24/2021, $0.63, 2645, $0.6, $0.6499, $0.6
02/23/2021, $0.6, 31315, $0.5604, $0.667, $0.5604
02/22/2021, $0.6, 29329, $0.68, $0.68, $0.6
02/19/2021, $0.67, 12857, $0.67, $0.69, $0.6601
02/18/2021, $0.67, 27244, $0.693, $0.71, $0.6501
02/17/2021, $0.69, 25885, $0.66, $0.71, $0.66
02/16/2021, $0.7, 41612, $0.73, $0.73, $0.6501
02/12/2021, $0.7, 68069, $0.7489, $0.7499, $0.7
02/11/2021, $0.71, 39726, $0.7, $0.73, $0.7
02/10/2021, $0.7166, 48469, $0.74, $0.74, $0.7
02/09/2021, $0.7, 113846, $0.65, $0.71, $0.65
02/08/2021, $0.65, 120356, $0.65, $0.7, $0.61
02/05/2021, $0.65, 68675, $0.62, $0.6893, $0.61
02/04/2021, $0.6499, 276646, $0.5, $0.7001, $0.5
02/03/2021, $0.5412, 266841, $0.5601, $0.59, $0.52
02/02/2021, $0.54, 106220, $0.5001, $0.56, $0.5001
02/01/2021, $0.505, 117553, $0.5, $0.5398, $0.5
01/29/2021, $0.47, 49175, $0.45, $0.51, $0.43
01/28/2021, $0.4511, 12882, $0.43, $0.51, $0.43
01/27/2021, $0.45, 134327, $0.5, $0.5001, $0.42
01/26/2021, $0.5244, 102418, $0.52, $0.56, $0.5198
01/25/2021, $0.52, 124886, $0.55, $0.5889, $0.52
01/22/2021, $0.52, 81657, $0.5002, $0.5337, $0.5
01/21/2021, $0.548, 133425, $0.56, $0.56, $0.4901
01/20/2021, $0.57, 86122, $0.52, $0.57, $0.515
01/19/2021, $0.51, 195111, $0.55, $0.6, $0.51
01/15/2021, $0.5455, 155925, $0.58, $0.58, $0.51
01/14/2021, $0.56, 333040, $0.4514, $0.5601, $0.4501
01/13/2021, $0.4998, 79468, $0.51, $0.51, $0.48
01/12/2021, $0.4799, 135169, $0.4699, $0.5, $0.44
01/11/2021, $0.4799, 72512, $0.4925, $0.5099, $0.441
01/08/2021, $0.4603, 95052, $0.54, $0.54, $0.46
01/07/2021, $0.48, 172519, $0.46, $0.54, $0.45
01/06/2021, $0.45, 296611, $0.45, $0.49, $0.42
01/05/2021, $0.4549, 72627, $0.43, $0.455, $0.4001
01/04/2021, $0.459, 179745, $0.4594, $0.479, $0.4105
12/31/2020, $0.4999, 120994, $0.4699, $0.4999, $0.43
12/30/2020, $0.497, 277168, $0.5, $0.555, $0.44
12/29/2020, $0.53, 141647, $0.56, $0.5651, $0.51
12/28/2020, $0.5888, 416239, $0.54, $0.64, $0.51
12/24/2020, $0.4799, 198484, $0.425, $0.5, $0.4103
12/23/2020, $0.395, 329125, $0.36, $0.3971, $0.35
12/22/2020, $0.355, 272943, $0.35, $0.3599, $0.34
12/21/2020, $0.35, 146132, $0.38, $0.38, $0.34
12/18/2020, $0.39, 39298, $0.399, $0.399, $0.3401
12/17/2020, $0.39, 73846, $0.38, $0.39, $0.37
12/16/2020, $0.3626, 48682, $0.39, $0.39, $0.361
12/15/2020, $0.39, 106598, $0.38, $0.39, $0.3503
12/14/2020, $0.37, 268074, $0.3703, $0.375, $0.35
12/11/2020, $0.379, 154940, $0.4199, $0.42, $0.3556
12/10/2020, $0.36, 104634, $0.363, $0.3888, $0.3405
12/09/2020, $0.37, 199144, $0.3705, $0.39, $0.3522
12/08/2020, $0.385, 115686, $0.3999, $0.42, $0.3703
12/07/2020, $0.375, 218001, $0.42, $0.4399, $0.3702
12/04/2020, $0.3735, 241476, $0.37, $0.45, $0.35
12/03/2020, $0.3501, 263341, $0.5, $0.5, $0.3
12/02/2020, $0.45, 174648, $0.57, $0.57, $0.3403
12/01/2020, $0.4397, 356412, $0.59, $0.59, $0.4
11/30/2020, $0.58, 1185779, $0.6, $0.85, $0.52
11/27/2020, $0.38, 947130, $0.42, $0.45, $0.38
11/25/2020, $0.2885, 34315, $0.35, $0.35, $0.2885
11/24/2020, $0.3, 4700, $0.34, $0.34, $0.3
11/23/2020, $0.2999, 53204, $0.275, $0.3, $0.2675
11/20/2020, $0.239, 35340, $0.23, $0.239, $0.19
11/19/2020, $0.25, 71759, $0.19, $0.25, $0.19
11/18/2020, $0.1799, N/A, $0.1799, $0.1799, $0.1799
11/17/2020, $0.1799, 3039, $0.18, $0.18, $0.1799
11/16/2020, $0.17, 5500, $0.1948, $0.1948, $0.17
11/13/2020, $0.1999, 4787, $0.195, $0.2, $0.195
11/12/2020, $0.19, 200, $0.19, $0.19, $0.19
11/11/2020, $0.18, 49131, $0.15, $0.19, $0.12
11/10/2020, $0.15, 10500, $0.15, $0.15, $0.15
11/09/2020, $0.15, 17944, $0.15, $0.17, $0.15
11/06/2020, $0.1799, 800, $0.1751, $0.1799, $0.1751
11/05/2020, $0.175, 37610, $0.2, $0.2, $0.175
11/04/2020, $0.1946, 4935, $0.2202, $0.2202, $0.18
11/03/2020, $0.2, 100, $0.2, $0.2, $0.2
11/02/2020, $0.19, 10600, $0.19, $0.2, $0.19
10/30/2020, $0.18, 36821, $0.2022, $0.2022, $0.18
10/29/2020, $0.23, 5350, $0.211, $0.23, $0.21
10/28/2020, $0.22, 1210, $0.2022, $0.22, $0.2022
10/27/2020, $0.24, 150, $0.24, $0.24, $0.24
10/26/2020, $0.2202, 1600, $0.2003, $0.2482, $0.2003
10/23/2020, $0.23, 12260, $0.22, $0.2401, $0.22
10/22/2020, $0.22, 500, $0.22, $0.22, $0.22
10/21/2020, $0.2399, N/A, $0.2399, $0.2399, $0.2399
10/20/2020, $0.2399, N/A, $0.2399, $0.2399, $0.2399
10/19/2020, $0.2399, 7750, $0.2002, $0.24, $0.2002
10/16/2020, $0.2399, 6180, $0.24, $0.24, $0.2399
10/15/2020, $0.24, N/A, $0.24, $0.24, $0.24
10/14/2020, $0.24, 1200, $0.249, $0.249, $0.24
10/13/2020, $0.23, 6291, $0.22, $0.26, $0.18
10/12/2020, $0.22, 1450, $0.25, $0.25, $0.22
10/09/2020, $0.25, 14909, $0.22, $0.26, $0.22
10/08/2020, $0.24, 22569, $0.2, $0.25, $0.18
10/07/2020, $0.25, 7740, $0.192, $0.2901, $0.1919
10/06/2020, $0.28, 11295, $0.296, $0.296, $0.21
10/05/2020, $0.2977, 12195, $0.3077, $0.3077, $0.2
10/02/2020, $0.34, 278, $0.34, $0.34, $0.34
10/01/2020, $0.35, 4136, $0.321, $0.35, $0.28
09/30/2020, $0.32, 3840, $0.309, $0.35, $0.28
09/29/2020, $0.3499, 11919, $0.35, $0.382, $0.28
