Date, Close/Last, Volume, Open, High, Low
03/24/2021, $95.56, 52362, $96.23, $99.54, $95.56
03/23/2021, $95.14, 60116, $95.7, $97.43, $94.895
03/22/2021, $96.61, 87834, $102.54, $102.725, $94.66
03/19/2021, $102.44, 197402, $100.72, $102.44, $99.3
03/18/2021, $100.26, 64196, $100.59, $102.8399, $99.19
03/17/2021, $99.8, 48927, $98.61, $100, $98.01
03/16/2021, $98.77, 43107, $99.28, $99.28, $97.02
03/15/2021, $99.28, 69483, $99.55, $99.55, $96.95
03/12/2021, $99.5, 47568, $97.3, $99.81, $96.8505
03/11/2021, $96.81, 56598, $94.67, $96.855, $93.96
03/10/2021, $94.19, 37111, $92.92, $94.48, $92.52
03/09/2021, $92.14, 41466, $93.2, $93.76, $91.41
03/08/2021, $92.57, 62954, $91.08, $93.76, $90.3501
03/05/2021, $90.35, 68021, $87.99, $90.69, $87.74
03/04/2021, $87.11, 86824, $90.25, $92.5948, $86.32
03/03/2021, $89.97, 61589, $88.36, $90.89, $88.36
03/02/2021, $88.68, 78779, $88.39, $88.81, $87
03/01/2021, $88.92, 53449, $86.95, $89.1699, $86.56
02/26/2021, $86.25, 79455, $85.76, $90.7, $85
02/25/2021, $84.8, 46338, $84.95, $86.03, $83.65
02/24/2021, $85.12, 49495, $83.94, $85.43, $83.34
02/23/2021, $83.41, 38663, $84.6, $86.46, $83.22
02/22/2021, $84.99, 53290, $82.63, $85.795, $82.51
02/19/2021, $83.11, 38390, $84.64, $84.7888, $81.78
02/18/2021, $84.42, 58736, $83.57, $84.97, $83.49
02/17/2021, $84, 44414, $83.01, $84.4, $83.01
02/16/2021, $83.53, 35213, $84.66, $84.9399, $83.34
02/12/2021, $84.1, 31736, $83.63, $84.6899, $83.02
02/11/2021, $83.63, 69590, $82.68, $84.21, $82.56
02/10/2021, $82.47, 66243, $82.09, $83.38, $81.2576
02/09/2021, $82.54, 36596, $82.04, $82.741, $81.39
02/08/2021, $82.42, 57709, $80.85, $82.8186, $80.85
02/05/2021, $80.03, 56732, $78.52, $80.3776, $78.2
02/04/2021, $77.84, 35887, $76.45, $77.84, $76.45
02/03/2021, $76.86, 51358, $77.75, $77.79, $75.71
02/02/2021, $77.78, 44711, $78.67, $78.67, $77.39
02/01/2021, $77.7, 37499, $76.34, $78.02, $76.15
01/29/2021, $76, 36421, $76.47, $76.9776, $75.94
01/28/2021, $76.83, 39642, $76.82, $76.99, $75.94
01/27/2021, $75.94, 44002, $77.36, $77.36, $74.5
01/26/2021, $78.15, 24135, $79.39, $79.39, $77.4369
01/25/2021, $79.17, 32143, $78.63, $79.48, $77.01
01/22/2021, $79.5, 30246, $78.95, $79.79, $78.5
01/21/2021, $79.86, 37055, $78.53, $80.13, $77.25
01/20/2021, $78.53, 39796, $80.14, $80.26, $77.965
01/19/2021, $79.77, 40263, $80.83, $80.944, $79.32
01/15/2021, $80.43, 41095, $79.25, $80.48, $78.25
01/14/2021, $80.36, 51232, $78.36, $80.43, $78.36
01/13/2021, $77.85, 40923, $80.97, $81.15, $77.04
01/12/2021, $81.12, 45841, $80.38, $81.2, $79.817
01/11/2021, $80.17, 41997, $78.18, $80.49, $78.15
01/08/2021, $78.16, 29027, $79.47, $79.47, $76.98
