Date, Close/Last, Volume, Open, High, Low
03/24/2021, $13.62, 2023, $14.38, $14.38, $13.62
03/23/2021, $14.18, 1439, $14.19, $14.2165, $14.18
03/22/2021, $14.2, 3589, $14.216, $14.48, $14.2
03/19/2021, $14.6, 1017, $14.69, $14.69, $14.3
03/18/2021, $14.6861, 1726, $14.87, $14.88, $14.3
03/17/2021, $15.05, 5337, $14.91, $15.22, $14.43
03/16/2021, $15.22, 11436, $15.8, $15.8, $14.52
03/15/2021, $15.4044, 3720, $16.3, $16.45, $15.4044
03/12/2021, $16.46, 3942, $16.99, $16.99, $16.205
03/11/2021, $16.61, 52242, $15.3227, $17.32, $15.3201
03/10/2021, $15.31, 1242, $15.5, $15.53, $15.31
03/09/2021, $15.66, 3102, $15.7, $15.7, $15.585
03/08/2021, $15.74, 9813, $15.52, $15.86, $15.42
03/05/2021, $15.62, 1033, $15.62, $15.62, $15.62
03/04/2021, $15.55, 2525, $16.08, $16.08, $15.55
03/03/2021, $15.9, 5298, $15.56, $16.01, $15.56
03/02/2021, $16.01, 8631, $15.6, $16.2, $15.6
03/01/2021, $15.905, 7401, $15.13, $16.2, $15.06
02/26/2021, $14.81, 7931, $15.42, $15.43, $14.81
02/25/2021, $14.83, 2981, $16, $16, $14.83
02/24/2021, $15.93, 13760, $15.15, $15.98, $15.0153
02/23/2021, $15.28, 7728, $15.78, $15.79, $15.07
02/22/2021, $15.7668, 4892, $15.9, $16.1348, $15.7
02/19/2021, $16.45, 12985, $15.34, $16.57, $15.34
02/18/2021, $15.54, 4341, $15.36, $15.54, $15.22
02/17/2021, $15.59, 5803, $15.45, $15.7, $15.4
02/16/2021, $15.95, 14238, $15.046, $16.2357, $15.014
02/12/2021, $15, 4101, $15.1, $15.1, $14.9425
02/11/2021, $15, 4065, $15.11, $15.13, $14.83
02/10/2021, $15.055, 5363, $15.02, $15.22, $15.02
02/09/2021, $15.1, 4418, $15.2, $15.2, $14.685
02/08/2021, $15.09, 6771, $15.13, $15.3, $15.09
02/05/2021, $15.11, 6170, $15.38, $15.38, $15.11
02/04/2021, $15.56, 5830, $15.42, $15.56, $15.33
02/03/2021, $15.54, 6396, $15.3, $15.55, $14.935
02/02/2021, $15.32, 5647, $15.1, $15.5, $15.1
02/01/2021, $15.25, 4192, $15.35, $15.55, $14.51
01/29/2021, $15.21, 5198, $15.35, $15.45, $15.19
01/28/2021, $15.29, 5084, $15.43, $15.43, $15.29
01/27/2021, $15.41, 5140, $15.61, $15.61, $15.41
01/26/2021, $15.56, 4451, $15.64, $15.75, $15.56
01/25/2021, $16.06, 6020, $15.95, $16.06, $14.368
01/22/2021, $15.86, 5944, $15.12, $15.86, $15.12
01/21/2021, $15.13, 4536, $15.14, $15.25, $14.87
01/20/2021, $15, 6197, $15.25, $15.38, $14.59
01/19/2021, $15.28, 6196, $15.02, $15.28, $14.88
01/15/2021, $15.02, 7124, $15.09, $15.1, $14.7
01/14/2021, $15.15, 7683, $15.23, $15.23, $14.74
01/13/2021, $15.2, 8708, $15.56, $15.56, $15.2
01/12/2021, $15.49, 4409, $15.51, $16.05, $15.49
01/11/2021, $15.48, 6876, $15.39, $15.48, $14.8904
01/08/2021, $15.455, 4738, $15.28, $15.455, $14.4104
01/07/2021, $15.44, 3543, $15.18, $15.44, $15.13
01/06/2021, $15.28, 6096, $15.33, $15.38, $15.27
01/05/2021, $15.31, 4729, $16.34, $16.34, $14.79
01/04/2021, $15.77, 4436, $15.15, $15.77, $15.09
