Date, Close/Last, Volume, Open, High, Low
01/20/2021, $42.56, 102375, $41.23, $42.57, $40.7
01/19/2021, $41.23, 202892, $43.3, $43.9333, $40.82
01/15/2021, $42.5, 105199, $42.48, $43.03, $41.91
01/14/2021, $42.55, 154021, $41.32, $43.09, $41.32
01/13/2021, $41.1, 89071, $40.57, $41.45, $40.565
01/12/2021, $40.55, 74003, $39.55, $40.64, $39.26
01/11/2021, $39.48, 92257, $38.65, $39.87, $38
01/08/2021, $39.34, 84359, $40.21, $40.44, $38.45
01/07/2021, $40.19, 172774, $39.96, $40.435, $38.23
01/06/2021, $39.87, 296779, $38.26, $40.18, $37.59
01/05/2021, $38.04, 100414, $36.89, $38.3, $36.8
01/04/2021, $37.12, 128733, $38.4, $38.5, $36.68
12/31/2020, $38.38, 84166, $38.79, $38.79, $37.97
12/30/2020, $38.67, 55977, $38.76, $39.06, $38.59
12/29/2020, $38.67, 90296, $40.03, $40.1475, $38.32
12/28/2020, $39.8, 69323, $41.2, $41.2, $39.695
12/24/2020, $41.04, 35886, $41.94, $42.17, $40.68
12/23/2020, $41.82, 100613, $41.99, $42.626, $41.71
12/22/2020, $41.93, 126126, $40.39, $42.19, $40.1702
12/21/2020, $40.08, 102102, $38.79, $40.43, $38.23
12/18/2020, $39.67, 395475, $41, $41.706, $39.51
12/17/2020, $40.56, 99130, $39.01, $40.73, $39.01
12/16/2020, $38.92, 81739, $39.01, $39.805, $38.47
12/15/2020, $39.22, 302802, $38.59, $39.71, $38.25
12/14/2020, $38.22, 115571, $39.93, $40.105, $38.12
12/11/2020, $39.67, 83508, $39.14, $40.33, $39.14
12/10/2020, $39.9, 78757, $39.05, $40.44, $38.02
12/09/2020, $39.44, 148810, $40.54, $41.28, $39.185
12/08/2020, $40.49, 126140, $40.08, $40.64, $39.54
12/07/2020, $40.07, 136248, $38.81, $40.29, $37.985
12/04/2020, $38.83, 86483, $39.09, $39.28, $38.28
12/03/2020, $38.28, 108080, $37.41, $38.49, $37.41
12/02/2020, $37.12, 266112, $36.75, $37.33, $35.85
12/01/2020, $37.15, 659406, $37.82, $38.355, $36.77
