Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.85, 20031, $10.83, $10.85, $10.7123
01/19/2021, $10.84, 7001, $10.75, $10.85, $10.67
01/15/2021, $10.75, 34826, $10.72, $10.75, $10.715
01/14/2021, $10.6883, 22479, $10.75, $10.8, $10.51
01/13/2021, $10.69, 49998, $10.75, $10.8, $10.66
01/12/2021, $10.7, 29453, $10.7, $10.7, $10.5999
01/11/2021, $10.7, 7641, $10.69, $10.7, $10.68
01/08/2021, $10.6601, 7319, $10.48, $10.69, $10.455
01/07/2021, $10.49, 5041, $10.5211, $10.5211, $10.49
01/06/2021, $10.38, 1691, $10.63, $10.64, $10.38
01/05/2021, $10.45, 22422, $10.53, $10.68, $10.39
01/04/2021, $10.55, 18332, $10.6, $10.69, $10.53
12/31/2020, $10.57, 75420, $10.47, $10.7, $10.47
12/30/2020, $10.45, 52882, $10.46, $10.72, $10.44
12/29/2020, $10.49, 11682, $10.45, $10.55, $10.4
12/28/2020, $10.45, 100947, $10.4, $10.45, $10.375
12/24/2020, $10.4, 2973, $10.4, $10.45, $10.3852
12/23/2020, $10.4, 4724, $10.42, $10.45, $10.4
12/22/2020, $10.42, 27240, $10.45, $10.45, $10.34
12/21/2020, $10.37, 11899, $10.4, $10.4, $10.37
12/18/2020, $10.39, 3249, $10.31, $10.4, $10.31
12/17/2020, $10.31, 10779, $10.29, $10.33, $10.26
12/16/2020, $10.25, 33047, $10.25, $10.395, $10.25
12/15/2020, $10.25, 31131, $10.212, $10.25, $10.12
12/14/2020, $10.16, 18511, $10.25, $10.25, $10.15
12/11/2020, $10.21, 52991, $10.15, $10.21, $10.1
12/10/2020, $10.09, 57037, $10.02, $10.11, $10.02
12/09/2020, $10.09, 189136, $10.05, $10.14, $10
12/08/2020, $10.02, 9489, $10.04, $10.0427, $10.01
12/07/2020, $10.03, 21938, $10.03, $10.05, $10.03
12/04/2020, $10.04, 158221, $10.03, $10.04, $9.96
12/03/2020, $9.98, 42018, $10.02, $10.03, $9.98
12/02/2020, $10.02, 35475, $9.99, $10.02, $9.99
12/01/2020, $9.9699, 102517, $10, $10.0199, $9.9312
11/30/2020, $9.97, 10310, $9.99, $9.99, $9.96
11/27/2020, $9.9402, 1327, $9.94, $9.9402, $9.94
11/25/2020, $9.96, 11412, $9.94, $10, $9.9
11/24/2020, $9.93, 27665, $9.93, $9.93, $9.9
11/23/2020, $9.865, 95276, $9.85, $9.9, $9.85
11/20/2020, $9.85, 546720, $9.86, $9.9196, $9.85
11/19/2020, $9.9, 7301, $9.883, $9.9, $9.85
11/18/2020, $9.85, 4040, $9.85, $9.85, $9.85
11/17/2020, $9.8832, 17701, $9.85, $9.9, $9.85
11/16/2020, $9.85, 32251, $9.85, $9.9, $9.85
11/13/2020, $9.9, 7190, $9.9, $9.9, $9.87
11/12/2020, $9.8997, 6127, $9.9, $9.93, $9.8933
11/11/2020, $9.9072, 202, $9.9072, $9.9072, $9.9072
11/10/2020, $9.93, 235, $9.92, $9.93, $9.92
11/09/2020, $9.88, 447, $9.88, $9.88, $9.88
11/06/2020, $9.881, 12047, $9.9299, $9.9299, $9.8308
11/05/2020, $9.915, 1075, $9.915, $9.915, $9.915
11/04/2020, $9.9088, N/A, $9.9088, $9.9088, $9.9088
11/03/2020, $9.9088, 1100, $9.895, $9.9088, $9.878
11/02/2020, $9.87, 20434, $9.94, $9.95, $9.87
10/30/2020, $9.87, 37023, $9.9, $9.95, $9.87
10/29/2020, $9.89, N/A, $9.89, $9.89, $9.89
10/28/2020, $9.89, N/A, $9.89, $9.89, $9.89
10/27/2020, $9.89, N/A, $9.89, $9.89, $9.89
10/26/2020, $9.89, 79299, $9.89, $9.96, $9.88
10/23/2020, $9.8999, 9918, $9.9, $9.9, $9.8999
10/22/2020, $9.88, 6300, $9.9, $9.9, $9.88
10/21/2020, $9.8979, 24021, $9.92, $9.92, $9.89
10/20/2020, $9.94, 2181, $9.96, $9.96, $9.94
10/19/2020, $9.97, 6601, $9.98, $9.98, $9.97
10/16/2020, $9.975, 289, $9.975, $9.975, $9.975
10/15/2020, $9.98, 50234, $9.95, $9.98, $9.95
10/14/2020, $9.98, 1797, $9.99, $9.99, $9.98
10/13/2020, $10, 125277, $9.929, $10, $9.9
10/12/2020, $9.95, 2317, $9.9382, $9.95, $9.9
10/09/2020, $9.9273, 103, $9.9273, $9.9273, $9.9273
10/08/2020, $9.9694, 45743, $9.99, $9.99, $9.86
10/07/2020, $9.98, 197610, $9.92, $9.98, $9.92
10/06/2020, $9.94, 181620, $9.94, $10, $9.94
10/05/2020, $9.91, 43913, $9.949, $9.949, $9.89
10/02/2020, $9.96, 54776, $9.92, $9.96, $9.91
10/01/2020, $9.92, 67933, $9.93, $9.9509, $9.91
09/30/2020, $9.92, 104378, $9.92, $9.95, $9.91
09/29/2020, $9.98, 391892, $9.94, $10, $9.92
09/28/2020, $9.95, 234406, $9.98, $9.9994, $9.94
09/25/2020, $9.94, 69129, $9.95, $9.96, $9.94
09/24/2020, $9.94, 106653, $9.9446, $9.9446, $9.92
09/23/2020, $9.94, 28359, $9.95, $9.96, $9.93
09/22/2020, $9.92, 94871, $9.96, $9.98, $9.91
09/21/2020, $9.9214, 67127, $9.92, $9.93, $9.91
09/18/2020, $10, 3209833, $9.85, $10, $9.85
