Date, Close/Last, Volume, Open, High, Low
03/24/2021, $4.83, 96627, $4.9, $5.04, $4.7
03/23/2021, $4.86, 152804, $5.1, $5.12, $4.86
03/22/2021, $5.11, 131814, $5.17, $5.33, $4.99
03/19/2021, $5.12, 151925, $5.2, $5.45, $5.11
03/18/2021, $5.21, 510510, $5.12, $5.6, $5
03/17/2021, $5.21, 407646, $5, $5.46, $4.9538
03/16/2021, $5.03, 203538, $5.01, $5.1789, $4.9
03/15/2021, $4.92, 90989, $4.97, $5.18, $4.845
03/12/2021, $5, 174803, $4.97, $5.18, $4.89
03/11/2021, $5.04, 160285, $4.87, $5.07, $4.8
03/10/2021, $4.82, 442451, $5.27, $5.395, $4.8
03/09/2021, $5.15, 964627, $4.76, $5.4558, $4.76
03/08/2021, $4.78, 416836, $4.55, $5.2, $4.33
03/05/2021, $4.46, 425209, $4.31, $4.6999, $4.07
03/04/2021, $4.24, 257169, $4.8505, $4.9641, $4.115
03/03/2021, $4.96, 64644, $5.06, $5.08, $4.8902
03/02/2021, $4.94, 127269, $4.95, $5.1, $4.93
03/01/2021, $5.04, 210478, $4.98, $5.1985, $4.9
02/26/2021, $5, 191634, $5.21, $5.4001, $4.98
02/25/2021, $5.19, 162107, $5.5, $5.5999, $5.03
02/24/2021, $5.52, 344947, $5.55, $5.77, $5.39
02/23/2021, $5.46, 665921, $5.34, $5.7529, $4.92
02/22/2021, $5.59, 299417, $6.15, $6.18, $5.54
02/19/2021, $6.27, 404684, $6.44, $6.6, $6.2
02/18/2021, $6.28, 641980, $7.44, $7.44, $6.28
02/17/2021, $7.51, 686814, $8.014, $8.06, $7.4
02/16/2021, $8.2, 2521968, $7.3, $9, $7.1
02/12/2021, $7.01, 242775, $6.93, $7.37, $6.75
02/11/2021, $6.86, 312032, $7.32, $7.7, $6.79
02/10/2021, $7.4, 665364, $8.25, $8.2973, $6.99
02/09/2021, $7.64, 884312, $7.11, $8.09, $7.08
02/08/2021, $7.15, 192769, $6.82, $7.155, $6.7
02/05/2021, $6.72, 259296, $6.88, $6.97, $6.52
02/04/2021, $6.84, 324729, $7.05, $7.3, $6.8
02/03/2021, $6.97, 719148, $6.88, $7.2968, $6.64
02/02/2021, $6.71, 680059, $6.97, $7.2, $6.57
02/01/2021, $7.11, 1349449, $6.16, $7.52, $5.9201
01/29/2021, $6.02, 314863, $6.4, $6.45, $5.9
01/28/2021, $6.39, 267162, $6.45, $6.72, $6.2101
01/27/2021, $6.44, 394930, $6.71, $7, $6.41
01/26/2021, $6.85, 521665, $6.49, $7.055, $6.21
01/25/2021, $6.49, 402633, $6.72, $6.77, $6.11
01/22/2021, $6.65, 860409, $6.72, $6.8, $6.29
01/21/2021, $6.87, 3085810, $6.24, $8.25, $6.0506
01/20/2021, $6.32, 605514, $6.25, $6.4449, $5.8001
01/19/2021, $6.34, 1402640, $6.528, $7.3, $6.19
01/15/2021, $6.09, 1487870, $5.41, $6.28, $5.3801
01/14/2021, $5.43, 381875, $5.62, $5.8, $5.27
01/13/2021, $5.62, 1393017, $5.61, $6.48, $5.35
01/12/2021, $5.59, 812854, $5.233, $5.92, $5.09
01/11/2021, $5.25, 829436, $4.86, $5.35, $4.81
01/08/2021, $4.86, 84509, $4.91, $4.9581, $4.8
01/07/2021, $4.88, 217093, $4.79, $4.98, $4.7
01/06/2021, $4.81, 384886, $4.89, $4.94, $4.5
01/05/2021, $4.84, 323375, $5.16, $5.2999, $4.72
01/04/2021, $5.17, 159428, $4.973, $5.17, $4.86
12/31/2020, $4.87, 265224, $5.11, $5.1371, $4.76
12/30/2020, $5.14, 340788, $5.1, $5.4, $4.96
12/29/2020, $5.09, 430189, $5.6, $5.7, $4.91
12/28/2020, $5.57, 1859644, $4.97, $6.28, $4.9
12/24/2020, $4.9, 89126, $5, $5.02, $4.84
12/23/2020, $4.96, 138799, $4.95, $5.1, $4.92
12/22/2020, $4.95, 126641, $5.08, $5.08, $4.9
12/21/2020, $5.08, 195071, $4.98, $5.25, $4.93
12/18/2020, $4.84, 141145, $5, $5, $4.81
12/17/2020, $4.86, 87393, $4.87, $4.98, $4.8
12/16/2020, $4.83, 127409, $4.9, $5.04, $4.8
12/15/2020, $4.93, 216243, $5.03, $5.17, $4.83
12/14/2020, $5.03, 1247906, $4.9, $5.65, $4.8
12/11/2020, $4.78, 194534, $5, $5.14, $4.77
12/10/2020, $4.95, 146601, $5.08, $5.178, $4.9138
12/09/2020, $4.97, 277500, $5.17, $5.27, $4.91
12/08/2020, $5.14, 570230, $5.28, $5.5299, $5.04
12/07/2020, $5.23, 300466, $5.25, $5.45, $5.15
12/04/2020, $5.4, 811254, $5.46, $5.59, $5.14
12/03/2020, $5.72, 2435121, $4.88, $5.9, $4.77
12/02/2020, $4.79, 151043, $4.81, $4.95, $4.75
12/01/2020, $4.84, 451124, $5.03, $5.1, $4.71
11/30/2020, $5.07, 287525, $5.22, $5.22, $4.96
11/27/2020, $5.12, 203956, $5.21, $5.29, $4.95
11/25/2020, $5.17, 750482, $4.99, $5.23, $4.85
11/24/2020, $5.06, 764665, $5.2, $5.35, $4.86
11/23/2020, $5.01, 813257, $5, $5.19, $4.63
11/20/2020, $4.98, 299167, $5.1, $5.1011, $4.85
11/19/2020, $5.08, 756450, $5.24, $5.48, $4.88
11/18/2020, $5.3, 684932, $5.53, $5.63, $5.16
11/17/2020, $5.63, 293065, $5.6, $5.82, $5.4
11/16/2020, $5.69, 958412, $6.11, $6.19, $5.35
11/13/2020, $5.86, 1958233, $6.654, $6.78, $5.76
11/12/2020, $7.86, 6489401, $4.74, $8.13, $4.74
11/11/2020, $4.7, 169777, $4.45, $4.8, $4.36
11/10/2020, $4.36, 23247, $4.34, $4.45, $4.3
11/09/2020, $4.37, 124308, $4.71, $4.8, $4.2
11/06/2020, $4.64, 37675, $4.72, $4.77, $4.51
11/05/2020, $4.71, 66582, $4.58, $4.8, $4.58
11/04/2020, $4.59, 33988, $4.64, $4.75, $4.55
11/03/2020, $4.71, 35053, $4.8, $4.87, $4.63
11/02/2020, $4.72, 133483, $4.96, $5.03, $4.63
10/30/2020, $4.93, 141670, $4.61, $5, $4.51
10/29/2020, $4.61, 152329, $4.98, $4.98, $4.61
10/28/2020, $4.99, 204039, $4.84, $5.1699, $4.7
10/27/2020, $4.71, 35893, $4.95, $4.99, $4.68
10/26/2020, $4.96, 82855, $4.91, $5.22, $4.9
10/23/2020, $4.94, 50561, $5.1, $5.1488, $4.88
10/22/2020, $4.99, 117975, $5.17, $5.25, $4.81
10/21/2020, $5.19, 73808, $5.28, $5.39, $5.1301
10/20/2020, $5.22, 48015, $5.33, $5.33, $5.13
10/19/2020, $5.32, 137790, $5.21, $5.45, $5.21
10/16/2020, $5.19, 51924, $5.18, $5.29, $5.1
10/15/2020, $5.1, 51015, $5.3, $5.31, $5.03
10/14/2020, $5.31, 83635, $5.37, $5.43, $5.19
10/13/2020, $5.32, 230417, $5.34, $5.45, $5.16
10/12/2020, $5.29, 104144, $5.2, $5.45, $5.2
10/09/2020, $5.24, 82988, $5.5, $5.5, $5.16
10/08/2020, $5.45, 93617, $5.58, $5.65, $5.33
10/07/2020, $5.58, 140326, $5.7, $5.85, $5.52
10/06/2020, $5.6, 123869, $5.91, $5.91, $5.5
10/05/2020, $5.83, 339126, $5.97, $6.2099, $5.7
10/02/2020, $5.97, 785015, $5.84, $6.32, $5.67
10/01/2020, $5.63, 84551, $5.53, $5.75, $5.46
09/30/2020, $5.52, 110559, $5.6, $5.77, $5.42
09/29/2020, $5.53, 242527, $5.66, $6.23, $5.51
09/28/2020, $5.66, 54821, $5.63, $5.842, $5.6
09/25/2020, $5.7, 70326, $5.56, $5.96, $5.56
09/24/2020, $5.54, 97938, $5.66, $5.75, $5.36
09/23/2020, $5.72, 113749, $5.99, $6.1, $5.47
09/22/2020, $5.97, 452574, $5.66, $6.58, $5.52
09/21/2020, $5.62, 88904, $5.68, $6.05, $5.56
09/18/2020, $5.77, 128962, $5.61, $6.09, $5.61
09/17/2020, $5.58, 228405, $5.99, $6.16, $5.3537
09/16/2020, $6.07, 162743, $6.17, $6.33, $5.9214
09/15/2020, $6.19, 196680, $6.31, $6.44, $6.01
09/14/2020, $6.34, 330169, $5.83, $6.44, $5.66
09/11/2020, $5.61, 425126, $5.54, $6.1, $5.4
09/10/2020, $5.54, 165441, $5.73, $5.75, $5.26
09/09/2020, $5.64, 216582, $5.27, $5.9, $5.27
09/08/2020, $5.25, 466228, $4.9, $5.7499, $4.66
09/04/2020, $4.93, 205666, $5.17, $5.23, $4.78
09/03/2020, $5.17, 192232, $5.68, $5.7379, $5.1
09/02/2020, $5.76, 232621, $6.02, $6.0999, $5.519
09/01/2020, $6.19, 211597, $6.96, $6.97, $6.1
08/31/2020, $6.94, 112317, $7.09, $7.1399, $6.72
08/28/2020, $7.03, 60141, $7.11, $7.11, $6.9
08/27/2020, $7.13, 147226, $7.09, $7.3199, $6.835
08/26/2020, $7.15, 164000, $7.34, $7.5499, $7
08/25/2020, $7.28, 122410, $7, $7.55, $6.8301
08/24/2020, $7.14, 201007, $7.31, $7.4, $6.77
08/21/2020, $7.34, 114661, $7.27, $7.38, $7.11
08/20/2020, $7.41, 261874, $7.9, $8.12, $7.12
08/19/2020, $7.94, 175848, $8.04, $8.05, $7.91
08/18/2020, $8.13, 142516, $7.91, $8.165, $7.82
08/17/2020, $7.92, 198482, $8.26, $8.49, $7.86
08/14/2020, $8.4, 183381, $8.43, $8.49, $8.08
08/13/2020, $8.35, 426151, $8.06, $8.87, $7.8853
08/12/2020, $7.97, 691781, $9.03, $9.2255, $7.7
08/11/2020, $9.02, 443710, $9.99, $10.05, $9.02
08/10/2020, $10.09, 213780, $10.28, $10.33, $9.9001
08/07/2020, $10.35, 200739, $10.35, $10.69, $10.15
08/06/2020, $10.43, 187910, $10.45, $10.5205, $10.21
08/05/2020, $10.43, 220319, $10.22, $10.66, $10.206
08/04/2020, $10.26, 207654, $10.31, $10.87, $10.11
08/03/2020, $10.45, 283845, $10.43, $10.6, $10.16
07/31/2020, $10.38, 300168, $10.73, $10.89, $10.1301
07/30/2020, $10.78, 325258, $10.8, $10.9642, $10.3
07/29/2020, $10.89, 755577, $11.16, $11.27, $10.22
07/28/2020, $10.88, 303111, $11.24, $11.47, $10.88
07/27/2020, $11.25, 225308, $11.19, $11.5399, $10.95
07/24/2020, $11.1, 407050, $11.24, $11.95, $10.92
07/23/2020, $11.2, 801370, $12.55, $12.88, $10.8
07/22/2020, $12.89, 1600360, $11.39, $13.27, $11.23
07/21/2020, $11.53, 672262, $11.505, $12, $11
07/20/2020, $11.42, 666857, $11.15, $11.5799, $10.7
07/17/2020, $10.94, 1131153, $11.39, $12.175, $10.55
07/16/2020, $11.19, 1498689, $9.93, $12.25, $9.91
07/15/2020, $10.05, 598959, $10.01, $10.2361, $9.85
07/14/2020, $10.21, 432794, $10.34, $10.5876, $9.7
07/13/2020, $10.47, 434435, $10.93, $11.2071, $10.2
07/10/2020, $10.87, 672662, $11.28, $11.69, $10.75
07/09/2020, $11.28, 294945, $11.8, $11.8994, $11.1
07/08/2020, $12, 577398, $11.1, $12.3493, $11.03
07/07/2020, $11.14, 218595, $11.14, $11.45, $11.01
07/06/2020, $11.08, 348149, $11.55, $11.628, $10.88
07/02/2020, $11.45, 314310, $11.95, $11.99, $11.2742
07/01/2020, $11.75, 620136, $11.511, $12.23, $11.03
06/30/2020, $11.78, 836917, $10.4, $12.28, $9.85
06/29/2020, $10.62, 479569, $11.29, $11.52, $10.3
06/26/2020, $11.26, 818175, $12.69, $12.8505, $11
06/25/2020, $12.33, 1726905, $13.89, $14.87, $12
06/24/2020, $13.32, 2468892, $11.99, $13.76, $11.14
06/23/2020, $11.78, 1780219, $10.11, $12.22, $9.19
06/22/2020, $10.22, 1025337, $11.14, $12.3413, $10.05
06/19/2020, $12.26, 2274907, $10.68, $12.8, $10.05
06/18/2020, $9.88, 995843, $9.64, $10.255, $8.61
06/17/2020, $9.67, 1093802, $8.65, $10.4099, $8.14
06/16/2020, $8.65, 353976, $8.06, $8.7099, $7.8
