Date, Close/Last, Volume, Open, High, Low
01/20/2021, $180.19, 1404636, $187.51, $188.35, $179.38
01/19/2021, $185.25, 1520670, $181, $185.63, $178.39
01/15/2021, $180.14, 1196640, $180, $183.78, $177.741
01/14/2021, $182.37, 1037811, $180.5, $184.09, $180.5
01/13/2021, $179.92, 1481442, $182.9, $182.99, $178.01
01/12/2021, $182.5, 1655360, $177.29, $183.14, $176.5
01/11/2021, $177.29, 2940810, $178.8, $180, $173.42
01/08/2021, $184.1, 1659373, $184.49, $186.93, $178.6634
01/07/2021, $184, 2947849, $183.48, $187.25, $180.55
01/06/2021, $175.1, 3335450, $165.5, $178.59, $165.5
01/05/2021, $162.93, 2628026, $152.67, $166.78, $152.67
01/04/2021, $152.63, 2898774, $152.9, $156.76, $150.295
12/31/2020, $147.52, 779219, $148.76, $149.37, $146.81
12/30/2020, $149.29, 1041164, $148.17, $151.63, $147.755
12/29/2020, $146.22, 1112790, $149.48, $149.91, $144.74
12/28/2020, $149.72, 1228632, $151.39, $153.48, $149.6
12/24/2020, $149.64, 487443, $149.9, $150.37, $148.285
12/23/2020, $149.91, 1718165, $147.85, $152.8165, $147.26
12/22/2020, $146.27, 1294228, $143.44, $147.99, $142.65
12/21/2020, $142.02, 1180913, $135.78, $142.18, $135.41
12/18/2020, $138.9, 2447707, $137.5, $139.29, $137.05
12/17/2020, $137.48, 1127710, $137.24, $137.97, $134.15
12/16/2020, $135.78, 908785, $138.69, $139.99, $135.5271
12/15/2020, $137.94, 1213623, $136.77, $138.22, $135.01
12/14/2020, $134.57, 1387340, $140.56, $141, $134.25
12/11/2020, $138.65, 962444, $140.15, $141.94, $136.61
12/10/2020, $141.43, 1102968, $141, $143.7, $140.205
12/09/2020, $142.55, 1444421, $144.09, $146.11, $140.63
12/08/2020, $143.95, 893024, $139.21, $144.1199, $138.2
12/07/2020, $140, 1122073, $139.44, $141.04, $138.104
12/04/2020, $139.22, 1158013, $132.51, $139.23, $132.21
12/03/2020, $131.72, 1969304, $135.32, $136.2302, $130.76
12/02/2020, $135.25, 1576145, $134.82, $136, $132.16
12/01/2020, $135.88, 1720148, $137.5, $138.19, $134.82
11/30/2020, $135.97, 1096108, $137.25, $137.5, $134.16
11/27/2020, $137.66, 531390, $136.42, $138.19, $136.26
11/25/2020, $134.73, 1126234, $135.2, $136.42, $133.24
11/24/2020, $137.26, 1428224, $135.67, $137.71, $134.29
11/23/2020, $134.06, 1406766, $129.3, $134.76, $129.03
11/20/2020, $127.89, 748670, $126, $128.5, $125.5
11/19/2020, $125.8, 1138470, $126.01, $126.49, $122.45
11/18/2020, $126.54, 871063, $127.95, $130.21, $126.53
11/17/2020, $127.95, 1904576, $127.53, $128.6, $124.4
11/16/2020, $128.92, 1526216, $123, $129.15, $123
11/13/2020, $122.48, 1015274, $118.92, $122.97, $117.6863
11/12/2020, $118.64, 839230, $117.5, $120.69, $116.64
11/11/2020, $118.57, 881920, $117.49, $119.98, $116.5
11/10/2020, $117.93, 1244231, $116, $118.3, $113.07
11/09/2020, $116.73, 2138410, $114.95, $120.8057, $114.8
11/06/2020, $112.22, 2609265, $104.83, $113.33, $102.8
11/05/2020, $105.5, 3231818, $96.05, $106.33, $93.0001
11/04/2020, $93.43, 1656973, $97.52, $97.52, $93.1
11/03/2020, $97.62, 971851, $96.75, $98.28, $96.34
11/02/2020, $96.84, 924893, $94.74, $97.85, $93.79
10/30/2020, $93.21, 1275018, $92.94, $94.06, $90.86
10/29/2020, $93.77, 819607, $90.5, $94.57, $90.23
10/28/2020, $90.78, 982107, $92.31, $93.835, $90.07
10/27/2020, $95.18, 987856, $95.34, $96.87, $94.75
10/26/2020, $94.48, 952453, $94.78, $94.78, $92.8372
10/23/2020, $96.48, 669238, $95.87, $97.45, $95.35
10/22/2020, $94.96, 669265, $95.58, $96.1102, $93.75
10/21/2020, $95.87, 793413, $95.27, $97.29, $94.6
10/20/2020, $93.56, 740640, $93.49, $95.22, $92.79
10/19/2020, $92.57, 641444, $93.34, $94.51, $92.22
10/16/2020, $93.42, 655921, $95.13, $95.8299, $93.4
10/15/2020, $94.35, 923286, $92.99, $94.75, $91.8
10/14/2020, $94.59, 1070562, $92.76, $95.34, $91.85
10/13/2020, $95.14, 863929, $94.35, $95.585, $93.91
10/12/2020, $94.94, 798190, $96.73, $96.73, $94.65
10/09/2020, $96.03, 767900, $98.1, $99.13, $95.66
10/08/2020, $96.95, 1133539, $98.12, $98.365, $95.96
10/07/2020, $96.69, 1129205, $96, $97.9869, $95.6
10/06/2020, $93.74, 1381430, $96.28, $96.9691, $93.52
10/05/2020, $94.76, 1598627, $91.26, $95.89, $91.14
10/02/2020, $89.29, 1204266, $85.44, $91.0789, $84.57
10/01/2020, $86.73, 1371831, $90.01, $90.9699, $86.47
09/30/2020, $89.28, 1369067, $87.41, $90.13, $87.22
09/29/2020, $86.86, 1252965, $84.95, $87.63, $84.78
09/28/2020, $84.84, 1433127, $86.15, $87.4, $83.88
09/25/2020, $84.52, 1197898, $82.98, $85.25, $82.54
09/24/2020, $83.31, 2368229, $80.07, $85.6, $79.06
09/23/2020, $80.42, 5194924, $88.98, $89.35, $80.15
09/22/2020, $95.24, 656571, $94.71, $95.54, $92.93
09/21/2020, $95.13, 1406493, $96.39, $96.39, $90.52
09/18/2020, $97.96, 1337195, $100.38, $101, $97.13
09/17/2020, $100.45, 937168, $96.28, $100.97, $95.52
09/16/2020, $97.8, 998269, $99, $99.59, $97.7
09/15/2020, $98.39, 1192316, $99, $100.31, $98.33
09/14/2020, $98.17, 672237, $95.87, $98.71, $95.15
09/11/2020, $94.96, 651019, $94.64, $96.08, $93.8
09/10/2020, $93.5, 667792, $95.61, $96.46, $93.49
09/09/2020, $95.42, 643941, $94.35, $96.75, $94.03
09/08/2020, $93.14, 835758, $93, $95, $92.12
09/04/2020, $94.72, 1100775, $93.04, $95.54, $90.77
09/03/2020, $93.18, 1731508, $98.85, $99.61, $91.74
09/02/2020, $99.65, 1311325, $97, $99.81, $96.75
09/01/2020, $97.39, 1561067, $91.1, $97.43, $90.0415
08/31/2020, $91.01, 718507, $92.3, $93.41, $90.91
08/28/2020, $92.32, 411999, $91.13, $92.37, $90.47
08/27/2020, $91.13, 474511, $92.17, $92.84, $90.03
08/26/2020, $91.9, 653192, $92.13, $92.38, $91.32
08/25/2020, $91.09, 420525, $92.05, $92.74, $90.6897
08/24/2020, $91.98, 668897, $90.75, $92, $89.605
08/21/2020, $89.74, 885170, $90.49, $91.28, $89.12
08/20/2020, $91.05, 940898, $91.07, $91.73, $89.6
08/19/2020, $92.25, 760810, $92.5, $93.56, $91.76
08/18/2020, $92.2, 557441, $91.99, $93.02, $91.3501
08/17/2020, $91.77, 604467, $92.72, $93.28, $91.36
08/14/2020, $92.39, 838203, $91.32, $92.6, $90.97
08/13/2020, $91.6, 1008040, $90.41, $92.14, $89.6
08/12/2020, $91.02, 1071135, $93.22, $93.9, $90.21
08/11/2020, $92.45, 1931416, $88.63, $92.78, $88.5
08/10/2020, $87.22, 810934, $85.45, $87.28, $85.17
08/07/2020, $84.44, 1236340, $83, $86.42, $82.65
08/06/2020, $83.34, 2453414, $86.64, $87.81, $82.32
08/05/2020, $88.6, 2181765, $86.79, $89.229, $86.241
08/04/2020, $85.33, 1634058, $83.11, $87.04, $82.39
08/03/2020, $83.33, 1124690, $82.98, $83.9, $82.0939
07/31/2020, $82.46, 2397906, $82.61, $82.955, $80.495
07/30/2020, $83, 900622, $82.47, $83.89, $81.05
07/29/2020, $83.83, 1161971, $84.59, $84.59, $81.96
07/28/2020, $83.7, 883580, $85.3, $85.79, $83.61
07/27/2020, $85.78, 1165077, $85.52, $86.11, $83.85
