Date, Close/Last, Volume, Open, High, Low
01/20/2021, $34.94, 237893, $31.78, $37.5099, $29.13
01/19/2021, $31.13, 41723, $31.9, $34.0604, $30.91
01/15/2021, $31.62, 58504, $33.7, $34.429, $30.65
01/14/2021, $34.14, 58427, $34.78, $36.58, $33.75
01/13/2021, $33.37, 61521, $31.95, $34.2, $31.32
01/12/2021, $31.84, 29845, $31.07, $32.07, $30.29
01/11/2021, $31.27, 23643, $31.2, $32.22, $30.05
01/08/2021, $31.72, 73238, $31.36, $32.78, $30.35
01/07/2021, $31.63, 54236, $31.26, $32.44, $30.985
01/06/2021, $30.08, 70589, $28.15, $31.1139, $27.1847
01/05/2021, $28.14, 148710, $26.62, $29.03, $26.38
01/04/2021, $26.95, 212826, $28.05, $28.995, $25.99
12/31/2020, $27.65, 136789, $25.91, $28.48, $25.71
12/30/2020, $25.99, 50645, $26.02, $26.71, $25.34
12/29/2020, $26.24, 218134, $28.6, $28.6, $25.05
12/28/2020, $28.6, 123442, $29.3, $31.515, $28.0001
12/24/2020, $28.85, 63957, $32.53, $33.89, $28.6
12/23/2020, $32.74, 212587, $26.82, $35.6699, $26.82
12/22/2020, $26.87, 372428, $26.98, $27.11, $26.08
12/21/2020, $26.68, 352249, $25.67, $26.8, $24.66
12/18/2020, $25.67, 2039694, $25.25, $26.47, $24.31
12/17/2020, $24.91, 539729, $24.37, $25.75, $22.17
12/16/2020, $24.16, 506991, $22.72, $26.31, $22.51
12/15/2020, $22.89, 219464, $23.84, $25.6959, $22.8
12/14/2020, $23.8, 412470, $22.31, $28.69, $21.9364
12/11/2020, $22.12, 109172, $19.91, $22.45, $19.01
12/10/2020, $20.17, 101035, $19.71, $20.53, $19.0101
12/09/2020, $19.82, 131073, $19.9, $21.0183, $19.58
12/08/2020, $19.96, 255638, $19.12, $21.24, $19.065
12/07/2020, $18.79, 299371, $17.24, $19.5, $17.24
12/04/2020, $17.18, 155013, $17.23, $17.49, $16.67
12/03/2020, $16.91, 140136, $18, $18.94, $16.37
12/02/2020, $17.71, 130293, $16.46, $19.1599, $16.39
12/01/2020, $16.18, 192067, $18.89, $19.57, $15.39
11/30/2020, $18.71, 81593, $18.14, $18.95, $17.5
11/27/2020, $18.16, 22476, $18.3, $18.34, $17.51
11/25/2020, $17.95, 33017, $18.04, $18.6599, $17.71
11/24/2020, $18, 65541, $19.13, $19.57, $17.51
11/23/2020, $19.12, 121057, $19.52, $20.08, $18.5
11/20/2020, $19.47, 144022, $20.09, $21.0316, $19.25
11/19/2020, $19.9, 445260, $20.49, $22.5, $19.8
11/18/2020, $20.01, 148707, $20.02, $20.93, $18.81
11/17/2020, $20, 130212, $20.7, $20.83, $19.565
11/16/2020, $20.91, 121192, $19.72, $21.1299, $19.72
11/13/2020, $19.7, 128508, $17.02, $19.71, $16.6006
11/12/2020, $17.02, 118096, $17.25, $18.25, $16.224
11/11/2020, $17.17, 171011, $16.39, $17.91, $15.81
11/10/2020, $16.04, 156700, $18.27, $18.27, $15.91
11/09/2020, $17.98, 267887, $15.34, $18.335, $14.61
11/06/2020, $15.09, 184223, $14.8, $16.0999, $14.24
11/05/2020, $14.64, 169012, $15.87, $16.4, $14.37
11/04/2020, $15.55, 255837, $15.06, $16.99, $14.68
11/03/2020, $15, 95565, $15, $15.245, $14.505
11/02/2020, $15, 146445, $14.93, $15.41, $14.17
10/30/2020, $14.94, 87017, $14.76, $15.66, $14.1782
10/29/2020, $14.78, 144416, $15.23, $15.7, $14.65
10/28/2020, $15.14, 139277, $15.25, $15.945, $14.9201
10/27/2020, $15.5, 274842, $14.65, $15.82, $14.3
10/26/2020, $14.8, 131240, $14.62, $14.97, $14.4501
10/23/2020, $15.1, 196820, $15.38, $15.38, $14.62
10/22/2020, $15.07, 328525, $14.65, $15.4599, $14.51
10/21/2020, $14.94, 323041, $13.42, $15, $13.04
10/20/2020, $13.2, 645728, $14.53, $14.93, $12.82
10/19/2020, $14.76, 342381, $14.74, $14.9999, $14
10/16/2020, $14.85, 2761351, $17.4, $17.5, $13.63
