Date, Close/Last, Volume, Open, High, Low
03/24/2021, $1.57, 1340411, $1.66, $1.69, $1.55
03/23/2021, $1.65, 1640004, $1.743, $1.76, $1.58
03/22/2021, $1.76, 2042087, $1.69, $1.76, $1.64
03/19/2021, $1.66, 2996007, $1.66, $1.75, $1.6204
03/18/2021, $1.64, 1991704, $1.7, $1.73, $1.56
03/17/2021, $1.71, 1987931, $1.59, $1.72, $1.535
03/16/2021, $1.63, 1965158, $1.655, $1.71, $1.56
03/15/2021, $1.66, 2108316, $1.7, $1.71, $1.59
03/12/2021, $1.63, 3495147, $1.42, $1.65, $1.385
03/11/2021, $1.44, 1214499, $1.45, $1.455, $1.4
03/10/2021, $1.42, 1355741, $1.48, $1.5, $1.34
03/09/2021, $1.46, 1875678, $1.37, $1.48, $1.37
03/08/2021, $1.29, 1517883, $1.322, $1.43, $1.27
03/05/2021, $1.36, 2124324, $1.31, $1.37, $1.18
03/04/2021, $1.37, 2516619, $1.42, $1.44, $1.2511
03/03/2021, $1.45, 1427221, $1.58, $1.59, $1.43
03/02/2021, $1.54, 1222251, $1.66, $1.7, $1.52
03/01/2021, $1.67, 1401280, $1.52, $1.68, $1.52
02/26/2021, $1.52, 1296607, $1.55, $1.6, $1.4611
02/25/2021, $1.57, 1970261, $1.68, $1.71, $1.5
02/24/2021, $1.68, 1591866, $1.62, $1.69, $1.59
02/23/2021, $1.62, 3021310, $1.6, $1.7, $1.45
02/22/2021, $1.74, 1936579, $1.8324, $1.84, $1.7101
02/19/2021, $1.84, 1537008, $1.837, $1.91, $1.7906
02/18/2021, $1.81, 2121396, $1.88, $1.89, $1.77
02/17/2021, $1.93, 2153472, $1.9621, $1.99, $1.8305
02/16/2021, $1.96, 8431599, $2.06, $2.13, $1.9113
02/12/2021, $2.01, 2081401, $1.96, $2.05, $1.91
02/11/2021, $1.98, 2315853, $2.06, $2.08, $1.95
02/10/2021, $2.06, 3678268, $2.15, $2.16, $1.92
02/09/2021, $2.15, 2842165, $2.17, $2.18, $2.1
02/08/2021, $2.13, 4032154, $2.24, $2.26, $2.13
02/05/2021, $2.19, 3611179, $2.198, $2.23, $2.05
02/04/2021, $2.16, 6212551, $2.17, $2.26, $2.12
02/03/2021, $2.1, 7283147, $2.14, $2.3, $2.08
