Date, Close/Last, Volume, Open, High, Low
01/20/2021, $27.3875, 116, $27.3875, $27.3875, $27.3875
01/19/2021, $27.1162, 1284, $27.2, $27.2, $27.1162
01/15/2021, $27.1021, 808, $27, $27.12, $27
01/14/2021, $27.1647, 403, $27.2, $27.2399, $27.1647
01/13/2021, $27.0781, 3, $27.0781, $27.0781, $27.0781
01/12/2021, $27.3833, 5, $27.3833, $27.3833, $27.3833
01/11/2021, $27.1572, 186, $27.255, $27.255, $27.1572
01/08/2021, $27.2104, 4, $27.2104, $27.2104, $27.2104
01/07/2021, $27.3733, 103, $27.37, $27.3733, $27.37
01/06/2021, $27.2733, 116, $26.57, $27.2733, $26.57
01/05/2021, $26.3216, 5, $26.3216, $26.3216, $26.3216
01/04/2021, $26.0635, 251, $26.11, $26.11, $26.0635
12/31/2020, $26.3316, 60, $26.3316, $26.3316, $26.3316
12/30/2020, $26.2234, 1000, $26.24, $26.24, $26.2234
12/29/2020, $26.2789, N/A, $26.2789, $26.2789, $26.2789
12/28/2020, $26.2789, 300, $26.35, $26.35, $26.2789
12/24/2020, $26.3019, 3097, $26.199, $26.3019, $26.14
12/23/2020, $26.1594, N/A, $26.1594, $26.1594, $26.1594
12/22/2020, $26.1594, N/A, $26.1594, $26.1594, $26.1594
12/21/2020, $26.1594, 350, $26.14, $26.17, $26.14
12/18/2020, $26.3486, 900, $26.7, $26.7, $26.3486
12/17/2020, $26.3076, 1, $26.3076, $26.3076, $26.3076
12/16/2020, $26.2084, N/A, $26.2084, $26.2084, $26.2084
12/15/2020, $26.2084, 1, $26.2084, $26.2084, $26.2084
12/14/2020, $25.994, 4, $25.994, $25.994, $25.994
12/11/2020, $26.1532, 2401, $25.48, $26.1532, $25.48
12/10/2020, $26.1559, 17, $26.1559, $26.1559, $26.1559
12/09/2020, $26.2723, 5760, $26.48, $26.6, $26.23
12/08/2020, $26.2388, 1505, $26.02, $26.2388, $26.02
12/07/2020, $26.11, 151101, $26.04, $26.11, $26.04
12/04/2020, $25.4343, N/A, $25.4343, $25.4343, $25.4343
12/03/2020, $25.4343, N/A, $25.4343, $25.4343, $25.4343
12/02/2020, $25.4343, N/A, $25.4343, $25.4343, $25.4343
12/01/2020, $25.4343, N/A, $25.4343, $25.4343, $25.4343
11/30/2020, $25.4343, 304, $25.99, $26, $25.415
11/27/2020, $25.7212, N/A, $25.7212, $25.7212, $25.7212
11/25/2020, $25.7212, 9, $25.7212, $25.7212, $25.7212
11/24/2020, $25.98, 6, $25.98, $25.98, $25.98
11/23/2020, $25.4142, N/A, $25.4142, $25.4142, $25.4142
11/20/2020, $25.4142, N/A, $25.4142, $25.4142, $25.4142
11/19/2020, $25.4142, 11, $25.4142, $25.4142, $25.4142
11/18/2020, $25.4037, 1, $25.4037, $25.4037, $25.4037
11/17/2020, $25.6895, N/A, $25.6895, $25.6895, $25.6895
11/16/2020, $25.6895, 104, $25.65, $25.6895, $25.65
11/13/2020, $25.1686, 1600, $25.02, $25.1686, $25.02
11/12/2020, $24.7103, 27, $24.7103, $24.7103, $24.7103
11/11/2020, $24.9331, 101, $24.93, $24.9331, $24.93
11/10/2020, $24.8052, 27, $24.8052, $24.8052, $24.8052
11/09/2020, $24.273, 6001, $26.85, $26.85, $24.273
11/06/2020, $24.2422, N/A, $24.2422, $24.2422, $24.2422
11/05/2020, $24.2422, N/A, $24.2422, $24.2422, $24.2422
11/04/2020, $24.2422, 5, $24.2422, $24.2422, $24.2422
11/03/2020, $24.7442, 6, $24.7442, $24.7442, $24.7442
11/02/2020, $24.2814, 1, $24.2814, $24.2814, $24.2814
10/30/2020, $23.6329, 50, $23.6329, $23.6329, $23.6329
10/29/2020, $23.8298, 5, $23.8298, $23.8298, $23.8298
10/28/2020, $24.1007, N/A, $24.1007, $24.1007, $24.1007
10/27/2020, $24.1007, 1872, $24.19, $24.19, $24.1007
10/26/2020, $24.183, 5, $24.183, $24.183, $24.183
10/23/2020, $24.7438, 100002, $24.69, $24.7438, $24.69
10/22/2020, $24.6448, 89, $24.6448, $24.6448, $24.6448
10/21/2020, $24.5039, 39, $24.5039, $24.5039, $24.5039
10/20/2020, $24.6115, 100001, $24.87, $24.87, $24.6115
10/19/2020, $24.6702, 85, $24.6702, $24.6702, $24.6702
10/16/2020, $25.0225, 199041, $25.19, $25.19, $25.0225
10/15/2020, $24.9292, 1, $24.9292, $24.9292, $24.9292
