Date, Close/Last, Volume, Open, High, Low
03/24/2021, $0.89, 13605, $1.01, $1.01, $0.8
03/23/2021, $0.9305, 22115, $1.01, $1.03, $0.92
03/22/2021, $1.05, 21150, $1.04, $1.06, $1.03
03/19/2021, $1.0297, 29325, $1.17, $1.17, $1.02
03/18/2021, $1.28, 188, $1.28, $1.28, $1.28
03/17/2021, $1.13, 8390, $1.11, $1.13, $1.1011
03/16/2021, $1.1401, 13085, $1.26, $1.27, $1.14
03/15/2021, $1.24, 110, $1.24, $1.24, $1.24
03/12/2021, $1.31, 12837, $1.185, $1.5, $1.185
03/11/2021, $1.25, 12130, $1.33, $1.34, $1.15
03/10/2021, $1.15, 3465, $1.16, $1.16, $1.15
03/09/2021, $1.1371, 9535, $1.05, $1.25, $1.05
03/08/2021, $1.19, 1843, $1.0201, $1.19, $1.0201
03/05/2021, $1.26, 118465, $1.02, $1.2601, $0.8099
03/04/2021, $1.09, 33606, $1.21, $1.21, $0.9001
03/03/2021, $1.392, 22667, $1.38, $1.392, $1.21
03/02/2021, $1.46, 26951, $1.5, $1.73, $1.41
03/01/2021, $1.75, 1035, $1.74, $1.75, $1.74
02/26/2021, $1.6799, 2651, $1.56, $1.77, $1.56
02/25/2021, $1.8, 23759, $1.81, $1.864, $1.6
02/24/2021, $1.8101, 10010, $1.91, $1.99, $1.8
02/23/2021, $1.93, 21966, $1.94, $1.98, $1.8
02/22/2021, $2.08, 12354, $2.1, $2.16, $1.93
02/19/2021, $2.09, 25846, $2.03, $2.15, $1.91
02/18/2021, $2.01, 28769, $1.81, $2.1, $1.81
02/17/2021, $1.81, 3172, $1.835, $1.85, $1.74
02/16/2021, $1.88, 3606, $1.81, $1.9999, $1.81
02/12/2021, $2.04, 9463, $2.06, $2.1199, $1.93
02/11/2021, $1.9301, 21155, $1.96, $2.03, $1.9
02/10/2021, $2.03, 9006, $1.95, $2.12, $1.95
02/09/2021, $1.95, 6496, $1.81, $1.95, $1.81
02/08/2021, $1.8, 73588, $1.64, $1.98, $1.64
02/05/2021, $1.5999, 98386, $1.52, $1.75, $1.52
02/04/2021, $1.59, 495, $1.47, $1.59, $1.47
02/03/2021, $1.46, 41166, $1.47, $1.59, $1.46
02/02/2021, $1.53, 44010, $1.48, $1.55, $1.4602
02/01/2021, $1.4998, 39294, $1.4499, $1.5, $1.435
01/29/2021, $1.45, 80354, $1.51, $1.51, $1.45
01/28/2021, $1.45, 9047, $1.5, $1.52, $1.28
01/27/2021, $1.43, 162381, $1.5, $1.5, $1.25
01/26/2021, $1.6202, 17016, $1.5, $1.63, $1.5
01/25/2021, $1.45, 145590, $1.47, $1.59, $1.45
01/22/2021, $1.52, 80260, $1.51, $1.55, $1.47
01/21/2021, $1.6, 52193, $1.65, $1.65, $1.46
01/20/2021, $1.5, 84612, $1.57, $1.57, $1.475
01/19/2021, $1.545, 17197, $1.55, $1.58, $1.4992
01/15/2021, $1.55, 61310, $1.62, $1.63, $1.4
01/14/2021, $1.64, 10461, $1.55, $1.69, $1.55
01/13/2021, $1.55, 44186, $1.65, $1.66, $1.5
01/12/2021, $1.57, 18149, $1.55, $1.69, $1.5
01/11/2021, $1.5501, 9610, $1.5, $1.625, $1.5
01/08/2021, $1.5, 19163, $1.42, $1.557, $1.42
01/07/2021, $1.42, 33277, $1.41, $1.43, $1.37
01/06/2021, $1.42, 9320, $1.47, $1.47, $1.42
01/05/2021, $1.48, 1740, $1.48, $1.48, $1.48
01/04/2021, $1.48, 1995, $1.45, $1.49, $1.41
12/31/2020, $1.45, 23501, $1.42, $1.51, $1.36
12/30/2020, $1.55, 42336, $1.51, $1.5999, $1.4
12/29/2020, $1.5498, 41952, $1.71, $1.745, $1.5
12/28/2020, $1.71, 130695, $1.52, $1.98, $1.47
12/24/2020, $1.53, 8459, $1.58, $1.58, $1.42
12/23/2020, $1.58, 129932, $1.5, $1.6, $1.49
12/22/2020, $1.5, 114256, $1.6, $1.62, $1.43
12/21/2020, $1.5957, 234411, $1.67, $1.67, $1.425
12/18/2020, $1.67, 91614, $1.4, $1.68, $1.35
12/17/2020, $1.37, 5150, $1.4, $1.4, $1.37
12/16/2020, $1.35, 2951, $1.46, $1.48, $1.35
12/15/2020, $1.625, 9200, $1.67, $1.67, $1.5
12/14/2020, $1.67, 19674, $1.58, $1.685, $1.46
12/11/2020, $1.45, 1551, $1.4, $1.6, $1.4
12/10/2020, $1.4, 2132, $1.45, $1.45, $1.35
12/09/2020, $1.2, 1002, $1.22, $1.25, $1.2
12/08/2020, $1.3, 26397, $1.27, $1.3, $1.08
12/07/2020, $1.2, 16560, $1.15, $1.72, $1.1
12/04/2020, $1.09, 1652, $1.1, $1.1, $1.06
12/03/2020, $1.1, 25208, $1.15, $1.15, $1.09
12/02/2020, $1.0999, 1000, $1.075, $1.0999, $1.075
12/01/2020, $1.05, 1498, $1.15, $1.15, $1.05
11/30/2020, $1.1, N/A, $1.1, $1.1, $1.1
11/27/2020, $1.1, N/A, $1.1, $1.1, $1.1
11/25/2020, $1.1, 5340, $1.07, $1.1, $1.07
11/24/2020, $1.0604, 7844, $1.15, $1.15, $0.991
11/23/2020, $1.15, 5300, $1.12, $1.15, $1.05
11/20/2020, $1.01, 3144, $1.08, $1.15, $1.01
11/19/2020, $1, N/A, $1, $1, $1
11/18/2020, $1, N/A, $1, $1, $1
11/17/2020, $1, N/A, $1, $1, $1
