Date, Close/Last, Volume, Open, High, Low
01/20/2021, $27.83, 15685, $27.57, $27.91, $27.57
01/19/2021, $27.55, 52376, $27.84, $28.35, $26.9
01/15/2021, $27.81, 40270, $28.22, $28.585, $27.59
01/14/2021, $28.74, 14720, $28, $28.97, $28
01/13/2021, $27.81, 15923, $28.356, $28.36, $27.655
01/12/2021, $28.43, 23507, $28.21, $28.61, $27.6538
01/11/2021, $27.85, 35050, $27.79, $28.29, $27.58
01/08/2021, $28.41, 13062, $29.36, $29.36, $27.725
01/07/2021, $29.05, 13155, $28.72, $29.27, $28.3
01/06/2021, $28.52, 32229, $27.42, $29.27, $27.42
01/05/2021, $26.75, 19515, $25.95, $27.2, $25.855
01/04/2021, $26.11, 16353, $26.32, $26.65, $25.9901
12/31/2020, $26.21, 15076, $26.229, $26.7759, $26.2
12/30/2020, $26.4, 10568, $26.6473, $26.8299, $26.4
12/29/2020, $26.55, 12459, $26.24, $26.55, $26.16
12/28/2020, $26.74, 9707, $26.68, $26.85, $26.55
12/24/2020, $26.41, 9794, $26.7, $26.7, $26.22
12/23/2020, $26.88, 4406, $26.65, $26.93, $26.65
12/22/2020, $26.29, 15536, $26.14, $26.71, $26.14
12/21/2020, $26.18, 30004, $26.75, $27.23, $26.16
12/18/2020, $26.9, 84252, $27.76, $28.6521, $26.81
12/17/2020, $27.48, 16471, $27.29, $27.5, $27.03
12/16/2020, $27.22, 18127, $27.55, $27.68, $27.22
12/15/2020, $27.31, 19546, $26.7, $27.54, $26.54
12/14/2020, $26.55, 14434, $26.94, $26.94, $26.5
12/11/2020, $26.86, 17809, $26.98, $27.35, $26.55
12/10/2020, $27.18, 15700, $27.22, $27.5, $26.93
12/09/2020, $27.23, 28200, $28.09, $28.09, $27.11
12/08/2020, $27.8, 26519, $27.3, $27.8, $26.53
12/07/2020, $27.32, 9077, $27.28, $27.39, $27.1
12/04/2020, $27.46, 9221, $27.15, $27.46, $27.01
12/03/2020, $26.57, 12274, $26.63, $26.74, $26.3401
12/02/2020, $27.03, 15697, $26.67, $27.15, $26.565
12/01/2020, $26.6, 12677, $26.3, $26.79, $26.12
11/30/2020, $25.98, 40312, $26.92, $27.3109, $25.98
11/27/2020, $27.2, 11116, $27.7, $27.7, $26.96
11/25/2020, $28.2, 13768, $28, $28.4, $27.3216
11/24/2020, $28.25, 27052, $27.03, $29, $27.03
11/23/2020, $26.74, 30950, $27.16, $27.16, $26.61
11/20/2020, $26.82, 32766, $26.6, $27.7, $26.05
11/19/2020, $27, 11965, $27.285, $27.285, $26.52
11/18/2020, $27.1, 21041, $28.83, $29.275, $27.03
11/17/2020, $28.63, 33668, $28.1, $29.01, $27.6615
11/16/2020, $28.54, 42509, $26.42, $28.74, $26.42
11/13/2020, $25.63, 43663, $26.36, $26.36, $25.29
11/12/2020, $26.16, 39978, $26.26, $26.95, $25.38
11/11/2020, $26.67, 52246, $25.75, $27.29, $25.3
11/10/2020, $25.91, 67220, $24.38, $26.17, $24.38
11/09/2020, $23.65, 89840, $24.7, $26, $23.65
11/06/2020, $23, 15063, $23.69, $23.69, $23
11/05/2020, $23.53, 11164, $22.68, $23.76, $22.68
11/04/2020, $22.81, 9214, $23.98, $24.01, $22.51
11/03/2020, $24.56, 25693, $24.39, $24.7, $23.931
11/02/2020, $24, 23711, $23, $24.18, $22.8875
10/30/2020, $22.8, 13371, $23.07, $23.3899, $22.285
10/29/2020, $22.99, 7794, $22.02, $23.0899, $21.95
10/28/2020, $22.24, 12157, $22.24, $22.69, $22.03
10/27/2020, $22.4, 8212, $23.25, $23.52, $22.4
10/26/2020, $23.38, 8463, $23.9, $24.015, $22.865
10/23/2020, $23.99, 10434, $24.3, $25.3199, $23.95
10/22/2020, $24.29, 31827, $23.24, $24.67, $23.24
10/21/2020, $23.47, 16997, $22.1792, $23.4899, $22.1792
10/20/2020, $22.88, 10670, $22.5, $22.97, $22.5
10/19/2020, $22.51, 14025, $22.98, $22.985, $22.51
10/16/2020, $22.72, 11776, $22.59, $22.9, $22.4201
10/15/2020, $22.9, 20240, $22.4, $22.9, $22.305
10/14/2020, $22.37, 11980, $22.13, $22.635, $22.13
10/13/2020, $22.09, 14526, $22.35, $22.6999, $21.845
10/12/2020, $22.3, 23190, $22.181, $22.595, $22.15
10/09/2020, $22.26, 16708, $22.21, $22.6, $22.11
10/08/2020, $22.33, 17637, $22.55, $22.7, $22.0574
10/07/2020, $22.5, 19253, $22.28, $22.5, $22.155
10/06/2020, $22.2, 21213, $22.39, $22.71, $22.02
10/05/2020, $21.95, 9560, $21, $22.57, $21
10/02/2020, $21.52, 10517, $20.51, $21.65, $20.51
10/01/2020, $20.69, 7785, $21.11, $21.435, $20.54
09/30/2020, $20.92, 5035, $21, $21.35, $20.92
09/29/2020, $20.7, 8065, $20.89, $21.035, $19.7501
09/28/2020, $21.09, 7499, $20.809, $21.38, $20.57
09/25/2020, $20.1, 13337, $19.75, $20.19, $19.58
09/24/2020, $19.77, 20503, $19.82, $20.1037, $19.41
09/23/2020, $19.63, 27397, $20.41, $20.8499, $19.5
09/22/2020, $20.56, 17376, $20.82, $21.055, $20.02
09/21/2020, $20.64, 31124, $21.75, $22.135, $20.55
09/18/2020, $22.14, 56558, $22.41, $22.44, $21.8
09/17/2020, $22.1, 9259, $21.71, $22.2899, $21.7
09/16/2020, $22, 25560, $22.04, $22.5, $22
09/15/2020, $21.92, 6454, $22.15, $22.2894, $21.92
09/14/2020, $22.5, 6122, $21.93, $22.56, $21.93
09/11/2020, $21.78, 18080, $21.78, $22.11, $21.71
09/10/2020, $21.7, 16995, $22.31, $22.31, $21.45
09/09/2020, $22.4, 11379, $22.69, $22.74, $22.3601
09/08/2020, $22.5, 13553, $22.5, $22.7, $22.2
09/04/2020, $22.89, 9614, $22.76, $23.03, $22.63
09/03/2020, $22.36, 24997, $23.04, $23.3, $22
09/02/2020, $23.2, 13487, $22.8, $23.25, $22.71
09/01/2020, $22.96, 14324, $22.63, $23.14, $22.44
08/31/2020, $22.54, 19937, $23.44, $23.61, $22.51
08/28/2020, $23.38, 9043, $23.2, $23.38, $23.04
08/27/2020, $23, 9812, $23.16, $23.49, $23
08/26/2020, $23.15, 16242, $23.38, $23.38, $22.6299
08/25/2020, $23.51, 7659, $23.64, $24.2555, $23.08
08/24/2020, $23.21, 12401, $22.55, $24.09, $22
08/21/2020, $22.4, 13370, $23.18, $23.27, $22.14
08/20/2020, $23.29, 3797, $23.52, $23.52, $22.7001
08/19/2020, $23.6, 8178, $23.45, $23.94, $23.16
08/18/2020, $23.25, 9211, $23.63, $23.82, $23.0028
08/17/2020, $23.83, 13176, $24.33, $24.33, $23.7201
08/14/2020, $24.4, 10026, $23.72, $24.44, $23.72
08/13/2020, $24.07, 5809, $24.42, $24.42, $23.61
08/12/2020, $24.76, 9499, $24.84, $24.84, $24.3
08/11/2020, $24.3, 22466, $24.88, $24.88, $22.4868
08/10/2020, $24.31, 7699, $24.33, $24.6, $23.69
08/07/2020, $24.25, 18594, $23.66, $24.25, $22.829
08/06/2020, $22.85, 7246, $22.65, $22.97, $22.4201
08/05/2020, $23.15, 13787, $22.36, $23.21, $22.0001
08/04/2020, $22.23, 12576, $22.23, $22.28, $21.63
08/03/2020, $22.51, 14083, $22.21, $22.61, $22.17
07/31/2020, $21.96, 19915, $22.39, $23.1, $21.44
07/30/2020, $22.6, 17384, $22.68, $22.68, $22.1
07/29/2020, $22.8, 58526, $22.93, $23.575, $22.78
07/28/2020, $22.7, 14022, $22.81, $23.01, $22.51
07/27/2020, $23.03, 11130, $23.09, $23.3613, $22.52
07/24/2020, $23.06, 12396, $22.98, $23.62, $22.98
07/23/2020, $23.27, 10106, $23.26, $23.955, $23.0779
07/22/2020, $23.25, 9900, $23.14, $23.54, $22.75
07/21/2020, $23.64, 24165, $23.21, $24.175, $23.21
07/20/2020, $22.71, 11568, $23.35, $23.35, $22.5501
07/17/2020, $23.65, 10153, $23.64, $24.5999, $23.64
07/16/2020, $23.92, 16278, $24.4, $24.64, $23.5
07/15/2020, $24.58, 30704, $23.82, $24.75, $23.4801
07/14/2020, $23.36, 11286, $23.11, $23.54, $22.73
07/13/2020, $23.03, 12068, $23.41, $23.67, $22.7472
07/10/2020, $23.07, 16915, $23.77, $23.77, $22.2249
07/09/2020, $21.51, 26325, $22.82, $22.88, $21.42
07/08/2020, $22.59, 20103, $22.43, $23.05, $22.0201
07/07/2020, $22.45, 16964, $23.52, $23.66, $22.39
07/06/2020, $23.99, 18060, $23.42, $24.03, $23.3
07/02/2020, $23.17, 12751, $24.28, $24.28, $23.15
07/01/2020, $23.67, 24780, $25.16, $25.16, $23.52
06/30/2020, $25.04, 16607, $24.2, $25.27, $24.2
06/29/2020, $24.18, 25553, $23.6, $24.2, $23.225
06/26/2020, $23.3, 80244, $23.07, $24.07, $22
06/25/2020, $23.54, 25936, $22.46, $23.57, $22.21
06/24/2020, $22.57, 25607, $24.2, $24.2, $22.51
06/23/2020, $24.39, 22915, $24.57, $24.83, $23.95
06/22/2020, $24.37, 27896, $23.16, $24.55, $23.16
06/19/2020, $23.57, 58676, $23.11, $24.95, $22.61
06/18/2020, $23.45, 16170, $23.3, $23.899, $23.23
06/17/2020, $23.75, 18987, $25.21, $25.21, $23.62
06/16/2020, $24.92, 22076, $25.44, $25.61, $24.04
06/15/2020, $24.22, 14378, $23, $24.5758, $22.9
06/12/2020, $23.67, 26666, $24.65, $24.65, $23.07
06/11/2020, $23.18, 27816, $24.15, $24.37, $23
06/10/2020, $25.65, 20568, $27.49, $28.59, $25.38
06/09/2020, $27.74, 14026, $28.17, $28.35, $26.8001
06/08/2020, $28.94, 14146, $28.75, $29.445, $28.255
06/05/2020, $28, 39226, $26.75, $28.6, $26.3749
06/04/2020, $26.09, 10296, $25.56, $26.4, $25.55
06/03/2020, $26.05, 22106, $25.46, $26.5, $25.46
06/02/2020, $24.87, 14821, $24.97, $25.45, $24.29
06/01/2020, $24.6, 30639, $25.03, $25.12, $24.0101
05/29/2020, $24.86, 20762, $25.61, $25.61, $24.0101
05/28/2020, $25.99, 20610, $27.5, $27.51, $25.99
05/27/2020, $27.23, 23355, $26.39, $27.5, $25.36
05/26/2020, $25.32, 17528, $24.96, $26.36, $24.8301
05/22/2020, $23.62, 6011, $24.58, $24.58, $23.33
05/21/2020, $24.31, 14387, $24.03, $24.79, $23.8
05/20/2020, $24.35, 16185, $22.8, $25.43, $22.8
05/19/2020, $22.54, 22719, $24.38, $24.38, $22.32
05/18/2020, $24.73, 32975, $22.95, $24.8, $22.95
05/15/2020, $21.83, 21427, $21.83, $22.36, $21.09
05/14/2020, $22.15, 24280, $21.3, $22.15, $20.33
05/13/2020, $21.93, 22715, $22.2, $22.74, $21.03
05/12/2020, $22.31, 27607, $23.43, $23.5, $21.8272
05/11/2020, $23.19, 25743, $24.78, $25.5675, $23.19
05/08/2020, $25.29, 21261, $24.4, $25.55, $24.0001
05/07/2020, $23.7, 21850, $23.65, $24.5, $23.19
05/06/2020, $23.57, 20946, $23.83, $26.28, $22.94
05/05/2020, $23.75, 17977, $25.93, $26.3971, $23.75
05/04/2020, $25.49, 12509, $24.86, $25.75, $24.62
05/01/2020, $25.43, 27888, $25.96, $26.9899, $24.2
04/30/2020, $26.75, 23598, $28.45, $28.45, $26.2625
04/29/2020, $29.44, 68543, $27.63, $31.3, $26.51
04/28/2020, $25.49, 20468, $26.03, $26.05, $25.09
04/27/2020, $25.1, 30133, $23.1, $25.71, $23.1
04/24/2020, $22.84, 27588, $23.5, $23.5, $22.256
04/23/2020, $23.83, 35430, $21.79, $24.1115, $21.5
04/22/2020, $21.14, 21183, $21.9, $22.18, $20.82
04/21/2020, $21.24, 21793, $20.64, $21.61, $20.64
04/20/2020, $21.53, 24553, $21.25, $23.38, $21.25
04/17/2020, $22.07, 32763, $20.96, $22.47, $20.96
04/16/2020, $20.45, 36257, $21.03, $22.225, $18.5338
04/15/2020, $21.06, 29806, $22, $22.2, $21
04/14/2020, $22.36, 29459, $23.95, $24.975, $21.8353
04/13/2020, $22.81, 31922, $24.31, $24.35, $22.712
04/09/2020, $24.62, 41962, $21.9, $24.76, $21.9
04/08/2020, $21.5, 30561, $21.92, $21.92, $21
04/07/2020, $21.4, 29563, $22.21, $22.6419, $20.53
04/06/2020, $21.59, 38607, $21.28, $21.92, $20.87
04/03/2020, $20.27, 53043, $21.41, $21.85, $20.145
04/02/2020, $22.21, 42804, $21.74, $22.36, $21
04/01/2020, $21.58, 67809, $22.83, $23.09, $21.58
03/31/2020, $23.9, 61255, $22.51, $23.9, $21.35
03/30/2020, $22.73, 28006, $23.6, $24, $22.63
03/27/2020, $23.31, 27698, $25.1, $25.1, $23.16
03/26/2020, $26, 27843, $24.6962, $27.17, $24.6962
03/25/2020, $24.1, 17539, $23.7, $24.58, $23.306
03/24/2020, $24, 51741, $22.1, $24, $22.1
03/23/2020, $21.38, 33742, $22.18, $23.2394, $20.51
03/20/2020, $22.13, 69624, $25.35, $28.39, $21.88
03/19/2020, $24.46, 46234, $23.99, $26.5, $22.995
03/18/2020, $24, 33263, $27.93, $29.11, $22.01
03/17/2020, $29.53, 46563, $24.75, $29.53, $23.93
03/16/2020, $24.99, 69802, $24.02, $25.285, $23.08
03/13/2020, $25.68, 29700, $23.2, $28.07, $23.2
03/12/2020, $21.92, 38116, $23.23, $24.99, $21.42
03/11/2020, $24.8, 31537, $25.5, $26.34, $24.52
03/10/2020, $26.11, 35386, $26.25, $28.2095, $24.95
03/09/2020, $25.42, 27068, $27.16, $28.282, $25.26
03/06/2020, $28.4, 26665, $28.33, $29.8299, $27.6401
03/05/2020, $29.12, 25268, $31.1, $31.58, $28.0569
03/04/2020, $32.26, 17478, $31.75, $32.26, $31.19
03/03/2020, $31.49, 15150, $31.16, $31.99, $31.09
