Date, Close/Last, Volume, Open, High, Low
03/24/2021, $20.53, 94702, $21.04, $21.29, $20.51
03/23/2021, $20.86, 108361, $21.17, $21.4644, $20.85
03/22/2021, $21.17, 101145, $21.9164, $21.9164, $21
03/19/2021, $21.64, 550628, $21.29, $21.67, $20.91
03/18/2021, $21.28, 119097, $21, $21.5, $20.83
03/17/2021, $21.11, 127538, $21.02, $21.13, $20.58
03/16/2021, $21.03, 50855, $21.11, $21.34, $20.85
03/15/2021, $21.19, 90227, $21.27, $21.46, $20.97
03/12/2021, $21.38, 83962, $21.23, $21.44, $20.89
03/11/2021, $21.295, 123012, $20.99, $21.395, $20.505
03/10/2021, $20.77, 97472, $20.33, $20.83, $20.33
03/09/2021, $20.29, 111556, $20.44, $20.89, $20.15
03/08/2021, $20.27, 114747, $20.14, $20.77, $19.8
03/05/2021, $20.05, 144635, $19.51, $20.19, $19
03/04/2021, $19.35, 146742, $20, $20.29, $19.22
03/03/2021, $20, 115263, $19.96, $20.16, $19.89
03/02/2021, $19.89, 106912, $20.14, $20.78, $19.6952
03/01/2021, $20.14, 196538, $20.43, $20.55, $19.9
02/26/2021, $20.2, 191729, $20.11, $20.39, $19.7
02/25/2021, $20.23, 191995, $20.03, $20.55, $19.52
02/24/2021, $19.98, 121284, $19.33, $20.01, $18.77
02/23/2021, $19.05, 122396, $19.49, $19.64, $18.8172
02/22/2021, $19.7, 91050, $19.68, $20.0955, $19.5
02/19/2021, $19.83, 108366, $20.02, $20.02, $19.7
02/18/2021, $19.99, 130310, $20.24, $20.27, $19.66
02/17/2021, $19.84, 99834, $19.87, $19.97, $19.61
02/16/2021, $20.08, 90314, $20.65, $20.74, $19.92
02/12/2021, $20.63, 101356, $20.39, $20.71, $20.0935
02/11/2021, $20.48, 93742, $20.42, $20.605, $20.295
02/10/2021, $20.33, 112510, $20.07, $20.95, $20.07
02/09/2021, $21.05, 90621, $20.94, $21.0528, $20.32
02/08/2021, $20.9, 121800, $20.73, $21.08, $20.63
02/05/2021, $20.52, 130560, $20.4, $20.54, $20.09
02/04/2021, $20.18, 175800, $19.97, $20.31, $19.81
02/03/2021, $19.94, 106735, $19.86, $20.11, $19.71
02/02/2021, $19.95, 101750, $19.34, $19.96, $19.12
02/01/2021, $19.17, 75125, $19.28, $19.5, $18.875
01/29/2021, $19.21, 80279, $19.79, $19.91, $19.17
01/28/2021, $19.74, 112623, $19.99, $20.05, $19.695
01/27/2021, $19.92, 169230, $19.68, $20.125, $19.46
01/26/2021, $20.19, 103040, $20.49, $20.695, $20.12
01/25/2021, $20.33, 146094, $20, $20.51, $19.98
01/22/2021, $20.11, 113177, $19.81, $20.15, $19.62
01/21/2021, $20.06, 114078, $20.25, $20.25, $19.885
01/20/2021, $20.18, 214583, $19.94, $20.31, $19.311
01/19/2021, $19.79, 162729, $19.83, $19.87, $19.59
01/15/2021, $19.56, 146475, $19.34, $19.75, $19.09
01/14/2021, $19.55, 91046, $19.02, $19.69, $18.86
01/13/2021, $18.85, 99685, $18.84, $19.15, $18.56
01/12/2021, $18.93, 77472, $18.67, $18.93, $18.57
01/11/2021, $18.58, 71891, $18.27, $18.73, $18.27
