Date, Close/Last, Volume, Open, High, Low
01/20/2021, $211.94, 1318604, $209.07, $212.8, $208.42
01/19/2021, $209.16, 1668948, $208.93, $210.14, $207.71
01/15/2021, $207.93, 1783163, $206.32, $208.97, $205.82
01/14/2021, $206.62, 1404948, $206.74, $207.9, $203.54
01/13/2021, $206.9, 2229709, $202.33, $207.56, $201.56
01/12/2021, $202.48, 1835453, $201.63, $204.7, $200.65
01/11/2021, $202.13, 1187027, $204.64, $205.795, $201.69
01/08/2021, $205.22, 1294490, $206, $208.17, $203.57
01/07/2021, $206.56, 1356319, $207.63, $208.59, $205.37
01/06/2021, $206.78, 1732136, $205.27, $208, $203.01
01/05/2021, $204.3, 1546650, $205.25, $206.47, $202.07
01/04/2021, $204.55, 1702178, $211.04, $212, $203.57
12/31/2020, $211.27, 1024592, $207.4, $211.55, $206.18
12/30/2020, $206.71, 734561, $207.74, $209.15, $206.54
12/29/2020, $206.91, 655657, $208.15, $208.95, $206.15
12/28/2020, $206.83, 1278984, $211.49, $212.4, $206.72
12/24/2020, $210.61, 429996, $209.55, $210.99, $208
12/23/2020, $207.9, 1051311, $210.37, $211.66, $207.1397
12/22/2020, $209.23, 2259410, $208.41, $210.85, $206.14
12/21/2020, $209.15, 2415492, $205.69, $209.45, $201.36
12/18/2020, $205.49, 3485420, $211.36, $211.83, $204.53
12/17/2020, $211.3, 2148473, $209.765, $213.62, $209.49
12/16/2020, $209.21, 1330276, $209.12, $212.22, $207.66
12/15/2020, $208.03, 1794406, $204.63, $209.163, $203.4
12/14/2020, $203.96, 2202187, $206.31, $208.07, $203.87
12/11/2020, $204.11, 1453281, $204.2, $207.7, $203.67
12/10/2020, $206.24, 1685031, $205.78, $207.1946, $204.94
12/09/2020, $207.05, 1578365, $209.9, $211.95, $205.1
12/08/2020, $209.59, 1497111, $206.63, $210.61, $204.8
12/07/2020, $207.2, 1450438, $211.7, $214, $206.83
12/04/2020, $211.6, 1094358, $210.31, $212.715, $209.51
12/03/2020, $210.18, 1288460, $208.5, $210.9, $207.62
12/02/2020, $209.08, 1326751, $210.46, $213.2, $208.62
12/01/2020, $210.69, 1690319, $207.48, $210.94, $207.435
11/30/2020, $204.89, 2077759, $205.43, $207.3, $204.44
11/27/2020, $206.58, 632434, $207.67, $209.58, $206.08
11/25/2020, $208.07, 1030830, $207.5, $208.9, $203.6
11/24/2020, $207.93, 1650808, $205.61, $210.11, $204.62
11/23/2020, $203.18, 1448473, $199.87, $203.38, $198.83
11/20/2020, $198.67, 1796592, $202.9, $203.57, $197.86
11/19/2020, $202.92, 1338017, $202.82, $204.8, $201.22
11/18/2020, $203.36, 1389809, $206.2, $208.35, $203.36
11/17/2020, $207.19, 1680438, $206.49, $209.41, $202.68
11/16/2020, $208.03, 1913928, $206.86, $208.31, $204.45
11/13/2020, $204.44, 1519929, $200.73, $204.79, $200.03
11/12/2020, $199.96, 1663862, $199.87, $201.74, $198.81
11/11/2020, $201.42, 1835895, $201.47, $202.69, $198.93
11/10/2020, $200.08, 2425416, $194.14, $201.23, $192.51
11/09/2020, $192.91, 2548256, $195, $204.3, $191.145
11/06/2020, $190.35, 1486828, $186.46, $191.64, $184.67
11/05/2020, $185.38, 1600435, $186.15, $188.025, $184.2
11/04/2020, $183.48, 3127809, $179.52, $186.635, $179.52
11/03/2020, $179.96, 2302612, $182.83, $184.32, $179.82
11/02/2020, $180.64, 2451066, $186.06, $186.06, $180.31
10/30/2020, $184.01, 3079695, $187.15, $188.61, $180.56
10/29/2020, $186.8, 1866969, $194.73, $194.73, $186.4
10/28/2020, $194.7, 1650322, $196.45, $196.95, $192.43
10/27/2020, $199.48, 1067286, $202.79, $203.2, $199.28
10/26/2020, $202.17, 1389740, $205.52, $206.41, $200.2
10/23/2020, $207.31, 778878, $207.61, $208.46, $204.87
10/22/2020, $207.47, 767367, $206.51, $207.74, $205.23
10/21/2020, $206.44, 863610, $206.44, $209.84, $206.105
10/20/2020, $206.36, 1383457, $210.66, $211.54, $206.145
10/19/2020, $209.19, 856622, $212.5, $214.6, $208.625
10/16/2020, $212.88, 1706050, $213.36, $215.26, $212.685
10/15/2020, $212.78, 1058523, $208.53, $213.37, $208.08
10/14/2020, $210.09, 1176332, $211.46, $214.42, $209.06
10/13/2020, $210.89, 1279267, $213.63, $216.49, $210.12
10/12/2020, $214.52, 1848040, $209.81, $214.88, $208.8
10/09/2020, $209.19, 987387, $209.39, $210.51, $208.32
10/08/2020, $208.07, 894029, $210, $212.95, $207.94
10/07/2020, $208.37, 1084588, $206.67, $209.115, $206.39
10/06/2020, $205.65, 986720, $207.87, $209.38, $204.7719
10/05/2020, $206.51, 907660, $207.06, $207.9, $204.74
10/02/2020, $205.52, 877428, $204.86, $207.92, $204.38
10/01/2020, $206.18, 1391943, $206.72, $207.71, $204.27
09/30/2020, $206.3, 1583929, $205.96, $208.235, $203.66
09/29/2020, $205.09, 1340319, $202.74, $205.43, $202.2
09/28/2020, $203.43, 1568818, $198.76, $204.9, $198.52
09/25/2020, $196.36, 1217804, $194.34, $197.87, $192.19
09/24/2020, $195.68, 1975640, $200.42, $201.08, $195.22
09/23/2020, $200.41, 2258639, $200.78, $205.23, $200.09
09/22/2020, $199.97, 1936552, $198.08, $201.3, $195.94
09/21/2020, $199.2, 1724806, $198.18, $199.96, $196.5
09/18/2020, $201, 1459741, $201.27, $204.03, $200.86
09/17/2020, $201.67, 1202370, $200, $203.14, $199.04
09/16/2020, $202.53, 1135395, $203.33, $204.56, $202.27
09/15/2020, $202, 1013414, $202.28, $203.92, $201.68
09/14/2020, $201.96, 1053616, $203.33, $204.42, $201.68
09/11/2020, $201.54, 1189209, $202.26, $203.07, $199.5
09/10/2020, $202.05, 1594490, $204.36, $206.4, $201.76
09/09/2020, $203.63, 1155259, $200.14, $205.6, $199.35
09/08/2020, $198, 1679671, $201.87, $202.07, $197.84
09/04/2020, $202.74, 1093447, $206.07, $206.5, $200.12
09/03/2020, $203.85, 2032020, $210.48, $212.1, $202.81
09/02/2020, $209.73, 1805486, $202.64, $210.31, $202.5
09/01/2020, $202.65, 1441732, $199.32, $202.97, $198.46
08/31/2020, $199.99, 1465101, $199.7, $202.23, $199.7
08/28/2020, $200.11, 1280424, $201, $201.23, $198.61
08/27/2020, $199.58, 948741, $196.37, $200.46, $195.4
08/26/2020, $195.44, 1504943, $191.98, $197.27, $190.23
08/25/2020, $192.37, 2126845, $191.63, $193.81, $189.61
08/24/2020, $190.17, 2116913, $193.44, $194.14, $188.23
08/21/2020, $193.64, 1179494, $197.06, $197.06, $193.18
08/20/2020, $197.01, 1371292, $196.86, $198.08, $196.29
08/19/2020, $197.57, 1290554, $195.08, $199.14, $194.86
08/18/2020, $196.42, 1172346, $196.34, $197.66, $194.61
08/17/2020, $196.72, 1504268, $197.2, $199.63, $196.67
08/14/2020, $197.2, 1242908, $194.72, $197.63, $194.515
08/13/2020, $194.67, 4634084, $191.13, $194.79, $190
08/12/2020, $192.13, 1690332, $194.95, $195.24, $191.64
08/11/2020, $193.55, 1671275, $194.72, $194.72, $192.05
08/10/2020, $192.84, 1012505, $195.41, $196.33, $192.72
08/07/2020, $195.44, 1134461, $195.17, $195.72, $193.53
08/06/2020, $195.61, 1386368, $197.61, $198.14, $194.23
08/05/2020, $198.53, 1536271, $196.71, $199.605, $196.71
08/04/2020, $199.64, 1385715, $200.02, $201.73, $197.63
08/03/2020, $200.23, 1743758, $205.39, $206.45, $199.5
07/31/2020, $205.22, 2318332, $205.2, $206.8056, $200.53
07/30/2020, $207.43, 1442891, $203.64, $207.43, $202.61
07/29/2020, $205.8, 1462797, $204.97, $206.54, $203.66
07/28/2020, $205.74, 1395317, $207, $208.115, $204.632
07/27/2020, $207.02, 1315204, $207.57, $207.77, $205.16
07/24/2020, $207.17, 1022886, $207.04, $208.655, $206.41
07/23/2020, $207.37, 1342619, $207.7, $208.735, $206.3
07/22/2020, $207.86, 1274384, $205.48, $207.95, $204.97
07/21/2020, $206.22, 953960, $205, $206.27, $203.96
07/20/2020, $203.9, 1136832, $202.84, $204.25, $202.27
