Date, Close/Last, Volume, Open, High, Low
03/24/2021, $2.99, 335378, $3.14, $3.1779, $2.95
03/23/2021, $3.05, 345006, $3.16, $3.249, $3.02
03/22/2021, $3.2, 190291, $3.21, $3.27, $3.15
03/19/2021, $3.15, 449824, $3.12, $3.25, $3.105
03/18/2021, $3.11, 249900, $3.32, $3.32, $3.1
03/17/2021, $3.32, 299600, $3.22, $3.332, $3.1
03/16/2021, $3.22, 392238, $3.32, $3.32, $3.16
03/15/2021, $3.32, 189216, $3.37, $3.39, $3.265
03/12/2021, $3.37, 150119, $3.41, $3.41, $3.28
03/11/2021, $3.41, 379386, $3.41, $3.45, $3.32
03/10/2021, $3.35, 434196, $3.32, $3.395, $3.25
03/09/2021, $3.32, 321499, $3.13, $3.36, $3.08
03/08/2021, $3.07, 248859, $3.2, $3.275, $3.07
03/05/2021, $3.2, 602679, $3.22, $3.27, $2.85
03/04/2021, $3.2, 654371, $3.5, $3.51, $3.09
03/03/2021, $3.51, 283605, $3.7, $3.72, $3.5
03/02/2021, $3.71, 289621, $3.67, $3.765, $3.66
03/01/2021, $3.72, 289859, $3.73, $3.81, $3.61
02/26/2021, $3.66, 438683, $3.64, $3.71, $3.45
02/25/2021, $3.61, 445291, $3.85, $3.86, $3.55
02/24/2021, $3.8, 326909, $3.78, $3.98, $3.75
02/23/2021, $3.71, 927565, $3.8, $3.87, $3.5
02/22/2021, $3.9, 430920, $4.09, $4.09, $3.86
02/19/2021, $4.11, 532152, $4.04, $4.25, $4.03
02/18/2021, $4.01, 517931, $4, $4.09, $3.9023
02/17/2021, $4.09, 375933, $4.11, $4.12, $3.86
02/16/2021, $4.06, 712407, $4.13, $4.22, $3.94
02/12/2021, $3.95, 424027, $3.95, $4.03, $3.8495
02/11/2021, $3.96, 313571, $3.96, $4.14, $3.87
02/10/2021, $3.99, 379221, $4.07, $4.15, $3.829
02/09/2021, $4.06, 414813, $4.16, $4.21, $3.98
02/08/2021, $4.15, 537839, $3.97, $4.18, $3.93
02/05/2021, $3.9, 672348, $3.85, $3.91, $3.77
02/04/2021, $3.81, 401378, $3.82, $3.9102, $3.7519
02/03/2021, $3.79, 625741, $3.67, $3.815, $3.63
02/02/2021, $3.63, 703125, $3.49, $3.65, $3.4
02/01/2021, $3.48, 933410, $3.58, $3.58, $3.36
01/29/2021, $3.48, 1038015, $3.6, $3.765, $3.41
01/28/2021, $3.7, 551423, $3.69, $3.8099, $3.55
01/27/2021, $3.66, 842418, $3.84, $3.845, $3.5867
01/26/2021, $3.87, 556586, $3.9, $4.02, $3.825
01/25/2021, $3.9, 642619, $4.08, $4.1, $3.7
01/22/2021, $4, 659264, $3.99, $4.03, $3.85
01/21/2021, $4.02, 490511, $4.29, $4.29, $4
01/20/2021, $4.2, 4672293, $4.5, $4.52, $3.93
01/19/2021, $4.33, 1092398, $4.18, $4.55, $4.155
01/15/2021, $4.12, 2147475, $3.83, $4.46, $3.83
01/14/2021, $3.81, 520228, $3.66, $3.9, $3.66
01/13/2021, $3.63, 301903, $3.62, $3.66, $3.56
01/12/2021, $3.575, 351755, $3.55, $3.63, $3.51
01/11/2021, $3.58, 502031, $3.65, $3.65, $3.49
01/08/2021, $3.61, 496928, $3.54, $3.65, $3.53
01/07/2021, $3.5, 397023, $3.62, $3.66, $3.5
01/06/2021, $3.58, 712743, $3.49, $3.62, $3.41
01/05/2021, $3.47, 414069, $3.46, $3.49, $3.4
01/04/2021, $3.44, 530468, $3.46, $3.477, $3.33
12/31/2020, $3.46, 660342, $3.54, $3.591, $3.33
12/30/2020, $3.55, 360227, $3.44, $3.6, $3.44
12/29/2020, $3.4, 842692, $3.76, $3.77, $3.35
12/28/2020, $3.73, 450727, $3.85, $3.8857, $3.73
12/24/2020, $3.81, 444444, $3.85, $4.08, $3.77
12/23/2020, $3.86, 1233772, $3.597, $3.895, $3.53
12/22/2020, $3.64, 603268, $3.7, $3.71, $3.53
12/21/2020, $3.67, 790470, $3.55, $3.7, $3.5
12/18/2020, $3.63, 1905755, $3.688, $3.85, $3.61
12/17/2020, $3.68, 733823, $3.74, $3.93, $3.61
12/16/2020, $3.64, 646968, $3.56, $3.68, $3.52
12/15/2020, $3.56, 598217, $3.44, $3.635, $3.38
12/14/2020, $3.39, 744185, $3.6, $3.7, $3.38
12/11/2020, $3.56, 478463, $3.63, $3.65, $3.44
12/10/2020, $3.63, 506408, $3.53, $3.73, $3.53
12/09/2020, $3.56, 606714, $3.78, $3.8, $3.54
12/08/2020, $3.76, 686856, $3.77, $3.81, $3.64
12/07/2020, $3.78, 554736, $3.76, $3.84, $3.66
12/04/2020, $3.77, 368132, $3.8, $3.85, $3.75
12/03/2020, $3.84, 830649, $3.782, $3.93, $3.6
12/02/2020, $3.74, 505984, $3.51, $3.8, $3.4556
12/01/2020, $3.54, 971018, $3.97, $3.98, $3.54
11/30/2020, $3.97, 1212925, $3.973, $4, $3.71
11/27/2020, $3.81, 1164025, $3.64, $3.88, $3.57
11/25/2020, $3.42, 693797, $3.3, $3.55, $3.3
11/24/2020, $3.3, 451613, $3.31, $3.37, $3.25
11/23/2020, $3.36, 807252, $3.29, $3.41, $3.232
11/20/2020, $3.27, 547592, $3.17, $3.29, $3.14
11/19/2020, $3.17, 688978, $3.3, $3.33, $3.17
11/18/2020, $3.12, 412260, $3.18, $3.24, $3.0938
11/17/2020, $3.17, 515830, $3.09, $3.2, $3.02
11/16/2020, $3.06, 632196, $3.11, $3.15, $2.98
11/13/2020, $3.12, 1014152, $3.21, $3.28, $3.07
11/12/2020, $3.25, 595450, $3.19, $3.31, $3.16
11/11/2020, $3.17, 428862, $3.24, $3.2705, $3.11
11/10/2020, $3.22, 643290, $3.08, $3.25, $3.02
11/09/2020, $3.06, 683305, $3.05, $3.1392, $2.96
11/06/2020, $3.01, 772202, $3.1, $3.1099, $2.97
11/05/2020, $3.12, 528123, $3.05, $3.15, $2.98
11/04/2020, $3.04, 629282, $2.99, $3.1, $2.96
11/03/2020, $3, 821824, $2.96, $3.0301, $2.87
11/02/2020, $2.95, 890820, $2.93, $2.98, $2.85
10/30/2020, $2.93, 1566464, $3.06, $3.1074, $2.83
10/29/2020, $3.07, 1393246, $3.31, $3.36, $3.0301
10/28/2020, $3.35, 4015375, $3.15, $3.42, $2.93
10/27/2020, $2.97, 1131669, $3.08, $3.09, $2.91
10/26/2020, $2.98, 1562169, $3.07, $3.13, $2.81
10/23/2020, $3.125, 1513762, $3.13, $3.22, $3.05
10/22/2020, $3.18, 8254702, $3.1, $3.255, $3
10/21/2020, $3.9, 2799076, $4, $4.07, $3.74
10/20/2020, $4.295, 47579470, $5.95, $6.47, $4.2303
10/19/2020, $3.66, 3810068, $3.72, $3.79, $3.64
10/16/2020, $3.73, 63036, $3.75, $3.83, $3.69
10/15/2020, $3.78, 70767, $3.72, $3.79, $3.59
10/14/2020, $3.74, 81444, $3.85, $3.88, $3.72
10/13/2020, $3.85, 102381, $3.86, $3.93, $3.84
10/12/2020, $3.88, 117183, $3.92, $3.955, $3.85
10/09/2020, $3.9, 87538, $3.89, $3.95, $3.79
10/08/2020, $3.85, 141979, $3.9, $3.94, $3.84
10/07/2020, $3.89, 152317, $3.58, $3.9, $3.58
10/06/2020, $3.58, 144447, $3.78, $3.82, $3.57
10/05/2020, $3.77, 196505, $3.38, $3.92, $3.38
10/02/2020, $3.34, 154374, $3.35, $3.42, $3.25
10/01/2020, $3.38, 114981, $3.38, $3.45, $3.3
09/30/2020, $3.38, 73465, $3.32, $3.4, $3.3
09/29/2020, $3.31, 123151, $3.13, $3.325, $3.13
09/28/2020, $3.23, 111222, $3.14, $3.27, $3.09
09/25/2020, $3.14, 118184, $3.11, $3.31, $3.05
09/24/2020, $3.11, 175464, $3.24, $3.34, $3.03
09/23/2020, $3.24, 180705, $3.44, $3.5, $3.22
09/22/2020, $3.42, 192125, $3.35, $3.47, $3.2151
09/21/2020, $3.35, 174856, $3.43, $3.44, $3.23
09/18/2020, $3.47, 296155, $3.48, $3.48, $3.31
09/17/2020, $3.43, 180090, $3.43, $3.495, $3.33
09/16/2020, $3.44, 167209, $3.35, $3.57, $3.33
09/15/2020, $3.3, 86569, $3.27, $3.42, $3.22
09/14/2020, $3.25, 158666, $3.08, $3.325, $3.08
09/11/2020, $3.05, 169821, $3.1, $3.19, $2.96
09/10/2020, $3.05, 284930, $3.03, $3.18, $3.02
09/09/2020, $3.05, 166263, $3.12, $3.265, $3.01
09/08/2020, $3.12, 184265, $3.08, $3.27, $3.04
09/04/2020, $3.27, 193094, $3.23, $3.35, $2.98
09/03/2020, $3.23, 145927, $3.22, $3.28, $3.07
09/02/2020, $3.21, 231039, $3.31, $3.31, $3.06
09/01/2020, $3.3, 248362, $3.31, $3.45, $3.14
08/31/2020, $3.31, 385306, $3.26, $3.52, $3.26
08/28/2020, $3.3, 254182, $3.5, $3.5, $3.25
08/27/2020, $3.48, 99489, $3.63, $3.64, $3.44
08/26/2020, $3.63, 138095, $3.61, $3.67, $3.53
08/25/2020, $3.57, 263112, $3.57, $3.75, $3.53
08/24/2020, $3.55, 269834, $3.89, $3.89, $3.54
08/21/2020, $3.88, 253664, $4.01, $4.09, $3.8
08/20/2020, $3.94, 220675, $3.85, $4.01, $3.82
08/19/2020, $3.87, 117481, $4.03, $4.03, $3.85
08/18/2020, $3.99, 135463, $4.11, $4.19, $3.95
08/17/2020, $4.09, 211755, $3.84, $4.12, $3.81
08/14/2020, $3.84, 191553, $3.93, $4.02, $3.76
08/13/2020, $3.915, 162167, $3.89, $3.94, $3.73
08/12/2020, $3.86, 163268, $4, $4.05, $3.8
08/11/2020, $4.04, 115683, $4.09, $4.24, $3.98
08/10/2020, $4.09, 207026, $3.92, $4.21, $3.89
08/07/2020, $3.95, 172612, $3.93, $4.1, $3.93
08/06/2020, $3.98, 248150, $4.25, $4.25, $3.97
08/05/2020, $3.895, 430574, $4.2, $4.2047, $3.88
08/04/2020, $4.15, 215452, $3.95, $4.17, $3.82
08/03/2020, $3.95, 172061, $3.82, $3.99, $3.78
07/31/2020, $3.77, 199599, $3.93, $3.93, $3.75
07/30/2020, $3.94, 297372, $3.69, $3.97, $3.51
07/29/2020, $3.69, 232435, $3.84, $4.06, $3.65
07/28/2020, $3.82, 285806, $3.94, $4.14, $3.8
07/27/2020, $3.93, 253597, $4.01, $4.1, $3.7803
07/24/2020, $4.02, 145338, $4.24, $4.28, $4
07/23/2020, $4.26, 306522, $4.39, $4.39, $4.16
07/22/2020, $4.35, 451687, $4.37, $4.45, $4.25
07/21/2020, $4.37, 173916, $4.56, $4.56, $4.35
07/20/2020, $4.5, 397534, $4.57, $4.8, $4.4
07/17/2020, $4.62, 218091, $4.61, $4.7899, $4.56
07/16/2020, $4.6, 138103, $4.6, $4.62, $4.415
07/15/2020, $4.58, 163051, $4.61, $4.73, $4.52
07/14/2020, $4.55, 272476, $4.23, $4.58, $4.13
07/13/2020, $4.3, 200247, $4.5, $4.59, $4.28
07/10/2020, $4.5, 332564, $4.66, $4.78, $4.45
07/09/2020, $4.67, 231353, $4.76, $4.79, $4.46
07/08/2020, $4.77, 155751, $4.75, $4.89, $4.6
07/07/2020, $4.73, 178742, $4.65, $4.93, $4.55
07/06/2020, $4.73, 324605, $5.04, $5.18, $4.57
07/02/2020, $4.99, 635541, $5, $5.2, $4.51
07/01/2020, $4.96, 1517356, $4.46, $5.28, $4.36
06/30/2020, $4.17, 303738, $3.96, $4.21, $3.82
06/29/2020, $3.96, 482157, $3.92, $4.0199, $3.7
06/26/2020, $3.93, 4352459, $4.25, $4.44, $3.71
06/25/2020, $4.25, 569818, $4.03, $4.39, $4.03
06/24/2020, $4.07, 345090, $4.12, $4.18, $3.94
06/23/2020, $4.11, 305702, $4.09, $4.2199, $3.92
06/22/2020, $4.1, 371674, $4.5, $4.5599, $4.06
06/19/2020, $4.4, 654859, $4.24, $4.55, $4.19
06/18/2020, $4.15, 137068, $4.07, $4.19, $4.06
06/17/2020, $4.08, 199962, $4.14, $4.22, $4.01
06/16/2020, $4.08, 187984, $4.35, $4.35, $4.05
06/15/2020, $4.17, 538427, $4.04, $4.35, $3.95
06/12/2020, $4.12, 345504, $4.03, $4.219, $3.94
06/11/2020, $3.96, 373380, $3.92, $4.0299, $3.6
06/10/2020, $3.99, 286138, $3.88, $4.2, $3.85
06/09/2020, $3.87, 176073, $3.66, $3.9499, $3.65
06/08/2020, $3.7, 251911, $3.54, $3.83, $3.54
06/05/2020, $3.53, 395832, $3.69, $3.82, $3.47
06/04/2020, $3.68, 174912, $3.73, $3.8, $3.575
06/03/2020, $3.71, 258701, $3.56, $3.87, $3.41
06/02/2020, $3.58, 317182, $3.61, $3.6779, $3.46
06/01/2020, $3.61, 415257, $3.67, $3.7, $3.4
05/29/2020, $3.74, 281427, $4, $4, $3.65
05/28/2020, $3.92, 200840, $3.98, $4.1, $3.91
05/27/2020, $3.94, 354168, $4.15, $4.18, $3.5598
05/26/2020, $4.15, 659178, $4.4, $4.56, $4.12
05/22/2020, $4.2, 681706, $4.15, $4.4, $4.15
05/21/2020, $4.17, 616471, $3.84, $4.2, $3.79
05/20/2020, $3.84, 216544, $3.73, $3.85, $3.71
05/19/2020, $3.68, 186888, $3.67, $3.88, $3.6101
05/18/2020, $3.65, 449965, $3.65, $3.78, $3.25
05/15/2020, $3.57, 261335, $3.51, $3.79, $3.5
05/14/2020, $3.77, 241320, $3.42, $3.8, $3.35
05/13/2020, $3.54, 292490, $3.73, $3.84, $3.16
05/12/2020, $3.79, 560369, $3.92, $4.08, $3.65
05/11/2020, $3.9, 611518, $4.22, $4.41, $3.89
05/08/2020, $4.11, 375227, $4.04, $4.2, $4
05/07/2020, $3.84, 629836, $4, $4.27, $3.75
05/06/2020, $3.65, 408636, $3.33, $3.7, $3.33
05/05/2020, $3.24, 1233832, $3.26, $3.5999, $3.15
05/04/2020, $2.91, 453647, $2.71, $2.95, $2.69
05/01/2020, $2.72, 126797, $2.73, $2.73, $2.56
