Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10, 522765, $10.2, $10.2, $9.92
03/23/2021, $10.11, 363439, $10.28, $10.3078, $10.1
03/22/2021, $10.27, 215997, $10.35, $10.35, $10.22
03/19/2021, $10.25, 285228, $10.27, $10.32, $10.16
03/18/2021, $10.27, 851239, $10.37, $10.3966, $10.24
03/17/2021, $10.37, 401855, $10.5, $10.51, $10.285
03/16/2021, $10.53, 167502, $10.55, $10.65, $10.51
03/15/2021, $10.6, 381128, $10.42, $10.76, $10.41
03/12/2021, $10.49, 270608, $10.47, $10.51, $10.35
03/11/2021, $10.55, 391434, $10.68, $10.68, $10.4
03/10/2021, $10.66, 730106, $10.51, $10.85, $10.39
03/09/2021, $10.5, 363081, $10.44, $10.59, $10.3604
03/08/2021, $10.3, 908208, $10.55, $11.02, $10.27
03/05/2021, $10.73, 771487, $10.64, $10.98, $10.33
03/04/2021, $10.63, 2517119, $10.5, $11, $10.1
03/03/2021, $10.61, 1661909, $10.78, $10.8495, $10.35
03/02/2021, $10.67, 1690462, $11.2, $11.3184, $10.66
03/01/2021, $11.28, 1117593, $11.1, $11.29, $10.945
02/26/2021, $10.93, 1053946, $10.9, $11.07, $10.8
02/25/2021, $10.8, 1439056, $10.89, $11.005, $10.71
02/24/2021, $10.78, 872006, $11.25, $11.4986, $10.75
02/23/2021, $11.06, 1000399, $10.5, $11.14, $10.4
02/22/2021, $10.9, 540224, $11.03, $11.03, $10.77
02/19/2021, $11.03, 442093, $10.82, $11.1, $10.72
02/18/2021, $10.84, 469359, $10.85, $10.9465, $10.66
02/17/2021, $11.02, 566700, $10.85, $11.05, $10.5899
02/16/2021, $10.91, 705204, $10.79, $10.93, $10.75
02/12/2021, $10.73, 721714, $10.91, $11, $10.7
02/11/2021, $10.91, 467473, $11.11, $11.14, $10.8
02/10/2021, $11.08, 936701, $11.28, $11.35, $10.88
02/09/2021, $11.18, 1643254, $10.78, $11.31, $10.78
02/08/2021, $10.85, 1454247, $11, $11.04, $10.7
02/05/2021, $10.68, 1415839, $11, $11, $10.65
02/04/2021, $10.86, 1128712, $11.17, $11.25, $10.845
02/03/2021, $11.26, 1477326, $11.45, $11.59, $11.1101
02/02/2021, $11.34, 4674772, $11.66, $11.75, $11.22
02/01/2021, $11.1, 11760610, $11.32, $11.6, $10.68
01/29/2021, $10.53, 287893, $10.42, $10.68, $10.4
01/28/2021, $10.5, 399374, $10.69, $10.7, $10.41
01/27/2021, $10.4, 522880, $11, $11.12, $10.3
01/26/2021, $10.9, 1687536, $10.84, $11, $10.56
01/25/2021, $10.29, 109652, $10.48, $10.48, $10.27
01/22/2021, $10.24, 63736, $10.22, $10.31, $10.2
01/21/2021, $10.245, 45047, $10.34, $10.72, $10.19
01/20/2021, $10.21, 24463, $10.21, $10.26, $10.21
01/19/2021, $10.17, 119718, $10.25, $10.35, $10.16
01/15/2021, $10.16, 154396, $10.45, $10.45, $10.16
01/14/2021, $10.36, 46320, $10.22, $10.45, $10.22
01/13/2021, $10.25, 50806, $10.26, $10.3, $10.1701
01/12/2021, $10.22, 8394, $10.21, $10.27, $10.21
01/11/2021, $10.24, 72748, $10.15, $10.29, $10.14
01/08/2021, $10.18, 114515, $10.15, $10.23, $10
01/07/2021, $10.135, 9176, $10.23, $10.23, $10.125
01/06/2021, $10.07, 60698, $10.07, $10.18, $10.05
01/05/2021, $10.105, 18214, $10.2, $10.2, $10.08
01/04/2021, $10.08, 35177, $10.01, $10.24, $10.01
12/31/2020, $9.97, 86325, $10.26, $10.26, $9.97
12/30/2020, $10.18, 25719, $10.12, $10.19, $10.09
12/29/2020, $10.06, 94859, $10.17, $10.17, $10.05
12/28/2020, $10.05, 243169, $10.05, $10.13, $10.03
12/24/2020, $10.02, 4167, $10.25, $10.25, $10.01
12/23/2020, $9.99, 30125, $10.1, $10.1, $9.95
12/22/2020, $10.03, 15053, $10, $10.05, $9.98
12/21/2020, $9.95, 6673, $9.97, $9.99, $9.95
12/18/2020, $10, 87555, $10.11, $10.11, $9.98
12/17/2020, $10, 7838, $10, $10.09, $9.98
12/16/2020, $10.01, 30835, $9.96, $10.02, $9.96
12/15/2020, $9.95, 214937, $9.87, $9.95, $9.86
12/14/2020, $9.84, 28652, $10.05, $10.05, $9.84
12/11/2020, $9.94, 45940, $9.98, $10, $9.89
12/10/2020, $9.8576, 2404, $9.88, $10, $9.82
12/09/2020, $9.86, 4894, $9.9, $9.94, $9.79
12/08/2020, $9.82, 14493, $9.85, $9.85, $9.8
12/07/2020, $9.9007, 746, $10.04, $10.04, $9.9007
12/04/2020, $9.885, 2029, $9.885, $9.885, $9.885
12/03/2020, $9.85, 481, $9.77, $9.85, $9.77
12/02/2020, $9.78, 377067, $10, $10, $9.78
12/01/2020, $10.06, 3828, $10.042, $10.115, $9.887
11/30/2020, $9.905, 712, $9.9, $10.12, $9.6601
11/27/2020, $9.85, 26701, $9.755, $9.9, $9.65
11/25/2020, $9.88, 1400, $10.11, $10.12, $9.88
11/24/2020, $9.85, 19352, $9.71, $9.85, $9.65
11/23/2020, $9.7, 180609, $9.72, $9.72, $9.7
11/20/2020, $9.652, 759, $10.2199, $10.2199, $9.652
11/19/2020, $9.92, 480, $9.92, $9.92, $9.92
11/18/2020, $9.9161, 534, $9.89, $10.0749, $9.89
11/17/2020, $9.745, 182, $9.745, $9.745, $9.745
11/16/2020, $9.7, 201816, $10, $10, $9.69
11/13/2020, $9.65, 100, $9.65, $9.65, $9.65
