Date, Close/Last, Volume, Open, High, Low
03/24/2021, $18.82, 250477, $20.08, $20.36, $18.81
03/23/2021, $19.84, 218857, $19.99, $20.47, $19.75
03/22/2021, $20.08, 182547, $20.21, $20.48, $19.1001
03/19/2021, $20.11, 610161, $19.58, $20.24, $19.185
03/18/2021, $19.75, 377164, $20.58, $20.84, $19.7
03/17/2021, $20.72, 366327, $20.69, $20.92, $19.55
03/16/2021, $20.91, 555939, $21.3, $21.6084, $20.1
03/15/2021, $21.38, 171056, $21.79, $22.025, $20.81
03/12/2021, $22.3, 117137, $22.83, $22.83, $21.8
03/11/2021, $22.8, 161898, $22.47, $22.92, $22.1
03/10/2021, $22.1, 142505, $21.51, $22.55, $21.51
03/09/2021, $21.54, 161330, $22.03, $22.31, $21.39
03/08/2021, $21.71, 143798, $21.86, $22.18, $20.985
03/05/2021, $21.53, 308216, $22.61, $22.61, $19.95
03/04/2021, $21.85, 361577, $22.92, $22.92, $20.76
03/03/2021, $23.05, 188112, $23.96, $24.421, $23.05
03/02/2021, $23.62, 188100, $24.37, $24.57, $23.44
03/01/2021, $24.22, 196025, $22.95, $24.31, $22.85
02/26/2021, $22.25, 307684, $22.27, $22.87, $21.4
02/25/2021, $22.45, 176391, $23.86, $24.35, $21.99
02/24/2021, $24.13, 277803, $23.84, $25.08, $23.51
02/23/2021, $23.8, 371339, $22.29, $23.8692, $20.34
02/22/2021, $22.84, 314567, $23.66, $24.24, $22.46
02/19/2021, $23.77, 1234930, $22.12, $24.6, $22.04
02/18/2021, $24.31, 873022, $23.36, $24.89, $21.8501
02/17/2021, $24.04, 275161, $24.01, $24.44, $22.775
02/16/2021, $24.38, 367027, $25.41, $25.95, $23.68
02/12/2021, $24.74, 299599, $24.8, $25.162, $24.13
02/11/2021, $24.65, 822875, $26.25, $26.57, $23.8401
02/10/2021, $26, 296882, $26.975, $26.975, $24.77
02/09/2021, $25.28, 214289, $25.75, $26.64, $25.26
02/08/2021, $25.7, 439722, $24.18, $25.92, $23.71
02/05/2021, $23.62, 258017, $22.99, $24, $21.9388
02/04/2021, $22.49, 293127, $21.07, $22.57, $20.83
02/03/2021, $20.7, 89084, $21.04, $21.22, $20.4
02/02/2021, $21.02, 136504, $21.42, $21.42, $20.39
02/01/2021, $21.03, 159075, $20.25, $21.17, $19.1835
01/29/2021, $20.06, 252899, $21, $21.74, $19
01/28/2021, $20.91, 227453, $21, $21.86, $19.95
01/27/2021, $20.77, 362080, $19.47, $21.335, $19.21
01/26/2021, $19.94, 236533, $18.25, $20.1666, $18.1593
01/25/2021, $18.17, 184890, $18.72, $19.05, $17.89
01/22/2021, $18.88, 84657, $18.5, $18.95, $18.15
01/21/2021, $18.78, 93302, $19, $19.2, $18.74
01/20/2021, $18.99, 152225, $19.32, $19.59, $18.6401
01/19/2021, $18.75, 436042, $21.18, $21.56, $18.64
01/15/2021, $20.3, 181229, $19.58, $20.47, $19.09
01/14/2021, $19.97, 242432, $19.25, $20.11, $19
01/13/2021, $18.55, 258605, $18.4, $19.62, $17.99
01/12/2021, $18.34, 101242, $17.68, $18.45, $17.54
01/11/2021, $17.63, 107379, $17.55, $17.91, $17.26
01/08/2021, $17.92, 110737, $18.66, $18.959, $17.57
01/07/2021, $18.51, 131915, $17.65, $18.59, $17.525
01/06/2021, $17.62, 359367, $16.83, $18.5, $16.83
01/05/2021, $16.39, 147005, $15.75, $16.75, $15.75
01/04/2021, $15.79, 134956, $16.9, $16.9, $15.2101
12/31/2020, $16.69, 116109, $16.68, $16.925, $16.24
12/30/2020, $16.6, 89160, $16.52, $16.715, $16.13
12/29/2020, $16.45, 108386, $16.46, $16.66, $15.86
12/28/2020, $16.5, 141544, $18.1, $18.22, $16.26
12/24/2020, $17.71, 64970, $17, $17.76, $16.51
12/23/2020, $17.07, 106172, $17.71, $18, $16.7735
12/22/2020, $17.65, 328449, $16.16, $17.99, $16.025
12/21/2020, $16.16, 140693, $15.6, $16.19, $15.28
12/18/2020, $16.03, 845124, $17.22, $17.5891, $15.53
12/17/2020, $17.28, 327603, $16.29, $17.33, $16.29
12/16/2020, $16.26, 228444, $16.1, $16.75, $16
12/15/2020, $16.05, 238749, $15.95, $16.145, $15.45
12/14/2020, $15.83, 233863, $14.96, $16.22, $14.94
12/11/2020, $14.74, 90576, $14.35, $14.8498, $14.24
12/10/2020, $14.44, 123976, $15, $15.77, $14.2604
12/09/2020, $15.17, 252160, $16.2, $16.37, $14.45
12/08/2020, $16.08, 509037, $14.39, $16.24, $14.24
12/07/2020, $14.23, 107187, $14.41, $14.49, $14.19
12/04/2020, $14.43, 87805, $14.61, $14.75, $14.17
12/03/2020, $14.44, 78253, $14.41, $14.88, $14.235
12/02/2020, $14.39, 117762, $14.61, $14.61, $14.07
12/01/2020, $14.5, 188177, $14.47, $14.61, $14
11/30/2020, $14.12, 267013, $14.92, $15.1, $13.97
11/27/2020, $14.92, 185093, $15.04, $15.17, $14.76
11/25/2020, $14.86, 611042, $13.24, $14.8899, $13.01
11/24/2020, $13.15, 573228, $12.12, $13.18, $12.12
11/23/2020, $12, 263634, $11.73, $12.32, $11.73
11/20/2020, $11.67, 137321, $11.64, $11.87, $11.57
11/19/2020, $11.79, 119555, $11.69, $11.93, $11.53
11/18/2020, $11.7, 374822, $11.5, $12.41, $11.41
11/17/2020, $11.4, 97614, $11.27, $11.48, $11.19
11/16/2020, $11.39, 139131, $11.43, $11.54, $11.18
11/13/2020, $11.16, 165166, $11.75, $11.8, $10.77
11/12/2020, $11.45, 90375, $11.63, $11.67, $11.28
11/11/2020, $11.7, 64391, $11.82, $11.82, $11.572
11/10/2020, $11.74, 119434, $11.47, $11.75, $11.27
11/09/2020, $11.26, 129415, $11.97, $12.21, $11.26
11/06/2020, $11.2, 56373, $11.09, $11.37, $10.935
11/05/2020, $10.97, 110801, $11.23, $11.49, $10.58
11/04/2020, $11.24, 75932, $11.29, $11.29, $10.85
11/03/2020, $11.47, 202844, $11.68, $11.72, $11.07
