Date, Close/Last, Volume, Open, High, Low
01/20/2021, $2.14, 963711, $2.2, $2.27, $2.035
01/19/2021, $2.2, 1423719, $2.334, $2.38, $2.175
01/15/2021, $2.3, 2316875, $2.517, $2.52, $2.25
01/14/2021, $2.58, 4522702, $2.24, $2.65, $2.2
01/13/2021, $2.17, 1541243, $2.12, $2.19, $2.08
01/12/2021, $2.11, 1180052, $2.17, $2.23, $2.08
01/11/2021, $2.17, 3839212, $2.06, $2.27, $1.98
01/08/2021, $2.04, 1594029, $1.97, $2.06, $1.9
01/07/2021, $1.9, 550694, $1.86, $1.9, $1.8395
01/06/2021, $1.83, 584449, $1.89, $1.925, $1.83
01/05/2021, $1.91, 1551947, $1.84, $1.95, $1.79
01/04/2021, $1.83, 388741, $1.77, $1.83, $1.73
12/31/2020, $1.77, 616895, $1.8, $1.84, $1.73
12/30/2020, $1.85, 749219, $1.752, $1.9, $1.72
12/29/2020, $1.72, 892143, $1.82, $1.84, $1.68
12/28/2020, $1.82, 589472, $1.91, $1.911, $1.81
12/24/2020, $1.9, 294014, $1.94, $1.95, $1.88
12/23/2020, $1.91, 414758, $1.92, $1.97, $1.9
12/22/2020, $1.92, 587253, $1.95, $1.985, $1.91
12/21/2020, $1.9, 684452, $1.85, $1.98, $1.85
12/18/2020, $1.84, 1008661, $1.94, $2.02, $1.84
12/17/2020, $1.92, 791030, $1.84, $2, $1.84
12/16/2020, $1.82, 701563, $1.9, $1.93, $1.8
12/15/2020, $1.88, 387742, $1.93, $1.96, $1.85
12/14/2020, $1.92, 593631, $2, $2.005, $1.89
12/11/2020, $1.96, 784103, $1.92, $2.0199, $1.87
12/10/2020, $1.91, 595577, $1.97, $1.97, $1.86
12/09/2020, $1.97, 3391772, $1.85, $2.11, $1.82
12/08/2020, $1.85, 497289, $1.8, $1.86, $1.76
12/07/2020, $1.77, 503850, $1.82, $1.84, $1.75
12/04/2020, $1.8, 639523, $1.84, $1.85, $1.79
12/03/2020, $1.84, 345672, $1.8, $1.87, $1.77
12/02/2020, $1.75, 571098, $1.8, $1.82, $1.72
12/01/2020, $1.82, 501578, $1.95, $1.95, $1.82
11/30/2020, $1.95, 652546, $1.98, $1.98, $1.88
11/27/2020, $1.97, 770935, $1.89, $1.98, $1.86
11/25/2020, $1.86, 555125, $1.808, $1.9, $1.73
11/24/2020, $1.78, 514537, $1.87, $1.87, $1.76
11/23/2020, $1.83, 850784, $1.74, $1.88, $1.7
