Date, Close/Last, Volume, Open, High, Low
01/20/2021, $66.92, 99489, $66.79, $68.8282, $66.37
01/19/2021, $66.87, 105155, $67.89, $68.68, $66.299
01/15/2021, $67.06, 125856, $66.51, $67.5, $65.5142
01/14/2021, $67.33, 115858, $66.46, $67.69, $66.1
01/13/2021, $65.92, 104329, $66.56, $67.5, $65.53
01/12/2021, $66.69, 139243, $65.2, $66.93, $64.66
01/11/2021, $64.94, 64235, $63.84, $65.23, $63.84
01/08/2021, $64.94, 153124, $66.23, $66.23, $64.13
01/07/2021, $66.01, 144810, $66.13, $66.25, $63.5
01/06/2021, $66.05, 270523, $60.15, $66.49, $60.03
01/05/2021, $58.96, 120069, $57.72, $59.98, $57.72
01/04/2021, $57.76, 171657, $58.5, $59, $56.96
12/31/2020, $57.88, 60581, $57.83, $58.27, $57.52
12/30/2020, $57.89, 49328, $57.96, $58.435, $57.69
12/29/2020, $57.73, 73541, $58.74, $58.74, $57.085
12/28/2020, $58.53, 113790, $59.34, $59.34, $58.15
12/24/2020, $58.63, 36649, $58.02, $59.14, $58.02
12/23/2020, $57.98, 59269, $57.99, $58.31, $56.86
12/22/2020, $57.34, 57098, $58.07, $58.54, $57.09
12/21/2020, $58.09, 70124, $57.65, $58.48, $55.63
12/18/2020, $58.83, 618989, $59.58, $59.58, $58.2
12/17/2020, $59.22, 69144, $60.33, $60.33, $58.9
12/16/2020, $59.97, 84638, $61.19, $61.375, $59.585
12/15/2020, $60.69, 129472, $59.84, $61.28, $59.45
12/14/2020, $59.04, 209157, $61.41, $61.41, $58.37
12/11/2020, $60.91, 89618, $61.26, $61.76, $60.3
12/10/2020, $61.26, 73883, $62.42, $63.05, $60.31
12/09/2020, $63.33, 98965, $62.81, $63.945, $61.095
12/08/2020, $62.05, 113153, $61.25, $62.68, $61.25
12/07/2020, $61.86, 106158, $62.07, $62.44, $59.18
12/04/2020, $62.48, 155342, $59.8, $62.78, $59.085
12/03/2020, $59.15, 95053, $58.4, $59.64, $57.85
12/02/2020, $58.39, 123361, $58.29, $58.75, $55.74
12/01/2020, $58.34, 152749, $58.6, $59.05, $57.8
11/30/2020, $58, 238840, $58.8, $59.15, $57.72
11/27/2020, $58.62, 42513, $59.08, $59.23, $58.51
11/25/2020, $59.23, 167353, $58.43, $59.38, $57.71
11/24/2020, $58.9, 265125, $57.36, $59.18, $56.46
11/23/2020, $57.07, 93304, $55.66, $57.6499, $55.66
11/20/2020, $55.53, 121623, $55.69, $56.21, $54.3281
11/19/2020, $56.19, 91089, $55.45, $56.38, $54.96
11/18/2020, $55.8, 118688, $56.14, $56.83, $55.61
11/17/2020, $56.18, 123696, $55.62, $56.47, $54.26
11/16/2020, $56.31, 108372, $54.85, $56.39, $54.2988
11/13/2020, $54.07, 93028, $53.63, $54.405, $52.61
11/12/2020, $53.02, 117962, $54.43, $55.72, $52.36
11/11/2020, $55.12, 86670, $56.53, $56.53, $54.53
11/10/2020, $56.34, 209486, $54.69, $56.82, $53.86
11/09/2020, $54.5, 248250, $53.65, $57.06, $53.65
11/06/2020, $50.3, 83248, $49.85, $51.49, $49.08
11/05/2020, $49.91, 108604, $48.53, $51.605, $48.53
11/04/2020, $48.51, 360494, $53.89, $53.89, $48.41
11/03/2020, $54.87, 204762, $54.48, $55.48, $54.19
11/02/2020, $53.41, 113844, $50.98, $53.49, $50.87
10/30/2020, $50.8, 145461, $50.73, $51.2, $50.26
10/29/2020, $51.15, 102183, $50.72, $51.33, $49.67
10/28/2020, $51.15, 106415, $52.15, $52.83, $51.02
10/27/2020, $53.09, 73435, $55.34, $56.393, $52.79
10/26/2020, $55.58, 103481, $56.41, $56.43, $55
10/23/2020, $57.17, 63578, $57.45, $58.055, $56.17
10/22/2020, $57.17, 78103, $58.11, $58.395, $56.79
10/21/2020, $57.77, 80803, $58.08, $59.1, $57.31
10/20/2020, $58.16, 121439, $58.08, $58.5, $57.44
10/19/2020, $57.64, 84539, $57.95, $58.6, $57.24
10/16/2020, $57.69, 98521, $57.68, $59.649, $57.27
10/15/2020, $57.82, 92818, $55.92, $57.9, $55.54
10/14/2020, $56.71, 137900, $58.15, $58.8, $56.64
10/13/2020, $58.23, 111114, $58.68, $58.76, $57.89
10/12/2020, $59.18, 78229, $58.97, $59.65, $58.28
10/09/2020, $58.48, 114636, $59.17, $59.3, $57.94
10/08/2020, $59.06, 107627, $58.81, $59.35, $57.435
10/07/2020, $58.21, 182924, $58.47, $59.55, $57.17
10/06/2020, $57.62, 204122, $57.11, $59.96, $56.405
10/05/2020, $56.8, 237069, $55.03, $56.91, $54.71
10/02/2020, $54.83, 140690, $52.78, $54.97, $52.78
10/01/2020, $53.78, 190864, $53.91, $54.53, $52.25
09/30/2020, $54.25, 151993, $54.05, $55.01, $53.16
09/29/2020, $53.67, 115832, $53.13, $53.8, $52.4
09/28/2020, $53.28, 221955, $51.68, $53.76, $51.68
09/25/2020, $51, 197160, $50.74, $52.08, $50.01
09/24/2020, $50.87, 125291, $50.14, $51.96, $49.065
09/23/2020, $50.19, 188686, $49.83, $50.67, $49.83
09/22/2020, $49.91, 115544, $49.27, $50.14, $48.74
09/21/2020, $49.29, 113202, $52.09, $52.81, $48.275
09/18/2020, $53.04, 398616, $54.16, $54.81, $52.77
09/17/2020, $53.68, 205308, $52.54, $54.23, $50.36
09/16/2020, $53.13, 105982, $52.44, $53.52, $50.36
09/15/2020, $52.12, 76410, $52.09, $52.59, $51.19
09/14/2020, $51.85, 60403, $51.65, $52.38, $51.48
09/11/2020, $51.31, 81866, $51.67, $52.27, $50.965
09/10/2020, $51.69, 77682, $53.12, $53.12, $51.2
