Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.74, 655503, $9.9, $9.9075, $9.7
03/23/2021, $9.9, 176111, $9.94, $9.94, $9.82
03/22/2021, $9.93, 81444, $10, $10, $9.91
03/19/2021, $9.97, 193177, $9.93, $10.01, $9.9
03/18/2021, $9.92, 231300, $9.93, $9.97, $9.9
03/17/2021, $9.95, 94449, $9.97, $9.97, $9.92
03/16/2021, $9.94, 142095, $9.92, $9.975, $9.92
03/15/2021, $9.96, 302079, $9.97, $10, $9.94
03/12/2021, $9.94, 243106, $9.95, $9.97, $9.9
03/11/2021, $9.98, 770652, $9.95, $10, $9.9
03/10/2021, $9.93, 383024, $9.97, $10, $9.92
03/09/2021, $9.97, 247636, $9.98, $10.0499, $9.95
03/08/2021, $9.95, 240681, $10.06, $10.0999, $9.945
03/05/2021, $10.06, 819378, $9.98, $10.155, $9.96
03/04/2021, $9.99, 719121, $10.02, $10.08, $9.95
03/03/2021, $10.09, 268185, $10.05, $10.09, $10.0011
03/02/2021, $10.08, 295249, $10.06, $10.14, $10.01
03/01/2021, $10.09, 276065, $10.15, $10.18, $10.06
02/26/2021, $10.2, 427656, $10.2, $10.215, $10.03
02/25/2021, $10.25, 224067, $10.3, $10.3, $10.15
02/24/2021, $10.35, 331075, $10.29, $10.35, $10.2
02/23/2021, $10.27, 779462, $10.25, $10.34, $10.1
02/22/2021, $10.33, 551718, $10.27, $10.36, $10.14
02/19/2021, $10.3, 615172, $10.29, $10.5, $10.2
02/18/2021, $10.31, 815357, $10.35, $10.36, $10.2
02/17/2021, $10.45, 362944, $10.54, $10.55, $10.35
02/16/2021, $10.64, 894939, $10.42, $10.66, $10.35
02/12/2021, $10.49, 544171, $10.35, $10.49, $10.22
02/11/2021, $10.39, 759118, $10.35, $10.55, $10.32
02/10/2021, $10.42, 626936, $10.44, $10.47, $10.38
02/09/2021, $10.47, 485661, $10.5, $10.58, $10.37
02/08/2021, $10.51, 371128, $10.46, $10.65, $10.41
02/05/2021, $10.42, 676143, $10.51, $10.6, $10.37
02/04/2021, $10.44, 999473, $10.73, $10.8014, $10.43
02/03/2021, $10.74, 573846, $10.66, $10.8, $10.4813
02/02/2021, $10.57, 805577, $10.4, $10.64, $10.4
02/01/2021, $10.45, 751112, $10.43, $10.81, $10.4
01/29/2021, $10.45, 730840, $10.48, $10.5, $10.3
01/28/2021, $10.6, 4443586, $10.31, $11.24, $10.23
01/27/2021, $10.27, 791288, $10.2, $10.34, $10.11
01/26/2021, $10.37, 1046227, $10.65, $10.65, $10.29
01/25/2021, $10.68, 1078712, $10.94, $10.96, $10.57
01/22/2021, $10.98, 581044, $10.86, $10.98, $10.8
01/21/2021, $10.86, 1223464, $11.02, $11.06, $10.8
01/20/2021, $11, 550636, $10.92, $11.01, $10.82
01/19/2021, $10.92, 530699, $10.9, $10.96, $10.84
01/15/2021, $10.9, 578660, $10.97, $11.03, $10.8
01/14/2021, $11.06, 824862, $11, $11.1159, $10.91
01/13/2021, $11.07, 1172485, $11.01, $11.1299, $10.9
01/12/2021, $10.93, 1355557, $10.74, $11.06, $10.74
01/11/2021, $10.81, 1254827, $10.72, $10.81, $10.6
01/08/2021, $10.73, 325131, $10.75, $10.7737, $10.65
01/07/2021, $10.69, 823243, $10.7, $10.75, $10.63
01/06/2021, $10.7, 537701, $10.9, $10.93, $10.65
01/05/2021, $10.96, 689047, $10.99, $11.06, $10.6
01/04/2021, $10.9, 556331, $11.23, $11.4, $10.85
12/31/2020, $11.38, 486493, $11.5, $11.5499, $11.26
12/30/2020, $11.31, 656142, $11.28, $11.55, $11.14
12/29/2020, $11.43, 873446, $11.57, $11.64, $11.1
12/28/2020, $11.79, 2664898, $11.95, $12.07, $11.55
12/24/2020, $11.59, 2836411, $11.89, $11.95, $11.25
12/23/2020, $11, 4821099, $11.15, $11.27, $10.51
12/22/2020, $10.2, 47718, $10.5, $10.5, $10.12
12/21/2020, $10.23, 26292, $10.61, $10.61, $10.17
12/18/2020, $10.81, 87187, $10.22, $10.81, $10.19
12/17/2020, $10.22, 28549, $10.1787, $10.24, $10.1787
12/16/2020, $10.22, 48761, $10.25, $10.29, $10.1
12/15/2020, $10.22, 424126, $10.5, $10.5, $10
12/14/2020, $10.2, 140012, $10.75, $10.75, $10.02
