Date, Close/Last, Volume, Open, High, Low
01/20/2021, $38.37, 405607, $38.54, $39.3, $37.87
01/19/2021, $38.68, 448235, $37.13, $38.74, $37.01
01/15/2021, $36.9, 534305, $37.65, $38.33, $36.66
01/14/2021, $38.03, 299392, $37, $38.43, $36.75
01/13/2021, $36.89, 511095, $36.19, $37.33, $36.02
01/12/2021, $36.33, 500669, $35.8, $36.87, $35.61
01/11/2021, $35.84, 407175, $33.83, $35.87, $33.71
01/08/2021, $34.23, 427467, $33.59, $34.57, $33.45
01/07/2021, $33.18, 314615, $33.06, $33.38, $32.62
01/06/2021, $33.16, 693333, $32.8, $33.51, $32.15
01/05/2021, $32.59, 484714, $32.01, $32.88, $32
01/04/2021, $32.03, 533543, $34.03, $34.1018, $31.96
12/31/2020, $33.95, 343385, $33.02, $34.19, $32.61
12/30/2020, $32.91, 295607, $32.97, $33.41, $32.86
12/29/2020, $32.89, 256677, $34.02, $34.04, $32.77
12/28/2020, $34.05, 256229, $34.65, $34.98, $34
12/24/2020, $34.42, 122317, $33.44, $34.57, $33.44
12/23/2020, $33.51, 287891, $33.43, $33.64, $32.73
12/22/2020, $33.27, 342202, $33.92, $34.49, $33.235
12/21/2020, $33.93, 445944, $33.01, $33.95, $32.5101
12/18/2020, $33.93, 927658, $33.55, $34.92, $33.49
12/17/2020, $33.43, 276573, $33.22, $33.48, $32.51
12/16/2020, $33.1, 788449, $33.75, $34.14, $32.77
12/15/2020, $33.64, 330956, $32.46, $33.7, $32.05
12/14/2020, $32.13, 1139640, $31.67, $32.66, $31.39
12/11/2020, $31.46, 439528, $31.44, $32.09, $31.14
12/10/2020, $31.66, 576676, $31.22, $31.71, $30.87
12/09/2020, $31.5, 650326, $30.28, $31.8, $30.28
12/08/2020, $30.3, 544436, $29, $30.35, $28.99
12/07/2020, $29.22, 403903, $29.25, $29.59, $28.62
12/04/2020, $29.26, 475189, $29.1, $29.47, $29.05
12/03/2020, $28.93, 517495, $28.54, $29.11, $28.46
12/02/2020, $28.61, 341953, $28.59, $29.04, $27.97
12/01/2020, $28.64, 492746, $28.9, $29.245, $28.415
11/30/2020, $28.63, 478401, $29.48, $29.89, $28.57
11/27/2020, $29.91, 329706, $29.25, $30.34, $29.175
11/25/2020, $29.26, 374125, $28.86, $29.41, $27.85
11/24/2020, $29.07, 561077, $28.56, $29.09, $28.34
11/23/2020, $28.37, 437477, $28.13, $28.63, $27.84
11/20/2020, $27.93, 2239866, $27.86, $28.26, $27.63
11/19/2020, $28.07, 312329, $28.18, $28.7, $27.74
11/18/2020, $28.29, 324292, $28.78, $28.9, $27.8
11/17/2020, $28.61, 377110, $28.48, $29.08, $28.18
11/16/2020, $28.8, 461775, $29.05, $29.28, $28.39
11/13/2020, $28.57, 492404, $27.98, $28.785, $27.74
11/12/2020, $27.81, 369054, $27.72, $28.2, $27.12
11/11/2020, $27.94, 370188, $27.55, $28.29, $27.11
11/10/2020, $27.85, 579236, $27.18, $28.56, $27.01
