Date, Close/Last, Volume, Open, High, Low
03/24/2021, $46.92, 44549, $48.76, $51.47, $46.9
03/23/2021, $48.38, 53765, $50.7, $50.895, $48.18
03/22/2021, $51.27, 59048, $50.06, $51.92, $49.44
03/19/2021, $50.53, 158096, $49.44, $51.58, $47.98
03/18/2021, $49.27, 28792, $49.72, $50.64, $48.79
03/17/2021, $49.79, 46839, $49.9, $50.55, $49.1
03/16/2021, $49.75, 43812, $51.28, $51.375, $49.53
03/15/2021, $51.68, 40382, $52.43, $52.43, $50.825
03/12/2021, $52.09, 35183, $51.73, $52.65, $51.18
03/11/2021, $52.11, 39289, $52.06, $52.38, $50.94
03/10/2021, $51.79, 39199, $50.33, $52.115, $49.9175
03/09/2021, $50.43, 57843, $52.37, $52.37, $49.94
03/08/2021, $52.28, 64029, $49.85, $52.65, $49.48
03/05/2021, $49.88, 58502, $49.1, $50.13, $48.22
03/04/2021, $48.24, 56012, $48.62, $49.64, $47.48
03/03/2021, $48.58, 29351, $47.14, $48.93, $46.44
03/02/2021, $46.9, 66967, $47, $48.29, $46.5776
03/01/2021, $47.21, 90827, $49.17, $50.4397, $46.37
02/26/2021, $48.68, 98461, $46.11, $49.97, $45.64
02/25/2021, $46.01, 44792, $44.65, $46.53, $44.65
02/24/2021, $45.09, 41948, $46.27, $48, $43.33
02/23/2021, $46.9, 41356, $45.66, $47.4, $45.03
02/22/2021, $45.86, 38411, $44.96, $45.95, $43.9901
02/19/2021, $44.94, 32674, $44.67, $46.01, $44.5
02/18/2021, $44.25, 50218, $45.32, $45.48, $43.69
02/17/2021, $45.63, 207366, $45.45, $45.8, $43.95
02/16/2021, $45.77, 39483, $45.6, $45.99, $44.58
02/12/2021, $45.42, 16343, $45.8, $45.985, $44.9
02/11/2021, $45.8, 33832, $46.43, $46.49, $44.37
02/10/2021, $46.34, 21075, $47.47, $47.71, $46.29
02/09/2021, $47.32, 33864, $46.6, $47.52, $45.93
02/08/2021, $46.54, 28810, $45.17, $46.84, $45.17
02/05/2021, $45.43, 23693, $44.86, $45.55, $44.33
02/04/2021, $44.16, 45269, $44.12, $44.47, $42.43
02/03/2021, $43.16, 36979, $43.68, $43.84, $42.68
02/02/2021, $43.9, 33222, $44.38, $44.8899, $43.65
02/01/2021, $44.18, 34876, $43.18, $44.51, $43.02
01/29/2021, $43.18, 50133, $42.32, $44.615, $42.32
01/28/2021, $43.89, 61904, $47.06, $47.06, $43.77
01/27/2021, $46.76, 57200, $47.7, $47.93, $46.27
01/26/2021, $48.38, 34681, $48.21, $48.46, $46.7
01/25/2021, $47.94, 47039, $45.96, $48.36, $45.41
01/22/2021, $45.82, 67773, $45.14, $45.89, $43.99
01/21/2021, $45.81, 52048, $47.11, $47.3585, $45.48
01/20/2021, $46.92, 32656, $47.51, $47.78, $46.63
01/19/2021, $47.5, 42765, $47.84, $47.94, $46.76
01/15/2021, $47.03, 33305, $47.09, $47.8776, $46.22
01/14/2021, $47.52, 30449, $46.91, $48.24, $46.39
01/13/2021, $46.45, 24230, $47.45, $48.0575, $46.1
01/12/2021, $47.54, 36651, $47.07, $48.1625, $46.295
01/11/2021, $46.88, 30364, $47.35, $48.44, $46.06
01/08/2021, $48.27, 128467, $49.67, $49.88, $47.11
01/07/2021, $49.48, 61709, $47.91, $49.7, $46.57
01/06/2021, $48.17, 103773, $45.85, $49.91, $43.94
01/05/2021, $45.16, 76929, $44.23, $46.46, $42.98
01/04/2021, $44.56, 97318, $42.06, $45.63, $41.93
12/31/2020, $41.76, 25380, $41.83, $42.14, $40.99
12/30/2020, $41.9, 40383, $42.99, $43.39, $41.67
12/29/2020, $42.88, 34995, $43.99, $43.99, $42.38
12/28/2020, $43.99, 47280, $44.5, $44.89, $43.73
12/24/2020, $44.5, 14330, $44.08, $44.82, $43.92
12/23/2020, $44.08, 35187, $43.94, $45.345, $43.43
12/22/2020, $43.58, 39799, $43.3, $44.395, $42.79
12/21/2020, $43.63, 71166, $42.75, $44.165, $41.49
12/18/2020, $43.34, 236463, $46.13, $46.7395, $43.16
12/17/2020, $45.78, 112439, $46.93, $50.99, $45.5
12/16/2020, $46.12, 43932, $47.66, $48.583, $46
12/15/2020, $47.99, 32927, $46.54, $47.99, $46.2187
12/14/2020, $46.15, 57532, $47.03, $47.87, $45.7
12/11/2020, $46.4, 31478, $46.11, $47.07, $45.08
12/10/2020, $46.15, 19807, $46.77, $46.77, $45.73
12/09/2020, $46.95, 32271, $48.25, $48.25, $46.55
