Date, Close/Last, Volume, Open, High, Low
01/20/2021, $38.54, 291498, $38.57, $39.39, $38.35
01/19/2021, $38.79, 537184, $40.62, $40.62, $38.68
01/15/2021, $40.33, 289973, $40, $40.48, $39.72
01/14/2021, $40.15, 297282, $40.26, $40.39, $39.61
01/13/2021, $39.93, 393969, $40.04, $40.19, $39.73
01/12/2021, $39.97, 240994, $39.89, $40.08, $39.475
01/11/2021, $39.97, 396650, $39.93, $40.5, $39.5
01/08/2021, $40.12, 557085, $39.61, $40.14, $39.31
01/07/2021, $40.79, 378195, $41.18, $41.45, $40.51
01/06/2021, $41.2, 560075, $39.43, $41.4734, $39.07
01/05/2021, $38.82, 408018, $39.42, $39.68, $38.54
01/04/2021, $39.47, 395115, $40.25, $40.52, $39.385
12/31/2020, $40.14, 401401, $39.62, $40.39, $39.62
12/30/2020, $39.66, 184544, $39.71, $40.0378, $39.63
12/29/2020, $39.74, 238393, $40.5, $40.66, $39.61
12/28/2020, $40.42, 425523, $40.08, $40.73, $39.97
12/24/2020, $39.92, 182264, $39.96, $39.9899, $39.51
12/23/2020, $39.68, 432235, $39.52, $39.975, $39.36
12/22/2020, $39.34, 307974, $38.21, $39.41, $38.12
12/21/2020, $38.3, 580968, $38.33, $38.44, $37.27
12/18/2020, $38.85, 1852851, $39.68, $40.11, $38.58
12/17/2020, $39.52, 428628, $39.69, $40.0895, $39.45
12/16/2020, $39.61, 292593, $40.02, $40.3599, $39.5
12/15/2020, $39.78, 409679, $39.22, $39.82, $38.87
12/14/2020, $39.11, 426551, $39.25, $40.25, $39.1
12/11/2020, $38.96, 362011, $38.62, $39.2799, $38.62
12/10/2020, $38.86, 454305, $38.58, $38.96, $38.29
12/09/2020, $38.57, 288772, $37.77, $38.68, $37.59
12/08/2020, $37.75, 420015, $37.6, $38.01, $37.35
12/07/2020, $37.8, 392733, $37.16, $37.86, $37.09
12/04/2020, $37.38, 429749, $37.68, $37.96, $37.15
12/03/2020, $37.42, 448254, $37.3, $37.5, $36.995
12/02/2020, $37.43, 463223, $37.18, $37.47, $36.2
12/01/2020, $37.62, 434354, $37.86, $38.12, $37.31
11/30/2020, $37.52, 469476, $38.09, $38.378, $37.43
11/27/2020, $38.4, 216690, $39.07, $39.07, $38.05
11/25/2020, $39.15, 433193, $39.39, $39.39, $38.83
11/24/2020, $39.4, 492704, $38.93, $39.64, $38.67
11/23/2020, $38.4, 275378, $37.7, $38.52, $37.68
11/20/2020, $37.51, 288285, $37.25, $37.74, $37.08
11/19/2020, $37.5, 244653, $37.52, $37.78, $37.01
11/18/2020, $37.69, 291032, $38.72, $38.72, $37.67
11/17/2020, $38.58, 361244, $38.65, $39.12, $38.02
11/16/2020, $39.14, 371033, $38.45, $39.15, $38
11/13/2020, $37.82, 256193, $36.97, $38.06, $36.96
11/12/2020, $36.8, 472906, $37.34, $37.47, $36.395
11/11/2020, $37.71, 350807, $37.65, $37.98, $37.39
11/10/2020, $37.53, 390405, $36.23, $37.56, $36.09
11/09/2020, $35.89, 555991, $35.16, $36.91, $35.16
11/06/2020, $33.99, 405038, $33.91, $34.1561, $33.49
11/05/2020, $33.78, 275744, $34, $34.7088, $33.57
11/04/2020, $33.75, 407143, $34.59, $35.31, $33.65
11/03/2020, $34.85, 349773, $34.47, $35.04, $34.28
11/02/2020, $33.93, 199837, $33.64, $33.94, $33.25
10/30/2020, $33.22, 348222, $33.25, $33.6, $33.01
10/29/2020, $33.35, 334088, $33.04, $33.63, $32.26
10/28/2020, $33.04, 512965, $33.95, $34.33, $32.95
10/27/2020, $34.44, 374670, $35.22, $35.26, $34.42
10/26/2020, $35.22, 309801, $34.67, $35.28, $34.49
