Date, Close/Last, Volume, Open, High, Low
03/24/2021, $50.41, 417520, $50.84, $51.6, $50.3
03/23/2021, $50.3, 506037, $50.15, $50.435, $49.39
03/22/2021, $50.51, 415856, $51.29, $51.335, $50.097
03/19/2021, $51.7, 1586162, $52.62, $52.73, $51.31
03/18/2021, $53.09, 597086, $51.94, $53.26, $51.435
03/17/2021, $51.85, 337377, $52.46, $52.47, $51.28
03/16/2021, $52.32, 227576, $52.21, $52.81, $51.67
03/15/2021, $52.66, 365078, $51.56, $52.73, $50.85
03/12/2021, $51.71, 558992, $52.41, $52.8, $51.6
03/11/2021, $52.12, 369652, $51.72, $52.2, $50.985
03/10/2021, $51.87, 381611, $51.43, $52.83, $51.08
03/09/2021, $51.49, 508972, $51.86, $52.2, $50.47
03/08/2021, $52.13, 677736, $50.57, $52.58, $50.5
03/05/2021, $50.03, 545567, $49.61, $50.3, $48.88
03/04/2021, $49.15, 391362, $50.04, $50.31, $48.68
03/03/2021, $49.95, 392290, $50, $50.885, $49.62
03/02/2021, $49.82, 309319, $49.84, $50.11, $49.35
03/01/2021, $49.97, 581491, $51.04, $51.57, $49.88
02/26/2021, $50.53, 500072, $50, $50.77, $49.42
02/25/2021, $50.08, 243497, $50.89, $51.15, $50.04
02/24/2021, $50.53, 463597, $50.3, $52.04, $50.3
02/23/2021, $50.17, 334906, $50.39, $50.93, $50.02
02/22/2021, $50.39, 286703, $48.9, $50.66, $48.67
02/19/2021, $49.03, 308335, $50.17, $50.31, $48.92
02/18/2021, $50, 281808, $50.3, $50.4, $49.94
02/17/2021, $50.52, 409120, $50.06, $50.825, $49.94
02/16/2021, $50.17, 345796, $50.75, $50.75, $49.46
02/12/2021, $50.58, 353682, $51.14, $51.39, $50.29
02/11/2021, $51.42, 469654, $50.32, $51.87, $50.27
02/10/2021, $50.46, 500821, $49.25, $50.62, $49.06
02/09/2021, $49.06, 661517, $49.99, $50.36, $48.6
02/08/2021, $50, 618324, $49.61, $50.79, $49.39
02/05/2021, $49.06, 503062, $49.08, $49.74, $48.89
02/04/2021, $48.62, 492958, $46.58, $48.68, $46.52
02/03/2021, $46.14, 639078, $45.95, $46.47, $45.66
02/02/2021, $46.18, 365799, $46.71, $46.93, $45.95
02/01/2021, $46.18, 502044, $46.11, $46.38, $45.23
01/29/2021, $45.9, 989803, $44.72, $46.535, $44.26
01/28/2021, $45, 606133, $47.68, $48.5, $44.78
01/27/2021, $47.4, 515256, $47.08, $48.5, $46.7001
01/26/2021, $47.79, 384900, $48.66, $48.727, $47.75
01/25/2021, $48.49, 307334, $48.31, $48.905, $48.055
01/22/2021, $48.84, 391957, $49.43, $49.9299, $48.69
01/21/2021, $49.93, 253382, $51.53, $51.81, $49.92
01/20/2021, $51.53, 328494, $51.51, $51.96, $51.01
01/19/2021, $51.5, 380026, $51.24, $51.94, $50.49
01/15/2021, $50.92, 356283, $51.16, $51.62, $50.844
01/14/2021, $51.66, 354503, $51.58, $52.09, $51.19
01/13/2021, $51.34, 388707, $51.05, $52.18, $50.9
01/12/2021, $51.02, 899718, $50.59, $51.25, $50.17
01/11/2021, $50.29, 344141, $50, $50.5499, $49.28
01/08/2021, $50.56, 399446, $51.18, $51.18, $49.64
01/07/2021, $50.81, 511467, $51.94, $52.56, $50.7
01/06/2021, $52.5, 438765, $50.1, $52.66, $50.1
01/05/2021, $49.24, 283382, $49.11, $49.765, $48.8
01/04/2021, $49.03, 261301, $50.38, $50.39, $48.75
12/31/2020, $50.39, 198576, $50, $50.63, $49.66
12/30/2020, $50.02, 149611, $49.97, $50.69, $49.915
12/29/2020, $50.29, 249680, $51.17, $51.17, $49.99
12/28/2020, $50.83, 193716, $50.8, $51.24, $50.22
12/24/2020, $50.36, 165042, $50.63, $50.71, $49.65
12/23/2020, $50.62, 310075, $50.33, $51.55, $50.33
12/22/2020, $50.19, 368896, $49.84, $50.66, $49.32
12/21/2020, $50.13, 366155, $50.53, $50.6, $49.42
12/18/2020, $50.85, 749826, $50.83, $51.845, $50.34
12/17/2020, $51.53, 399885, $52.03, $52.49, $51.17
12/16/2020, $51.92, 308008, $52.81, $52.895, $51.79
12/15/2020, $52.68, 201424, $51.68, $52.71, $51.1
12/14/2020, $51.25, 311574, $52.33, $52.68, $50.72
12/11/2020, $51.88, 274511, $51.81, $52.67, $51.54
12/10/2020, $52.32, 257079, $51.77, $52.49, $51.25
12/09/2020, $52.19, 319421, $52.5, $52.85, $51.79
12/08/2020, $52.38, 429160, $52.42, $52.6814, $51.96
12/07/2020, $53.09, 384363, $52.99, $53.96, $52.4
12/04/2020, $53.33, 417682, $52.04, $53.37, $51.68
12/03/2020, $51.54, 387490, $51.13, $51.55, $50.73
12/02/2020, $51.17, 265127, $51.15, $51.49, $50.48
12/01/2020, $51.4, 324660, $50.97, $51.44, $50.67
11/30/2020, $50.11, 516484, $51.47, $51.8, $49.947
11/27/2020, $51.84, 105571, $52.99, $52.99, $51.52
11/25/2020, $52.66, 389506, $53.1, $53.2487, $51.94
11/24/2020, $53.49, 282967, $53, $53.72, $52.47
11/23/2020, $52.35, 328557, $51.62, $52.59, $51.21
11/20/2020, $51.28, 771996, $51.53, $52.17, $50.27
11/19/2020, $51.83, 503200, $51.06, $51.89, $50.56
11/18/2020, $51.46, 803516, $50.92, $52.21, $50.83
11/17/2020, $50.87, 532213, $50.82, $50.88, $50.03
11/16/2020, $50.98, 569943, $49.99, $51.04, $49.65
11/13/2020, $48.56, 405830, $48.04, $49.11, $47.9
11/12/2020, $47.51, 457786, $48.19, $48.53, $47
11/11/2020, $48.71, 307392, $49.76, $49.76, $48.08
11/10/2020, $49.81, 382808, $47.75, $49.83, $47.48
11/09/2020, $47.61, 445431, $47.5, $48.47, $46.98
11/06/2020, $44.5, 403103, $44.78, $44.9582, $44.165
11/05/2020, $44.36, 498230, $43.29, $45.1075, $43.28
11/04/2020, $43.25, 435712, $43.65, $44.85, $43.16
11/03/2020, $44.4, 533045, $44.32, $44.965, $44.03
11/02/2020, $43.54, 569980, $43.18, $43.97, $42.9
10/30/2020, $42.69, 980106, $44.24, $44.64, $42.435
10/29/2020, $44.52, 886969, $44.57, $45.5, $43.14
10/28/2020, $44.62, 731210, $44.77, $45.6, $44.45
10/27/2020, $45.42, 517570, $46.53, $46.83, $45.38
10/26/2020, $46.59, 431975, $47.73, $47.73, $46.23
10/23/2020, $48.24, 416772, $47.91, $48.34, $47.38
10/22/2020, $47.44, 339201, $46.69, $47.7, $46.38
10/21/2020, $46.79, 545876, $45, $46.97, $44.9
10/20/2020, $44.82, 388140, $44.65, $44.98, $44.34
10/19/2020, $44.06, 499403, $45, $45.2, $44.05
10/16/2020, $44.88, 340605, $45.25, $45.36, $44.34
10/15/2020, $45.04, 638210, $45, $45.1, $44.29
10/14/2020, $45.43, 963238, $44.13, $46.26, $44.13
10/13/2020, $44.4, 562309, $45.25, $45.7499, $44.11
10/12/2020, $45.65, 215812, $45.06, $45.85, $44.94
10/09/2020, $45.27, 424959, $45.37, $45.83, $44.97
10/08/2020, $45, 463792, $44.93, $45.26, $44.34
10/07/2020, $44.53, 406515, $45.29, $45.66, $43.92
10/06/2020, $45.01, 399628, $46.03, $46.14, $44.59
10/05/2020, $45.66, 469414, $44.87, $45.82, $44.475
10/02/2020, $44.23, 378135, $43.14, $44.5, $42.97
10/01/2020, $43.82, 477303, $43.84, $44.1938, $43.32
09/30/2020, $44.04, 526863, $44.13, $44.47, $43.58
09/29/2020, $43.88, 275966, $43.95, $44.1, $43.38
09/28/2020, $44.22, 564489, $43.53, $44.64, $43.5
09/25/2020, $42.91, 343675, $42.6, $43.13, $42.42
09/24/2020, $43.12, 508957, $42.57, $43.81, $42.17
09/23/2020, $42.78, 849079, $44.06, $44.62, $42.77
09/22/2020, $44.01, 782281, $44.34, $45.04, $43.88
09/21/2020, $44.48, 1150033, $45.75, $46.1909, $43.7
09/18/2020, $46.5, 1663178, $46.1, $46.86, $46
09/17/2020, $46.05, 599244, $45.6, $46.34, $45.23
09/16/2020, $46.11, 705411, $45.58, $46.48, $45.32
09/15/2020, $45.55, 390249, $46.32, $46.42, $45.495
09/14/2020, $46.08, 615120, $45.95, $46.21, $45.38
09/11/2020, $45.56, 751775, $45.88, $45.89, $45.1312
09/10/2020, $45.78, 808832, $46.82, $47.0342, $45.77
09/09/2020, $46.82, 916606, $47.22, $47.88, $46.2366
09/08/2020, $47.06, 1033588, $48.71, $48.96, $46.6927
09/04/2020, $49.13, 883032, $49.66, $49.66, $47.88
09/03/2020, $48.69, 1002178, $49, $50.05, $48.36
09/02/2020, $48.71, 675115, $48.74, $49.19, $48.34
09/01/2020, $48.69, 738065, $47.45, $48.9, $47
08/31/2020, $47.76, 716865, $48.38, $48.46, $47.42
08/28/2020, $48.37, 1035406, $48.04, $48.72, $47.67
08/27/2020, $47.39, 923359, $45.65, $47.9, $45.65
08/26/2020, $45.41, 1226677, $45.54, $45.56, $44.585
08/25/2020, $45.49, 1111008, $46.22, $46.43, $45.13
08/24/2020, $45.96, 677388, $45.2, $45.97, $44.98
08/21/2020, $45.01, 863359, $45.37, $45.65, $44.77
08/20/2020, $45.52, 1000513, $45.76, $46, $45.22
08/19/2020, $46, 1073651, $46, $46.19, $45.56
08/18/2020, $45.6, 1858839, $46, $46.18, $45.43
08/17/2020, $46, 1437185, $46.04, $46.23, $45.45
08/14/2020, $46, 899563, $45.89, $46.6, $45.515
08/13/2020, $46.19, 949127, $46.32, $46.49, $45.41
08/12/2020, $46.01, 1764488, $46.63, $46.63, $45.975
08/11/2020, $45.74, 1386780, $46.15, $46.695, $44.991
08/10/2020, $44.78, 893362, $44.59, $45.14, $44.09
08/07/2020, $44.09, 940005, $42.83, $44.135, $42.74
08/06/2020, $42.82, 1063195, $42.85, $43.49, $42.74
08/05/2020, $42.98, 874410, $41.69, $43.02, $41.465
08/04/2020, $40.78, 925502, $41.29, $41.39, $40.5
08/03/2020, $41.5, 896233, $40.5, $41.69, $40.16
07/31/2020, $40.12, 824686, $40.34, $40.48, $39.61
07/30/2020, $40.17, 825528, $40.8, $41.15, $39.79
07/29/2020, $41.71, 1383069, $42.71, $42.71, $40.8
07/28/2020, $40.8, 668054, $40.83, $41.17, $40.38
07/27/2020, $40.83, 1002246, $40.81, $41.56, $40.03
07/24/2020, $40.91, 714888, $41.4, $41.55, $40.72
07/23/2020, $41.39, 626989, $40.6, $41.6, $40.52
07/22/2020, $40.73, 545683, $40.06, $40.83, $39.82
07/21/2020, $40.23, 718835, $39.58, $40.69, $39.58
07/20/2020, $39.64, 549709, $40.56, $40.73, $39.46
07/17/2020, $40.84, 452830, $41.23, $41.23, $40.5
07/16/2020, $41.18, 663190, $40.45, $41.72, $40.1601
07/15/2020, $40.45, 897392, $40.1, $40.61, $39.79
07/14/2020, $39.43, 726438, $38.73, $39.72, $38.42
07/13/2020, $38.91, 938111, $39.01, $39.53, $38.01
07/10/2020, $38.83, 1420997, $37.21, $38.87, $36.91
07/09/2020, $37.2, 1090272, $38.42, $38.44, $36.68
07/08/2020, $38.46, 1417145, $38.5, $39.205, $38.1
07/07/2020, $38.63, 2506532, $39.45, $39.45, $38.55
07/06/2020, $39.59, 531860, $40.24, $40.35, $39.46
07/02/2020, $39.48, 792610, $40.56, $40.81, $39.44
07/01/2020, $39.8, 1828329, $40.55, $40.85, $39.31
06/30/2020, $40.56, 1152243, $40.71, $41.16, $40.35
06/29/2020, $40.74, 763833, $40.21, $41.1, $39.73
06/26/2020, $39.69, 1683443, $41.15, $41.55, $39.69
06/25/2020, $42.25, 847489, $41.74, $42.4, $41.1
06/24/2020, $41.86, 1008767, $42.92, $43.11, $41.45
06/23/2020, $43.5, 1027294, $43.38, $43.9, $42.94
06/22/2020, $42.84, 847885, $43.39, $43.39, $42.18
06/19/2020, $43.3, 1612821, $43.5, $43.78, $42.78
06/18/2020, $42.19, 1410432, $41.36, $42.839, $41.19
06/17/2020, $41.76, 1378525, $42.03, $42.575, $41.08
06/16/2020, $42.03, 1683890, $42.89, $43.42, $41.73
06/15/2020, $40.94, 1153940, $38.69, $41.065, $38.69
06/12/2020, $40.08, 729784, $40.33, $40.56, $38.9
06/11/2020, $38.89, 1117884, $39.79, $40.51, $38.79
06/10/2020, $41.42, 797607, $42.75, $42.75, $41.35
06/09/2020, $42.78, 892990, $42.11, $43.105, $41.89
06/08/2020, $43.02, 737820, $41.95, $43.28, $41.5
06/05/2020, $41.05, 1024448, $42.01, $42.01, $40.06
06/04/2020, $40, 765613, $38.97, $40.145, $38.58
06/03/2020, $39.04, 856101, $37.99, $39.54, $37.62
06/02/2020, $37.33, 1195467, $37.25, $37.9, $37.03
06/01/2020, $37.03, 523369, $37.5, $37.62, $36.775
05/29/2020, $37.54, 686013, $38.65, $38.65, $37.18
05/28/2020, $39.06, 495814, $39.55, $39.55, $38.63
05/27/2020, $39.16, 641341, $40.57, $40.73, $38.87
05/26/2020, $39.15, 532018, $39.51, $39.84, $39.05
05/22/2020, $38, 468085, $38.08, $38.42, $37.51
05/21/2020, $38.04, 618487, $36.5, $38.04, $36.18
05/20/2020, $36.69, 1256261, $35.95, $36.79, $35.87
05/19/2020, $35.49, 471598, $36.08, $36.261, $35.48
05/18/2020, $36.28, 576914, $35.44, $36.565, $35.44
05/15/2020, $34.3, 1340088, $33.39, $34.39, $32.87
05/14/2020, $33.29, 1215119, $34.15, $34.45, $32.82
05/13/2020, $34.77, 881443, $36.53, $36.755, $34.455
05/12/2020, $36.9, 616419, $37.87, $38.22, $36.9
05/11/2020, $37.87, 1161963, $38.83, $39.0044, $37.58
05/08/2020, $39.38, 673262, $38.59, $39.6, $38.18
05/07/2020, $37.8, 1017535, $36.78, $38.475, $36.62
05/06/2020, $36.33, 1041221, $36.5, $36.985, $36.14
05/05/2020, $35.85, 1422015, $35.68, $37.895, $35.46
05/04/2020, $35.41, 738550, $34.75, $35.605, $34.16
05/01/2020, $34.93, 658035, $35.97, $36.05, $34.23
04/30/2020, $36.6, 889443, $37.23, $37.47, $36
04/29/2020, $37.82, 863492, $36.57, $37.98, $36.33
04/28/2020, $35.83, 1383682, $35.46, $36.39, $35.01
