Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.53, 6165050, $11.19, $11.2, $10.42
03/23/2021, $10.855, 10630470, $11.51, $11.68, $10.59
03/22/2021, $11.8, 18851410, $13.66, $14.24, $11.655
03/19/2021, $13.24, 13173230, $12.65, $13.61, $12.65
03/18/2021, $12.69, 4911127, $13.01, $13.595, $12.6501
03/17/2021, $13.24, 5215380, $12.867, $13.315, $12.54
03/16/2021, $13.01, 5778770, $13.49, $13.75, $12.63
03/15/2021, $13.48, 6041753, $12.92, $13.93, $12.8
03/12/2021, $12.64, 7620605, $12.87, $13.16, $12.3
03/11/2021, $12.99, 9079619, $13.83, $13.92, $12.84
03/10/2021, $13.61, 9483168, $12.122, $13.77, $12.122
03/09/2021, $12.07, 6349851, $11.44, $12.305, $11.3
03/08/2021, $11.095, 4599351, $11.255, $11.66, $11.06
03/05/2021, $11.15, 8551267, $11.08, $11.19, $9.6901
03/04/2021, $10.92, 8271775, $11.71, $12.01, $10.7801
03/03/2021, $11.87, 5167030, $11.7, $12.15, $11.55
03/02/2021, $11.74, 4534968, $11.81, $12.2021, $11.68
03/01/2021, $11.98, 5784571, $11.27, $12.08, $11.2
02/26/2021, $10.78, 4942442, $10.88, $11.09, $10.29
02/25/2021, $10.47, 7844867, $11.09, $11.64, $10.3734
02/24/2021, $11.81, 4841720, $11.17, $11.85, $10.82
02/23/2021, $11.09, 7456181, $10.51, $11.29, $10.29
02/22/2021, $11.19, 8606440, $11.69, $12.41, $11.06
02/19/2021, $11.53, 6365477, $11, $11.61, $10.88
02/18/2021, $10.8, 6022577, $10.45, $10.9584, $10.26
02/17/2021, $10.66, 5944205, $10.2012, $10.88, $9.9501
02/16/2021, $10.34, 7321895, $9.7, $10.47, $9.53
02/12/2021, $9.57, 8617509, $9.1, $9.76, $8.86
02/11/2021, $9.2, 5843920, $9.6, $9.73, $9.17
02/10/2021, $9.55, 5183064, $9.86, $10.07, $9.4
02/09/2021, $9.9, 5371061, $10.25, $10.2554, $9.82
02/08/2021, $10.25, 6127784, $9.99, $10.41, $9.83
02/05/2021, $9.79, 7466041, $9.66, $10.16, $9.51
02/04/2021, $9.65, 9459962, $10.23, $10.275, $9.4675
02/03/2021, $10.3, 9783184, $11.1, $11.15, $10.1215
02/02/2021, $10.53, 28640100, $12.79, $12.9, $9.44
02/01/2021, $11.85, 37550050, $10.75, $12.04, $10.21
01/29/2021, $8.52, 4906486, $8.82, $9.06, $8.37
01/28/2021, $8.71, 4782844, $8.979, $9.24, $8.46
01/27/2021, $8.76, 5539258, $8.89, $9.16, $8.69
01/26/2021, $9.16, 4773459, $9.26, $9.485, $9.0501
01/25/2021, $9.16, 5181497, $9.09, $9.25, $8.77
01/22/2021, $9.21, 9074236, $9.54, $9.78, $8.87
01/21/2021, $9.145, 4029499, $9.255, $9.33, $9.05
01/20/2021, $9.24, 4894063, $9.04, $9.4, $8.84
01/19/2021, $9.065, 6035755, $8.94, $9.35, $8.86
01/15/2021, $8.8, 5880445, $8.56, $8.99, $8.39
01/14/2021, $8.59, 5107619, $8.19, $8.68, $8.12
01/13/2021, $8.15, 4629451, $8.0561, $8.41, $7.8957
01/12/2021, $8.04, 4983917, $7.647, $8.25, $7.55
01/11/2021, $7.51, 3936344, $7.7, $7.75, $7.45
01/08/2021, $7.74, 3972893, $7.83, $7.995, $7.575
01/07/2021, $7.74, 3846355, $7.76, $7.89, $7.5301
01/06/2021, $7.55, 5292409, $7.39, $7.79, $7.36
01/05/2021, $7.37, 3279204, $7.35, $7.46, $7.27
01/04/2021, $7.375, 3784113, $7.48, $7.7, $7.28
12/31/2020, $7.45, 3426749, $7.537, $7.555, $7.31
12/30/2020, $7.5, 5870596, $7.11, $7.65, $7.06
12/29/2020, $7.04, 5865912, $7.1, $7.28, $6.88
12/28/2020, $7.18, 4584942, $7.294, $7.49, $7.07
12/24/2020, $7.28, 2846302, $7.57, $7.6155, $7.22
12/23/2020, $7.555, 5759233, $7.4, $7.6605, $7.17
