Date, Close/Last, Volume, Open, High, Low
03/24/2021, $0.86, 22386, $0.91, $0.91, $0.86
03/23/2021, $0.88, 59008, $1.01, $1.1, $0.8799
03/22/2021, $1.01, 25404, $1.08, $1.09, $1.01
03/19/2021, $1.11, 67493, $1.06, $1.1223, $1.02
03/18/2021, $1.01, 56839, $1.05, $1.1199, $1.01
03/17/2021, $1.01, 24524, $1.06, $1.2, $1.01
03/16/2021, $1.1599, 10539, $1.1601, $1.23, $1.07
03/15/2021, $1.25, 89076, $1.225, $1.3, $1.06
03/12/2021, $1.19, 69400, $1.12, $1.19, $1
03/11/2021, $1.15, 122735, $1.19, $1.3, $1.1
03/10/2021, $1.18, 249680, $0.97, $1.2299, $0.92
03/09/2021, $0.97, 125050, $0.95, $0.98, $0.83
03/08/2021, $0.92, 29264, $0.95, $0.95, $0.8201
03/05/2021, $0.9, 228741, $0.75, $0.9, $0.75
03/04/2021, $0.8, 111417, $0.9, $0.9, $0.7201
03/03/2021, $0.95, 71556, $0.97, $0.97, $0.8601
03/02/2021, $0.95, 127070, $0.875, $0.9927, $0.85
03/01/2021, $0.9, 31383, $0.99, $1.05, $0.811
02/26/2021, $0.71, 81020, $0.7, $0.73, $0.67
02/25/2021, $0.7, 69205, $0.85, $0.85, $0.68
02/24/2021, $0.75, 727652, $0.71, $0.85, $0.64
