Date, Close/Last, Volume, Open, High, Low
01/20/2021, $31.21, 121505, $28.49, $31.99, $28.175
01/19/2021, $28.56, 256193, $28.6, $30.36, $26.6
01/15/2021, $28, 259527, $26, $28.81, $25.8943
01/14/2021, $25.99, 64767, $24.23, $26.34, $23.24
01/13/2021, $23.78, 95455, $22.31, $24.25, $21.46
01/12/2021, $22.31, 103415, $22.71, $22.82, $21.35
01/11/2021, $22.55, 101017, $21.19, $23.19, $20.5083
01/08/2021, $21.19, 117223, $19.93, $22.57, $19.8
01/07/2021, $19.16, 66099, $19.28, $19.575, $18.46
01/06/2021, $19.37, 69096, $18.07, $19.45, $18
01/05/2021, $18.28, 95655, $19.81, $19.97, $18
01/04/2021, $19.8, 153413, $20.16, $20.18, $18.43
12/31/2020, $20.16, 97619, $18.87, $21.015, $18.2
12/30/2020, $18.87, 127468, $18.8, $19.9099, $18.66
12/29/2020, $18.86, 106988, $18.98, $19.13, $17.741
12/28/2020, $18.88, 91675, $18.2, $18.98, $17.44
12/24/2020, $17.97, 67552, $19.32, $19.515, $17.91
12/23/2020, $19.61, 240761, $18.27, $19.94, $18.27
12/22/2020, $18.24, 309835, $17, $18.49, $17
12/21/2020, $17.07, 176344, $15.93, $17.265, $15.32
12/18/2020, $16.11, 422845, $17.43, $17.4385, $15.9101
12/17/2020, $17.26, 214662, $16.87, $17.805, $16.55
12/16/2020, $16.67, 128748, $16.38, $17.055, $15.67
12/15/2020, $16.42, 71129, $16.53, $16.93, $15.82
12/14/2020, $15.9, 91100, $15.95, $16.57, $15.66
12/11/2020, $15.74, 106512, $15.5, $16.625, $15.5
12/10/2020, $15.69, 94831, $14.94, $16.55, $14.9
12/09/2020, $15.32, 38759, $15.71, $16.63, $15.05
12/08/2020, $15.83, 49911, $14.5, $16.7, $14.5
12/07/2020, $14.41, 127315, $15.45, $15.7411, $14.24
12/04/2020, $15.44, 85838, $16.57, $16.99, $15.05
12/03/2020, $16.37, 49687, $16.4, $16.92, $16
12/02/2020, $16.44, 56623, $15.68, $16.554, $15.52
12/01/2020, $15.7, 151893, $17.94, $17.9756, $15.67
11/30/2020, $17.94, 166035, $16.9, $18.07, $16.9
11/27/2020, $16.94, 83351, $18, $18.33, $16.7088
11/25/2020, $17.97, 158056, $17.95, $18.34, $17.71
11/24/2020, $17.82, 203499, $17.82, $18.4, $17.66
11/23/2020, $17.65, 208499, $17.02, $17.98, $16.4606
11/20/2020, $17.09, 223530, $16.29, $17.245, $16.06
11/19/2020, $16.06, 280460, $15.99, $17.2899, $15.7
11/18/2020, $15.64, 558168, $17.24, $19.1341, $15.02
11/17/2020, $16.35, 983562, $13.75, $18, $13.14
11/16/2020, $13.87, 368425, $11.47, $14.34, $11.07
11/13/2020, $11.32, 194518, $11.35, $11.8009, $11
11/12/2020, $11.27, 204709, $11.75, $12.66, $11.26
11/11/2020, $11.75, 212065, $11.45, $12.6, $11.31
11/10/2020, $11.29, 169391, $11.08, $11.7899, $10.98
11/09/2020, $10.89, 218282, $12.7, $13.14, $10.85
11/06/2020, $12.43, 108616, $12.36, $12.7, $12.2021
11/05/2020, $12.46, 91098, $13.44, $13.44, $12.31
11/04/2020, $13.33, 410349, $13.97, $14.59, $12.87
11/03/2020, $13.83, 247626, $13.6, $14.34, $13
11/02/2020, $13.57, 288764, $12.5, $13.98, $12.004
10/30/2020, $12.43, 405247, $13.74, $13.74, $11.73
10/29/2020, $12.85, 1130792, $12.56, $14.6, $12.5001
10/28/2020, $12.81, 2616999, $13.59, $15, $12.81
