Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14.04, 849084, $15.41, $15.5959, $13.93
03/23/2021, $15.26, 780630, $16.5, $16.66, $14.93
03/22/2021, $16.47, 834556, $17.21, $17.77, $16.28
03/19/2021, $17.1, 1737230, $15.66, $17.12, $15.41
03/18/2021, $15.82, 863286, $15.96, $16.83, $15.64
03/17/2021, $16.08, 1163899, $15.604, $16.65, $15.4
03/16/2021, $15.7, 696797, $15.96, $15.96, $15.1387
03/15/2021, $15.91, 1302104, $14.94, $16.2, $14.871
03/12/2021, $14.9, 656119, $15.13, $15.47, $14.72
03/11/2021, $15.11, 745585, $14.98, $15.28, $14.45
03/10/2021, $14.86, 1205180, $15.28, $15.8599, $14.8
03/09/2021, $14.93, 1241517, $14.29, $15.29, $13.91
03/08/2021, $14.39, 1252677, $13.87, $14.43, $13.3
03/05/2021, $13.195, 1872784, $12.902, $13.2, $11.21
03/04/2021, $12.68, 1982702, $13.7, $14.24, $12.34
03/03/2021, $13.69, 2178382, $15.27, $16.09, $13.41
03/02/2021, $14.72, 1022430, $14.95, $15.4, $14.52
03/01/2021, $14.82, 960449, $13.98, $15.13, $13.86
02/26/2021, $13.5, 676374, $14.21, $14.6199, $13.5
02/25/2021, $14.11, 839745, $14.78, $15.37, $13.87
02/24/2021, $14.77, 489311, $14.57, $14.92, $14.11
02/23/2021, $14.33, 872652, $14.66, $14.8651, $13.08
02/22/2021, $15.07, 562638, $15.25, $15.6688, $14.94
02/19/2021, $15.32, 674777, $15, $15.9499, $14.955
02/18/2021, $14.77, 1010903, $15.48, $15.6578, $14.33
02/17/2021, $15.8, 833638, $15.81, $15.9681, $15.05
02/16/2021, $16.16, 991923, $15.75, $16.58, $15.42
02/12/2021, $15.61, 507516, $15.75, $16.19, $15.35
02/11/2021, $15.87, 676130, $15.75, $16.25, $15.18
02/10/2021, $15.62, 725546, $15.69, $15.88, $15.01
02/09/2021, $15.48, 705042, $15.15, $16, $14.83
02/08/2021, $15.17, 1171277, $15.6, $15.86, $14.65
02/05/2021, $15.35, 1181587, $15.02, $16, $14.76
02/04/2021, $14.86, 898960, $14.5, $14.94, $14.27
02/03/2021, $14.34, 822554, $14.1, $14.82, $13.99
