Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14, 118085, $13.97, $14.02, $13.9143
03/23/2021, $13.8928, 22719, $13.94, $13.98, $13.8701
03/22/2021, $13.98, 64012, $14.07, $14.07, $13.94
03/19/2021, $13.99, 79422, $14.05, $14.11, $13.98
03/18/2021, $14.02, 89830, $14.08, $14.17, $13.78
03/17/2021, $14.11, 43678, $14.21, $14.26, $14.09
03/16/2021, $14.21, 87545, $14.17, $14.24, $14.17
03/15/2021, $14.14, 16854, $14.04, $14.14, $14.009
03/12/2021, $13.99, 47639, $14.1, $14.1, $13.97
03/11/2021, $14, 45552, $14.15, $14.18, $14
03/10/2021, $14.12, 76535, $14.05, $14.12, $14
03/09/2021, $13.97, 80866, $13.93, $14.02, $13.92
03/08/2021, $13.94, 56924, $13.88, $13.97, $13.88
03/05/2021, $13.94, 50964, $13.87, $13.94, $13.83
03/04/2021, $13.86, 58109, $13.93, $14, $13.79
03/03/2021, $13.97, 39607, $13.88, $14, $13.88
03/02/2021, $13.94, 35874, $13.94, $14.04, $13.92
03/01/2021, $14.01, 77406, $13.94, $14.06, $13.94
02/26/2021, $13.99, 53156, $13.83, $13.99, $13.8297
02/25/2021, $13.78, 49007, $13.91, $13.96, $13.78
02/24/2021, $13.96, 65001, $13.88, $13.96, $13.82
02/23/2021, $13.87, 84363, $14.02, $14.03, $13.82
02/22/2021, $13.98, 49284, $13.9, $14.02, $13.8873
02/19/2021, $13.9, 41137, $14, $14.08, $13.88
02/18/2021, $13.88, 53545, $13.95, $13.96, $13.85
02/17/2021, $14, 60204, $14.04, $14.11, $13.99
02/16/2021, $13.96, 64107, $14.17, $14.22, $13.96
02/12/2021, $14.15, 38066, $14.25, $14.26, $14.13
02/11/2021, $14.16, 58637, $14.18, $14.24, $14.13
02/10/2021, $14.22, 41104, $14.21, $14.22, $14.09
02/09/2021, $14.13, 57445, $14, $14.19, $14
02/08/2021, $13.99, 29943, $13.92, $14, $13.92
02/05/2021, $13.92, 44577, $13.99, $14, $13.9
02/04/2021, $13.91, 34271, $13.93, $13.97, $13.9
02/03/2021, $13.88, 40149, $13.93, $13.95, $13.87
02/02/2021, $13.91, 37361, $13.9, $13.95, $13.83
02/01/2021, $13.85, 48080, $13.83, $13.85, $13.76
01/29/2021, $13.76, 35015, $13.88, $13.88, $13.73
01/28/2021, $13.79, 37151, $13.77, $13.8499, $13.77
01/27/2021, $13.77, 86346, $13.9, $13.95, $13.58
01/26/2021, $13.93, 35276, $13.95, $13.9936, $13.91
01/25/2021, $13.95, 34283, $13.94, $13.98, $13.91
01/22/2021, $13.93, 38233, $13.95, $14, $13.911
01/21/2021, $13.96, 38361, $14, $14, $13.92
01/20/2021, $13.91, 36405, $13.92, $13.92, $13.81
01/19/2021, $13.86, 46247, $13.8, $13.9, $13.795
01/15/2021, $13.77, 66332, $13.91, $13.9379, $13.7
01/14/2021, $13.9, 91140, $13.81, $13.9862, $13.8
01/13/2021, $13.81, 32798, $13.76, $13.9, $13.74
01/12/2021, $13.72, 39192, $13.67, $13.74, $13.62
01/11/2021, $13.65, 58186, $13.56, $13.65, $13.55
01/08/2021, $13.56, 32751, $13.56, $13.58, $13.53
01/07/2021, $13.51, 64891, $13.55, $13.55, $13.46
01/06/2021, $13.48, 38270, $13.5, $13.5, $13.41
01/05/2021, $13.5, 44432, $13.42, $13.5, $13.39
01/04/2021, $13.42, 51210, $13.43, $13.4904, $13.3556
12/31/2020, $13.42, 110568, $13.43, $13.46, $13.36
12/30/2020, $13.42, 75624, $13.46, $13.5, $13.4
12/29/2020, $13.51, 59198, $13.51, $13.57, $13.5
12/28/2020, $13.52, 79654, $13.46, $13.52, $13.42
12/24/2020, $13.42, 42842, $13.47, $13.49, $13.4
12/23/2020, $13.37, 41673, $13.37, $13.396, $13.34
12/22/2020, $13.3, 117430, $13.5, $13.571, $13.28
12/21/2020, $13.51, 118249, $13.47, $13.615, $13.47
12/18/2020, $13.665, 60014, $13.74, $13.7596, $13.65
12/17/2020, $13.68, 48028, $13.6, $13.68, $13.5603
12/16/2020, $13.54, 100050, $13.59, $13.66, $13.5
12/15/2020, $13.51, 86356, $13.51, $13.68, $13.49
12/14/2020, $13.44, 80986, $13.43, $13.46, $13.4
12/11/2020, $13.4, 69001, $13.47, $13.5703, $13.3932
12/10/2020, $13.43, 84932, $13.51, $13.57, $13.4
12/09/2020, $13.52, 65974, $13.74, $13.79, $13.51
12/08/2020, $13.72, 53156, $13.74, $13.81, $13.7
12/07/2020, $13.71, 47978, $13.82, $13.89, $13.7
12/04/2020, $13.79, 56692, $13.77, $13.83, $13.76
12/03/2020, $13.74, 62306, $13.65, $13.75, $13.6
12/02/2020, $13.63, 67459, $13.3, $13.63, $13.3
12/01/2020, $13.37, 44885, $13.32, $13.43, $13.24
11/30/2020, $13.21, 59520, $13.18, $13.21, $13.15
11/27/2020, $13.2, 55639, $13.25, $13.25, $13.1539
11/25/2020, $13.163, 77317, $13.12, $13.2, $13.09
11/24/2020, $13.14, 74661, $13.03, $13.14, $12.98
11/23/2020, $12.97, 47832, $12.94, $12.99, $12.92
11/20/2020, $12.91, 46763, $12.97, $13.03, $12.87
11/19/2020, $12.94, 112358, $13.05, $13.06, $12.9
11/18/2020, $13.07, 96568, $13.08, $13.15, $13.05
11/17/2020, $13.06, 47690, $13.04, $13.07, $12.97
11/16/2020, $13.03, 61930, $13.11, $13.12, $13.01
11/13/2020, $12.98, 38996, $13.07, $13.1, $12.98
11/12/2020, $13, 35784, $13.11, $13.11, $12.99
11/11/2020, $13.05, 35701, $12.96, $13.06, $12.9
11/10/2020, $12.95, 21870, $13, $13, $12.9201
11/09/2020, $12.95, 40638, $12.95, $12.99, $12.91
11/06/2020, $12.8, 25635, $12.75, $12.8, $12.65
11/05/2020, $12.76, 35239, $12.78, $12.78, $12.65
11/04/2020, $12.69, 42747, $12.63, $12.73, $12.5632
11/03/2020, $12.58, 46919, $12.53, $12.59, $12.45
11/02/2020, $12.45, 51839, $12.39, $12.49, $12.39
10/30/2020, $12.44, 47227, $12.35, $12.44, $12.35
10/29/2020, $12.43, 62304, $12.29, $12.46, $12.29
10/28/2020, $12.41, 87523, $12.44, $12.5, $12.27
10/27/2020, $12.63, 37934, $12.6, $12.6393, $12.5718
10/26/2020, $12.66, 83680, $12.62, $12.66, $12.555
10/23/2020, $12.73, 48078, $12.73, $12.7599, $12.68
10/22/2020, $12.73, 128621, $12.64, $12.75, $12.64
10/21/2020, $12.8, 115815, $12.88, $12.9212, $12.79
