Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.96, 57386, $11.95, $12.47, $11.94
03/23/2021, $11.88, 82185, $12.36, $12.36, $11.7
03/22/2021, $11.99, 53821, $12.73, $12.74, $11.9
03/19/2021, $12.74, 176859, $12.37, $12.74, $12.13
03/18/2021, $12.5, 253318, $12.36, $12.75, $11.27
03/17/2021, $12.54, 84284, $12.78, $12.87, $12.36
03/16/2021, $12.8, 45733, $13.15, $13.15, $12.53
03/15/2021, $13.18, 149233, $12.8, $13.19, $12.64
03/12/2021, $12.91, 64803, $12.83, $13.06, $12.64
03/11/2021, $12.76, 58222, $12.57, $12.76, $12.42
03/10/2021, $12.57, 84572, $12.34, $12.59, $12.315
03/09/2021, $12.09, 236505, $11.97, $12.37, $11.95
03/08/2021, $11.95, 462021, $11.21, $12.05, $11.21
03/05/2021, $11.24, 135432, $10.95, $11.24, $10.93
03/04/2021, $10.91, 58937, $10.89, $11.02, $10.78
03/03/2021, $10.96, 77457, $10.94, $11.07, $10.93
03/02/2021, $10.75, 52238, $10.96, $10.99, $10.75
03/01/2021, $10.95, 107225, $10.91, $11.1907, $10.855
02/26/2021, $10.87, 41346, $10.63, $10.91, $10.603
02/25/2021, $10.63, 244684, $10.6, $11, $10.5
02/24/2021, $10.57, 37574, $10.29, $10.625, $10.29
02/23/2021, $10.4, 35497, $10.49, $10.64, $10.31
02/22/2021, $10.5, 23055, $10.41, $10.59, $10.39
02/19/2021, $10.49, 57185, $10.06, $10.51, $10.06
02/18/2021, $10.05, 28845, $10.54, $10.54, $9.845
02/17/2021, $10.36, 14859, $10.29, $10.47, $10.24
02/16/2021, $10.35, 33267, $10.62, $10.62, $10.325
02/12/2021, $10.61, 32181, $10.33, $10.61, $10.33
02/11/2021, $10.4, 24710, $10.46, $10.6, $10.22
02/10/2021, $10.48, 22411, $10.59, $10.6, $10.44
02/09/2021, $10.59, 22881, $10.59, $10.72, $10.55
02/08/2021, $10.7, 37576, $10.32, $10.71, $10.315
02/05/2021, $10.54, 25173, $10.44, $10.556, $10.26
02/04/2021, $10.51, 19542, $10.12, $10.51, $9.9922
02/03/2021, $10.18, 27050, $10.13, $10.19, $9.9
02/02/2021, $10.2, 25354, $10.19, $10.2, $10.06
02/01/2021, $10.02, 30801, $10.15, $10.15, $9.91
01/29/2021, $10.13, 35341, $10.44, $10.44, $9.995
01/28/2021, $10.33, 25789, $10.38, $10.4, $10.11
01/27/2021, $10.21, 58787, $10.3, $10.34, $9.98
01/26/2021, $10.55, 39930, $10.6, $10.64, $10.3101
01/25/2021, $10.48, 46399, $10.2, $10.65, $9.95
01/22/2021, $10.25, 42723, $9.84, $10.29, $9.77
01/21/2021, $10.05, 33307, $10.11, $10.15, $9.75
01/20/2021, $10.04, 16479, $10.25, $10.25, $9.97
01/19/2021, $10.27, 33341, $10.32, $10.4493, $10.18
01/15/2021, $10.3, 25632, $10.34, $10.43, $10.3
01/14/2021, $10.53, 42990, $10.61, $10.75, $10.5
01/13/2021, $10.61, 45916, $10.74, $10.74, $10.555
01/12/2021, $10.74, 19445, $10.72, $10.82, $10.61
01/11/2021, $10.7, 57542, $10.8, $10.87, $10.56
01/08/2021, $10.93, 78837, $10.99, $11, $10.775
01/07/2021, $10.85, 98278, $10.46, $10.87, $10.055
01/06/2021, $10.41, 58631, $10, $10.79, $9.88
01/05/2021, $9.83, 34306, $9.77, $9.87, $9.55
01/04/2021, $9.56, 61070, $9.89, $9.89, $9.5
12/31/2020, $9.9, 41337, $9.82, $9.98, $9.74
12/30/2020, $9.85, 21406, $9.89, $10.04, $9.8
12/29/2020, $9.81, 19391, $9.86, $9.86, $9.75
12/28/2020, $9.89, 31353, $9.88, $9.98, $9.8001
12/24/2020, $9.85, 13638, $10.1, $10.1, $9.76
12/23/2020, $10.07, 10465, $9.98, $10.08, $9.88
12/22/2020, $9.88, 73139, $9.95, $9.95, $9.83
12/21/2020, $9.96, 33766, $10.19, $10.234, $9.4387
12/18/2020, $10.28, 86171, $10.23, $10.34, $10.18
12/17/2020, $10.15, 63348, $10.15, $10.16, $10
12/16/2020, $10.06, 13547, $10.2, $10.26, $10.04
12/15/2020, $10.11, 33589, $10.08, $10.28, $9.96
12/14/2020, $9.85, 19401, $10.08, $10.1586, $9.84
12/11/2020, $9.98, 7525, $9.87, $9.9899, $9.83
12/10/2020, $10.02, 18326, $10.2, $10.2, $9.96
12/09/2020, $10.19, 37548, $10.23, $10.36, $9.94
12/08/2020, $10.09, 48250, $9.54, $10.13, $9.535
12/07/2020, $9.78, 24462, $9.78, $9.86, $9.51
12/04/2020, $9.96, 14383, $9.64, $10, $9.64
12/03/2020, $9.64, 9347, $9.57, $9.7, $9.53
12/02/2020, $9.63, 16583, $9.58, $9.75, $9.5
12/01/2020, $9.52, 33722, $9.6, $9.65, $9.39
11/30/2020, $9.41, 39182, $9.5, $9.52, $9.39
11/27/2020, $9.55, 11570, $9.695, $9.695, $9.33
11/25/2020, $9.59, 15342, $9.54, $9.67, $9.44
11/24/2020, $9.7, 72840, $9.11, $9.81, $9.02
11/23/2020, $9.13, 20650, $9.13, $9.19, $9.08
11/20/2020, $9.13, 20268, $9.09, $9.14, $9
11/19/2020, $9.23, 16658, $9.2, $9.255, $9.13
11/18/2020, $9.14, 20904, $9.35, $9.41, $9.14
