Date, Close/Last, Volume, Open, High, Low
01/20/2021, $50.79, 61826, $50.86, $51.53, $50.185
01/19/2021, $50.89, 55763, $50.65, $51.67, $49.745
01/15/2021, $49.98, 53462, $51.61, $52.505, $49.66
01/14/2021, $52.19, 77978, $51, $53.2, $51
01/13/2021, $51.03, 73997, $52.12, $52.12, $50.84
01/12/2021, $52.39, 67251, $50.38, $53.48, $50.38
01/11/2021, $50.38, 56544, $48.95, $51.2, $47.63
01/08/2021, $49.98, 46941, $51.64, $51.64, $49.3268
01/07/2021, $51.1, 88297, $50.16, $51.99, $50.0972
01/06/2021, $50.05, 146093, $48.79, $52, $48.79
01/05/2021, $48, 165541, $44.53, $48.7, $44.53
01/04/2021, $44.32, 89492, $43.56, $45.54, $43.13
12/31/2020, $43.25, 47425, $43.32, $43.77, $42.86
12/30/2020, $43.44, 79160, $42.55, $44.48, $42.55
12/29/2020, $42.95, 58964, $43.79, $43.79, $42.54
12/28/2020, $43.47, 67403, $44.38, $44.53, $43.44
12/24/2020, $44.01, 33794, $44.67, $44.8382, $43.27
12/23/2020, $44.44, 72077, $43.74, $44.71, $43.33
12/22/2020, $43.58, 86636, $44.11, $44.81, $43.2
12/21/2020, $44.11, 109012, $44.39, $45.21, $43.39
12/18/2020, $45.48, 418566, $46.52, $47.27, $45.225
12/17/2020, $46.54, 110573, $46.27, $46.72, $45.18
12/16/2020, $45.99, 87402, $47.79, $47.79, $45.8
12/15/2020, $47.81, 106489, $47.41, $48.5957, $46.7302
12/14/2020, $46.96, 114837, $47.59, $47.59, $45.55
12/11/2020, $47.13, 73691, $47.47, $49.21, $45.8244
12/10/2020, $47.88, 169925, $45.93, $48.44, $45.03
12/09/2020, $45.84, 63603, $46.59, $47.38, $45.3137
12/08/2020, $46.06, 81848, $45.01, $46.39, $44.1069
12/07/2020, $45.59, 109703, $45.19, $46.6, $43.7601
12/04/2020, $45.61, 218587, $43.67, $45.8, $43.09
12/03/2020, $43.14, 71124, $43.19, $43.66, $42.72
12/02/2020, $43, 77968, $41.88, $43.47, $41.095
12/01/2020, $41.88, 99001, $41.22, $41.99, $40.695
11/30/2020, $40.85, 114369, $41.51, $41.63, $40.745
11/27/2020, $41.89, 32919, $42.4, $42.66, $40.26
11/25/2020, $42.73, 88348, $42.56, $42.96, $41.8
11/24/2020, $43.15, 140886, $44.35, $45.07, $42.725
11/23/2020, $43.31, 202537, $41.85, $43.64, $41.04
11/20/2020, $41.33, 119518, $40.36, $42.0499, $39.82
