Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.61, 479570, $10.55, $10.61, $10.52
01/19/2021, $10.51, 812075, $10.51, $10.57, $10.41
01/15/2021, $10.49, 490052, $10.43, $10.5, $10.3578
01/14/2021, $10.47, 675510, $10.43, $10.495, $10.39
01/13/2021, $10.44, 626006, $10.45, $10.48, $10.395
01/12/2021, $10.43, 863619, $10.08, $10.45, $10.0719
01/11/2021, $9.96, 402727, $10, $10.15, $9.94
01/08/2021, $10.09, 652885, $10.13, $10.18, $10
01/07/2021, $10.12, 529746, $10.12, $10.19, $9.86
01/06/2021, $10.06, 1160649, $10.03, $10.165, $9.98
01/05/2021, $9.96, 640019, $10.05, $10.14, $9.95
01/04/2021, $10.11, 632426, $10.23, $10.23, $10.05
12/31/2020, $10.2, 416802, $10.2, $10.24, $10.12
12/30/2020, $10.19, 429034, $10.3, $10.33, $10.145
12/29/2020, $10.33, 373167, $10.43, $10.43, $10.29
12/28/2020, $10.37, 536430, $10.28, $10.45, $10.265
12/24/2020, $10.23, 131585, $10.28, $10.28, $10.17
12/23/2020, $10.21, 420309, $10.26, $10.3, $10.17
12/22/2020, $10.21, 384216, $10.28, $10.33, $10.1601
12/21/2020, $10.28, 603617, $10.28, $10.34, $10.16
12/18/2020, $10.3, 1375569, $10.43, $10.44, $10.29
12/17/2020, $10.42, 353926, $10.43, $10.44, $10.355
12/16/2020, $10.39, 635324, $10.41, $10.49, $10.3849
12/15/2020, $10.46, 409997, $10.29, $10.4822, $10.29
12/14/2020, $10.29, 462526, $10.38, $10.49, $10.28
12/11/2020, $10.38, 368656, $10.37, $10.48, $10.33
12/10/2020, $10.43, 397524, $10.4, $10.45, $10.27
12/09/2020, $10.39, 363688, $10.45, $10.45, $10.32
12/08/2020, $10.4, 405936, $10.3, $10.45, $10.27
12/07/2020, $10.35, 463401, $10.46, $10.46, $10.29
12/04/2020, $10.47, 938983, $10.45, $10.5, $10.37
12/03/2020, $10.35, 575424, $10.32, $10.45, $10.24
12/02/2020, $10.32, 761119, $10.15, $10.38, $10.15
12/01/2020, $10.18, 515852, $10.12, $10.27, $10.06
11/30/2020, $10.15, 829401, $10.39, $10.4, $10.05
11/27/2020, $10.39, 340806, $10.35, $10.43, $10.3
11/25/2020, $10.42, 508717, $10.37, $10.45, $10.26
11/24/2020, $10.33, 913870, $10.19, $10.42, $10.1837
11/23/2020, $10.11, 600696, $10, $10.19, $9.98
11/20/2020, $10, 535157, $10.08, $10.1098, $9.97
11/19/2020, $10.12, 575519, $10.01, $10.14, $9.965
11/18/2020, $10.05, 485181, $10.22, $10.24, $10.04
11/17/2020, $10.19, 355352, $10.2, $10.25, $10.16
11/16/2020, $10.25, 780912, $10.05, $10.25, $10.01
11/13/2020, $10.2, 548660, $10.12, $10.25, $10.08
11/12/2020, $9.99, 324722, $10.17, $10.17, $9.86
11/11/2020, $10.2, 420844, $10.26, $10.3, $10
11/10/2020, $10.29, 1000739, $10.35, $10.35, $10.11
11/09/2020, $10.11, 1072770, $10.25, $10.32, $10.08
11/06/2020, $9.91, 335839, $10.13, $10.14, $9.88
11/05/2020, $10.09, 311866, $10.01, $10.19, $10.01
