Date, Close/Last, Volume, Open, High, Low
03/24/2021, $8.77, 341507, $8.48, $8.84, $8.48
03/23/2021, $8.48, 438127, $8.54, $8.75, $8.47
03/22/2021, $8.71, 347380, $9, $9, $8.69
03/19/2021, $8.91, 1039458, $8.93, $9.03, $8.77
03/18/2021, $8.82, 652736, $9.05, $9.08, $8.77
03/17/2021, $9.01, 578706, $9.11, $9.17, $8.9
03/16/2021, $9.13, 426104, $9.29, $9.3095, $9.03
03/15/2021, $9.36, 387315, $9.37, $9.42, $9.16
03/12/2021, $9.39, 170370, $9.56, $9.615, $9.34
03/11/2021, $9.57, 237087, $9.68, $9.68, $9.5
03/10/2021, $9.56, 229096, $9.33, $9.6475, $9.25
03/09/2021, $9.37, 222277, $9.47, $9.62, $9.35
03/08/2021, $9.46, 278091, $9.7, $9.815, $9.45
03/05/2021, $9.61, 491042, $9.77, $9.86, $9.37
03/04/2021, $9.46, 597651, $9.38, $9.69, $9.12
03/03/2021, $9.35, 435861, $9.24, $9.49, $9.24
03/02/2021, $9.25, 443035, $9.22, $9.31, $9.16
03/01/2021, $9.15, 614405, $9.04, $9.299, $9.01
02/26/2021, $8.93, 879162, $9.26, $9.37, $8.75
02/25/2021, $9.32, 524906, $9.82, $9.9398, $9.28
02/24/2021, $9.91, 612020, $9.32, $9.92, $9.1911
02/23/2021, $9.32, 663596, $9.69, $9.69, $8.87
02/22/2021, $9.69, 393887, $9.51, $10.04, $9.45
02/19/2021, $9.45, 188034, $9.42, $9.62, $9.31
02/18/2021, $9.34, 421938, $9.64, $9.73, $9.34
02/17/2021, $9.75, 231176, $9.74, $9.82, $9.53
02/16/2021, $9.76, 403261, $9.84, $10.09, $9.72
02/12/2021, $9.71, 379979, $9.4, $9.76, $9.4
02/11/2021, $9.85, 475977, $10, $10.13, $9.79
02/10/2021, $9.98, 527499, $9.81, $10, $9.775
02/09/2021, $9.76, 355771, $9.65, $9.91, $9.55
02/08/2021, $9.7, 341157, $9.59, $9.7236, $9.58
02/05/2021, $9.53, 542948, $9.73, $9.77, $9.4
02/04/2021, $9.58, 716767, $9.34, $9.6, $9.17
02/03/2021, $9.19, 342542, $9.02, $9.25, $9.01
02/02/2021, $8.99, 1064672, $8.96, $9.19, $8.87
02/01/2021, $8.76, 1105341, $8.65, $8.8, $8.55
01/29/2021, $8.53, 1003587, $8.61, $8.7, $8.41
01/28/2021, $8.67, 636366, $8.49, $8.7, $8.28
01/27/2021, $8.47, 1112073, $8.38, $8.78, $8.24
01/26/2021, $8.44, 1365595, $8.42, $8.65, $8.17
01/25/2021, $8.3, 353127, $8.24, $8.32, $8.12
01/22/2021, $8.26, 436397, $8.25, $8.26, $8.05
01/21/2021, $8.28, 789719, $8.05, $8.31, $7.959
01/20/2021, $8.04, 305225, $8.3, $8.31, $7.93
01/19/2021, $8.28, 612950, $8.5, $8.635, $8.27
01/15/2021, $8.28, 3809883, $7.86, $8.54, $7.84
01/14/2021, $7.9, 379758, $7.82, $7.97, $7.73
01/13/2021, $7.82, 498235, $7.85, $7.8667, $7.67
01/12/2021, $7.83, 376657, $7.79, $7.865, $7.74
01/11/2021, $7.72, 309760, $7.71, $7.95, $7.68
01/08/2021, $7.79, 373211, $7.77, $7.825, $7.66
01/07/2021, $7.75, 509207, $7.62, $7.86, $7.52
01/06/2021, $7.52, 596135, $7.44, $7.665, $7.35
01/05/2021, $7.32, 1266671, $7.26, $7.44, $7.2
01/04/2021, $7.25, 1453416, $6.76, $7.37, $6.7
12/31/2020, $6.68, 912361, $6.82, $6.83, $6.65
12/30/2020, $6.75, 628550, $6.73, $6.91, $6.73
12/29/2020, $6.74, 379148, $6.81, $6.88, $6.63
12/28/2020, $6.75, 670554, $6.92, $6.9724, $6.64
12/24/2020, $6.88, 170607, $7.03, $7.09, $6.88
12/23/2020, $7.01, 237476, $6.88, $7.06, $6.87
12/22/2020, $6.84, 412632, $6.94, $6.99, $6.8
12/21/2020, $6.96, 233023, $6.88, $7.07, $6.77
12/18/2020, $7, 502473, $7, $7.02, $6.91
12/17/2020, $6.98, 594731, $7.07, $7.13, $6.98
12/16/2020, $6.97, 732716, $7.08, $7.14, $6.97
12/15/2020, $7.06, 382692, $7.1, $7.15, $7.01
12/14/2020, $7.1, 383488, $7.31, $7.3777, $7.07
12/11/2020, $7.3, 153020, $7.35, $7.42, $7.28
12/10/2020, $7.4, 428951, $7.21, $7.5063, $7.21
12/09/2020, $7.23, 331021, $7.35, $7.45, $7.2
12/08/2020, $7.34, 160176, $7.26, $7.4, $7.26
12/07/2020, $7.32, 345908, $7.37, $7.43, $7.16
12/04/2020, $7.38, 485099, $7.27, $7.55, $7.24
12/03/2020, $7.21, 147893, $7.22, $7.285, $7.17
12/02/2020, $7.22, 345275, $7, $7.41, $7
12/01/2020, $7.02, 270565, $7.17, $7.215, $6.9
11/30/2020, $7.02, 416006, $7.24, $7.31, $6.97
11/27/2020, $7.34, 110588, $7.34, $7.43, $7.3
11/25/2020, $7.38, 278173, $7.58, $7.59, $7.33
11/24/2020, $7.57, 640000, $7.6, $7.74, $7.46
11/23/2020, $7.55, 611147, $7.4, $7.56, $7.35
