Date, Close/Last, Volume, Open, High, Low
01/20/2021, $40.78, 439518, $40.55, $41, $40.4
01/19/2021, $40.4, 479044, $40.92, $41, $40.31
01/15/2021, $40.71, 1018669, $40.6, $40.89, $40.42
01/14/2021, $40.63, 401334, $40.9, $40.98, $40.5
01/13/2021, $40.83, 705315, $40.4, $41.15, $40.4
01/12/2021, $40.77, 566989, $40.88, $41.4, $40.42
01/11/2021, $40.59, 2151702, $40.08, $41.3446, $40
01/08/2021, $41.08, 4769701, $40.5, $42.09, $40.23
01/07/2021, $35.68, 302730, $35.8, $35.83, $35.515
01/06/2021, $35.74, 750711, $35.86, $36.18, $35.47
01/05/2021, $35.54, 768685, $35.27, $35.78, $35.26
01/04/2021, $35.33, 1435320, $35.29, $35.49, $34.9301
12/31/2020, $35.3, 469441, $35.3, $35.42, $35.12
12/30/2020, $35.24, 311269, $35.31, $35.69, $35.15
12/29/2020, $35.35, 596599, $35.21, $35.7, $35.03
12/28/2020, $35.21, 540949, $35.2, $35.4599, $35.1
12/24/2020, $35.2, 327359, $35.08, $35.41, $35.04
12/23/2020, $35.11, 566097, $35.2, $35.5, $35.06
12/22/2020, $35.18, 768865, $35.28, $35.49, $34.95
12/21/2020, $35.15, 1073781, $35.41, $35.74, $35.05
12/18/2020, $35.39, 2609533, $35.91, $36.2, $35.39
12/17/2020, $36.01, 1266117, $35.87, $36.25, $35.74
12/16/2020, $35.75, 2845778, $35.78, $36.27, $35.38
12/15/2020, $35.77, 3502599, $35.05, $36.08, $35.04
12/14/2020, $35.67, 860168, $36.12, $37, $35.27
12/11/2020, $36.09, 1013196, $34.96, $36.235, $34.77
12/10/2020, $35.52, 1429803, $33, $36, $32.11
12/09/2020, $34.11, 2792406, $32, $35.32, $31.45
12/08/2020, $25.87, 317150, $25.94, $26.4, $25.68
12/07/2020, $26.17, 491294, $26.19, $26.76, $25.3177
12/04/2020, $26.31, 400007, $25.53, $26.37, $25.14
12/03/2020, $25.2, 470900, $25.24, $25.39, $24.8
12/02/2020, $25.15, 260230, $24.34, $25.29, $24.01
12/01/2020, $24.43, 289232, $24.95, $25, $24.24
11/30/2020, $24.28, 459583, $26, $26, $24.18
11/27/2020, $25.9, 218731, $25.85, $25.9, $25.07
11/25/2020, $25.73, 330150, $24.89, $25.78, $24.41
11/24/2020, $24.87, 613317, $25.43, $25.8, $24.54
11/23/2020, $24.64, 798215, $23.17, $25.41, $22.935
11/20/2020, $22.86, 189681, $22.59, $23.05, $22.25
11/19/2020, $22.9, 167889, $22.45, $23.2053, $21.99
11/18/2020, $22.56, 560074, $23.39, $23.43, $22.52
11/17/2020, $23.11, 689525, $22.49, $23.55, $21.91
11/16/2020, $22.88, 659637, $22.17, $23.62, $21.79
11/13/2020, $21.34, 323103, $20.16, $21.54, $19.93
11/12/2020, $19.875, 485011, $20.19, $20.659, $19.48
11/11/2020, $20.47, 353924, $21.78, $22.38, $20.04
11/10/2020, $21.77, 641967, $21.825, $22.35, $21.39
11/09/2020, $21.33, 1216010, $19.12, $21.92, $18.845
11/06/2020, $17.63, 343886, $19.35, $19.35, $17.56
11/05/2020, $19.4, 271849, $18.76, $19.68, $18.76
11/04/2020, $18.5, 318681, $18.39, $18.77, $18.01
11/03/2020, $18.5, 356539, $18.12, $18.79, $18.12
11/02/2020, $18.01, 471404, $17.99, $18.57, $17.515
10/30/2020, $17.81, 692996, $18.99, $18.99, $16.67
10/29/2020, $17.94, 570448, $17.73, $19.0599, $17.57
10/28/2020, $17.76, 302789, $18.58, $18.7, $17.655
10/27/2020, $18.99, 797456, $19.63, $19.79, $18.74
10/26/2020, $19.78, 250502, $20.05, $20.35, $19.3
10/23/2020, $20.45, 284040, $20.73, $21.18, $20.32
10/22/2020, $20.57, 388122, $19.58, $20.74, $19.33
10/21/2020, $19.32, 236582, $19.35, $19.92, $19.255
10/20/2020, $19.43, 271830, $20.03, $20.36, $19.4
10/19/2020, $19.81, 257816, $20.43, $20.55, $19.76
10/16/2020, $20.2, 245831, $20.42, $20.99, $20.17
10/15/2020, $20.42, 293915, $20.53, $20.78, $19.905
10/14/2020, $20.82, 335802, $21.07, $21.25, $20.71
10/13/2020, $21.08, 317575, $21.04, $21.64, $20.88
10/12/2020, $21.21, 543783, $21.14, $21.24, $20.62
10/09/2020, $21.03, 206433, $21.43, $21.43, $20.71
10/08/2020, $21.19, 296427, $21.17, $21.75, $20.9401
10/07/2020, $20.88, 396147, $21.43, $21.89, $20.61
10/06/2020, $21.33, 390019, $21.33, $22.03, $21.05
10/05/2020, $20.97, 356524, $21.41, $21.43, $20.58
10/02/2020, $21.06, 394992, $19.83, $21.22, $19.4
10/01/2020, $20.41, 414712, $19.78, $20.41, $19.34
09/30/2020, $19.8, 306824, $20.41, $20.8329, $19.44
09/29/2020, $20.28, 390534, $20.24, $20.5675, $19.86
09/28/2020, $20.27, 347702, $19.82, $20.9, $19.82
09/25/2020, $19.51, 439302, $19.37, $19.79, $19.08
09/24/2020, $19.55, 359349, $19.7, $20.185, $19.09
09/23/2020, $19.83, 444458, $20.9, $21.44, $19.8
09/22/2020, $20.93, 413658, $20.65, $21.25, $20.4
09/21/2020, $20.25, 604988, $20.17, $20.35, $18.985
09/18/2020, $20.8, 911473, $20.92, $21.09, $20.355
09/17/2020, $20.66, 1245213, $19.33, $21.39, $19.2
09/16/2020, $19.15, 443827, $18.73, $19.6, $18.67
09/15/2020, $18.72, 589302, $19.97, $20.53, $18.5575
09/14/2020, $19.78, 567770, $19.56, $20.1, $19.485
09/11/2020, $19.4, 391324, $19.65, $19.94, $19.245
09/10/2020, $19.68, 499898, $20, $20.4, $19.675
09/09/2020, $19.9, 483386, $20.83, $20.89, $19.59
09/08/2020, $20.7, 432877, $21.25, $21.43, $20.62
09/04/2020, $21.75, 287524, $22.57, $22.6692, $21.52
09/03/2020, $22.14, 426105, $22.98, $23.29, $21.9
09/02/2020, $22.97, 595823, $21.8, $23.1, $21.8
09/01/2020, $21.71, 627637, $21.72, $22, $21.21
