Date, Close/Last, Volume, Open, High, Low
03/24/2021, $22, 10130, $22.12, $23.545, $22
03/23/2021, $22.5, 8602, $22.9, $23.055, $22.47
03/22/2021, $23.01, 13804, $24.37, $24.7499, $22.9
03/19/2021, $24.65, 53286, $23.31, $24.65, $23.03
03/18/2021, $23.2, 14754, $23.16, $23.38, $22.63
03/17/2021, $23.02, 8243, $23.14, $23.25, $23
03/16/2021, $22.93, 24008, $22.696, $23.58, $22.696
03/15/2021, $23.43, 23686, $24, $24, $23.4
03/12/2021, $23.83, 10684, $23.95, $24.45, $23.67
03/11/2021, $23.88, 14232, $23.4, $23.88, $23.4
03/10/2021, $23.3, 12953, $22.72, $23.38, $22.72
03/09/2021, $22.86, 21625, $22.45, $22.9, $22.4
03/08/2021, $22.55, 14118, $22.05, $22.6, $22.02
03/05/2021, $21.82, 13537, $21.96, $22.35, $21.5024
03/04/2021, $21.7, 17173, $21.6, $21.9, $21.1
03/03/2021, $21.43, 11333, $21.55, $21.85, $20.93
03/02/2021, $21.19, 15427, $20.82, $21.74, $20.52
03/01/2021, $20.69, 8602, $20.7, $20.72, $20.32
02/26/2021, $20.35, 7944, $20.77, $20.85, $20.33
02/25/2021, $20.7, 20177, $20.66, $20.9, $20.3433
02/24/2021, $20.63, 15015, $19.92, $20.6634, $19.92
02/23/2021, $19.5, 15492, $19.5, $19.75, $19.43
02/22/2021, $19.25, 5578, $19.29, $19.5855, $19.25
02/19/2021, $19.29, 17071, $19.5, $19.65, $19.13
02/18/2021, $19.2, 9830, $19.431, $19.64, $19.16
02/17/2021, $19.3, 10625, $19.29, $19.68, $19.216
02/16/2021, $19.11, 18599, $18.75, $19.57, $18.75
02/12/2021, $18.73, 8465, $19, $19.1181, $18.47
02/11/2021, $19.15, 16992, $19.6076, $19.8906, $19.1001
02/10/2021, $19.36, 12341, $19.51, $19.8972, $19.21
02/09/2021, $19.14, 6116, $19.09, $19.5121, $18.74
02/08/2021, $19.09, 11817, $18.45, $19.26, $18.2316
02/05/2021, $18.35, 19037, $18.94, $19.02, $18.1101
02/04/2021, $18.75, 9577, $18.63, $19, $18.63
02/03/2021, $18.75, 9564, $18.72, $18.75, $18.25
02/02/2021, $18.63, 5918, $18.87, $19.25, $18.605
02/01/2021, $18.72, 7319, $19.5148, $19.5148, $18.06
01/29/2021, $18.01, 12841, $18.6527, $18.6527, $17.7601
01/28/2021, $18.5, 10738, $18.11, $18.85, $18.05
01/27/2021, $18.1, 27737, $18.65, $18.65, $18
01/26/2021, $18.97, 15992, $18.81, $19.35, $18.81
01/25/2021, $19.03, 8107, $19.1, $19.235, $18.75
01/22/2021, $19.45, 16847, $18.75, $19.45, $18.33
01/21/2021, $18.75, 15761, $19.69, $19.69, $18.75
01/20/2021, $19.15, 11782, $19.41, $19.91, $19
01/19/2021, $19.41, 15963, $19.52, $19.8166, $18.21
01/15/2021, $19.82, 5938, $19.83, $20.07, $19.81
01/14/2021, $20.13, 20908, $20.66, $20.785, $19.62
01/13/2021, $20.46, 16717, $19.91, $20.92, $19.87
01/12/2021, $20.78, 14337, $19.85, $20.81, $19.85
01/11/2021, $19.8, 15459, $19.36, $19.915, $18.93
01/08/2021, $19.62, 7513, $20.14, $20.14, $19.5
01/07/2021, $19.87, 16638, $20.42, $20.42, $19.74
01/06/2021, $20.28, 17994, $19.6, $20.99, $19.53
01/05/2021, $19.355, 13262, $19.6, $19.66, $19.25
01/04/2021, $19.61, 6236, $20, $20, $19.61
12/31/2020, $20.01, 4812, $20.41, $20.41, $20.01
12/30/2020, $20.35, 1418, $20.35, $20.35, $20.35
12/29/2020, $20.25, 13304, $20.29, $20.35, $20.095
12/28/2020, $20.3, 9879, $20.32, $20.945, $20.23
12/24/2020, $20.26, 1663, $20.326, $20.63, $20.26
12/23/2020, $20.41, 7771, $20.18, $20.61, $20.11
12/22/2020, $20.15, 17943, $20.51, $20.62, $20.15
12/21/2020, $20.55, 24505, $22.12, $22.12, $20.5
12/18/2020, $22.37, 46355, $20.51, $22.49, $20.49
12/17/2020, $20.4, 5933, $20.51, $20.56, $20.17
12/16/2020, $20.51, 3913, $21.11, $21.2518, $20.51
12/15/2020, $20.92, 9356, $20.65, $21.26, $20.52
12/14/2020, $20.38, 9190, $20.9, $20.9, $20.21
12/11/2020, $20.96, 4525, $21, $21.19, $20.65
12/10/2020, $21.11, 4348, $20.99, $21.15, $20.49
12/09/2020, $21.06, 10572, $21.55, $21.55, $21.05
12/08/2020, $21.67, 6712, $21.42, $21.95, $21.0301
12/07/2020, $21.78, 7685, $21.6, $22, $21.1
12/04/2020, $21.6, 2301, $22.02, $22.02, $21.6
12/03/2020, $21.79, 1874, $22.13, $22.13, $21.79
12/02/2020, $22.39, 5029, $22.33, $22.72, $22.2201
12/01/2020, $22.49, 7949, $22.53, $23.2642, $22.32
11/30/2020, $22.39, 4667, $22.51, $22.9151, $22.39
11/27/2020, $22.8, 1613, $22.24, $22.8, $22.24
11/25/2020, $22.85, 6143, $21.1362, $23.22, $21.1362
11/24/2020, $23.4, 11206, $22.52, $23.5, $22.52
11/23/2020, $22.56, 5135, $22.9, $23, $22.11
11/20/2020, $22.4, 4059, $22.1, $22.45, $21.8
11/19/2020, $22.4, 3609, $22.75, $22.75, $22.4
11/18/2020, $22.59, 3254, $23.1, $23.35, $22.59
11/17/2020, $22.94, 6535, $23.09, $23.71, $22.94
11/16/2020, $23.46, 6157, $23.47, $23.6, $23.46
11/13/2020, $22.81, 1778, $22.745, $22.81, $22.745
11/12/2020, $22, 3909, $22.769, $23.01, $22
11/11/2020, $22.99, 3808, $23.1, $23.1, $22.7
11/10/2020, $23.25, 9952, $22.02, $23.53, $22.02
11/09/2020, $22.15, 11057, $20.94, $22.66, $20.94
11/06/2020, $19.8, 3775, $19.66, $20.05, $19.65
11/05/2020, $20.06, 4715, $19.88, $20.25, $19.51
11/04/2020, $19.88, 5716, $21.09, $21.3621, $19.55
11/03/2020, $21.64, 8295, $20.7, $21.64, $20.58
11/02/2020, $20.37, 2838, $19.89, $20.455, $19.89
10/30/2020, $19.61, 2395, $19.92, $19.92, $19.61
10/29/2020, $20, 4032, $19.57, $20, $19.44
10/28/2020, $20, 3485, $20.34, $20.34, $19.25
10/27/2020, $20.21, 6240, $20.17, $20.6141, $19.5101
10/26/2020, $20.35, 2252, $20.14, $20.54, $20.14
10/23/2020, $20.61, 4097, $20.636, $20.636, $20.55
10/22/2020, $20.26, 9489, $19.99, $20.6, $19.735
10/21/2020, $19.87, 2828, $19.78, $20.0079, $19.77
10/20/2020, $19.83, 8009, $20.01, $20.12, $19.72
10/19/2020, $19.82, 4212, $20.11, $20.2239, $19.82
10/16/2020, $20.48, 5987, $19.81, $20.48, $19.81
10/15/2020, $19.92, 19484, $20.2, $20.2, $19.79
10/14/2020, $20.53, 2337, $20.69, $20.7, $20.53
10/13/2020, $20.6, 8602, $20.8, $20.8, $20.58
10/12/2020, $20.75, 4074, $20.44, $21.3942, $20.2176
10/09/2020, $20.46, 5910, $20.65, $20.85, $20.425
10/08/2020, $19.79, 16251, $19.93, $20.02, $19.68
10/07/2020, $19.84, 8935, $19.99, $20, $19.5576
10/06/2020, $19.61, 7400, $19.67, $20, $19.61
10/05/2020, $19.67, 5882, $19.49, $19.68, $19.46
10/02/2020, $18.75, 1968, $18.75, $18.75, $18.75
10/01/2020, $19.09, 3638, $19.11, $19.11, $19.08
09/30/2020, $19.08, 1597, $18.91, $19.08, $18.91
09/29/2020, $18.91, 2653, $19.06, $19.44, $18.3
09/28/2020, $18.91, 5979, $18.395, $19.42, $18.395
09/25/2020, $18.44, 4555, $18.8, $18.8, $18.41
09/24/2020, $18.33, 10670, $18.75, $18.9, $17.848
09/23/2020, $18.65, 19942, $19.13, $19.1563, $18.65
09/22/2020, $19, 10976, $19.01, $19.625, $19
09/21/2020, $19.01, 13378, $19.42, $19.84, $19
09/18/2020, $20, 27190, $19.71, $20.34, $19.27
09/17/2020, $19.52, 4602, $19.12, $19.52, $19
09/16/2020, $19.27, 7126, $19.425, $19.53, $19.13
09/15/2020, $19.71, 8201, $19.62, $19.82, $19.56
09/14/2020, $19.47, 2976, $19.21, $19.47, $19.11
09/11/2020, $19, 5050, $19.6524, $19.6524, $18.965
09/10/2020, $19.03, 3997, $19.85, $19.85, $19.03
09/09/2020, $19.05, 8791, $19.22, $19.3599, $18.74
09/08/2020, $18.91, 5454, $19.61, $19.7, $18.91
09/04/2020, $19.65, 10670, $19.7, $19.85, $19.3
09/03/2020, $19.7, 12903, $19.791, $19.89, $18.91
09/02/2020, $19.6, 20207, $18.74, $19.6, $18.74
09/01/2020, $18.87, 11885, $18.71, $18.87, $18.6001
08/31/2020, $18.6, 18462, $18.7859, $18.8694, $18.6
08/28/2020, $18.79, 5121, $18.819, $18.88, $18.63
08/27/2020, $18.66, 8695, $18.73, $18.85, $18.6
08/26/2020, $18.47, 9585, $18.78, $18.78, $18.47
08/25/2020, $18.52, 11644, $18.59, $19.05, $18.52
08/24/2020, $18.35, 6138, $18.62, $18.62, $18.27
08/21/2020, $18.21, 23229, $18.25, $18.51, $18.21
08/20/2020, $18.32, 24666, $18.55, $18.55, $18.25
08/19/2020, $18.25, 10110, $18.505, $18.65, $18.25
08/18/2020, $18.34, 6263, $18.91, $18.91, $18.34
08/17/2020, $18.77, 9490, $18.5, $19.04, $18.5
08/14/2020, $18.61, 3153, $18.76, $18.99, $18.57
08/13/2020, $18.65, 15588, $18.66, $18.79, $18.48
08/12/2020, $18.5, 8984, $18.71, $18.97, $18.4
08/11/2020, $18.43, 33361, $19.01, $19.1128, $17.9
08/10/2020, $18.71, 9046, $18.7, $18.95, $18.53
08/07/2020, $18.49, 5796, $17.97, $18.65, $17.75
08/06/2020, $17.88, 4741, $17.79, $17.88, $17.47
08/05/2020, $17.94, 14005, $17.79, $17.97, $17.24
08/04/2020, $17.2, 23566, $17.5, $17.55, $16.8
08/03/2020, $17.39, 5320, $17.41, $17.86, $17.3
07/31/2020, $17.3, 25845, $16.79, $17.52, $16.79
07/30/2020, $16.45, 29346, $17.71, $17.75, $16.45
07/29/2020, $18.17, 8229, $17.7, $18.28, $17.67
07/28/2020, $17.5, 16398, $18.7, $18.79, $17.5
07/27/2020, $18.46, 15580, $19.36, $19.75, $18.21
07/24/2020, $19.36, 4847, $19.46, $19.67, $19.36
07/23/2020, $19.87, 4027, $19.17, $19.99, $19.17
07/22/2020, $19.62, 8152, $18.94, $19.62, $18.94
07/21/2020, $18.92, 5903, $18.85, $18.95, $18.725
07/20/2020, $18.43, 4399, $18.73, $18.7388, $18.2818
07/17/2020, $18.47, 12194, $18.69, $19.01, $18.47
07/16/2020, $18.91, 12228, $18.71, $19.46, $18.62
07/15/2020, $19.09, 31480, $19.31, $19.47, $18.9
07/14/2020, $18.86, 9917, $19.03, $19.39, $18.51
07/13/2020, $18.5, 13412, $18.81, $19.35, $18.5
07/10/2020, $18.8, 46953, $19.19, $19.3, $18.65
07/09/2020, $19.02, 18430, $19.93, $20.5055, $18.81
07/08/2020, $20.16, 17784, $20.48, $21.0164, $19.88
07/07/2020, $20.26, 7825, $20.99, $21.29, $20.26
07/06/2020, $21.14, 14350, $20.77, $21.47, $20.77
07/02/2020, $20.98, 17677, $21.49, $21.85, $20.71
07/01/2020, $21.35, 13448, $21.7, $22.18, $20.94
06/30/2020, $21.82, 24174, $21.53, $22.14, $21.43
06/29/2020, $21.56, 54221, $22.1, $22.175, $21.28
06/26/2020, $22, 606305, $23.98, $24.5, $21.98
06/25/2020, $24.25, 49043, $24.57, $24.795, $23.26
06/24/2020, $23.8, 18707, $24.5, $25.22, $23.76
06/23/2020, $24.45, 25619, $24.82, $25.19, $23.98
06/22/2020, $24.37, 26181, $24.83, $24.83, $24.15
06/19/2020, $24.71, 16667, $26.02, $26.02, $24.51
06/18/2020, $25.5, 7006, $25.41, $26.28, $24.89
06/17/2020, $25.96, 6336, $25.61, $26, $24.26
06/16/2020, $25.39, 14088, $25.25, $26.1869, $24.346
