Date, Close/Last, Volume, Open, High, Low
01/20/2021, $143.15, 268872, $140.96, $143.97, $140.07
01/19/2021, $141.4, 177385, $141.57, $142.69, $139.77
01/15/2021, $141.06, 250155, $142.62, $142.725, $138.71
01/14/2021, $143.09, 235641, $141.778, $144.98, $141.465
01/13/2021, $140.11, 186552, $140.06, $141.308, $139
01/12/2021, $140.97, 290267, $138.64, $142.58, $138.06
01/11/2021, $138.06, 263944, $133.9, $139.12, $133.525
01/08/2021, $136.54, 399879, $134.78, $136.72, $134.32
01/07/2021, $134.27, 262589, $134.32, $135.35, $132.63
01/06/2021, $133.97, 321994, $130.01, $135.46, $130.01
01/05/2021, $129.78, 289395, $126.8, $130.295, $126.8
01/04/2021, $126.53, 453709, $131.92, $132.48, $123.74
12/31/2020, $131.92, 247434, $132.75, $133.615, $130.385
12/30/2020, $132.84, 202683, $134.58, $136.5, $132.13
12/29/2020, $135.23, 170715, $137.12, $137.2, $133.7
12/28/2020, $137.47, 300807, $136.72, $138.98, $134.65
12/24/2020, $135.05, 225086, $136.635, $136.97, $132.82
12/23/2020, $135.7, 269437, $136.6, $137, $133.91
12/22/2020, $135.55, 231791, $134.59, $136.21, $132.59
12/21/2020, $133.89, 250987, $131.06, $134.6, $128.51
12/18/2020, $134.77, 440796, $135.9, $137.85, $133.65
12/17/2020, $135.86, 356562, $135.73, $136.97, $133.93
12/16/2020, $136.49, 204592, $136.25, $138.43, $134.6281
12/15/2020, $136.96, 268575, $135, $137.8, $134.59
12/14/2020, $134.98, 345850, $136.34, $137.04, $133.86
12/11/2020, $135.05, 431699, $135.65, $137, $134.71
12/10/2020, $136.42, 209026, $133.29, $136.69, $132.91
12/09/2020, $135.1, 239961, $133.94, $135.295, $132.2
12/08/2020, $132.96, 395097, $131.34, $135, $131.232
12/07/2020, $131.39, 659524, $140.85, $142.99, $130.88
12/04/2020, $141.14, 732171, $147.47, $147.47, $139.4971
12/03/2020, $144.58, 680147, $139.19, $147.32, $139
12/02/2020, $141.66, 443581, $140.73, $142.31, $138.7
12/01/2020, $142.1, 510089, $141.81, $142.68, $139.58
11/30/2020, $139.58, 330779, $142.92, $142.92, $138.55
11/27/2020, $143.06, 106419, $145.32, $146.0679, $142.68
11/25/2020, $144.98, 206891, $144, $145.35, $142.185
11/24/2020, $145.4, 287766, $142.8, $145.75, $141.62
11/23/2020, $141.69, 245518, $140.94, $142, $138.5
11/20/2020, $139.14, 267157, $137.3, $139.6, $135.69
11/19/2020, $138.96, 206256, $136.51, $139.3131, $135.9
11/18/2020, $136.91, 228914, $137.31, $139.49, $136.5301
11/17/2020, $137.15, 324626, $135, $139.52, $134.12
11/16/2020, $135.94, 367278, $133.99, $137.43, $132.38
11/13/2020, $129.73, 170967, $127.44, $130.43, $127.13
11/12/2020, $127.07, 311824, $127.567, $129.9, $125.87
11/11/2020, $129.87, 469859, $135.08, $135.99, $128.17
11/10/2020, $134.8, 642276, $136.65, $140, $132.51
11/09/2020, $137.29, 1290806, $134.43, $149.19, $132
11/06/2020, $119.94, 360832, $117.81, $122, $116.2827
11/05/2020, $118.63, 408964, $117.66, $119.51, $117.09
11/04/2020, $114.49, 350935, $114.5, $116.61, $112.27
11/03/2020, $115.04, 332516, $116.37, $117.16, $114.19
11/02/2020, $114.61, 302969, $115.29, $116.07, $110.57
10/30/2020, $113.82, 351409, $113.17, $114.835, $110.62
10/29/2020, $113.13, 362023, $109.58, $113.6, $106.9182
10/28/2020, $109.47, 559983, $118.55, $119.185, $109.38
10/27/2020, $121.3, 380510, $119.11, $122.35, $119.11
10/26/2020, $120.15, 626073, $122.69, $123.49, $118.7
10/23/2020, $124.99, 889883, $126.82, $127.29, $122
10/22/2020, $126.36, 595690, $120.69, $126.58, $119.91
10/21/2020, $120.08, 240760, $119.48, $120.61, $118.44
10/20/2020, $120.06, 383087, $117.48, $121.43, $116.965
10/19/2020, $116.75, 262340, $118.17, $118.84, $116.42
10/16/2020, $116.97, 219634, $120.04, $120.265, $116.91
10/15/2020, $120.04, 233060, $115.91, $120.135, $115.91
10/14/2020, $117.95, 206311, $117.45, $118.4782, $116.76
10/13/2020, $117.23, 249270, $117.77, $118, $114.27
10/12/2020, $117.77, 341552, $120.1, $120.94, $117.51
10/09/2020, $118.26, 324813, $118.82, $119.38, $115.11
10/08/2020, $117.62, 252532, $117.39, $118.1132, $115.815
10/07/2020, $116.69, 225062, $118.19, $119.0276, $116.04
10/06/2020, $116.44, 392309, $118.22, $121.98, $115.8
10/05/2020, $117.02, 381953, $119.15, $119.91, $115.47
10/02/2020, $118.3, 424586, $112.01, $118.95, $111.26
10/01/2020, $114.32, 450848, $115.1, $115.772, $112.11
09/30/2020, $114.66, 436674, $114.71, $117.342, $114.0101
09/29/2020, $113.9, 371990, $119.11, $119.11, $113.53
09/28/2020, $119.6, 354250, $118.38, $120.27, $116.94
09/25/2020, $116.34, 471523, $114.73, $116.66, $111.8
09/24/2020, $114.65, 394158, $115.78, $116.96, $112.69
09/23/2020, $115.21, 473434, $118.8, $119.78, $115.14
09/22/2020, $118.55, 331506, $116.13, $118.81, $114.98
09/21/2020, $115.7, 406205, $115.96, $116.52, $112.85
09/18/2020, $118.28, 726874, $124.33, $124.855, $118.06
09/17/2020, $123.46, 457519, $121.8, $125.93, $121.771
09/16/2020, $124.97, 1073270, $133.3, $133.3, $122.47
09/15/2020, $131.21, 806950, $135.79, $137.39, $128.4
09/14/2020, $138.1, 475509, $138.07, $139.795, $134.54
09/11/2020, $136.79, 417661, $138.09, $138.09, $133.705
09/10/2020, $137.1, 498403, $136.85, $139.65, $136.18
09/09/2020, $136.14, 378143, $133.66, $136.45, $132.23
09/08/2020, $133.3, 301792, $133.5, $136.37, $133.3
09/04/2020, $136.29, 268528, $137.11, $138.18, $133.3759
09/03/2020, $135.21, 289082, $137, $139.5593, $132.12
09/02/2020, $136.53, 248852, $136.34, $138.58, $135.675
