Date, Close/Last, Volume, Open, High, Low
03/24/2021, $165.38, 144178, $165, $173, $164.98
03/23/2021, $162.28, 185131, $169.45, $173.035, $161.67
03/22/2021, $170.15, 133621, $172.55, $179.9, $169.91
03/19/2021, $172.31, 394014, $172.41, $179.9, $167.75
03/18/2021, $172, 141246, $178.01, $179.92, $171.62
03/17/2021, $180.91, 222044, $178.25, $183, $175.02
03/16/2021, $180.76, 348016, $174.99, $182.66, $174.57
03/15/2021, $173.81, 107547, $169.7, $174.36, $168.02
03/12/2021, $169.15, 148482, $169.25, $171.69, $168.1
03/11/2021, $171.8, 195504, $169.16, $174.27, $168.53
03/10/2021, $166.13, 159849, $166.08, $167.77, $164.13
03/09/2021, $162.56, 240980, $160.41, $164.59, $159.95
03/08/2021, $156.15, 189268, $164.58, $166.05, $156.02
03/05/2021, $164.54, 316653, $167.61, $167.61, $156.35
03/04/2021, $162.54, 258690, $170.81, $171.815, $159.27
03/03/2021, $170.86, 191560, $173.17, $175.37, $170
03/02/2021, $168.53, 157033, $175.99, $175.99, $168.25
03/01/2021, $177.72, 161115, $174.49, $177.76, $172.15
02/26/2021, $170.5, 227931, $168, $173.95, $163.9
02/25/2021, $166.63, 260544, $176.8, $176.8, $165.04
02/24/2021, $178.72, 183519, $165.1, $179.27, $165.035
02/23/2021, $166.83, 152992, $162.01, $167.37, $160.25
02/22/2021, $164.88, 180900, $165.92, $168.94, $164.13
02/19/2021, $168.55, 137544, $164.56, $169.32, $164.56
02/18/2021, $162.81, 186199, $169.55, $169.55, $161.995
02/17/2021, $170.46, 189185, $171.55, $174.7, $167.13
02/16/2021, $174.38, 155106, $177.2, $178.11, $172.95
02/12/2021, $174.84, 131202, $172.51, $175.98, $171.85
02/11/2021, $172.69, 172457, $167.35, $172.82, $167.35
02/10/2021, $166.76, 146264, $169.81, $171.46, $165.19
02/09/2021, $169.22, 111722, $169.78, $171.29, $167.96
02/08/2021, $173.01, 195094, $170, $173.4, $168.29
02/05/2021, $169.21, 165400, $168.76, $169.98, $165.53
02/04/2021, $165.43, 259115, $162.5, $169.95, $160.3125
02/03/2021, $157.16, 219889, $156.61, $159.46, $155.08
02/02/2021, $157.35, 163009, $158.98, $158.98, $156.22
02/01/2021, $155.92, 315521, $148.11, $156.925, $148.11
01/29/2021, $147.31, 203724, $151.31, $152.91, $147.11
01/28/2021, $152.52, 207406, $155.56, $155.67, $151.25
01/27/2021, $150.52, 204432, $157.17, $160.28, $150.05
01/26/2021, $161.05, 89209, $167.45, $167.45, $160.84
