Date, Close/Last, Volume, Open, High, Low
01/20/2021, $27.35, 198924, $28.31, $28.58, $25.6
01/19/2021, $28.43, 113096, $29.28, $32, $27.63
01/15/2021, $28.3, 119932, $29.36, $30, $27.32
01/14/2021, $29.73, 108221, $32.75, $32.75, $29.45
01/13/2021, $31.45, 199430, $27.9, $32.94, $26.65
01/12/2021, $27.99, 128880, $26.25, $29, $26.25
01/11/2021, $26.07, 176354, $29.25, $30, $25.62
01/08/2021, $29.38, 208953, $30.98, $32.485, $28.589
01/07/2021, $31.19, 322563, $33, $37.85, $31.02
01/06/2021, $31.53, 177085, $28, $31.75, $27.68
01/05/2021, $28.54, 109161, $27.33, $30.6253, $27.33
01/04/2021, $27.35, 367327, $32, $32, $26.27
12/31/2020, $32.3, 296857, $28.48, $32.36, $27.7001
12/30/2020, $28, 301121, $22.65, $28, $21.83
12/29/2020, $21.68, 173346, $22.52, $22.82, $20.3
12/28/2020, $22.475, 183464, $23.06, $24.3, $21.71
12/24/2020, $22.98, 208540, $23.76, $24.7999, $20.5006
12/23/2020, $23.21, 291508, $18.77, $23.38, $18.51
12/22/2020, $18.91, 206057, $18.71, $20.74, $18.1
12/21/2020, $18.85, 258783, $15.4, $19.1, $15.4
12/18/2020, $15.78, 1000348, $15.78, $17.8, $15.37
12/17/2020, $15.37, 190967, $15.75, $16.15, $15.24
12/16/2020, $15.42, 96361, $15.73, $16, $15.4
12/15/2020, $15.73, 125961, $15.46, $15.89, $14.73
12/14/2020, $15.56, 194271, $15.5, $15.75, $14
12/11/2020, $15.25, 74762, $15.28, $15.8455, $15.17
12/10/2020, $15.99, 103375, $16, $16.4, $15.1284
12/09/2020, $15.61, 347627, $16.7, $18, $15.07
12/08/2020, $15.88, 524927, $19.91, $20.9525, $15.75
12/07/2020, $19.98, 519728, $17.9, $23.14, $17.9
12/04/2020, $17.45, 273035, $15.78, $17.45, $15.52
12/03/2020, $15.44, 263651, $15.08, $16.5, $15.08
12/02/2020, $15.08, 432095, $15.64, $15.95, $13.66
12/01/2020, $16.41, 1653165, $13.26, $18.6799, $13.26
11/30/2020, $13.01, 1677443, $10.27, $13.89, $10
11/27/2020, $9.61, 136810, $9.09, $9.75, $8.81
11/25/2020, $9, 42723, $8.73, $9.15, $8.6591
11/24/2020, $8.57, 64959, $8.93, $9.16, $8.57
11/23/2020, $8.85, 80039, $8.33, $8.9, $8.12
11/20/2020, $8.27, 210939, $8.26, $8.5, $8.1
11/19/2020, $8.19, 146699, $8.07, $8.3435, $8.07
11/18/2020, $7.9, 464126, $8.72, $8.81, $7.9
11/17/2020, $8.73, 88079, $8.73, $8.8, $8.41
11/16/2020, $8.6, 161272, $9, $9.23, $8.45
11/13/2020, $8.75, 40937, $9, $9.02, $8.58
11/12/2020, $8.87, 41747, $8.86, $9.14, $8.65
11/11/2020, $8.84, 48278, $9.15, $9.42, $8.7502
11/10/2020, $9.04, 58624, $9.3, $9.56, $8.8
11/09/2020, $9.29, 174377, $9.64, $9.9465, $9.105
11/06/2020, $9.09, 42680, $9.06, $9.41, $8.92
11/05/2020, $9.06, 87361, $9.32, $9.88, $8.8
11/04/2020, $9.32, 91849, $8.56, $9.5, $8.56
11/03/2020, $8.45, 207508, $8.98, $9.005, $8.45
11/02/2020, $8.71, 183224, $8.72, $8.89, $8.4
10/30/2020, $8.62, 113648, $8.76, $9.0499, $8.405
10/29/2020, $8.88, 45930, $9.28, $9.28, $8.84
10/28/2020, $9.02, 72939, $9.11, $9.32, $8.8
10/27/2020, $9.31, 76518, $9.37, $9.69, $9.1911
10/26/2020, $9.4, 58346, $9.5, $9.65, $9.3
10/23/2020, $9.5, 132878, $9.55, $9.6599, $9.13
10/22/2020, $9.43, 219804, $9.71, $9.97, $9.4087
10/21/2020, $9.75, 886788, $11.75, $12.35, $9.05
10/20/2020, $11.61, 441608, $12.2, $12.435, $10.6
10/19/2020, $12.19, 343848, $12, $12.65, $11.725
10/16/2020, $12.1, 393035, $12, $12.5, $11.79
10/15/2020, $12.09, 499108, $11.78, $13.305, $11.5
10/14/2020, $12.12, 2270506, $14.1, $14.4, $11.99
