Date, Close/Last, Volume, Open, High, Low
03/24/2021, $23.86, 316739, $24.04, $24.87, $23.805
03/23/2021, $23.73, 255959, $24.01, $24.89, $23.68
03/22/2021, $24.45, 199302, $25.15, $25.15, $24.42
03/19/2021, $24.8, 856771, $24.22, $25.3559, $24.19
03/18/2021, $24.43, 407463, $25.2, $25.44, $24.28
03/17/2021, $25.35, 266178, $25.5, $25.75, $25.091
03/16/2021, $25.5, 541574, $25.75, $25.88, $25.03
03/15/2021, $25.75, 261584, $25.91, $26.05, $25.4206
03/12/2021, $25.69, 241579, $25.68, $26.115, $25.47
03/11/2021, $25.62, 264503, $25.92, $25.92, $25.43
03/10/2021, $25.75, 876702, $24.32, $25.9, $24.13
03/09/2021, $24.16, 758640, $25.57, $25.84, $23.95
03/08/2021, $25.72, 504830, $26.19, $26.6856, $25.4483
03/05/2021, $25.9, 607724, $25.41, $26.11, $25.06
03/04/2021, $24.84, 588703, $24.22, $25.63, $23.87
03/03/2021, $24.13, 732660, $23.35, $25.09, $22.95
03/02/2021, $23.35, 654329, $23.12, $23.44, $22.7
03/01/2021, $23.11, 1276446, $22.3, $23.18, $21.95
02/26/2021, $21.95, 874001, $22.76, $22.84, $21.3301
02/25/2021, $22.25, 791675, $23.07, $23.26, $21.75
02/24/2021, $22.69, 891710, $22.27, $23.5, $22.05
02/23/2021, $22.03, 1122465, $21.14, $22.175, $20.01
02/22/2021, $21.51, 616507, $21.62, $22.11, $21.44
02/19/2021, $21.71, 458658, $21.62, $22.05, $21.4
02/18/2021, $21.59, 433991, $22.42, $22.5499, $21.57
02/17/2021, $22.55, 492641, $22.6, $22.73, $21.94
02/16/2021, $22.43, 497839, $22.7, $22.96, $22.24
02/12/2021, $22.31, 398033, $21.75, $22.5, $21.57
02/11/2021, $21.71, 549407, $21.19, $21.78, $20.85
02/10/2021, $21.26, 950984, $20.36, $21.45, $20.25
02/09/2021, $20.39, 351086, $20.45, $20.7, $20.21
02/08/2021, $20.77, 607215, $21.14, $21.14, $20.5
02/05/2021, $20.65, 878810, $21.02, $21.2, $20.28
02/04/2021, $20.98, 826431, $20.81, $21.43, $20.56
02/03/2021, $21.64, 1054692, $21.16, $21.7316, $20.87
02/02/2021, $20.9, 686097, $21.23, $21.46, $20.51
02/01/2021, $20.7, 1288879, $21.23, $21.2499, $20.22
01/29/2021, $20.69, 581015, $20.57, $21.25, $20.26
01/28/2021, $20.74, 870321, $19.98, $21.05, $19.98
01/27/2021, $20.01, 715688, $20, $20.89, $19.75
01/26/2021, $20.4, 462885, $20.41, $21.0481, $20.31
01/25/2021, $20.27, 420206, $19.58, $20.35, $19.46
01/22/2021, $19.85, 721375, $19, $19.88, $18.88
01/21/2021, $19.29, 968735, $20.91, $20.91, $19.25
01/20/2021, $20.74, 674380, $21.3, $21.48, $20.42
01/19/2021, $21.23, 584109, $21.52, $21.89, $21.11
01/15/2021, $21.41, 481387, $21.3, $21.4831, $20.51
01/14/2021, $21.52, 344071, $21.57, $22, $21.3
01/13/2021, $21.58, 496207, $21.75, $21.9299, $21.21
01/12/2021, $21.59, 880063, $20.65, $22.2, $20.51
01/11/2021, $20.37, 712833, $18.74, $20.65, $18.71
01/08/2021, $19.28, 347048, $19.5, $19.69, $18.9201
01/07/2021, $19.39, 522708, $19.37, $19.65, $19.05
01/06/2021, $19.01, 951431, $19.49, $19.63, $18.66
01/05/2021, $18.88, 561916, $18.57, $19.5, $18.3
01/04/2021, $18.29, 999392, $19.27, $19.35, $18.05
12/31/2020, $18.98, 283938, $19.39, $19.55, $18.935
12/30/2020, $19.39, 374146, $19.28, $19.6, $18.97
12/29/2020, $19.21, 476005, $19.71, $19.81, $19.13
12/28/2020, $19.64, 481903, $20.14, $20.39, $19.32
12/24/2020, $20.09, 205568, $20.12, $20.14, $19.62
12/23/2020, $19.99, 453524, $19.8, $20.49, $19.63
12/22/2020, $19.87, 357512, $20.02, $20.56, $19.79
12/21/2020, $20.03, 665713, $19.4, $20.2, $18.9
12/18/2020, $20.21, 1229117, $20.08, $20.59, $19.87
12/17/2020, $20.05, 462366, $19.6, $20.08, $19.52
12/16/2020, $19.41, 462407, $19.23, $19.65, $18.915
12/15/2020, $19.4, 493783, $19.45, $19.73, $18.8
12/14/2020, $19.15, 696056, $20.4, $20.65, $19.14
12/11/2020, $20.02, 503356, $19.83, $20.65, $19.65
12/10/2020, $20.22, 1420633, $18.75, $20.72, $18.75
12/09/2020, $18.73, 1223461, $19.06, $19.69, $18.1
12/08/2020, $18.74, 778669, $18.43, $19.4, $18.4043
12/07/2020, $18.42, 664767, $18.73, $19.19, $18.14
12/04/2020, $18.72, 660347, $19.19, $19.42, $18.7
12/03/2020, $18.5, 678570, $17.87, $18.82, $17.6
12/02/2020, $17.7, 661349, $16.7, $17.74, $16.57
12/01/2020, $16.9, 416404, $16.97, $17.26, $16.57
11/30/2020, $16.31, 686876, $17.1, $17.4, $16.2085
11/27/2020, $17.12, 236703, $17.26, $17.74, $16.92
11/25/2020, $17.23, 594950, $17.09, $17.79, $16.46
11/24/2020, $17.13, 601305, $17.12, $17.95, $16.89
11/23/2020, $16.87, 542507, $16.4, $17.28, $16.4
11/20/2020, $16.24, 304977, $16.19, $16.51, $16.1393
11/19/2020, $16.31, 548587, $15.8, $16.43, $15.56
11/18/2020, $15.96, 616807, $16.13, $16.9813, $15.92
11/17/2020, $16.28, 326116, $15.62, $16.3878, $15.45
11/16/2020, $15.93, 1106849, $15.25, $16.83, $15.2
11/13/2020, $14.8, 616648, $14.57, $15.13, $14.3
11/12/2020, $14.22, 569141, $14.38, $14.96, $14.09
11/11/2020, $14.52, 701928, $15.02, $15.1274, $14.3053
11/10/2020, $14.91, 658920, $15.02, $15.09, $14.51
11/09/2020, $14.79, 1583205, $14.25, $15.7295, $14.25
11/06/2020, $13.37, 620666, $13.9, $14.0136, $13.28
11/05/2020, $14.08, 889623, $13.9, $14.15, $13.5
11/04/2020, $14.39, 1029907, $15, $15, $14.11
11/03/2020, $14.6, 756056, $15, $15.4, $14.5
11/02/2020, $14.92, 550989, $15.23, $15.25, $14.66
10/30/2020, $14.98, 582448, $14.53, $15, $14.2
10/29/2020, $14.56, 860769, $14, $14.71, $13.66
10/28/2020, $14.16, 1172936, $14.3, $14.36, $13.76
10/27/2020, $14.76, 1163696, $15.83, $15.83, $14.41
10/26/2020, $15.37, 763606, $15.68, $15.68, $14.81
10/23/2020, $15.9, 625084, $15.86, $16.35, $15.5
10/22/2020, $15.83, 958707, $14.63, $15.9144, $14.63
10/21/2020, $14.63, 432228, $14.75, $15.1, $14.34
10/20/2020, $14.71, 380074, $14.54, $15.14, $14.46
10/19/2020, $14.32, 511067, $14.53, $14.94, $14.19
10/16/2020, $14.29, 961030, $15.22, $15.28, $14.22
10/15/2020, $14.61, 319230, $14.46, $14.75, $14.1076
10/14/2020, $14.76, 427135, $14.67, $15.52, $14.67
10/13/2020, $14.67, 660975, $14.36, $14.71, $14.12
10/12/2020, $14.5, 313476, $14.65, $14.65, $14.15
10/09/2020, $14.6, 708035, $14.57, $14.9, $14.23
10/08/2020, $14.43, 1029954, $13.34, $14.6, $13.21
10/07/2020, $13.21, 407014, $13.04, $13.32, $12.874
10/06/2020, $12.89, 613145, $12.85, $13.55, $12.79
10/05/2020, $12.59, 414187, $12.35, $12.62, $12.11
10/02/2020, $12, 619850, $11.5, $12.37, $11.43
10/01/2020, $11.99, 873832, $12.27, $12.54, $11.83
09/30/2020, $12.46, 1045359, $12.5, $12.99, $12.27
09/29/2020, $12.39, 385674, $12.3, $12.56, $12.13
09/28/2020, $12.44, 443802, $12.02, $12.48, $12.02
09/25/2020, $11.77, 676815, $12.05, $12.42, $11.77
09/24/2020, $12.05, 795363, $11.96, $12.49, $11.44
09/23/2020, $11.98, 1028556, $12.85, $13.12, $11.95
09/22/2020, $12.79, 662277, $13, $13.48, $12.71
09/21/2020, $12.97, 996081, $13.26, $13.45, $12.8
09/18/2020, $13.77, 410599, $13.67, $13.99, $13.49
09/17/2020, $13.76, 676771, $13.49, $13.93, $13.2
09/16/2020, $13.77, 629405, $13.23, $14.11, $13.15
09/15/2020, $13.1, 653622, $13.6, $13.735, $13.09
09/14/2020, $13.53, 757717, $12.96, $13.71, $12.8413
09/11/2020, $12.96, 555541, $12.96, $13.23, $12.63
09/10/2020, $12.8, 632119, $13.37, $13.54, $12.66
09/09/2020, $13.26, 355637, $13.19, $13.34, $12.91
09/08/2020, $13.03, 806328, $12.95, $13.3, $12.31
