Date, Close/Last, Volume, Open, High, Low
01/20/2021, $4.15, 2702, $4.3, $4.3, $4.15
01/19/2021, $4.25, 1614, $4.25, $4.25, $4.25
01/15/2021, $4.21, 149766, $4.24, $4.24, $3.93
01/14/2021, $4.3, 6716, $4.51, $4.51, $4.3
01/13/2021, $4.5, 41245, $4.62, $4.62, $4.4
01/12/2021, $4.42, 38639, $4.715, $4.715, $4.29
01/11/2021, $4.625, 25726, $4.67, $4.7, $4.5502
01/08/2021, $4.76, 12628, $4.58, $4.85, $4.58
01/07/2021, $4.66, 7788, $4.75, $4.91, $4.64
01/06/2021, $4.81, 7918, $4.7, $5.11, $4.7
01/05/2021, $4.76, 28746, $5.224, $5.25, $4.53
01/04/2021, $5.29, 4968, $5.38, $5.653, $5.27
12/31/2020, $5.65, 9570, $5.73, $5.7392, $5.25
12/30/2020, $5.96, 11446, $6.105, $6.105, $5.94
12/29/2020, $5.87, 3714, $5.96, $6.5, $5.86
12/28/2020, $6.53, 51834, $6.2, $6.56, $6.14
12/24/2020, $6.48, 1498, $6.29, $6.49, $6.29
12/23/2020, $6.2, 4263, $6.2, $6.3799, $6.2
12/22/2020, $6, 16185, $6, $6.16, $5.86
12/21/2020, $6.11, 14831, $6.28, $7.54, $5.64
12/18/2020, $6.435, 7606, $6.34, $6.94, $6.32
12/17/2020, $6.4, 147304, $5.53, $6.86, $5.5
12/16/2020, $5.46, 209332, $5.98, $7.03, $4.35
12/15/2020, $5.63, 11244, $5.59, $5.76, $5.52
12/14/2020, $5.81, 93910, $5.26, $6.3, $5.26
12/11/2020, $5, 21265, $5.01, $5.15, $5
12/10/2020, $4.87, 35555, $4.68, $5.9799, $4.68
12/09/2020, $4.95, 3480, $4.81, $5.67, $4.81
12/08/2020, $4.67, 3220, $5.1, $5.157, $4.67
12/07/2020, $5.1, 43305, $4.48, $5.97, $4.48
12/04/2020, $4.24, 619, $4.24, $4.24, $4.24
12/03/2020, $4.21, 24171, $3.89, $4.3798, $3.89
12/02/2020, $4, 31565, $3.99, $4, $3.74
12/01/2020, $3.74, 34695, $3.37, $3.74, $3.36
11/30/2020, $3.4, 59237, $3.74, $3.74, $3.245
11/27/2020, $3.5, 58308, $3.39, $3.5, $3.345
11/25/2020, $3.3665, 3236, $3.335, $3.46, $3.335
11/24/2020, $3.2, 23362, $3.35, $3.35, $3.19
11/23/2020, $3.38, 11946, $3.312, $3.51, $3.24
11/20/2020, $3.25, 7914, $3.5, $3.5, $3.17
11/19/2020, $3.16, 802, $3.49, $3.49, $3.16
11/18/2020, $3.18, 869, $3.24, $3.24, $3.14
11/17/2020, $3.16, 18757, $3.14, $3.16, $3.14
11/16/2020, $3.2, 27341, $3.02, $3.2, $3.02
11/13/2020, $3.12, 12910, $2.9, $3.12, $2.88
11/12/2020, $2.9, 51184, $2.55, $2.9, $2.546
11/11/2020, $2.52, 38562, $2.39, $2.53, $2.25
11/10/2020, $2.35, 63521, $1.89, $2.38, $1.89
11/09/2020, $2.2, 22136, $2.06, $2.295, $1.79
11/06/2020, $2.26, 11078, $2.35, $2.35, $2.2
11/05/2020, $2.06, 11930, $2.38, $2.38, $2.06
11/04/2020, $2.1, 16757, $2.025, $2.1, $2.025
11/03/2020, $1.955, 28345, $1.905, $2.12, $1.905
11/02/2020, $2.09, 1680, $2.49, $2.49, $2.09
10/30/2020, $2.14, 15760, $2.24, $2.5, $2.105
10/29/2020, $2.0934, 12609, $2.04, $2.15, $2
10/28/2020, $1.645, 1685, $2.08, $2.24, $1.645
10/27/2020, $1.83, 43752, $1.85, $1.85, $1.66
10/26/2020, $1.71, 28123, $1.85, $1.85, $1.71
