Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.95, 462170, $10.16, $10.21, $9.94
03/23/2021, $10.06, 772520, $10.09, $10.12, $9.97
03/22/2021, $10.12, 304867, $10.197, $10.21, $10.09
03/19/2021, $10.15, 251929, $10.08, $10.21, $10.08
03/18/2021, $10.08, 183190, $10.1, $10.1399, $10.05
03/17/2021, $10.1, 370985, $10.19, $10.2, $10.05
03/16/2021, $10.19, 221453, $10.32, $10.32, $10.15
03/15/2021, $10.22, 424001, $10.26, $10.43, $10.22
03/12/2021, $10.2, 270568, $10.18, $10.27, $10.08
03/11/2021, $10.2, 777677, $10.11, $10.2816, $9.99
03/10/2021, $10.02, 872385, $10.14, $10.18, $10.02
03/09/2021, $10.13, 321413, $10.18, $10.25, $10.1
03/08/2021, $10.16, 776761, $10.27, $10.3, $10.13
03/05/2021, $10.18, 2131928, $9.98, $10.28, $9.85
03/04/2021, $9.97, 1857505, $10.19, $10.19, $9.8608
03/03/2021, $10.12, 881925, $10.45, $10.45, $10.05
03/02/2021, $10.47, 1288048, $10.39, $10.54, $10.2902
03/01/2021, $10.42, 821596, $10.63, $10.6441, $10.36
02/26/2021, $10.48, 810999, $10.42, $10.69, $10.32
02/25/2021, $10.51, 1363882, $10.48, $10.8, $10.25
02/24/2021, $10.64, 1247979, $10.39, $10.81, $10.3684
02/23/2021, $10.41, 2089899, $10.5, $10.55, $10.09
02/22/2021, $10.74, 1614932, $10.9, $11, $10.69
02/19/2021, $11, 3061844, $11.2, $11.76, $10.97
02/18/2021, $11.2, 6183249, $11.56, $11.75, $11.11
02/17/2021, $11.15, 6877062, $13.11, $13.11, $10.86
02/16/2021, $13.54, 571898, $13.85, $13.98, $13.45
02/12/2021, $13.66, 747394, $13.4, $13.87, $13.25
02/11/2021, $13.21, 455029, $13.35, $13.5425, $12.73
02/10/2021, $13.37, 363417, $13.87, $13.87, $12.89
02/09/2021, $13.65, 516838, $13.9, $13.9, $13.41
02/08/2021, $13.7096, 1063422, $13.6, $13.87, $13.41
02/05/2021, $13.58, 713732, $12.99, $13.88, $12.84
02/04/2021, $12.97, 250575, $12.99, $13, $12.8
02/03/2021, $12.87, 458502, $12.94, $12.98, $12.65
02/02/2021, $12.82, 547190, $12.48, $12.88, $12.48
02/01/2021, $12.45, 741868, $11.86, $12.47, $11.58
01/29/2021, $11.7, 436466, $11.71, $11.83, $11.6
01/28/2021, $11.8, 824716, $11.9, $12.0454, $11.67
01/27/2021, $11.85, 560616, $12.15, $12.26, $11.7
01/26/2021, $12.7, 597768, $12.63, $12.79, $12.44
01/25/2021, $12.53, 678284, $12.4, $12.65, $12.01
01/22/2021, $12.06, 533052, $12.01, $12.24, $11.8
01/21/2021, $12.06, 909344, $12.21, $12.3, $11.76
01/20/2021, $12.2, 545759, $12.45, $12.49, $12
01/19/2021, $12.39, 771969, $13, $13, $12.15
01/15/2021, $12.77, 1379812, $12.77, $13.3, $12.39
01/14/2021, $13.29, 5311861, $10.94, $14.4899, $10.65
01/13/2021, $10.75, 8819, $11.61, $11.61, $10.54
01/12/2021, $10.75, 183276, $10.7, $10.89, $10.7
01/11/2021, $10.68, 3422, $11, $11, $10.65
01/08/2021, $13.195, N/A, $13.195, $13.195, $13.195
01/07/2021, $13.195, N/A, $13.195, $13.195, $13.195
01/06/2021, $13.195, N/A, $13.195, $13.195, $13.195
01/05/2021, $13.195, N/A, $13.195, $13.195, $13.195
01/04/2021, $13.195, N/A, $13.195, $16.24, $10.15
