Date, Close/Last, Volume, Open, High, Low
01/20/2021, $40.09, 3991556, $40.66, $41.58, $39.46
01/19/2021, $40.83, 4498846, $40.96, $41.12, $40.41
01/15/2021, $40.63, 4120133, $40.46, $40.95, $39.99
01/14/2021, $41.45, 2721251, $40.69, $41.67, $40.41
01/13/2021, $40.25, 2567679, $40.09, $40.57, $39.74
01/12/2021, $40.3, 2974631, $39.88, $40.84, $39.5
01/11/2021, $39.83, 3771256, $39.01, $40.04, $38.655
01/08/2021, $39.56, 3406334, $40.09, $40.15, $38.72
01/07/2021, $40.17, 4488726, $39.5, $40.66, $39.37
01/06/2021, $38.81, 6295002, $37.54, $39.47, $37.45
01/05/2021, $36.29, 3095457, $35.53, $36.68, $35.41
01/04/2021, $35.52, 3483470, $36.02, $36.2, $34.92
12/31/2020, $35.76, 1829859, $35.32, $35.81, $34.96
12/30/2020, $35.4, 2060180, $34.97, $35.45, $34.9
12/29/2020, $34.88, 1930603, $35.15, $35.27, $34.69
12/28/2020, $35.11, 2458586, $35.55, $35.74, $35.09
12/24/2020, $35.12, 1333688, $35.5, $35.5, $34.59
12/23/2020, $35.36, 2426702, $34.61, $35.57, $34.57
12/22/2020, $34.24, 2904514, $35, $35.15, $34.24
12/21/2020, $34.76, 4625721, $34.49, $34.99, $33.87
12/18/2020, $34.21, 7189460, $34.78, $34.97, $33.885
12/17/2020, $34.78, 3559927, $35.15, $35.3119, $34.52
12/16/2020, $35.38, 2612096, $35.39, $35.48, $34.93
12/15/2020, $35.29, 2861956, $35.2, $35.5, $34.62
12/14/2020, $34.62, 3481661, $36.17, $36.34, $34.57
12/11/2020, $35.37, 2481027, $35.4, $35.68, $34.955
12/10/2020, $36, 3055725, $35.25, $36.13, $35.09
12/09/2020, $35.81, 3330670, $36.04, $36.55, $35.69
12/08/2020, $35.59, 3466520, $34.93, $35.79, $34.85
12/07/2020, $35.31, 3950461, $35.09, $35.41, $34.58
12/04/2020, $35.43, 3605804, $35.07, $35.56, $34.815
12/03/2020, $34.59, 3678987, $34.36, $34.925, $33.905
12/02/2020, $34.36, 3683150, $33.46, $34.63, $33.33
12/01/2020, $33.62, 3874969, $33.71, $34.075, $33.43
11/30/2020, $32.66, 5330363, $33.9, $34.27, $32.5848
11/27/2020, $34.14, 1556615, $34.55, $34.765, $33.87
11/25/2020, $34.7, 2792414, $34.42, $34.83, $34.01
11/24/2020, $35.06, 3895312, $34.13, $35.195, $34.1
11/23/2020, $33.25, 2417029, $33, $33.41, $32.69
11/20/2020, $32.28, 3817383, $32.39, $32.5765, $31.835
11/19/2020, $32.81, 2878404, $32.07, $32.87, $31.77
11/18/2020, $32.51, 2744898, $33.16, $33.6, $32.5
11/17/2020, $33.07, 3363793, $32.44, $33.07, $31.745
11/16/2020, $33.04, 3892259, $33.25, $33.97, $32.54
11/13/2020, $31.75, 3499671, $31.16, $32, $31.07
11/12/2020, $30.68, 4376821, $30.83, $31.3, $30.09
11/11/2020, $31.68, 4024377, $32.9, $32.9, $31.42
11/10/2020, $32.8, 5545163, $32.46, $32.975, $31.87
11/09/2020, $32.33, 10508670, $30.6, $32.97, $30.53
11/06/2020, $27.71, 4255962, $29.09, $29.34, $27.49
11/05/2020, $28.91, 8868594, $26.92, $29.235, $26.91
11/04/2020, $26.72, 5861330, $27.98, $28.01, $26.44
11/03/2020, $29.01, 3596277, $28.69, $29.22, $28.51
11/02/2020, $28.03, 3771198, $27.61, $28.07, $27.08
10/30/2020, $27.25, 3404180, $26.64, $27.26, $26.31
10/29/2020, $26.71, 4503240, $25.8, $26.96, $25.41
10/28/2020, $25.88, 3804654, $26.03, $26.519, $25.81
10/27/2020, $26.66, 3508450, $27.75, $28.07, $26.64
10/26/2020, $28.36, 4478551, $28.8, $28.91, $27.99
10/23/2020, $29.13, 4393874, $29.1, $29.37, $28.43
10/22/2020, $28.86, 4311479, $27.64, $28.98, $27.42
10/21/2020, $27.55, 5051332, $27.41, $27.64, $27.19
10/20/2020, $27.62, 5146431, $27.11, $28.04, $26.99
10/19/2020, $26.64, 4454623, $26.92, $27.075, $26.5
10/16/2020, $26.61, 9017567, $27, $27.07, $26.07
10/15/2020, $27.9, 9333642, $27.24, $28.055, $27.15
10/14/2020, $27.58, 5018913, $28.18, $28.56, $27.54
10/13/2020, $28.02, 5851554, $28.44, $28.5, $27.57
10/12/2020, $28.47, 3358337, $28, $28.51, $27.82
10/09/2020, $27.96, 4148787, $28.75, $28.87, $27.87
10/08/2020, $28.56, 2483240, $28.41, $28.63, $27.96
10/07/2020, $28.12, 2964844, $27.63, $28.46, $27.59
10/06/2020, $27.13, 4766516, $28, $28.48, $27.02
10/05/2020, $27.48, 4597229, $26.52, $27.5, $26.45
10/02/2020, $26.21, 3348779, $24.9, $26.36, $24.8
10/01/2020, $25.43, 3432262, $25.46, $25.71, $25.14
09/30/2020, $25.28, 4933131, $24.92, $25.72, $24.9
09/29/2020, $24.78, 2884531, $25.22, $25.36, $24.49
09/28/2020, $25.34, 4067728, $24.96, $25.54, $24.91
09/25/2020, $24.43, 3455203, $23.58, $24.515, $23.54
09/24/2020, $23.83, 3597323, $23.95, $24.53, $23.46
09/23/2020, $23.95, 4782431, $24.72, $25.3618, $23.92
09/22/2020, $24.51, 8540780, $25.79, $25.88, $24.3
09/21/2020, $25.83, 4990125, $26.31, $26.7201, $25.67
09/18/2020, $27.16, 8947206, $27.11, $27.51, $26.975
09/17/2020, $27.49, 7721537, $27.07, $27.82, $26.915
09/16/2020, $27.62, 7296525, $26.76, $28.18, $26.585
09/15/2020, $26.69, 6309790, $27.96, $28, $26.68
09/14/2020, $27.99, 14720210, $27.41, $28.1, $27.28
09/11/2020, $27.11, 7692117, $26.7, $27.16, $26.35
09/10/2020, $26.72, 15213660, $27.42, $28.0687, $26.52
09/09/2020, $27.13, 8606414, $26.83, $27.41, $26.49
09/08/2020, $26.62, 10854130, $26.78, $27.06, $26.22
09/04/2020, $27.36, 5626648, $27.46, $27.79, $26.58
09/03/2020, $26.76, 6917105, $27, $28.03, $26.51
09/02/2020, $26.79, 5926504, $26.11, $26.99, $25.9
09/01/2020, $26.17, 6890977, $25.59, $26.51, $25.53
08/31/2020, $25.87, 6579525, $26.16, $26.19, $25.82
08/28/2020, $26.29, 3175192, $26.26, $26.34, $25.98
08/27/2020, $26.01, 4418316, $25.42, $26.23, $25.2
08/26/2020, $25.36, 7896363, $25.46, $25.705, $25.28
08/25/2020, $25.54, 4333651, $25.71, $25.89, $25.1
08/24/2020, $25.23, 2856907, $24.3, $25.23, $24.15
08/21/2020, $24.19, 3166316, $24.3, $24.6, $24.15
08/20/2020, $24.3, 2685646, $24.44, $24.55, $24.09
08/19/2020, $24.8, 3777359, $24.71, $25.3, $24.58
08/18/2020, $24.76, 2545461, $25.38, $25.44, $24.645
08/17/2020, $25.44, 2104872, $25.68, $25.83, $25.39
08/14/2020, $25.9, 1935546, $25.41, $26.19, $25.3
08/13/2020, $25.69, 3139587, $26.09, $26.22, $25.61
08/12/2020, $26.49, 3258741, $27.37, $27.37, $25.8175
08/11/2020, $26.65, 4731801, $26.81, $27.57, $26.56
08/10/2020, $25.88, 3715207, $25.62, $26.325, $25.6
08/07/2020, $25.43, 4235777, $24.46, $25.44, $24.325
08/06/2020, $24.76, 3520858, $24.64, $24.995, $24.55
08/05/2020, $24.87, 4020388, $24.54, $24.91, $24.355
08/04/2020, $24.21, 3720456, $24.2, $24.42, $24.02
08/03/2020, $24.23, 5454868, $24.8, $24.89, $24.14
07/31/2020, $24.81, 6102773, $24.54, $24.84, $24.065
07/30/2020, $24.78, 4269256, $24.48, $25, $24.03
07/29/2020, $25.35, 4775676, $24.21, $25.37, $23.925
07/28/2020, $24.18, 3813133, $24.29, $24.7035, $24.08
07/27/2020, $24.86, 4854811, $25.35, $25.49, $24.725
07/24/2020, $25.58, 5731081, $26.14, $26.35, $25.54
07/23/2020, $26.05, 5753905, $25.34, $26.215, $25.25
07/22/2020, $25.51, 4927200, $25.12, $25.69, $24.96
07/21/2020, $25.55, 4945054, $24.81, $25.67, $24.655
07/20/2020, $24.67, 5049148, $25.04, $25.32, $24.6
07/17/2020, $25.15, 6493093, $26.67, $27.4238, $25.12
07/16/2020, $25.45, 5142097, $25.1, $26.03, $24.85
07/15/2020, $25.45, 3893648, $24.75, $25.52, $24.36
07/14/2020, $23.89, 3860870, $24.17, $24.35, $23.54
07/13/2020, $24.37, 4819260, $24.67, $24.89, $23.755
07/10/2020, $24.18, 4605211, $22.73, $24.18, $22.71
07/09/2020, $22.73, 4102672, $23.38, $23.65, $22.53
07/08/2020, $23.66, 4074838, $23.41, $23.77, $23.03
07/07/2020, $23.5, 3939109, $23.88, $23.93, $23.39
07/06/2020, $24.27, 3902669, $24.4, $24.93, $23.92
07/02/2020, $23.76, 6692282, $25.01, $25.14, $23.64
07/01/2020, $24.23, 4898216, $25.23, $25.23, $24.01
06/30/2020, $25.24, 8059510, $23.38, $25.41, $23.31
06/29/2020, $23.53, 7956660, $23.5, $23.79, $23.04
06/26/2020, $23.16, 13151660, $24.57, $24.6, $22.82
06/25/2020, $25.26, 5413348, $23.86, $25.385, $23.61
06/24/2020, $24.08, 5363863, $25.33, $25.3999, $23.96
06/23/2020, $25.8, 4733752, $25.99, $26.47, $25.63
06/22/2020, $25.43, 4647700, $25.02, $25.785, $24.88
06/19/2020, $25.35, 16909050, $26.76, $26.76, $25.025
06/18/2020, $26.15, 4455901, $25.97, $26.885, $25.78
06/17/2020, $26.37, 4287317, $27.25, $27.415, $26.28
06/16/2020, $27.24, 6395017, $28.28, $28.45, $26.41
06/15/2020, $26.65, 5615174, $24.32, $26.89, $24.27
06/12/2020, $25.82, 4725263, $26.2, $26.29, $24.585
06/11/2020, $24.48, 7522952, $25, $26.065, $24.34
06/10/2020, $27.25, 8988228, $29.11, $29.24, $27.17
06/09/2020, $29.51, 5588902, $28.87, $30.1, $28.5
06/08/2020, $30.41, 10600750, $30.63, $31.07, $29.475
06/05/2020, $29.25, 10055610, $31.36, $32.98, $29.03
06/04/2020, $28.46, 6025774, $26.66, $28.47, $26.4
06/03/2020, $26.82, 6353867, $26.12, $27.17, $25.95
06/02/2020, $25.12, 5090193, $25.24, $25.69, $24.825
06/01/2020, $24.73, 3228194, $24.42, $25.05, $24.13
05/29/2020, $24.1, 6825592, $23.98, $24.585, $23.74
05/28/2020, $24.66, 4996132, $26.11, $26.18, $24.57
05/27/2020, $25.63, 7129961, $25.89, $26.16, $24.29
05/26/2020, $23.91, 7724252, $22.72, $24.41, $22.67
05/22/2020, $21.28, 2651592, $21.5, $21.87, $20.97
05/21/2020, $21.35, 4319977, $21.5, $21.925, $21.28
05/20/2020, $21.67, 5465073, $21.19, $21.795, $21.15
05/19/2020, $20.67, 6492044, $21.3, $21.5, $20.59
05/18/2020, $21.58, 7479139, $21.16, $21.785, $20.68
05/15/2020, $19.92, 4215907, $19.8, $20.125, $19.45
05/14/2020, $20.15, 7658845, $18.74, $20.245, $18.2
05/13/2020, $19.33, 6905816, $20, $20.03, $18.675
05/12/2020, $20.13, 5207618, $21.21, $21.545, $20.12
05/11/2020, $21.08, 6958096, $21.77, $21.79, $20.54
05/08/2020, $22.2, 4670401, $21.93, $22.415, $21.695
05/07/2020, $21.25, 4983612, $20.89, $22.055, $20.89
05/06/2020, $20.54, 4197491, $21.46, $21.67, $20.32
05/05/2020, $21.18, 5820234, $21.74, $22.4, $21.1
05/04/2020, $21.2, 5864937, $21, $21.38, $20.61
05/01/2020, $21.42, 4264551, $21.63, $21.73, $21.09
04/30/2020, $22.39, 5290421, $22.49, $23, $21.78
04/29/2020, $23.33, 6215795, $23.4, $23.95, $22.86
04/28/2020, $22.29, 7819364, $23.14, $23.69, $22.2
04/27/2020, $22.43, 7674934, $20.84, $22.655, $20.78
04/24/2020, $20.6, 6454203, $20.57, $20.995, $20.16
04/23/2020, $20.25, 5601366, $19.92, $20.9299, $19.85
04/22/2020, $19.58, 5812613, $20.05, $20.26, $19.43
04/21/2020, $19.29, 6203998, $19.32, $19.94, $18.95
04/20/2020, $20.3, 10178510, $19.07, $20.89, $18.54
04/17/2020, $19.87, 12662610, $17.77, $20.3, $17.77
04/16/2020, $17.19, 7355648, $18.43, $18.52, $17.15
04/15/2020, $18.58, 6313944, $19.1, $19.27, $18.5
04/14/2020, $20.33, 6596079, $21.67, $21.85, $19.86
04/13/2020, $21.19, 4722150, $22.2, $22.24, $20.74
04/09/2020, $22.11, 6535953, $21.62, $22.8563, $21.48
