Date, Close/Last, Volume, Open, High, Low
01/20/2021, $40.11, 796417, $39.81, $40.76, $39.6
01/19/2021, $39.59, 866459, $39.27, $39.95, $39.11
01/15/2021, $38.73, 985250, $39.18, $39.39, $37.91
01/14/2021, $39.75, 1174962, $40.17, $40.34, $39.13
01/13/2021, $39.43, 2758503, $40.32, $40.46, $39.03
01/12/2021, $40.55, 1099060, $39.86, $40.73, $39.67
01/11/2021, $39.62, 1331581, $38.57, $40.14, $38.42
01/08/2021, $39.45, 823662, $40.6, $40.6, $38.56
01/07/2021, $40.59, 2715547, $40.56, $41.03, $40.14
01/06/2021, $40.19, 1271206, $38.68, $40.75, $38.68
01/05/2021, $38.04, 667175, $37.08, $38.61, $37.08
01/04/2021, $37.06, 625482, $38.48, $38.57, $36.59
12/31/2020, $38.24, 618429, $37.88, $38.575, $37.41
12/30/2020, $37.95, 1221683, $36.7, $38.25, $36.7
12/29/2020, $36.68, 464842, $37.24, $37.31, $36.32
12/28/2020, $36.9, 444699, $37.25, $37.49, $36.9
12/24/2020, $36.79, 117722, $36.78, $36.87, $36.32
12/23/2020, $36.65, 650525, $36.56, $37.175, $36.38
12/22/2020, $36.19, 379884, $36.62, $36.75, $35.84
12/21/2020, $36.36, 680213, $35.93, $36.61, $34.94
12/18/2020, $36.57, 1358864, $37.17, $37.41, $36.2
12/17/2020, $36.99, 556893, $37.08, $37.37, $36.57
12/16/2020, $37.03, 1081225, $36.6, $37.38, $35.82
12/15/2020, $36.68, 715535, $36.6, $36.99, $35.96
12/14/2020, $35.89, 1213164, $38.02, $38.16, $35.88
12/11/2020, $37.23, 664520, $37.44, $37.96, $36.94
12/10/2020, $37.92, 919376, $37.63, $38.2899, $37.21
12/09/2020, $37.63, 609766, $38.07, $38.22, $37.33
12/08/2020, $37.64, 700464, $36.96, $37.9, $36.96
12/07/2020, $37.33, 540847, $37.68, $37.92, $36.95
12/04/2020, $38, 484044, $37.32, $38.33, $37.2487
12/03/2020, $37.15, 2337905, $36.57, $37.55, $36.36
12/02/2020, $36.54, 541573, $36.07, $36.75, $35.92
12/01/2020, $36.37, 691350, $36.8, $37.16, $36.34
11/30/2020, $36.08, 635227, $36.9, $36.96, $35.87
11/27/2020, $37.08, 319826, $38, $38.62, $36.96
11/25/2020, $37.95, 1184174, $37.37, $38.09, $36.58
11/24/2020, $37.62, 1649377, $37.08, $38.07, $37
11/23/2020, $36.73, 515455, $35.94, $36.89, $35.81
11/20/2020, $35.47, 940540, $35.47, $35.77, $35.24
11/19/2020, $35.74, 690500, $35.3, $35.8, $34.93
11/18/2020, $35.64, 1496999, $36.28, $36.5265, $34.7
11/17/2020, $34.8, 688372, $34.14, $35.14, $33.51
11/16/2020, $34.71, 1203411, $35.1, $35.43, $34.295
11/13/2020, $33.81, 911139, $32.78, $34.11, $32.67
11/12/2020, $32.38, 836458, $33.28, $33.51, $31.83
11/11/2020, $33.7, 761025, $35, $35, $33.31
11/10/2020, $34.76, 1127437, $34.75, $35.32, $34.2
11/09/2020, $34.32, 2890075, $31.69, $35.24, $31.69
11/06/2020, $29.53, 804635, $29.91, $30.27, $29.53
11/05/2020, $29.79, 900841, $29.39, $30.17, $29.284
11/04/2020, $28.86, 1604757, $28.82, $29.11, $27.77
11/03/2020, $29.2, 1313016, $28, $29.46, $27.88
11/02/2020, $27.44, 1041644, $27.71, $28.335, $27.12
10/30/2020, $27.19, 1422794, $27.15, $27.55, $26.45
10/29/2020, $27.23, 2345441, $28.18, $28.74, $27.06
10/28/2020, $28.34, 1131300, $28.49, $29.45, $28.31
10/27/2020, $29.55, 1474129, $30.13, $30.135, $29.16
10/26/2020, $30.3, 802693, $31.28, $31.545, $30.05
10/23/2020, $31.96, 501087, $32.59, $32.61, $31.53
10/22/2020, $32.22, 1403321, $31, $32.315, $30.9
10/21/2020, $30.88, 592944, $31.46, $32.03, $30.87
10/20/2020, $31.6, 610254, $31.64, $32.08, $31.41
10/19/2020, $31.29, 819282, $31.78, $32.03, $31.17
10/16/2020, $31.69, 816810, $32.27, $32.475, $31.63
10/15/2020, $32.18, 560267, $30.88, $32.27, $30.88
10/14/2020, $31.46, 914843, $31.47, $32.07, $31.22
10/13/2020, $31.39, 518159, $31.9, $32.12, $31.22
10/12/2020, $32.07, 809047, $32.58, $33, $32.01
10/09/2020, $32.19, 779490, $32.68, $32.82, $31.87
10/08/2020, $32.22, 1127438, $32.91, $32.91, $31.84
10/07/2020, $32.37, 851693, $32.47, $33.18, $32.06
10/06/2020, $31.7, 1850326, $32.64, $33.29, $31.64
10/05/2020, $32.32, 1075619, $31.84, $32.57, $31.59
10/02/2020, $31.25, 927530, $30.5, $31.73, $30.5
10/01/2020, $31.5, 490911, $31.57, $32.09, $31.11
09/30/2020, $31.36, 712007, $31.52, $32.01, $31.025
09/29/2020, $31.21, 412295, $31.15, $31.645, $30.94
09/28/2020, $31.39, 601043, $31.3, $31.96, $31.22
09/25/2020, $30.57, 632085, $29.73, $30.82, $29.7
09/24/2020, $30.13, 693708, $30.2, $30.68, $29.63
09/23/2020, $30.16, 985287, $30.56, $31.02, $30.12
09/22/2020, $30.6, 702255, $30.49, $30.8, $29.82
09/21/2020, $30.51, 1831234, $32.25, $32.61, $29.98
09/18/2020, $33.45, 3674855, $34.58, $34.96, $33.25
09/17/2020, $34.63, 1272447, $34, $34.875, $33.52
09/16/2020, $34.6, 1407472, $34.16, $34.94, $33.86
09/15/2020, $33.82, 756486, $33.75, $34.455, $33.55
09/14/2020, $33.54, 709422, $33.72, $33.76, $33.06
09/11/2020, $33.42, 518614, $33.12, $33.7, $32.99
09/10/2020, $32.86, 561618, $33.69, $33.875, $32.815
09/09/2020, $33.58, 780068, $33.55, $33.99, $33.51
09/08/2020, $33.23, 908582, $33.26, $34.12, $33.13
09/04/2020, $33.72, 722831, $33.26, $34, $32.67
09/03/2020, $32.63, 918819, $33.79, $34.01, $32.26
09/02/2020, $33.91, 713740, $33.58, $34.1, $33.185
09/01/2020, $33.44, 812772, $32.99, $33.605, $32.77
08/31/2020, $33.28, 707882, $33.66, $33.87, $33.13
08/28/2020, $33.6, 659787, $33.68, $33.71, $32.97
08/27/2020, $33.5, 862638, $34.23, $34.23, $33.405
08/26/2020, $33.8, 976169, $33.76, $33.95, $33.25
08/25/2020, $33.72, 604072, $33.91, $33.955, $33.2657
08/24/2020, $33.66, 610073, $33.49, $34.01, $33.1
08/21/2020, $33.24, 701689, $33.44, $33.6, $33.08
08/20/2020, $33.42, 514308, $33.43, $33.75, $33.33
08/19/2020, $33.9, 367401, $33.8, $34.37, $33.79
08/18/2020, $33.95, 654655, $34.4, $34.76, $33.91
08/17/2020, $34.6, 424233, $34.97, $35.03, $34.32
08/14/2020, $34.54, 522242, $34.04, $34.92, $33.91
08/13/2020, $34.55, 636125, $34.8, $35.19, $34.38
08/12/2020, $34.94, 859180, $35.75, $35.75, $34.78
08/11/2020, $35.24, 1373559, $34.88, $35.72, $34.67
08/10/2020, $34.36, 950745, $33.67, $34.59, $33.21
08/07/2020, $33.31, 997773, $31.9, $33.44, $31.72
08/06/2020, $31.63, 1222674, $31.03, $31.96, $31.03
08/05/2020, $31.18, 1093307, $31.09, $31.63, $30.885
08/04/2020, $30.57, 1325615, $30.2, $30.92, $29.88
08/03/2020, $30.42, 1123209, $29.46, $30.74, $29.01
07/31/2020, $29.08, 1281053, $29.79, $29.79, $28.36
07/30/2020, $29.92, 903675, $30.71, $30.71, $29.79
07/29/2020, $31.34, 1308395, $30.91, $31.48, $30.845
07/28/2020, $30.6, 727623, $31.37, $31.62, $30.59
07/27/2020, $31.62, 744309, $30.83, $31.66, $30.57
07/24/2020, $31.04, 602367, $31.48, $31.49, $30.84
07/23/2020, $31.53, 726343, $31.2, $31.84, $31.09
07/22/2020, $31.22, 839112, $31.09, $31.46, $31
07/21/2020, $31.38, 707086, $31.15, $31.85, $30.96
