Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.28, 171531, $11.21, $11.42, $11.15
01/19/2021, $11.15, 196023, $11.31, $11.3598, $11.1
01/15/2021, $11.25, 161678, $11.286, $11.34, $11.12
01/14/2021, $11.2, 168227, $10.95, $11.27, $10.95
01/13/2021, $10.93, 140812, $10.78, $11.04, $10.78
01/12/2021, $10.74, 123972, $10.69, $10.84, $10.6711
01/11/2021, $10.67, 112065, $10.8, $10.89, $10.6
01/08/2021, $10.87, 176860, $10.86, $10.93, $10.7
01/07/2021, $10.83, 136861, $10.77, $10.91, $10.74
01/06/2021, $10.69, 184206, $10.54, $10.79, $10.52
01/05/2021, $10.45, 281858, $10.25, $10.61, $10.23
01/04/2021, $10.23, 249361, $10.36, $10.558, $10.11
12/31/2020, $10.26, 471790, $10.3, $10.53, $10.21
12/30/2020, $10.36, 407135, $10.4, $10.53, $10.2
12/29/2020, $10.76, 413206, $11.06, $11.06, $10.72
12/28/2020, $10.88, 396509, $11.11, $11.24, $10.84
12/24/2020, $11.05, 117456, $11.14, $11.15, $10.97
12/23/2020, $11.06, 273227, $11, $11.19, $10.98
12/22/2020, $10.92, 263815, $10.97, $11.05, $10.88
12/21/2020, $11.03, 205641, $10.92, $11.15, $10.75
12/18/2020, $11.03, 806994, $11.02, $11.1399, $10.92
12/17/2020, $10.96, 276189, $10.87, $11.08, $10.7
12/16/2020, $10.92, 375083, $11.01, $11.1, $10.83
12/15/2020, $11.02, 309673, $10.9, $11.145, $10.9
12/14/2020, $11.01, 298164, $11.01, $11.13, $10.84
12/11/2020, $11.01, 266779, $10.84, $11.02, $10.77
12/10/2020, $10.91, 256254, $11, $11.23, $10.89
12/09/2020, $11.04, 249328, $11.27, $11.35, $10.95
12/08/2020, $11.25, 222536, $11.41, $11.53, $11.21
12/07/2020, $11.41, 194458, $11.55, $11.605, $11.26
12/04/2020, $11.55, 185468, $11.53, $11.7, $11.3407
12/03/2020, $11.47, 346893, $11.15, $11.59, $11.14
12/02/2020, $11.17, 185313, $11.09, $11.267, $10.91
12/01/2020, $11.12, 217570, $10.98, $11.23, $10.86
11/30/2020, $10.86, 292385, $10.92, $11.065, $10.81
11/27/2020, $10.94, 98516, $11.02, $11.15, $10.9
