Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.88, 199940, $9.94, $9.99, $9.86
03/23/2021, $9.99, 24716, $9.945, $9.99, $9.91
03/22/2021, $10, 57481, $9.99, $10, $9.9371
03/19/2021, $9.99, 260168, $10, $10.025, $9.99
03/18/2021, $10.01, 87608, $10, $10.2, $9.95
03/17/2021, $10.03, 1836202, $10, $10.03, $9.95
03/16/2021, $10, 17373, $10.0011, $10.0199, $10
03/15/2021, $10, 7814, $10.02, $10.02, $9.998
03/12/2021, $10, 8514, $10.02, $10.02, $10
03/11/2021, $10.01, 104674, $10.35, $10.35, $10
03/10/2021, $10, 64152, $10.1177, $10.1177, $10
03/09/2021, $10.01, 6126, $10.03, $10.1161, $10
03/08/2021, $10.05, 24703, $10.09, $10.38, $10.05
03/05/2021, $10.03, 145350, $10.14, $10.14, $9.95
03/04/2021, $10.07, 425067, $10.2, $10.2, $10.05
03/03/2021, $10.25, 75311, $10.15, $10.28, $10.15
03/02/2021, $10.24, 36146, $10.25, $10.3, $10.11
03/01/2021, $10.27, 59124, $10.4, $10.55, $10.2
02/26/2021, $10.3, 10695, $10.37, $10.4, $10.3
02/25/2021, $10.51, 69392, $10.669, $10.67, $10.39
02/24/2021, $10.56, 65638, $10.5, $10.68, $10.37
02/23/2021, $10.41, 105805, $10.25, $10.52, $10.2
02/22/2021, $10.42, 97175, $10.675, $10.68, $10.42
02/19/2021, $10.58, 95387, $10.73, $10.73, $10.56
02/18/2021, $10.7, 14882, $10.55, $10.71, $10.55
02/17/2021, $10.6, 10191, $10.67, $10.735, $10.55
02/16/2021, $10.65, 16401, $10.65, $10.7316, $10.6
02/12/2021, $10.68, 102931, $10.664, $10.68, $10.65
02/11/2021, $10.71, 54821, $10.6, $10.78, $10.6
02/10/2021, $10.65, 288054, $10.43, $10.71, $10.43
02/09/2021, $10.43, 15487, $10.42, $10.48, $10.41
02/08/2021, $10.41, 79709, $10.57, $10.57, $10.4
02/05/2021, $10.48, 45704, $10.44, $10.51, $10.42
02/04/2021, $10.415, 53521, $10.41, $10.43, $10.4
02/03/2021, $10.45, 53259, $10.51, $10.58, $10.41
02/02/2021, $10.41, 50284, $10.42, $10.54, $10.41
02/01/2021, $10.38, 15736, $10.405, $10.45, $10.34
01/29/2021, $10.38, 66329, $10.36, $10.56, $10.36
01/28/2021, $10.35, 148834, $10.4, $10.5599, $10.33
01/27/2021, $10.35, 158903, $10.4, $10.45, $10.35
01/26/2021, $10.37, 100551, $10.414, $10.55, $10.36
01/25/2021, $10.38, 33756, $10.5, $10.6, $10.38
01/22/2021, $10.445, 20377, $10.49, $10.58, $10.4
01/21/2021, $10.55, 83680, $10.4, $10.59, $10.36
01/20/2021, $10.39, 173108, $10.405, $10.43, $10.35
01/19/2021, $10.36, 200373, $10.54, $10.54, $10.35
01/15/2021, $10.4615, 26064, $10.55, $10.55, $10.45
01/14/2021, $10.47, 55307, $10.54, $10.59, $10.4374
01/13/2021, $10.49, 21801, $10.57, $10.5701, $10.41
01/12/2021, $10.452, 89940, $10.39, $10.52, $10.38
01/11/2021, $10.38, 114153, $10.44, $10.45, $10.38
01/08/2021, $10.47, 12460, $10.36, $10.47, $10.35
01/07/2021, $10.34, 19398, $10.283, $10.5, $10.283
01/06/2021, $10.45, 7921, $10.44, $10.47, $10.3
01/05/2021, $10.41, 1499, $10.2101, $10.4499, $10.2101
01/04/2021, $10.295, 173221, $10.278, $10.32, $10.25
12/31/2020, $10.26, 85096, $10.25, $10.32, $10.25
12/30/2020, $10.31, 73348, $10.25, $10.35, $10.25
12/29/2020, $10.29, 46845, $10.35, $10.41, $10.29
12/28/2020, $10.45, 4877, $10.48, $10.4998, $10.42
12/24/2020, $10.4, 80008, $10.38, $10.45, $10.38
12/23/2020, $10.4468, 6609, $10.31, $10.485, $10.31
12/22/2020, $10.4, 155725, $10.34, $10.41, $10.3
12/21/2020, $10.35, 14999, $10.32, $10.36, $10.28
12/18/2020, $10.35, 443041, $10.38, $10.38, $10.28
12/17/2020, $10.28, 250124, $10.28, $10.28, $10.28
12/16/2020, $10.34, 4145, $10.35, $10.37, $10.34
12/15/2020, $10.37, 5138, $10.35, $10.37, $10.2501
12/14/2020, $10.25, 3892, $10.44, $10.44, $10.25
12/11/2020, $10.29, 332100, $10.262, $10.29, $10.25
12/10/2020, $10.25, 34289, $10.34, $10.35, $10.22
12/09/2020, $10.34, 13690, $10.42, $10.47, $10.2328
12/08/2020, $10.45, 475535, $10.22, $10.75, $10.22
12/07/2020, $10.28, 117525, $10.1, $10.3143, $10.05
12/04/2020, $10.05, 3145, $10.04, $10.05, $10.02
12/03/2020, $10.1, 120021, $10.15, $10.15, $10.03
12/02/2020, $10.1501, 128, $10.1501, $10.1501, $10.1501
12/01/2020, $10.135, 81418, $10.17, $10.17, $10.06
11/30/2020, $10.2, 1951, $10.3001, $10.3399, $10.2
11/27/2020, $10.24, 31139, $10.1124, $10.24, $10.1124
11/25/2020, $10.095, 91019, $10.07, $10.1, $10.07
11/24/2020, $10.14, 14145, $10.13, $10.15, $10.13
11/23/2020, $10.125, 406, $10.08, $10.125, $10.08
11/20/2020, $10, 10277, $10, $10, $10
11/19/2020, $10, 805, $9.93, $10, $9.93
11/18/2020, $9.96, N/A, $9.96, $9.96, $9.96
11/17/2020, $9.96, N/A, $9.96, $9.96, $9.96
11/16/2020, $9.96, 430574, $10.03, $10.1772, $9.92
11/13/2020, $10.04, 711, $10.05, $10.05, $9.95
11/12/2020, $9.96, N/A, $9.96, $9.96, $9.96
11/11/2020, $9.96, 140, $9.96, $9.96, $9.96
11/10/2020, $9.95, 631, $9.92, $9.95, $9.92
11/09/2020, $9.86, 209314, $10, $10, $9.85
11/06/2020, $9.9601, 201072, $9.96, $9.9601, $9.96
11/05/2020, $9.96, 7550, $10.02, $10.06, $9.96
11/04/2020, $10, 3403, $10.03, $10.08, $10
11/03/2020, $10.18, 1444, $10.02, $10.18, $10
11/02/2020, $10, 4882, $10.16, $10.16, $9.99
10/30/2020, $10.2, 49991, $10.08, $10.2, $9.83
10/29/2020, $10.03, N/A, $10.03, $10.03, $10.03
10/28/2020, $10.03, 660, $9.97, $10.03, $9.97
10/27/2020, $9.97, N/A, $9.97, $9.97, $9.97
10/26/2020, $9.97, 50679, $10.02, $10.02, $9.97
10/23/2020, $10, 500640, $10, $10, $10
10/22/2020, $10.02, 7460, $10.02, $10.02, $10.02
10/21/2020, $10.04, 1600, $10.01, $10.08, $10
10/20/2020, $10.17, 964, $10.11, $10.17, $10.1
10/19/2020, $10.05, 1102121, $10.05, $10.05, $10.05
10/16/2020, $10.05, 400, $10.05, $10.05, $10.05
10/15/2020, $10, 117, $10, $10, $10
