Date, Close/Last, Volume, Open, High, Low
01/20/2021, $2.5, 57031, $2.49, $2.53, $2.49
01/19/2021, $2.48, 74325, $2.5, $2.54, $2.48
01/15/2021, $2.49, 150961, $2.52, $2.5399, $2.47
01/14/2021, $2.52, 54448, $2.54, $2.5976, $2.52
01/13/2021, $2.54, 68434, $2.55, $2.579, $2.53
01/12/2021, $2.56, 50471, $2.54, $2.57, $2.54
01/11/2021, $2.56, 75976, $2.53, $2.57, $2.53
01/08/2021, $2.55, 56379, $2.56, $2.599, $2.54
01/07/2021, $2.56, 48271, $2.61, $2.61, $2.55
01/06/2021, $2.58, 24186, $2.58, $2.58, $2.56
01/05/2021, $2.57, 54920, $2.56, $2.57, $2.54
01/04/2021, $2.54, 46105, $2.56, $2.56, $2.53
12/31/2020, $2.54, 28933, $2.57, $2.6085, $2.52
12/30/2020, $2.56, 115951, $2.51, $2.62, $2.51
12/29/2020, $2.54, 89131, $2.47, $2.5598, $2.44
12/28/2020, $2.45, 26898, $2.46, $2.4859, $2.45
12/24/2020, $2.4645, 31417, $2.46, $2.48, $2.45
12/23/2020, $2.47, 34831, $2.45, $2.47, $2.435
12/22/2020, $2.46, 31771, $2.44, $2.4699, $2.44
12/21/2020, $2.46, 56279, $2.48, $2.49, $2.43
12/18/2020, $2.45, 58284, $2.47, $2.5, $2.43
12/17/2020, $2.46, 70935, $2.47, $2.49, $2.46
12/16/2020, $2.47, 52901, $2.47, $2.48, $2.46
12/15/2020, $2.46, 70213, $2.47, $2.48, $2.46
12/14/2020, $2.49, 96559, $2.51, $2.5697, $2.49
12/11/2020, $2.5, 204434, $2.52, $2.53, $2.48
12/10/2020, $2.56, 118967, $2.51, $2.56, $2.49
12/09/2020, $2.51, 56726, $2.53, $2.5599, $2.51
12/08/2020, $2.53, 78527, $2.52, $2.536, $2.52
12/07/2020, $2.55, 113273, $2.59, $2.64, $2.52
12/04/2020, $2.59, 34568, $2.58, $2.59, $2.565
12/03/2020, $2.57, 55992, $2.52, $2.58, $2.5199
12/02/2020, $2.51, 107482, $2.5, $2.52, $2.4958
12/01/2020, $2.494, 47957, $2.5, $2.5, $2.47
11/30/2020, $2.47, 72641, $2.45, $2.488, $2.445
11/27/2020, $2.45, 29779, $2.47, $2.48, $2.44
11/25/2020, $2.46, 57008, $2.5, $2.51, $2.46
11/24/2020, $2.485, 69335, $2.53, $2.5509, $2.46
11/23/2020, $2.52, 41356, $2.52, $2.55, $2.52
11/20/2020, $2.54, 105291, $2.57, $2.57, $2.51
11/19/2020, $2.55, 42730, $2.53, $2.56, $2.53
11/18/2020, $2.55, 74470, $2.57, $2.6, $2.52
11/17/2020, $2.595, 40023, $2.52, $2.6, $2.52
11/16/2020, $2.58, 44559, $2.57, $2.59, $2.57
11/13/2020, $2.57, 57761, $2.57, $2.58, $2.56
11/12/2020, $2.56, 25981, $2.56, $2.6, $2.54
11/11/2020, $2.59, 115011, $2.5, $2.63, $2.4901
11/10/2020, $2.486, 36705, $2.48, $2.49, $2.4566
11/09/2020, $2.48, 100145, $2.41, $2.48, $2.41
11/06/2020, $2.3901, 23711, $2.36, $2.4, $2.36
11/05/2020, $2.39, 49867, $2.39, $2.4, $2.3607
11/04/2020, $2.39, 23003, $2.37, $2.39, $2.37
11/03/2020, $2.37, 11503, $2.37, $2.38, $2.36
11/02/2020, $2.36, 40367, $2.35, $2.36, $2.34
10/30/2020, $2.33, 48256, $2.33, $2.35, $2.31
10/29/2020, $2.32, 17022, $2.31, $2.33, $2.31
10/28/2020, $2.3, 39314, $2.31, $2.33, $2.3
10/27/2020, $2.32, 26568, $2.33, $2.333, $2.32
10/26/2020, $2.32, 34470, $2.38, $2.38, $2.32
10/23/2020, $2.34, 10545, $2.36, $2.37, $2.34
10/22/2020, $2.34, 20156, $2.33, $2.3659, $2.33
10/21/2020, $2.34, 16390, $2.35, $2.3599, $2.34
10/20/2020, $2.35, 10893, $2.35, $2.36, $2.3401
10/19/2020, $2.34, 20993, $2.35, $2.38, $2.3336
10/16/2020, $2.35, 19954, $2.36, $2.375, $2.34
10/15/2020, $2.36, 37265, $2.36, $2.39, $2.35
10/14/2020, $2.37, 52896, $2.37, $2.4, $2.35
10/13/2020, $2.38, 18669, $2.41, $2.41, $2.37
10/12/2020, $2.41, 58213, $2.4, $2.41, $2.37
10/09/2020, $2.4, 41148, $2.39, $2.4, $2.37
10/08/2020, $2.39, 46391, $2.39, $2.4, $2.36
10/07/2020, $2.38, 31169, $2.36, $2.38, $2.35
10/06/2020, $2.36, 58591, $2.35, $2.36, $2.34
10/05/2020, $2.345, 90339, $2.34, $2.35, $2.33
10/02/2020, $2.35, 101221, $2.32, $2.35, $2.31
10/01/2020, $2.34, 48481, $2.34, $2.35, $2.31
09/30/2020, $2.33, 27283, $2.33, $2.33, $2.3101
09/29/2020, $2.3, 129456, $2.29, $2.31, $2.29
09/28/2020, $2.29, 113632, $2.3, $2.34, $2.29
09/25/2020, $2.29, 105725, $2.31, $2.31, $2.27
09/24/2020, $2.31, 34140, $2.34, $2.34, $2.31
09/23/2020, $2.34, 80770, $2.37, $2.37, $2.34
09/22/2020, $2.37, 47218, $2.34, $2.37, $2.34
09/21/2020, $2.37, 138177, $2.32, $2.37, $2.32
09/18/2020, $2.36, 110445, $2.37, $2.37, $2.34
09/17/2020, $2.37, 83950, $2.36, $2.37, $2.32
09/16/2020, $2.38, 41133, $2.34, $2.38, $2.34
09/15/2020, $2.35, 71942, $2.33, $2.35, $2.3277
09/14/2020, $2.35, 152853, $2.32, $2.375, $2.32
09/11/2020, $2.32, 58989, $2.33, $2.35, $2.32
09/10/2020, $2.34, 209547, $2.33, $2.34, $2.32
09/09/2020, $2.32, 24779, $2.3, $2.32, $2.29
09/08/2020, $2.31, 66127, $2.3, $2.31, $2.29
09/04/2020, $2.3, 83476, $2.31, $2.3205, $2.29
09/03/2020, $2.31, 111580, $2.34, $2.34, $2.31
09/02/2020, $2.33, 62520, $2.32, $2.3399, $2.31
09/01/2020, $2.32, 45277, $2.3, $2.33, $2.3
08/31/2020, $2.3, 64648, $2.33, $2.33, $2.3
08/28/2020, $2.3, 19946, $2.31, $2.315, $2.3
08/27/2020, $2.32, 22076, $2.33, $2.33, $2.311
08/26/2020, $2.31, 67584, $2.3, $2.33, $2.3
08/25/2020, $2.31, 53770, $2.3, $2.33, $2.3
08/24/2020, $2.3, 72583, $2.31, $2.32, $2.3
08/21/2020, $2.29, 44703, $2.32, $2.32, $2.29
08/20/2020, $2.32, 91663, $2.34, $2.34, $2.3143
08/19/2020, $2.325, 46751, $2.33, $2.34, $2.32
08/18/2020, $2.3327, 65892, $2.32, $2.34, $2.32
08/17/2020, $2.33, 162293, $2.33, $2.37, $2.32
08/14/2020, $2.33, 82724, $2.33, $2.3391, $2.31
08/13/2020, $2.33, 130699, $2.32, $2.35, $2.32
08/12/2020, $2.325, 116409, $2.33, $2.34, $2.31
08/11/2020, $2.33, 27390, $2.34, $2.34, $2.3286
08/10/2020, $2.33, 157999, $2.33, $2.34, $2.32
08/07/2020, $2.32, 88248, $2.33, $2.33, $2.3
08/06/2020, $2.31, 37228, $2.3, $2.33, $2.3
08/05/2020, $2.32, 50695, $2.3, $2.33, $2.3
08/04/2020, $2.32, 50697, $2.29, $2.33, $2.29
08/03/2020, $2.29, 48016, $2.26, $2.3, $2.26
07/31/2020, $2.25, 32631, $2.3, $2.3, $2.25
07/30/2020, $2.26, 44121, $2.23, $2.28, $2.23
07/29/2020, $2.25, 54262, $2.27, $2.27, $2.2402
07/28/2020, $2.24, 13724, $2.24, $2.25, $2.2302
07/27/2020, $2.26, 55506, $2.25, $2.27, $2.22
07/24/2020, $2.23, 39648, $2.2, $2.24, $2.2
07/23/2020, $2.2, 36386, $2.21, $2.22, $2.2
07/22/2020, $2.21, 20238, $2.21, $2.22, $2.21
07/21/2020, $2.22, 9514, $2.21, $2.22, $2.2
07/20/2020, $2.19, 81308, $2.2, $2.21, $2.18
07/17/2020, $2.185, 22731, $2.2, $2.2, $2.18
07/16/2020, $2.17, 48137, $2.16, $2.18, $2.15
07/15/2020, $2.15, 65367, $2.11, $2.16, $2.11
07/14/2020, $2.15, 47707, $2.14, $2.17, $2.14
07/13/2020, $2.17, 43093, $2.19, $2.21, $2.17
07/10/2020, $2.19, 72439, $2.15, $2.19, $2.15
07/09/2020, $2.15, 32770, $2.16, $2.175, $2.15
07/08/2020, $2.19, 92295, $2.14, $2.2, $2.14
07/07/2020, $2.16, 79119, $2.17, $2.1798, $2.14
07/06/2020, $2.14, 46627, $2.15, $2.16, $2.14
07/02/2020, $2.14, 55851, $2.15, $2.155, $2.13
07/01/2020, $2.13, 53952, $2.15, $2.16, $2.13
06/30/2020, $2.15, 110128, $2.14, $2.15, $2.11
06/29/2020, $2.11, 99255, $2.11, $2.1299, $2.1
06/26/2020, $2.13, 65718, $2.16, $2.16, $2.11
06/25/2020, $2.14, 89276, $2.14, $2.16, $2.14
06/24/2020, $2.16, 62000, $2.21, $2.21, $2.15
06/23/2020, $2.17, 34543, $2.16, $2.18, $2.16
06/22/2020, $2.15, 215985, $2.17, $2.182, $2.15
06/19/2020, $2.1702, 47128, $2.2, $2.2, $2.16
06/18/2020, $2.2, 55174, $2.16, $2.2, $2.16
06/17/2020, $2.17, 97044, $2.16, $2.22, $2.16
06/16/2020, $2.16, 34527, $2.2, $2.2, $2.16
06/15/2020, $2.18, 77662, $2.14, $2.19, $2.14
06/12/2020, $2.18, 55547, $2.18, $2.24, $2.17
06/11/2020, $2.16, 132540, $2.2, $2.21, $2.14
06/10/2020, $2.24, 47834, $2.22, $2.26, $2.21
06/09/2020, $2.22, 81646, $2.23, $2.25, $2.22
06/08/2020, $2.25, 37643, $2.25, $2.26, $2.24
06/05/2020, $2.24, 85335, $2.22, $2.26, $2.22
06/04/2020, $2.2, 326576, $2.22, $2.25, $2.19
06/03/2020, $2.23, 363920, $2.19, $2.25, $2.19
06/02/2020, $2.18, 108059, $2.23, $2.23, $2.18
06/01/2020, $2.17, 89470, $2.23, $2.23, $2.16
05/29/2020, $2.17, 39544, $2.22, $2.22, $2.17
05/28/2020, $2.19, 93837, $2.14, $2.19, $2.136
05/27/2020, $2.14, 46385, $2.16, $2.16, $2.11
05/26/2020, $2.135, 40386, $2.1, $2.14, $2.1
05/22/2020, $2.09, 37320, $2.08, $2.09, $2.075
05/21/2020, $2.08, 35711, $2.08, $2.09, $2.07
05/20/2020, $2.07, 53151, $2.06, $2.084, $2.06
05/19/2020, $2.055, 97208, $2, $2.07, $2
05/18/2020, $2.02, 58540, $1.98, $2.02, $1.975
05/15/2020, $1.975, 18416, $1.94, $1.9775, $1.94
05/14/2020, $1.96, 14574, $1.96, $1.97, $1.9501
05/13/2020, $1.98, 49336, $2, $2, $1.97
05/12/2020, $2, 41903, $2.02, $2.02, $2
05/11/2020, $2.03, 79642, $2.01, $2.04, $2.01
05/08/2020, $2.03, 17078, $2.01, $2.03, $2.01
05/07/2020, $2.01, 186157, $2.04, $2.04, $1.99
05/06/2020, $2.02, 122672, $2.03, $2.04, $2
05/05/2020, $2.04, 98612, $2.05, $2.05, $2.02
05/04/2020, $2.02, 108411, $2, $2.07, $1.9818
05/01/2020, $2.02, 121657, $2.04, $2.07, $2
04/30/2020, $2.06, 74033, $2.1, $2.1, $2.04
04/29/2020, $2.08, 87869, $2.09, $2.09, $2.06
04/28/2020, $2.06, 89848, $2.1, $2.1272, $2.04
04/27/2020, $2.1, 146372, $2.1, $2.11, $2.08
04/24/2020, $2.12, 68220, $2.18, $2.18, $2.11
04/23/2020, $2.16, 30493, $2.16, $2.18, $2.15
04/22/2020, $2.1669, 23785, $2.12, $2.17, $2.12
04/21/2020, $2.11, 44157, $2.16, $2.17, $2.08
04/20/2020, $2.18, 60392, $2.28, $2.28, $2.17
04/17/2020, $2.24, 19612, $2.25, $2.2643, $2.21
04/16/2020, $2.21, 110177, $2.24, $2.2895, $2.08
04/15/2020, $2.28, 23336, $2.35, $2.35, $2.213
04/14/2020, $2.29, 40431, $2.31, $2.31, $2.1902
04/13/2020, $2.24, 45414, $2.3, $2.36, $2.21
04/09/2020, $2.3, 260096, $2.2, $2.5, $2.2
04/08/2020, $2.13, 62134, $2.09, $2.14, $2.08
04/07/2020, $2.08, 66840, $2.05, $2.105, $2.05
04/06/2020, $2.02, 90489, $2, $2.05, $1.98
04/03/2020, $1.98, 72301, $2.03, $2.0362, $1.96
04/02/2020, $2.03, 30531, $2.01, $2.08, $2.01
04/01/2020, $2.05, 41085, $2.04, $2.14, $2
03/31/2020, $2.1, 139415, $2.15, $2.16, $2
03/30/2020, $2.099, 22824, $2.02, $2.1054, $2.0001
03/27/2020, $2.06, 50960, $2.13, $2.14, $2.03
03/26/2020, $2.11, 150837, $1.97, $2.12, $1.9
03/25/2020, $1.935, 120610, $1.76, $1.955, $1.72
03/24/2020, $1.73, 115551, $1.67, $1.7311, $1.57
03/23/2020, $1.595, 206934, $1.6, $1.65, $1.54
03/20/2020, $1.78, 88106, $1.69, $1.883, $1.69
03/19/2020, $1.685, 180966, $1.56, $1.76, $1.41
03/18/2020, $1.69, 317341, $2.05, $2.05, $1.55
03/17/2020, $2.02, 74795, $2.06, $2.0982, $2
03/16/2020, $2.13, 117627, $2.12, $2.21, $2.01
03/13/2020, $2.19, 134986, $2.12, $2.2, $2.1
03/12/2020, $2.09, 236797, $2.15, $2.24, $2.01
03/11/2020, $2.27, 54805, $2.32, $2.36, $2.27
03/10/2020, $2.37, 120584, $2.44, $2.485, $2.34
03/09/2020, $2.39, 179755, $2.5, $2.5, $2.3255
03/06/2020, $2.59, 142232, $2.55, $2.6128, $2.5
03/05/2020, $2.67, 97409, $2.72, $2.7597, $2.64
03/04/2020, $2.73, 100457, $2.79, $2.79, $2.7
03/03/2020, $2.65, 172174, $2.6, $2.695, $2.588
03/02/2020, $2.57, 305234, $2.56, $2.57, $2.42
02/28/2020, $2.405, 519191, $2.4, $2.5, $2.25
02/27/2020, $2.5, 365418, $2.85, $2.85, $2.5
02/26/2020, $2.8967, 70377, $2.88, $2.9, $2.85
02/25/2020, $2.87, 87033, $2.93, $2.94, $2.87
02/24/2020, $2.95, 55327, $2.91, $2.95, $2.91
02/21/2020, $2.9348, 23521, $2.92, $2.95, $2.92
02/20/2020, $2.93, 41180, $2.93, $2.9399, $2.93
02/19/2020, $2.94, 19866, $2.92, $2.94, $2.92
02/18/2020, $2.9534, 28858, $2.9, $2.96, $2.9
02/14/2020, $2.95, 45876, $2.93, $2.95, $2.93
02/13/2020, $2.94, 40088, $2.93, $2.94, $2.93
02/12/2020, $2.93, 26838, $2.97, $2.97, $2.93
02/11/2020, $2.93, 36838, $2.92, $2.94, $2.92
02/10/2020, $2.92, 123201, $2.9, $2.93, $2.9
02/07/2020, $2.96, 39858, $2.95, $2.97, $2.95
02/06/2020, $2.96, 31735, $2.98, $2.98, $2.95
02/05/2020, $2.96, 39603, $2.95, $2.96, $2.94
02/04/2020, $2.95, 56825, $2.96, $2.96, $2.92
02/03/2020, $2.955, 61428, $3, $3, $2.93
01/31/2020, $2.915, 77223, $2.92, $2.97, $2.89
01/30/2020, $2.9534, 54994, $2.91, $2.97, $2.91
01/29/2020, $2.91, 57469, $2.94, $2.97, $2.9
01/28/2020, $2.91, 32018, $2.91, $2.95, $2.89
01/27/2020, $2.93, 65751, $2.89, $2.93, $2.88
01/24/2020, $2.95, 48636, $2.96, $2.96, $2.9004
01/23/2020, $2.94, 26708, $2.93, $2.95, $2.93
01/22/2020, $2.9489, 36533, $2.95, $2.95, $2.9
01/21/2020, $2.95, 64445, $2.89, $2.95, $2.89
01/17/2020, $2.95, 36219, $2.92, $2.95, $2.92
01/16/2020, $2.9127, 50173, $2.95, $2.95, $2.89
01/15/2020, $2.91, 13514, $2.91, $2.92, $2.91
01/14/2020, $2.91, 36860, $2.95, $2.95, $2.91
01/13/2020, $2.95, 71037, $2.91, $2.95, $2.89
01/10/2020, $2.92, 34910, $2.94, $2.95, $2.89
01/09/2020, $2.93, 56639, $2.95, $2.95, $2.89
01/08/2020, $2.9005, 53792, $2.9, $2.95, $2.86
01/07/2020, $2.8733, 32663, $2.91, $2.91, $2.862
01/06/2020, $2.8662, 100386, $2.87, $3, $2.82
01/03/2020, $2.87, 48411, $2.85, $2.87, $2.82
01/02/2020, $2.8373, 67221, $2.78, $2.86, $2.75
12/31/2019, $2.785, 25058, $2.76, $2.8131, $2.76
12/30/2019, $2.775, 34552, $2.79, $2.7985, $2.76
12/27/2019, $2.789, 72038, $2.85, $2.8658, $2.77
12/26/2019, $2.85, 41891, $2.85, $2.85, $2.8201
12/24/2019, $2.82, 15433, $2.82, $2.83, $2.7961
12/23/2019, $2.79, 45243, $2.83, $2.83, $2.78
12/20/2019, $2.8, 36294, $2.8, $2.81, $2.8
12/19/2019, $2.79, 16339, $2.8, $2.81, $2.79
