Date, Close/Last, Volume, Open, High, Low
01/20/2021, $13.38, 599186, $13.17, $13.59, $13.15
01/19/2021, $13.28, 408483, $13.41, $13.42, $13.06
01/15/2021, $13.25, 491277, $13.01, $13.36, $12.9
01/14/2021, $13.18, 567250, $12.78, $13.36, $12.76
01/13/2021, $12.66, 530391, $12.28, $12.72, $12.28
01/12/2021, $12.32, 307362, $11.91, $12.35, $11.86
01/11/2021, $12.01, 352493, $12.06, $12.2, $11.9038
01/08/2021, $12.21, 402314, $12.49, $12.5, $12.05
01/07/2021, $12.48, 436667, $12.36, $12.55, $12.06
01/06/2021, $12.32, 851761, $11.96, $12.42, $11.96
01/05/2021, $11.87, 556647, $11.93, $12.12, $11.74
01/04/2021, $11.96, 532679, $12.53, $12.53, $11.96
12/31/2020, $12.46, 471506, $12.26, $12.56, $12.12
12/30/2020, $12.37, 404705, $12.45, $12.62, $12.27
12/29/2020, $12.4, 380214, $12.73, $12.81, $12.29
12/28/2020, $12.71, 424931, $12.73, $12.89, $12.59
12/24/2020, $12.7, 189527, $12.78, $12.78, $12.37
12/23/2020, $12.71, 426878, $12.73, $12.89, $12.59
12/22/2020, $12.69, 377231, $12.66, $12.79, $12.51
12/21/2020, $12.56, 931858, $12.45, $12.63, $12.25
12/18/2020, $12.71, 1722476, $13.11, $13.11, $12.45
12/17/2020, $13.15, 413292, $13.1, $13.18, $12.98
12/16/2020, $13.05, 456393, $13.66, $13.79, $12.95
12/15/2020, $13.59, 651343, $13.38, $13.59, $13.05
12/14/2020, $13.28, 864836, $13.28, $13.47, $12.97
12/11/2020, $13.14, 657546, $13.14, $13.3999, $13
12/10/2020, $13.38, 560620, $13.59, $13.7369, $13.08
12/09/2020, $13.94, 339207, $13.68, $13.98, $13.55
12/08/2020, $13.57, 340643, $13.69, $13.9, $13.47
12/07/2020, $13.82, 762883, $14.17, $14.25, $13.79
12/04/2020, $14.19, 570583, $14.15, $14.31, $14.025
12/03/2020, $13.99, 342994, $13.75, $14.08, $13.64
12/02/2020, $13.7, 436045, $13.69, $13.92, $13.56
12/01/2020, $13.61, 681367, $13.91, $14.15, $13.58
11/30/2020, $13.66, 478698, $13.86, $14.055, $13.57
11/27/2020, $14.02, 121515, $14.17, $14.23, $13.8
11/25/2020, $14.22, 436416, $14.58, $14.58, $14.15
11/24/2020, $14.67, 439910, $14.69, $15.06, $14.38
11/23/2020, $14.31, 520286, $14.11, $14.56, $13.92
11/20/2020, $13.8, 346918, $13.66, $13.82, $13.42
11/19/2020, $13.79, 232658, $13.6, $13.81, $13.42
11/18/2020, $13.69, 659746, $14, $14.24, $13.69
11/17/2020, $13.84, 625380, $13.51, $13.96, $13.49
11/16/2020, $13.78, 811621, $13.82, $13.99, $13.37
11/13/2020, $13.21, 786719, $12.46, $13.26, $12.46
11/12/2020, $12.32, 690277, $12.16, $12.69, $12.09
11/11/2020, $12.29, 561723, $12.86, $12.95, $12.06
11/10/2020, $12.84, 1065699, $12.55, $13.01, $12.29
11/09/2020, $12.47, 1722575, $11.4, $13.03, $11.4
11/06/2020, $10.41, 970869, $11.12, $11.22, $10.345
11/05/2020, $11.03, 557904, $11.19, $11.2899, $10.89
11/04/2020, $11.17, 436453, $11.65, $11.67, $11.14
11/03/2020, $11.75, 1149720, $11.25, $11.92, $11.11
11/02/2020, $11.14, 886650, $11.19, $11.21, $10.92
10/30/2020, $10.99, 508697, $10.89, $11.04, $10.73
10/29/2020, $10.93, 613022, $10.81, $11.14, $10.64
10/28/2020, $10.92, 909815, $11.25, $11.3, $10.89
10/27/2020, $11.54, 502368, $11.87, $12.04, $11.54
10/26/2020, $11.91, 443318, $12.11, $12.2425, $11.6885
10/23/2020, $12.23, 260718, $12.32, $12.49, $12.1
10/22/2020, $12.26, 436914, $12.14, $12.28, $11.96
10/21/2020, $12.06, 539429, $11.85, $12.07, $11.73
10/20/2020, $11.93, 775868, $11.78, $12.04, $11.656
