Date, Close/Last, Volume, Open, High, Low
01/20/2021, $33.09, 619297, $33.28, $34.71, $33.09
01/19/2021, $33.25, 555504, $34.09, $34.2, $32.71
01/15/2021, $30.91, 594095, $30.6, $32.6, $30.53
01/14/2021, $30.94, 455589, $29.47, $32.12, $29.47
01/13/2021, $29.26, 426215, $28.4, $31.16, $28.24
01/12/2021, $27.87, 263966, $27.63, $28.13, $27.52
01/11/2021, $27.54, 385262, $28.65, $28.98, $27.47
01/08/2021, $29.58, 673151, $29.57, $31.43, $29.5
01/07/2021, $28.95, 452086, $27.48, $29.56, $27.48
01/06/2021, $27.13, 449143, $27.05, $28.95, $27.05
01/05/2021, $27.18, 276653, $27.97, $28.04, $26.46
01/04/2021, $27.6, 348463, $28.02, $28.555, $26.96
12/31/2020, $27.06, 394617, $29.45, $29.45, $26.58
12/30/2020, $29.41, 403916, $29.21, $31.52, $29.21
12/29/2020, $28.73, 466264, $31.09, $31.5429, $28.3101
12/28/2020, $31.17, 647388, $30.85, $33.59, $30.72
12/24/2020, $30.4, 285038, $32.48, $32.6944, $30.39
12/23/2020, $31.64, 850850, $29.96, $32.8, $29.96
12/22/2020, $30.04, 1035058, $27.63, $30.94, $27.63
12/21/2020, $27.62, 715212, $26.23, $29.14, $25.8
12/18/2020, $26.7, 534224, $27.61, $28.22, $26.49
12/17/2020, $27.3, 325703, $28.04, $28.58, $27
12/16/2020, $28.19, 1013080, $29.11, $30.29, $28.19
12/15/2020, $25.86, 1165364, $28.59, $29.29, $25.77
12/14/2020, $31.21, 573690, $29.62, $32.3, $29.62
12/11/2020, $29.51, 803090, $29.72, $31.64, $29.43
12/10/2020, $30.22, 430984, $26.67, $30.55, $26.19
12/09/2020, $27.74, 384594, $29.13, $30.26, $27.04
12/08/2020, $29.98, 399971, $29.67, $30.52, $29.67
12/07/2020, $30.19, 438696, $29.23, $30.7, $28.2
12/04/2020, $29.44, 355591, $27.59, $29.85, $27.59
12/03/2020, $29.2, 391395, $27.7, $29.527, $27.41
12/02/2020, $26.58, 173144, $25.36, $26.66, $25.02
12/01/2020, $26.84, 354270, $25.8, $27.96, $25.7805
11/30/2020, $25.37, 145517, $24.5, $25.37, $23.78
11/27/2020, $24.21, 111054, $23.18, $24.23, $22.91
11/25/2020, $22.42, 103838, $22.12, $22.45, $21.8
11/24/2020, $22.56, 135303, $21.83, $23.25, $21.71
11/23/2020, $22.11, 128243, $21.68, $22.46, $21.2565
11/20/2020, $21.15, 141082, $21.76, $21.76, $20.55
11/19/2020, $22.1, 214911, $20.73, $22.19, $20.71
11/18/2020, $21.02, 198611, $20.29, $21.22, $20.17
11/17/2020, $19.7, 122139, $19.44, $20.12, $19.16
11/16/2020, $20.06, 208143, $19.27, $20.08, $19.125
11/13/2020, $19.12, 166908, $18.3, $19.25, $18.24
11/12/2020, $17.99, 108456, $17.65, $18.07, $17.31
11/11/2020, $17.61, 133260, $17.51, $17.9, $17.12
11/10/2020, $16.98, 132063, $17.62, $18.195, $16.93
11/09/2020, $17.9, 202840, $17.2, $18.32, $17.01
11/06/2020, $17.06, 183139, $17.06, $17.75, $16.76
11/05/2020, $18.13, 336903, $17.38, $18.13, $16.97
11/04/2020, $16.5, 204685, $16.45, $16.9399, $16.06
11/03/2020, $15.89, 187636, $16.53, $16.68, $15.8
11/02/2020, $15.87, 331570, $16.78, $16.81, $15.25
10/30/2020, $15.91, 159760, $16.37, $16.46, $15.62
10/29/2020, $16.36, 166146, $16.52, $16.76, $16.26
10/28/2020, $16.67, 180270, $16.72, $16.96, $16.45
10/27/2020, $17.44, 99214, $17.48, $17.97, $17.26
10/26/2020, $17.78, 155733, $18.79, $19.01, $17.29
10/23/2020, $19.41, 326831, $17.68, $19.79, $17.575
10/22/2020, $17.85, 172784, $17, $18.19, $17
