Date, Close/Last, Volume, Open, High, Low
03/24/2021, $204.78, 1452549, $201.47, $205.845, $201.02
03/23/2021, $199.93, 1471756, $199.63, $201.01, $197.39
03/22/2021, $199.35, 1339790, $200.22, $202.78, $198.94
03/19/2021, $202.66, 4850197, $204.69, $204.69, $200.8
03/18/2021, $205.78, 1650943, $207.82, $210.3, $205.13
03/17/2021, $206.58, 1577510, $209.11, $209.26, $206.15
03/16/2021, $207.12, 1247331, $208.99, $209.97, $205.78
03/15/2021, $209.09, 1439433, $209.08, $209.99, $205.82
03/12/2021, $209.15, 1706591, $206.76, $209.71, $205.77
03/11/2021, $205.61, 1823608, $205.29, $207.44, $203.11
03/10/2021, $206.64, 1989983, $209.49, $210.2168, $204.41
03/09/2021, $209.72, 2500182, $212.401, $213.89, $209.17
03/08/2021, $214.04, 2450968, $214.55, $216.75, $210.77
03/05/2021, $213.92, 3186175, $209, $215.64, $208.19
03/04/2021, $207.02, 2136842, $206.81, $208.01, $204
03/03/2021, $205.795, 1406130, $206.38, $208.7786, $205.52
03/02/2021, $206.64, 1593382, $208.9, $209.42, $206.09
03/01/2021, $209.7, 2418599, $202.06, $211.59, $202.05
02/26/2021, $199.7, 2689440, $206.17, $206.18, $198.53
02/25/2021, $204.8, 2398093, $202.87, $207.44, $202.01
02/24/2021, $200.7, 1681992, $199.84, $202.905, $198.92
02/23/2021, $198.75, 3454378, $195.47, $199.76, $194
02/22/2021, $195.47, 2022671, $194.005, $195.88, $191.505
02/19/2021, $195.07, 1432424, $194.97, $196.46, $192.89
02/18/2021, $193.99, 1497254, $190.05, $194.24, $189.72
02/17/2021, $191.14, 1513853, $189.42, $191.9, $187.2169
02/16/2021, $189.41, 2677819, $185.09, $189.9, $182.995
02/12/2021, $184.37, 1441415, $182.86, $184.59, $182.11
02/11/2021, $182.71, 2515077, $185.76, $186.29, $179.69
02/10/2021, $185.2, 2688311, $191.12, $192.19, $182.66
02/09/2021, $191.97, 2026337, $193, $195.54, $191.23
02/08/2021, $191.74, 2071079, $192.94, $193.67, $190.24
02/05/2021, $191.39, 1741445, $194.09, $194.45, $188.425
02/04/2021, $193.53, 1394310, $192.94, $194.84, $192.16
02/03/2021, $191.99, 1296762, $193.2, $193.38, $190.5
02/02/2021, $192.01, 1628643, $189.45, $193.64, $189.22
02/01/2021, $187.44, 1582747, $184.64, $188.8996, $182.9063
01/29/2021, $181.74, 1829452, $180.77, $183.06, $177.91
01/28/2021, $182.47, 1514571, $180.51, $185.25, $179.82
01/27/2021, $178.79, 2261347, $182.47, $183.52, $177.73
01/26/2021, $183.75, 1248937, $184.609, $185.335, $183.02
01/25/2021, $184.37, 1350742, $183.69, $185.12, $182.07
01/22/2021, $184.04, 1135631, $185.51, $185.95, $183.89
01/21/2021, $186.2, 1424347, $189.45, $189.45, $186.07
01/20/2021, $189.83, 1217549, $192.28, $192.74, $188.86
01/19/2021, $192.2, 1528190, $193.22, $194.35, $191.0301
01/15/2021, $191.82, 1376746, $192.66, $193.68, $191.14
01/14/2021, $194.14, 1330025, $198.24, $198.925, $193.73
01/13/2021, $197.95, 1973945, $202.47, $205.05, $197.67
01/12/2021, $201.49, 1631707, $199.29, $202.1, $198.57
01/11/2021, $198.94, 1399217, $198.52, $200.33, $197.0125
01/08/2021, $199.68, 1867415, $196.9816, $200.86, $196.9816
01/07/2021, $198.81, 2788805, $197.24, $199.3, $195.01
01/06/2021, $193.38, 4452408, $181.61, $194.81, $181.16
01/05/2021, $179.12, 1683179, $179.62, $179.75, $177.51
01/04/2021, $179.3, 1437733, $183.1, $183.17, $177.685
12/31/2020, $182.05, 1400106, $178.56, $182.2199, $178.11
12/30/2020, $178, 813394, $179.85, $180.18, $177.77
12/29/2020, $178.86, 872086, $181.14, $181.48, $178.69
12/28/2020, $180.39, 951647, $179.15, $181.07, $178.71
12/24/2020, $178.48, 466097, $177.83, $178.85, $177.15
12/23/2020, $180.34, 1290016, $181.45, $183.305, $180.2
12/22/2020, $181, 1001913, $181.84, $182.9899, $180.61
12/21/2020, $181.77, 1831183, $181.57, $182.88, $179.66
12/18/2020, $183.98, 3581305, $185.21, $187, $181.87
12/17/2020, $184.94, 1954227, $183.08, $185.26, $182.2
12/16/2020, $181.72, 1223639, $181.44, $183.23, $181
12/15/2020, $181.39, 1440825, $178.54, $181.4, $177.76
12/14/2020, $177.55, 1382247, $181.71, $182.28, $177.54
12/11/2020, $180.27, 2010585, $181.34, $184.34, $179.77
12/10/2020, $182.48, 1831127, $181.44, $183.77, $181.17
12/09/2020, $182.38, 1406984, $184.3, $184.5, $180.94
12/08/2020, $183.38, 1545759, $182.11, $184.29, $179.465
12/07/2020, $183.18, 1210984, $180.53, $183.66, $180.09
12/04/2020, $184.03, 1323190, $182.34, $185.11, $181.72
12/03/2020, $181.71, 1449830, $181.33, $182.86, $179.37
12/02/2020, $181.88, 1673761, $178.92, $182.95, $178.88
12/01/2020, $179.16, 2626895, $177.03, $180.33, $175.91
11/30/2020, $175.03, 1925468, $173.55, $175.14, $172.95
11/27/2020, $174.77, 920999, $174.54, $176.125, $173.69
11/25/2020, $174.79, 1827985, $173.18, $174.9, $170.68
11/24/2020, $173.18, 2074245, $170.26, $174.1399, $169.91
11/23/2020, $168.78, 1752702, $168.72, $171.03, $167.72
11/20/2020, $167.47, 1282776, $166.45, $168.335, $164.98
11/19/2020, $165.93, 972839, $165.32, $166.68, $163.52
11/18/2020, $165.78, 1225403, $168.35, $169.645, $165.645
11/17/2020, $168.07, 1372559, $166.64, $168.48, $165.45
11/16/2020, $168.77, 1660281, $168.53, $169.34, $166.12
11/13/2020, $165.96, 1548834, $161.95, $167.075, $161.7071
11/12/2020, $161.01, 1500088, $164.35, $165.2, $159.46
11/11/2020, $165.81, 1952056, $169.37, $170.27, $165.17
11/10/2020, $168.71, 3366032, $162.03, $168.87, $161.11
11/09/2020, $162.41, 4198359, $160.84, $166.39, $160.24
11/06/2020, $150.59, 1566148, $151.81, $151.83, $149.3
11/05/2020, $150.45, 2023652, $152.05, $152.61, $150
11/04/2020, $150.5, 2485987, $154.368, $156.283, $150.32
11/03/2020, $153.48, 1770506, $154.81, $156.21, $153.22
11/02/2020, $152.28, 2100671, $153, $154.78, $150.84
10/30/2020, $150.72, 1947888, $149.15, $150.87, $147.8
10/29/2020, $149.99, 2348095, $149.24, $152.58, $146.89
10/28/2020, $149.56, 3241809, $155.18, $156, $147.53
10/27/2020, $159.47, 1565838, $160.24, $161.44, $159.35
10/26/2020, $160.16, 1342060, $162.13, $163.055, $157.9
10/23/2020, $163.86, 1061836, $164.69, $165.18, $162.26
10/22/2020, $163.48, 1440604, $164.98, $165.07, $162.87
10/21/2020, $164.59, 2142133, $163.16, $164.87, $162.23
10/20/2020, $163.12, 1956357, $163.9, $165.01, $162.9019
10/19/2020, $163.34, 1284716, $168.8, $168.8, $163.26
10/16/2020, $167.99, 1006380, $167.58, $169.5, $165.69
10/15/2020, $167.09, 1339659, $164.93, $167.26, $164.45
10/14/2020, $166.7, 1146511, $167.89, $168.9294, $166.41
10/13/2020, $167.5, 1263006, $169.71, $170.91, $167
10/12/2020, $170, 893581, $169.18, $171.08, $169.18
10/09/2020, $169.41, 1100648, $171.95, $172.06, $168.7
10/08/2020, $170.9, 1408620, $169.56, $172.4, $169.3943
10/07/2020, $169.5, 2043745, $168.48, $170.04, $167.58
10/06/2020, $168.33, 1754728, $168.36, $170.39, $166.99
10/05/2020, $166.94, 1920649, $168.29, $169.87, $166.33
10/02/2020, $168.49, 1133280, $168.5, $170.185, $168.02
10/01/2020, $170.25, 1308151, $168.49, $170.97, $167.63
09/30/2020, $167.31, 1322805, $166.6, $168.91, $165.94
09/29/2020, $166.12, 1741739, $169, $169.8, $164.13
09/28/2020, $168.93, 1396818, $167.94, $170.125, $167.58
09/25/2020, $166.78, 1337727, $163.64, $166.99, $163.23
09/24/2020, $163.93, 1258763, $162.14, $165.27, $161.645
09/23/2020, $162.35, 1579423, $163.36, $167.225, $162.04
09/22/2020, $166.59, 1160320, $167.46, $168.89, $164.41
09/21/2020, $167.69, 1900710, $166.76, $168.83, $164.83
09/18/2020, $169.05, 2325122, $172.21, $172.49, $168.42
09/17/2020, $170.71, 1615616, $168.81, $171.01, $168
09/16/2020, $170.2, 1885441, $169.13, $170.88, $168.35
09/15/2020, $168.1, 1479844, $167.03, $168.68, $166.3
09/14/2020, $166.08, 970619, $164.6, $167, $163.86
09/11/2020, $163.21, 2143873, $163.79, $164.52, $162.04
09/10/2020, $163.94, 2055487, $166.58, $168.5199, $163.68
09/09/2020, $168.01, 1241392, $166.64, $169.56, $166.4
09/08/2020, $167, 1672679, $168.62, $169.8, $166.33
09/04/2020, $169.62, 2038786, $172.97, $173.36, $166.7
09/03/2020, $171.89, 1812386, $173.64, $176.235, $170.98
09/02/2020, $172.71, 2406968, $172.69, $175.65, $171.16
09/01/2020, $173.78, 1340560, $175.18, $176, $172.01
08/31/2020, $175.87, 1374144, $177.48, $177.48, $175.72
08/28/2020, $177.03, 1220061, $177.46, $177.81, $175.31
08/27/2020, $176.45, 1339456, $175.85, $178.25, $175.3
08/26/2020, $175.26, 1373663, $174.37, $175.96, $173.5
08/25/2020, $174.92, 1152790, $175.16, $176.37, $174
08/24/2020, $175.21, 994132, $174.11, $175.52, $173.01
08/21/2020, $173.86, 1223597, $173.79, $174.33, $172.39
08/20/2020, $173.18, 1051759, $171, $173.93, $170.55
08/19/2020, $172.2, 1308342, $174.77, $174.83, $171.24
08/18/2020, $173.81, 1366715, $175.1, $176.2, $172.4245
08/17/2020, $174.61, 1927387, $171.24, $174.83, $171.04
08/14/2020, $171.44, 1085796, $169.11, $172.235, $169.075
08/13/2020, $169.57, 1166316, $169.08, $170.49, $167.73
08/12/2020, $169.96, 1567998, $169.88, $172.24, $169.45
08/11/2020, $168.12, 1966798, $166.73, $169.26, $165.78
08/10/2020, $165.34, 1991563, $167.57, $168.28, $163.82
08/07/2020, $167.14, 1903735, $163.68, $168.03, $162.15
08/06/2020, $163.97, 1808137, $162.48, $164.4, $162.2
08/05/2020, $163.17, 1111143, $164.15, $164.59, $162.79
08/04/2020, $163.13, 1839184, $162.52, $164, $162.13
08/03/2020, $163, 2226135, $166.08, $166.59, $162.34
07/31/2020, $166.18, 1845262, $164, $166.31, $163.23
07/30/2020, $163.1, 2631499, $162.98, $164.33, $161.692
07/29/2020, $164.88, 2170228, $165.43, $167.78, $163.81
07/28/2020, $166, 1855612, $167.99, $168.36, $164.7801
07/27/2020, $167.5, 1651505, $167.79, $169.25, $166.66
07/24/2020, $168.75, 1245172, $169, $169.85, $167.82
07/23/2020, $168.94, 1415329, $170.84, $171.68, $168.47
07/22/2020, $170.31, 1230951, $167.47, $170.44, $167.0301
07/21/2020, $168.22, 1429502, $169.05, $170.54, $167.85
07/20/2020, $167.9, 1127592, $165.06, $168.45, $165.06
07/17/2020, $166.62, 1599303, $167.54, $168.17, $166.17
07/16/2020, $167.21, 1366136, $168.05, $168.635, $165.58
07/15/2020, $168.83, 1659561, $168.31, $169.16, $166.29
07/14/2020, $165.56, 1580050, $166.34, $166.62, $164.06
07/13/2020, $165.2, 1512575, $165.73, $169.04, $164.86
07/10/2020, $164.59, 1955227, $166.41, $166.89, $164.03
07/09/2020, $165.53, 1337984, $167.04, $167.96, $164.2315
07/08/2020, $168.08, 1521284, $165.09, $169.17, $165.02
07/07/2020, $165.61, 1630030, $164.24, $166.75, $163.89
07/06/2020, $165.8, 2149414, $166.33, $167.7981, $164.395
07/02/2020, $165.27, 1573914, $170.74, $171.34, $164.88
07/01/2020, $168.9, 2911033, $161.75, $170.12, $161.56
06/30/2020, $162.54, 2676188, $163.45, $163.485, $161.35
06/29/2020, $162.01, 2464743, $164.08, $164.11, $161.11
06/26/2020, $162.45, 3176119, $167.93, $168.22, $161.24
06/25/2020, $168.69, 2982188, $166.68, $168.88, $164.55
06/24/2020, $167.47, 2343347, $171.29, $171.95, $165.93
06/23/2020, $173.55, 1770925, $176.99, $176.99, $172.805
06/22/2020, $175.09, 1603523, $174.5, $175.58, $172.61
06/19/2020, $175.52, 3059567, $178.69, $179.86, $174.3
06/18/2020, $176.32, 1177756, $177.62, $179.12, $175.72
06/17/2020, $178.36, 1857275, $177.3, $179.39, $175.228
06/16/2020, $176.11, 2311568, $178.5, $179.14, $174.22
06/15/2020, $174.65, 1967511, $171.55, $175.795, $171.18
06/12/2020, $174.72, 3020340, $177.73, $177.93, $172.08
06/11/2020, $174.18, 2928654, $185.61, $185.75, $174.02
06/10/2020, $188.7, 2409418, $190.13, $190.99, $187.94
06/09/2020, $191.1, 3099023, $188.49, $192.29, $188.11
06/08/2020, $191.75, 2022659, $192.3, $192.8641, $188.0425
06/05/2020, $192.14, 3033118, $188.14, $193.93, $187.62
06/04/2020, $184.51, 1634338, $185.77, $186.18, $181.77
06/03/2020, $186.26, 2197109, $180.38, $186.88, $179.02
06/02/2020, $178.78, 2288061, $181.95, $182.26, $176.35
06/01/2020, $182.32, 1442612, $181.93, $185.469, $181.85
05/29/2020, $182.6, 1761078, $177.79, $182.77, $177.79
05/28/2020, $180.49, 2497387, $178.05, $182.28, $176.0764
05/27/2020, $176.53, 3862910, $184.71, $185.88, $172.0622
05/26/2020, $182.47, 1595732, $182.14, $184.92, $180.72
05/22/2020, $178.8, 999302, $177.92, $178.98, $176.02
05/21/2020, $178.18, 1807529, $179.34, $181.38, $177.63
05/20/2020, $180.82, 950720, $181.05, $182.535, $180.2401
05/19/2020, $179.76, 1044853, $184.86, $185.99, $179.33
05/18/2020, $185.8, 1339243, $185.31, $187.23, $183.6865
05/15/2020, $181.07, 1802882, $179.64, $181.95, $177.62
05/14/2020, $180.52, 1505469, $176.55, $180.9, $175.63
05/13/2020, $177.96, 1508682, $175.66, $179.06, $174.45
05/12/2020, $179.18, 1307668, $185.63, $186.3911, $179.14
05/11/2020, $184.17, 1950232, $178.97, $185.11, $178.38
