Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.91, 313029, $11.76, $12, $11.75
01/19/2021, $11.65, 696075, $12.11, $12.11, $11.26
01/15/2021, $11.86, 635013, $12.26, $12.26, $11.29
01/14/2021, $12.15, 707077, $12.8, $12.88, $11.71
01/13/2021, $12.19, 659863, $11.85, $12.4, $11.72
01/12/2021, $11.73, 366166, $11.52, $11.77, $11.31
01/11/2021, $11.52, 709329, $11.43, $11.52, $11.15
01/08/2021, $11.35, 385706, $11.205, $11.5, $11.1
01/07/2021, $11.2, 852899, $11.34, $11.34, $10.71
01/06/2021, $10.89, 150767, $10.93, $11.1, $10.7
01/05/2021, $10.95, 466933, $10.94, $11.15, $10.81
01/04/2021, $10.7498, 444273, $11.04, $11.39, $10.71
12/31/2020, $11.04, 272790, $11.07, $11.22, $10.86
12/30/2020, $11.07, 144673, $11.01, $11.38, $10.9
12/29/2020, $11.1, 446476, $11.5, $11.5, $10.9
12/28/2020, $11.39, 466490, $11.85, $11.85, $11.22
12/24/2020, $11.59, 446304, $12.15, $12.25, $11.5
12/23/2020, $11.47, 320303, $11.21, $11.57, $11.15
12/22/2020, $11.27, 431167, $11.64, $11.75, $11.12
12/21/2020, $11.3, 769630, $11.27, $12.03, $10.79
12/18/2020, $10.85, 253304, $10.88, $10.9, $10.63
12/17/2020, $10.66, 96593, $10.68, $10.68, $10.55
12/16/2020, $10.68, 280343, $10.75, $10.9, $10.46
12/15/2020, $10.6, 97054, $10.8, $11, $10.6
12/14/2020, $10.73, 508963, $10.7, $11.47, $10.6
12/11/2020, $10.56, 210021, $10.6, $10.6, $10.35
12/10/2020, $10.4285, 458127, $10.59, $10.65, $10.35
12/09/2020, $10.5, 303445, $10.6, $10.6, $10.28
12/08/2020, $10.35, 121709, $10.6, $10.6, $10.25
12/07/2020, $10.5, 300105, $11, $12, $10.35
12/04/2020, $10.25, 92410, $10.27, $10.3, $10.196
12/03/2020, $10.2, 108575, $10.4, $10.5, $10.13
12/02/2020, $10.6662, 29893, $11, $11, $10.2
12/01/2020, $10.3512, 26703, $11.04, $12.14, $10.105
11/30/2020, $10.245, 10585, $10.22, $10.28, $10.05
11/27/2020, $10.13, 1751, $10.13, $10.16, $10.13
11/25/2020, $10.15, 32512, $10.1, $10.2, $10.1
11/24/2020, $10.07, 36155, $10.04, $10.15, $10.02
11/23/2020, $10.02, 25374, $10, $10.07, $9.99
11/20/2020, $10.02, 3094, $9.9007, $10.02, $9.9007
11/19/2020, $9.92, 1224, $9.92, $9.92, $9.8981
11/18/2020, $9.93, N/A, $9.93, $9.93, $9.93
11/17/2020, $9.93, N/A, $9.93, $9.93, $9.93
11/16/2020, $9.93, 7982, $10.87, $10.87, $9.66
11/13/2020, $10.23, 707, $10.0285, $10.23, $10.0285
11/12/2020, $10.3, 218, $10.3, $10.3, $10.3
11/11/2020, $9.8, N/A, $9.8, $9.8, $9.8
11/10/2020, $9.8, N/A, $9.8, $9.8, $9.8
11/09/2020, $9.8, N/A, $9.8, $9.8, $9.8
11/06/2020, $9.8, N/A, $9.8, $9.8, $9.8
11/05/2020, $9.8, N/A, $9.8, $9.8, $9.8
11/04/2020, $9.8, 2010, $9.8, $9.8, $9.8
11/03/2020, $12.9, N/A, $12.9, $12.9, $12.9
11/02/2020, $12.9, N/A, $12.9, $12.9, $12.9
10/30/2020, $12.9, N/A, $12.9, $12.9, $12.9
10/29/2020, $12.9, N/A, $12.9, $12.9, $12.9
10/28/2020, $12.9, N/A, $12.9, $12.9, $12.9
10/27/2020, $12.9, N/A, $12.9, $12.9, $12.9
10/26/2020, $12.9, N/A, $12.9, $16, $9.8
