Date, Close/Last, Volume, Open, High, Low
01/20/2021, $3, 70185, $2.95, $3.25, $2.88
01/19/2021, $2.9, 150189, $3.05, $3.07, $2.65
01/15/2021, $2.9, 94869, $3.3, $3.43, $2.9
01/14/2021, $3.25, 148686, $4.6918, $4.6918, $3.06
01/13/2021, $3.86, 519487, $3.9999, $3.9999, $3.27
01/12/2021, $3.25, 114829, $3.19, $4.18, $3.06
01/11/2021, $3.25, 49599, $3.01, $3.4, $3.01
01/08/2021, $3.1, 50427, $3.01, $3.28, $3
01/07/2021, $3, 219598, $3.1, $3.4, $2.97
01/06/2021, $3.0099, 60089, $2.95, $3.2, $2.95
01/05/2021, $3.06, 105335, $2.9, $3.15, $2.9
01/04/2021, $3, 217952, $2.88, $3.15, $2.76
12/31/2020, $2.73, 27362, $2.8, $2.88, $2.65
12/30/2020, $2.93, 13064, $2.9, $2.99, $2.76
12/29/2020, $2.9, 139736, $3, $3.01, $2.67
12/28/2020, $3.15, 112497, $3.32, $3.7, $3
12/24/2020, $3.05, 74957, $3.5, $3.5, $3
12/23/2020, $3.4354, 40907, $3.15, $3.6614, $3
12/22/2020, $2.85, 109523, $2.65, $3.7, $2.57
12/21/2020, $2.65, 296268, $2.5, $2.9, $2.4
12/18/2020, $2.45, 125567, $2.45, $2.57, $2.3
12/17/2020, $2.4, 32089, $2.45, $2.45, $2.35
12/16/2020, $2.25, 119335, $2.69, $2.69, $2.23
12/15/2020, $2.65, 29517, $2.8, $2.8, $2.65
12/14/2020, $2.8, 52723, $2.89, $3.4, $2.75
12/11/2020, $2.79, 9399, $2.75, $3.15, $2.6231
12/10/2020, $3.025, 53849, $3.2, $3.2, $2.475
12/09/2020, $2.74, 30526, $2.76, $3.3, $2.5
12/08/2020, $3.1, 6900, $3.08, $3.1, $2.5
12/07/2020, $2.75, 32266, $2.776, $3, $2.49
12/04/2020, $2.15, 6656, $2.05, $2.15, $2.05
12/03/2020, $2.05, 29199, $2.08, $2.1, $1.925
12/02/2020, $2.21, 35667, $2.25, $2.5082, $1.97
12/01/2020, $2.25, 791, $2.99, $2.99, $2.25
11/30/2020, $2.25, 13673, $2.25, $2.25, $2.24
11/27/2020, $2.06, N/A, $2.06, $2.06, $2.06
11/25/2020, $2.06, N/A, $2.06, $2.06, $2.06
11/24/2020, $2.06, N/A, $2.06, $2.06, $2.06
11/23/2020, $2.06, N/A, $2.06, $2.06, $2.06
11/20/2020, $2.06, 537, $2.06, $2.06, $2.06
11/19/2020, $2.05, N/A, $2.05, $2.05, $2.05
11/18/2020, $2.05, 220, $2.05, $2.05, $2.05
11/17/2020, $2.26, N/A, $2.26, $2.26, $2.26
11/16/2020, $2.26, N/A, $2.26, $2.26, $2.26
11/13/2020, $2.26, N/A, $2.26, $2.26, $2.26
11/12/2020, $2.26, 282, $2.26, $2.26, $2.26
11/11/2020, $2.0701, 1803, $7.18, $7.18, $2.0701
11/10/2020, $2.02, N/A, $2.02, $2.02, $2.02
11/09/2020, $2.02, N/A, $2.02, $2.02, $2.02
11/06/2020, $2.02, N/A, $2.02, $2.02, $2.02
11/05/2020, $2.02, N/A, $2.02, $2.02, $2.02
11/04/2020, $2.02, N/A, $2.02, $2.02, $2.02
11/03/2020, $2.02, 66665, $2, $2.02, $2
11/02/2020, $2, 9413, $2.069, $2.15, $2
10/30/2020, $2.5, 10184, $2, $2.5, $2
10/29/2020, $1.4, 1000, $1.4, $1.4, $1.4
10/28/2020, $1.9, N/A, $1.9, $2.5, $1.3
