Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.6, 868565, $9.7, $10.11, $9.6
03/23/2021, $9.55, 1058808, $10, $10.06, $9.53
03/22/2021, $10.13, 683776, $10.26, $10.31, $9.95
03/19/2021, $10.2, 1426136, $10.06, $10.39, $9.85
03/18/2021, $10.1, 742164, $10.3, $10.65, $10
03/17/2021, $10.27, 482378, $10.12, $10.33, $9.97
03/16/2021, $10.19, 471441, $10.43, $10.43, $10.05
03/15/2021, $10.43, 484891, $10.36, $10.47, $10.14
03/12/2021, $10.47, 471670, $10.4, $10.57, $10.25
03/11/2021, $10.49, 647496, $10.51, $10.57, $10.215
03/10/2021, $10.37, 559795, $10.05, $10.41, $9.98
03/09/2021, $9.97, 487099, $9.93, $10.05, $9.72
03/08/2021, $9.9, 569316, $9.97, $10.12, $9.76
03/05/2021, $9.8, 882933, $9.96, $9.96, $9.34
03/04/2021, $9.83, 1199159, $10.11, $10.52, $9.61
03/03/2021, $10.05, 1064492, $10.08, $10.28, $9.85
03/02/2021, $9.97, 807361, $9.72, $10.19, $9.7
03/01/2021, $9.61, 794667, $9.83, $9.95, $9.54
02/26/2021, $9.65, 741709, $9.67, $9.75, $9.4056
02/25/2021, $9.67, 904234, $10.04, $10.0671, $9.62
02/24/2021, $10.11, 782401, $9.97, $10.43, $9.91
02/23/2021, $9.9, 869201, $10.14, $10.25, $9.63
02/22/2021, $10.2, 949903, $9.96, $10.36, $9.93
02/19/2021, $9.93, 662550, $9.6, $9.96, $9.6
02/18/2021, $9.51, 496026, $9.8, $9.83, $9.51
02/17/2021, $9.89, 533026, $9.83, $10.03, $9.75
02/16/2021, $9.84, 1131471, $9.82, $10.09, $9.71
02/12/2021, $9.54, 880582, $9.09, $9.57, $9.01
02/11/2021, $9.13, 491859, $9.09, $9.13, $8.81
02/10/2021, $9.05, 525721, $9.2, $9.3, $8.95
02/09/2021, $9.14, 640169, $9, $9.22, $8.83
02/08/2021, $9.02, 847216, $8.77, $9.205, $8.7
02/05/2021, $8.56, 712586, $8.55, $8.79, $8.49
02/04/2021, $8.42, 774742, $8.24, $8.5, $8.23
02/03/2021, $8.21, 892198, $8.15, $8.44, $8.08
02/02/2021, $8.16, 1873508, $8.42, $8.44, $7.7
02/01/2021, $8.43, 764337, $8.25, $8.56, $8.2
01/29/2021, $8, 949852, $7.98, $8.43, $7.81
01/28/2021, $8.05, 744819, $7.88, $8.12, $7.88
01/27/2021, $7.84, 915703, $8.14, $8.2, $7.76
01/26/2021, $8.13, 813391, $8.5, $8.5, $8.045
01/25/2021, $8.5, 691269, $8.8, $8.81, $8.2199
01/22/2021, $8.81, 736578, $8.4, $8.81, $8.2701
01/21/2021, $8.48, 631474, $8.76, $8.76, $8.47
01/20/2021, $8.64, 781224, $8.82, $8.8687, $8.44
01/19/2021, $8.71, 776626, $8.94, $9.0272, $8.55
01/15/2021, $8.96, 620512, $9.28, $9.29, $8.9
01/14/2021, $9.29, 678622, $9.13, $9.43, $9.02
01/13/2021, $9.02, 691547, $9.35, $9.425, $8.87
01/12/2021, $9.37, 769975, $9.24, $9.61, $9.1795
01/11/2021, $9.16, 586235, $8.69, $9.16, $8.63
01/08/2021, $8.77, 756897, $8.7, $9.23, $8.6
01/07/2021, $8.57, 837204, $8.12, $8.63, $8.02
01/06/2021, $8.12, 718782, $8.35, $8.44, $7.96
01/05/2021, $8.27, 503965, $8.22, $8.33, $8.03
01/04/2021, $8.22, 696963, $8.33, $8.475, $8.2
12/31/2020, $8.28, 481742, $8, $8.325, $7.98
12/30/2020, $8.04, 436988, $7.78, $8.18, $7.78
12/29/2020, $7.8, 344416, $7.85, $7.9, $7.68
12/28/2020, $7.86, 369338, $7.98, $8.04, $7.82
12/24/2020, $7.84, 559074, $8.03, $8.03, $7.75
12/23/2020, $8.05, 475552, $7.83, $8.205, $7.82
12/22/2020, $7.8, 454714, $8.05, $8.05, $7.7
12/21/2020, $8.05, 563114, $7.92, $8.09, $7.83
12/18/2020, $8.06, 652225, $7.99, $8.33, $7.9317
12/17/2020, $7.93, 378812, $7.93, $7.9992, $7.8
12/16/2020, $7.92, 509539, $8.04, $8.07, $7.74
12/15/2020, $7.99, 464942, $7.66, $8.09, $7.66
12/14/2020, $7.66, 637777, $7.8, $8.12, $7.65
12/11/2020, $7.62, 383061, $7.7, $7.7, $7.49
12/10/2020, $7.7, 470852, $7.46, $7.798, $7.36
12/09/2020, $7.46, 516915, $7.44, $7.5, $7.26
