Date, Close/Last, Volume, Open, High, Low
03/24/2021, $15.18, 2299665, $15.26, $15.485, $15.17
03/23/2021, $14.85, 2818149, $15.24, $15.34, $14.8
03/22/2021, $15.55, 1969251, $15.73, $15.74, $15.55
03/19/2021, $15.69, 2393420, $15.59, $15.81, $15.4
03/18/2021, $15.73, 3328784, $15.55, $16.02, $15.505
03/17/2021, $15.56, 2593045, $15.27, $15.57, $15.225
03/16/2021, $15.18, 2447797, $15.28, $15.32, $15.16
03/15/2021, $15.43, 2770187, $15.38, $15.43, $15.17
03/12/2021, $15.34, 2774864, $15.32, $15.39, $15.245
03/11/2021, $15.54, 2290041, $15.51, $15.58, $15.415
03/10/2021, $15.54, 2671556, $15.48, $15.59, $15.37
03/09/2021, $15.55, 3782755, $15.65, $15.76, $15.54
03/08/2021, $15.71, 4779984, $15.35, $15.865, $15.27
03/05/2021, $15.07, 3608728, $15, $15.14, $14.54
03/04/2021, $14.84, 5569769, $15.01, $15.19, $14.66
03/03/2021, $14.97, 3356096, $15.11, $15.17, $14.925
03/02/2021, $14.92, 3151936, $15.08, $15.16, $14.885
03/01/2021, $15.05, 3909120, $14.95, $15.12, $14.89
02/26/2021, $14.84, 2300340, $15.02, $15.03, $14.75
02/25/2021, $14.73, 2039641, $15.14, $15.18, $14.68
02/24/2021, $15.24, 2010006, $15.15, $15.33, $15.09
02/23/2021, $15.2, 2097082, $15.1, $15.22, $14.76
02/22/2021, $15.23, 3773661, $14.9, $15.4299, $14.86
02/19/2021, $15.12, 4845567, $14.82, $15.19, $14.79
02/18/2021, $14.29, 1792714, $14.46, $14.47, $14.14
02/17/2021, $14.46, 1403635, $14.59, $14.6, $14.335
02/16/2021, $14.64, 2918053, $14.78, $14.98, $14.63
02/12/2021, $14.79, 1565587, $14.53, $14.82, $14.51
02/11/2021, $14.62, 1681874, $14.58, $14.655, $14.42
02/10/2021, $14.45, 2999054, $14.47, $14.56, $14.295
02/09/2021, $14.38, 4026369, $14.25, $14.51, $14.235
02/08/2021, $14.39, 2475686, $14.36, $14.45, $14.3
02/05/2021, $14.17, 3843819, $14.38, $14.43, $14.11
02/04/2021, $14.17, 2953548, $14.25, $14.3299, $14.13
02/03/2021, $13.88, 3584273, $14.03, $14.1483, $13.785
02/02/2021, $13.76, 2774084, $13.54, $13.79, $13.475
02/01/2021, $13.12, 1496604, $12.91, $13.14, $12.84
01/29/2021, $12.75, 1258892, $12.94, $12.98, $12.67
01/28/2021, $13.02, 2041507, $12.9, $13.11, $12.86
01/27/2021, $12.55, 3311415, $12.71, $12.79, $12.495
01/26/2021, $12.98, 2342446, $13.14, $13.17, $12.95
01/25/2021, $13, 3135461, $13.21, $13.23, $12.83
01/22/2021, $13.66, 1202636, $13.66, $13.73, $13.565
01/21/2021, $13.82, 1690305, $13.78, $13.895, $13.62
01/20/2021, $13.78, 1216852, $13.75, $13.805, $13.61
01/19/2021, $13.65, 1106267, $13.6, $13.77, $13.55
01/15/2021, $13.32, 1639255, $13.52, $13.54, $13.2
01/14/2021, $13.74, 1204834, $13.69, $13.85, $13.64
01/13/2021, $13.55, 1339730, $13.54, $13.69, $13.475
01/12/2021, $13.67, 1635279, $13.48, $13.685, $13.42
01/11/2021, $13.44, 1170571, $13.25, $13.455, $13.22
01/08/2021, $13.54, 1514662, $13.59, $13.66, $13.355
01/07/2021, $13.6, 2013473, $13.64, $13.67, $13.515
01/06/2021, $13.47, 4767799, $13.17, $13.61, $13.16
01/05/2021, $12.73, 1868475, $12.54, $12.785, $12.54
01/04/2021, $12.49, 2658865, $12.81, $12.88, $12.46
12/31/2020, $12.84, 1508534, $12.81, $12.88, $12.735
12/30/2020, $12.78, 4128121, $12.83, $12.97, $12.68
12/29/2020, $12.95, 3511478, $12.74, $12.96, $12.68
12/28/2020, $12.86, 3579543, $12.67, $12.95, $12.67
12/24/2020, $12.75, 577772, $12.79, $12.79, $12.67
12/23/2020, $12.81, 2998543, $12.55, $12.82, $12.55
12/22/2020, $12.3, 3969041, $12.12, $12.3, $12.12
12/21/2020, $12.16, 4073307, $11.76, $12.21, $11.76
12/18/2020, $12.06, 2977397, $11.85, $12.07, $11.81
12/17/2020, $11.69, 2137292, $11.5, $11.7, $11.5
12/16/2020, $11.31, 1720618, $11.43, $11.4334, $11.31
12/15/2020, $11.54, 1733722, $11.34, $11.55, $11.302
12/14/2020, $10.96, 1855939, $11.12, $11.12, $10.955
12/11/2020, $10.93, 1298643, $10.91, $10.99, $10.83
12/10/2020, $10.92, 2539806, $10.81, $10.97, $10.79
12/09/2020, $11.1, 1707322, $11.02, $11.1, $10.94
12/08/2020, $11.05, 2019965, $10.92, $11.11, $10.9
12/07/2020, $11.04, 1114070, $11.23, $11.23, $11.015
12/04/2020, $11.43, 1477940, $11.27, $11.43, $11.26
12/03/2020, $11.07, 1486811, $11.2, $11.21, $11.055
12/02/2020, $11.08, 1861062, $10.92, $11.12, $10.91
12/01/2020, $11.18, 1750007, $11.11, $11.2, $11.09
11/30/2020, $10.88, 1990105, $11.17, $11.18, $10.87
11/27/2020, $11.02, 1046556, $11.03, $11.12, $10.98
11/25/2020, $11.23, 2161450, $11.28, $11.29, $11.155
11/24/2020, $11.26, 2545777, $11.07, $11.28, $11.03
11/23/2020, $10.8, 1740050, $10.71, $10.845, $10.67
11/20/2020, $10.53, 1839512, $10.56, $10.61, $10.49
11/19/2020, $10.55, 2304772, $10.58, $10.65, $10.5
11/18/2020, $10.65, 4098039, $10.71, $10.8, $10.65
11/17/2020, $10.38, 1301821, $10.42, $10.44, $10.335
11/16/2020, $10.46, 2132566, $10.45, $10.49, $10.33
11/13/2020, $10.09, 3634707, $9.99, $10.22, $9.96
