Date, Close/Last, Volume, Open, High, Low
03/24/2021, $23.42, 548758, $25.86, $25.9, $23.33
03/23/2021, $25.72, 398643, $27.54, $27.54, $25.39
03/22/2021, $27.57, 319252, $27.52, $28.52, $27.455
03/19/2021, $28.02, 1068037, $27.04, $28.17, $26.67
03/18/2021, $27.24, 317803, $29.45, $30.455, $27.22
03/17/2021, $29.61, 301017, $28.74, $30.28, $27.72
03/16/2021, $29.12, 464398, $30.82, $31.98, $28.78
03/15/2021, $30.65, 477824, $30.29, $31.46, $29.9201
03/12/2021, $30.03, 232850, $30.18, $30.58, $29.31
03/11/2021, $30.35, 441928, $28.69, $30.47, $27.9816
03/10/2021, $28.63, 375562, $27.9, $28.95, $27.14
03/09/2021, $27.26, 529886, $26.28, $28.51, $26.28
03/08/2021, $26.21, 294875, $26.45, $27.28, $25.76
03/05/2021, $26.31, 479727, $26.07, $26.34, $24.18
03/04/2021, $25.94, 396844, $25.1, $26.12, $24
03/03/2021, $25.16, 346865, $25.13, $25.828, $24.36
03/02/2021, $24.98, 374651, $26.69, $27.33, $24.89
03/01/2021, $26.8, 344596, $25.638, $27.47, $25.5
02/26/2021, $25.2, 434385, $26.8, $27.02, $24.17
02/25/2021, $26.71, 1110981, $27.95, $28.711, $26.55
02/24/2021, $27.22, 1677839, $31.76, $33.25, $26.321
02/23/2021, $36.31, 566220, $35.79, $37.08, $34.52
02/22/2021, $36.78, 330492, $36.31, $38.1, $35.92
02/19/2021, $36.84, 382326, $36.56, $37.97, $36.11
02/18/2021, $36.5, 336978, $36.47, $37.735, $35.77
02/17/2021, $37, 322883, $35.46, $37.71, $34.4256
02/16/2021, $35.5, 284437, $34.53, $35.8395, $34.25
02/12/2021, $34.53, 171033, $34.91, $34.955, $34.02
02/11/2021, $34.77, 307900, $35.24, $35.4, $33.76
02/10/2021, $34.9, 260429, $35.66, $36.2, $34.12
02/09/2021, $35.48, 255338, $35.33, $36.67, $35.05
02/08/2021, $35.41, 495435, $33.82, $35.65, $33.75
02/05/2021, $33.47, 223400, $33.84, $34.125, $32.98
02/04/2021, $33.46, 284970, $31.81, $33.65, $31.1
02/03/2021, $31.4, 420751, $31.45, $33.23, $31.1
02/02/2021, $31.28, 626690, $31.71, $32.54, $30.84
02/01/2021, $31.87, 525780, $33.48, $33.48, $30.36
01/29/2021, $32.97, 315901, $34.27, $35.355, $32.06
01/28/2021, $33.9, 307500, $35.25, $35.7699, $33.59
01/27/2021, $34.88, 514140, $34.29, $36.75, $33.445
01/26/2021, $35.11, 412335, $36.15, $36.69, $34.56
01/25/2021, $35.62, 441329, $37.99, $37.99, $34.54
01/22/2021, $34.07, 317724, $34, $35.19, $33.34
01/21/2021, $34.5, 664911, $36.56, $37.005, $34
01/20/2021, $36.59, 688849, $36.48, $39.3, $36.285
