Date, Close/Last, Volume, Open, High, Low
03/24/2021, $1.39, 746597, $1.44, $1.49, $1.37
03/23/2021, $1.4, 1033671, $1.51, $1.53, $1.39
03/22/2021, $1.55, 862077, $1.56, $1.6102, $1.49
03/19/2021, $1.59, 881228, $1.5, $1.59, $1.47
03/18/2021, $1.51, 1538571, $1.6, $1.65, $1.5
03/17/2021, $1.64, 1460455, $1.61, $1.7, $1.56
03/16/2021, $1.59, 3001050, $1.65, $1.74, $1.55
03/15/2021, $1.65, 1347265, $1.6, $1.66, $1.551
03/12/2021, $1.58, 796150, $1.62, $1.64, $1.54
03/11/2021, $1.66, 989574, $1.54, $1.67, $1.5
03/10/2021, $1.48, 1337540, $1.58, $1.59, $1.42
03/09/2021, $1.54, 749771, $1.41, $1.54, $1.3946
03/08/2021, $1.39, 789932, $1.47, $1.5, $1.36
03/05/2021, $1.41, 1845441, $1.36, $1.41, $1.2
03/04/2021, $1.38, 2564265, $1.52, $1.52, $1.32
03/03/2021, $1.53, 1349337, $1.65, $1.66, $1.47
03/02/2021, $1.6, 897420, $1.6, $1.65, $1.58
03/01/2021, $1.58, 1108452, $1.61, $1.6911, $1.52
02/26/2021, $1.57, 1307479, $1.64, $1.68, $1.5
02/25/2021, $1.64, 1354402, $1.7, $1.74, $1.59
02/24/2021, $1.72, 1183747, $1.68, $1.78, $1.6509
02/23/2021, $1.68, 2084975, $1.62, $1.7199, $1.51
02/22/2021, $1.79, 2432014, $1.88, $1.9199, $1.745
02/19/2021, $1.93, 1410068, $1.95, $1.97, $1.88
02/18/2021, $1.91, 2379022, $2, $2.01, $1.86
02/17/2021, $2.02, 3064543, $2.17, $2.2, $1.9
02/16/2021, $2.16, 3256425, $2.12, $2.2, $2.05
02/12/2021, $2.03, 1805064, $2.01, $2.07, $1.94
02/11/2021, $2.02, 2512178, $2.12, $2.12, $1.98
02/10/2021, $2.12, 4106497, $2.23, $2.25, $1.97
02/09/2021, $2.17, 2774643, $2.2, $2.25, $2.07
02/08/2021, $2.19, 5203068, $2.045, $2.29, $2.01
02/05/2021, $1.99, 2670868, $2.04, $2.06, $1.92
02/04/2021, $1.99, 4760040, $1.99, $2.08, $1.87
02/03/2021, $1.9, 3853903, $1.76, $2, $1.76
02/02/2021, $1.74, 2534797, $1.8, $1.83, $1.68
02/01/2021, $1.79, 2595984, $1.8, $1.8787, $1.71
01/29/2021, $1.72, 3675356, $1.71, $1.88, $1.67
01/28/2021, $1.67, 2399777, $1.761, $1.8, $1.61
01/27/2021, $1.71, 4476203, $1.85, $1.9, $1.7
01/26/2021, $1.94, 2780262, $1.99, $2.025, $1.92
01/25/2021, $2.02, 5960670, $2.16, $2.1893, $1.77
01/22/2021, $2.11, 5574884, $2.09, $2.15, $1.9171
01/21/2021, $2.21, 6669444, $2.26, $2.3, $2.03
01/20/2021, $2.35, 21840330, $2.27, $2.54, $1.88
01/19/2021, $2.19, 26821040, $1.686, $2.45, $1.58
01/15/2021, $1.51, 1659334, $1.59, $1.59, $1.5
01/14/2021, $1.53, 1222628, $1.482, $1.58, $1.46
01/13/2021, $1.49, 1569288, $1.53, $1.56, $1.46
01/12/2021, $1.55, 2133644, $1.46, $1.58, $1.44
01/11/2021, $1.46, 1239399, $1.4, $1.5, $1.3947
01/08/2021, $1.43, 1376835, $1.41, $1.475, $1.38
01/07/2021, $1.41, 953262, $1.38, $1.435, $1.38
01/06/2021, $1.38, 1340321, $1.44, $1.46, $1.35
01/05/2021, $1.43, 1303978, $1.41, $1.46, $1.36
01/04/2021, $1.41, 2223898, $1.35, $1.42, $1.25
12/31/2020, $1.36, 1465515, $1.391, $1.4, $1.33
12/30/2020, $1.42, 1477958, $1.4, $1.45, $1.37
12/29/2020, $1.42, 1592773, $1.48, $1.485, $1.4
12/28/2020, $1.48, 1512969, $1.55, $1.57, $1.46
12/24/2020, $1.55, 2279580, $1.6, $1.6555, $1.5
12/23/2020, $1.5, 1228619, $1.54, $1.54, $1.47
12/22/2020, $1.51, 3324697, $1.57, $1.61, $1.5
12/21/2020, $1.68, 4001813, $1.59, $1.68, $1.44
12/18/2020, $1.54, 3444802, $1.36, $1.59, $1.32
12/17/2020, $1.37, 1567230, $1.47, $1.47, $1.34
12/16/2020, $1.43, 1195586, $1.48, $1.4998, $1.41
12/15/2020, $1.47, 1731457, $1.54, $1.55, $1.45
12/14/2020, $1.51, 1441473, $1.6, $1.6, $1.5
12/11/2020, $1.55, 1628099, $1.56, $1.5946, $1.49
12/10/2020, $1.61, 1476774, $1.54, $1.63, $1.51
12/09/2020, $1.54, 2698522, $1.65, $1.67, $1.5
12/08/2020, $1.63, 2074669, $1.7, $1.7, $1.61
12/07/2020, $1.7, 3070492, $1.737, $1.737, $1.6
12/04/2020, $1.66, 3432311, $1.75, $1.75, $1.57
12/03/2020, $1.64, 3091660, $1.67, $1.71, $1.6
12/02/2020, $1.53, 6493245, $1.6, $1.77, $1.38
12/01/2020, $1.65, 15344710, $2.16, $2.23, $1.55
11/30/2020, $2.16, 23757100, $2.01, $2.37, $1.99
11/27/2020, $1.89, 14798670, $1.651, $1.97, $1.65
11/25/2020, $1.71, 70046490, $1.58, $2.0658, $1.52
11/24/2020, $1.3, 24820990, $0.79, $1.43, $0.79
11/23/2020, $0.8747, 621253, $0.8778, $0.885, $0.8501
11/20/2020, $0.889, 504186, $0.895, $0.895, $0.86
11/19/2020, $0.8896, 449312, $0.88, $0.89, $0.85
11/18/2020, $0.8605, 608329, $0.85, $0.8874, $0.825
11/17/2020, $0.8456, 611321, $0.8, $0.8496, $0.76
11/16/2020, $0.8471, 662333, $0.87, $0.879, $0.84
11/13/2020, $0.8692, 734477, $0.9, $0.9, $0.8576
11/12/2020, $0.8797, 1884231, $0.865, $0.92, $0.8502
11/11/2020, $0.8507, 1291957, $0.8426, $0.8786, $0.835
11/10/2020, $0.8254, 331153, $0.84, $0.85, $0.812
11/09/2020, $0.8433, 455586, $0.85, $0.85, $0.815
11/06/2020, $0.8654, 750494, $0.84, $0.8778, $0.82
