Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.61, 159118, $10.65, $10.7, $10.52
01/19/2021, $10.6, 268492, $10.69, $10.75, $10.56
01/15/2021, $10.54, 898462, $10.59, $10.6, $10.45
01/14/2021, $10.58, 273483, $10.72, $10.73, $10.53
01/13/2021, $10.62, 67794, $10.72, $10.73, $10.62
01/12/2021, $10.74, 444784, $10.64, $10.9, $10.6
01/11/2021, $10.57, 174918, $10.43, $10.64, $10.43
01/08/2021, $10.5154, 100009, $10.49, $10.53, $10.45
01/07/2021, $10.42, 283685, $10.4, $10.5, $10.36
01/06/2021, $10.32, 114177, $10.36, $10.45, $10.32
01/05/2021, $10.4, 41068, $10.45, $10.4989, $10.37
01/04/2021, $10.42, 140042, $10.52, $10.55, $10.37
12/31/2020, $10.45, 73171, $10.4, $10.545, $10.39
12/30/2020, $10.41, 224817, $10.4, $10.5, $10.37
12/29/2020, $10.4, 433302, $10.48, $10.6, $10.36
12/28/2020, $10.43, 494547, $10.43, $10.4999, $10.39
12/24/2020, $10.4, 154070, $10.4, $10.49, $10.38
12/23/2020, $10.37, 203273, $10.32, $10.49, $10.3
12/22/2020, $10.39, 389395, $10.35, $10.53, $10.3
12/21/2020, $10.29, 187963, $10.35, $10.35, $10.27
12/18/2020, $10.35, 531577, $10.62, $10.6926, $10.33
12/17/2020, $10.35, 5121772, $10.5, $10.5829, $10.31
